datetime,open,high,low,close,volume
2025-04-01,11.5,11.5,11.5,11.5,0
2025-03-31,11.5,11.5,11.5,11.5,0
2025-03-28,11.5,11.5,11.5,11.5,0
2025-03-27,11.5,11.5,11.5,11.5,0
2025-03-26,11.5,11.5,11.5,11.5,700
2025-03-25,11.48,11.48,11.48,11.48,0
2025-03-24,11.48,11.48,11.48,11.48,0
2025-03-21,11.48,11.48,11.48,11.48,0
2025-03-20,11.48,11.48,11.48,11.48,0
2025-03-19,11.48,11.48,11.48,11.48,100
2025-03-18,11.41,11.41,11.41,11.41,0
2025-03-17,11.41,11.41,11.41,11.41,0
2025-03-14,11.41,11.41,11.41,11.41,0
2025-03-13,11.41,11.41,11.41,11.41,0
2025-03-12,11.41,11.41,11.41,11.41,0
2025-03-11,11.41,11.41,11.41,11.41,0
2025-03-10,11.41,11.41,11.41,11.41,0
2025-03-07,11.41,11.41,11.41,11.41,0
2025-03-06,11.41,11.41,11.41,11.41,0
2025-03-05,11.41,11.41,11.41,11.41,0
2025-03-04,11.41,11.41,11.41,11.41,0
2025-03-03,11.41,11.41,11.41,11.41,0
2025-02-28,11.41,11.41,11.41,11.41,0
2025-02-27,11.41,11.41,11.41,11.41,0
2025-02-26,11.41,11.41,11.41,11.41,0
2025-02-25,11.41,11.41,11.41,11.41,0
2025-02-24,11.41,11.41,11.41,11.41,0
2025-02-21,11.41,11.41,11.41,11.41,0
2025-02-20,11.41,11.41,11.41,11.41,0
2025-02-19,11.41,11.41,11.41,11.41,0
2025-02-18,11.41,11.41,11.41,11.41,0
2025-02-14,11.41,11.41,11.41,11.41,0
2025-02-13,11.41,11.41,11.41,11.41,0
2025-02-12,11.41,11.41,11.41,11.41,0
2025-02-11,11.41,11.41,11.41,11.41,0
2025-02-10,11.41,11.41,11.41,11.41,0
2025-02-07,11.41,11.41,11.41,11.41,0
2025-02-06,11.41,11.41,11.41,11.41,0
2025-02-05,11.43,11.43,11.41,11.41,800
2025-02-04,11.51,11.51,11.51,11.51,0
2025-02-03,12.29,12.29,11.51,11.51,1200
2025-01-31,12.29,12.29,11.74,11.99,300
2025-01-30,12.04,12.5,11.6,12.28,4500
2025-01-29,11.98,12.44,11.51,12.34,3600
2025-01-28,12.44,12.44,11.64,12.38,8400
2025-01-27,11.8,11.8,11.45,11.51,1800
2025-01-24,11.45,12.35,11.35,12.2,37100
2025-01-23,11.31,11.31,11.31,11.31,0
2025-01-22,11.31,11.31,11.31,11.31,0
2025-01-21,11.31,11.31,11.31,11.31,0
2025-01-17,11.31,11.31,11.31,11.31,0
2025-01-16,11.31,11.31,11.31,11.31,0
2025-01-15,11.31,11.31,11.31,11.31,0
2025-01-14,11.31,11.31,11.31,11.31,0
2025-01-13,11.31,11.31,11.31,11.31,0
2025-01-10,11.31,11.31,11.31,11.31,0
2025-01-08,11.31,11.31,11.31,11.31,0
2025-01-07,11.31,11.31,11.31,11.31,0
2025-01-06,11.31,11.31,11.31,11.31,0
2025-01-03,11.31,11.31,11.31,11.31,0
2025-01-02,11.31,11.31,11.31,11.31,0
2024-12-31,11.31,11.31,11.31,11.31,0
2024-12-30,11.31,11.31,11.31,11.31,0
2024-12-27,11.31,11.31,11.31,11.31,0
2024-12-26,11.31,11.31,11.31,11.31,0
2024-12-24,11.31,11.31,11.31,11.31,0
2024-12-23,11.31,11.31,11.31,11.31,0
2024-12-20,11.31,11.31,11.31,11.31,0
2024-12-19,11.31,11.31,11.31,11.31,0
2024-12-18,11.31,11.31,11.31,11.31,0
2024-12-17,11.31,11.31,11.31,11.31,0
2024-12-16,11.31,11.31,11.31,11.31,0
2024-12-13,11.31,11.31,11.31,11.31,0
2024-12-12,11.31,11.31,11.31,11.31,0
2024-12-11,11.31,11.31,11.31,11.31,0
2024-12-10,11.31,11.31,11.31,11.31,0
2024-12-09,11.31,11.31,11.31,11.31,100
2024-12-06,11.31,11.31,11.31,11.31,0
2024-12-05,11.31,11.31,11.31,11.31,0
2024-12-04,11.76,12.6,11.3,11.31,2700
2024-12-03,12.39,12.39,12.39,12.39,0
2024-12-02,12.39,12.39,12.39,12.39,0
2024-11-29,12.39,12.39,12.39,12.39,900
2024-11-27,11.26,11.26,11.26,11.26,0
2024-11-26,11.26,11.26,11.26,11.26,0
2024-11-25,11.25,11.26,11.24,11.26,1000
2024-11-22,12.49,12.92,11.2,11.26,3200
2024-11-21,11.35,11.35,11.35,11.35,0
2024-11-20,11.5,11.5,11.32,11.35,1400
2024-11-19,11.32,11.32,11.27,11.27,400
2024-11-18,11.97,13.0,11.5,12.6,10300
2024-11-15,11.44,11.49,11.44,11.49,2000
2024-11-14,11.45,11.45,11.45,11.45,0
2024-11-13,11.24,11.45,11.24,11.45,1500
2024-11-12,11.21,11.21,11.21,11.21,0
2024-11-11,11.21,11.21,11.21,11.21,0
2024-11-08,11.21,11.21,11.21,11.21,0
2024-11-07,11.21,11.21,11.21,11.21,0
2024-11-06,11.21,11.21,11.21,11.21,0
2024-11-05,11.21,11.21,11.21,11.21,0
2024-11-04,11.21,11.21,11.21,11.21,0
2024-11-01,11.21,11.21,11.21,11.21,1000
2024-10-31,11.11,11.11,11.11,11.11,0
2024-10-30,11.11,11.11,11.11,11.11,0
2024-10-29,11.11,11.11,11.11,11.11,0
2024-10-28,11.11,11.11,11.11,11.11,0
2024-10-25,11.11,11.11,11.11,11.11,0
2024-10-24,11.11,11.11,11.11,11.11,0
2024-10-23,11.11,11.11,11.11,11.11,0
2024-10-22,11.11,11.11,11.11,11.11,0
2024-10-21,11.11,11.11,11.11,11.11,0
2024-10-18,11.11,11.11,11.11,11.11,0
2024-10-17,11.11,11.11,11.11,11.11,0
2024-10-16,11.11,11.11,11.11,11.11,0
2024-10-15,11.11,11.11,11.11,11.11,0
2024-10-14,11.11,11.11,11.11,11.11,0
2024-10-11,11.11,11.11,11.11,11.11,0
2024-10-10,11.11,11.11,11.11,11.11,0
2024-10-09,11.11,11.11,11.11,11.11,0
2024-10-08,11.11,11.11,11.11,11.11,0
2024-10-07,11.11,11.11,11.11,11.11,0
2024-10-04,11.11,11.11,11.11,11.11,0
2024-10-03,11.11,11.11,11.11,11.11,0
2024-10-02,11.11,11.11,11.11,11.11,0
2024-10-01,11.11,11.11,11.11,11.11,0
2024-09-30,11.11,11.11,11.11,11.11,0
2024-09-27,11.11,11.11,11.11,11.11,300
2024-09-26,11.0,11.0,11.0,11.0,0
2024-09-25,11.0,11.0,11.0,11.0,0
2024-09-24,11.0,11.0,11.0,11.0,0
2024-09-23,11.0,11.0,11.0,11.0,0
2024-09-20,11.0,11.0,11.0,11.0,0
2024-09-19,11.0,11.0,11.0,11.0,0
2024-09-18,11.0,11.0,11.0,11.0,0
2024-09-17,11.0,11.0,10.99,11.0,1400
2024-09-16,11.13,11.13,11.13,11.13,0
2024-09-13,11.13,11.13,11.13,11.13,0
2024-09-12,11.13,11.13,11.13,11.13,0
2024-09-11,11.13,11.13,11.13,11.13,0
2024-09-10,11.13,11.13,11.13,11.13,0
2024-09-09,11.13,11.13,11.13,11.13,0
2024-09-06,11.13,11.13,11.13,11.13,0
2024-09-05,11.13,11.13,11.13,11.13,0
2024-09-04,11.13,11.13,11.13,11.13,0
2024-09-03,11.13,11.13,11.13,11.13,0
2024-08-30,11.13,11.13,11.13,11.13,100
2024-08-29,11.14,11.14,11.14,11.14,0
2024-08-28,11.14,11.14,11.14,11.14,100
