datetime,open,high,low,close,volume
2025-04-01,116.97,120.41,116.74,118.56,633200
2025-03-31,115.73,119.51,113.52,118.01,861900
2025-03-28,117.7,118.16,115.12,116.95,310600
2025-03-27,118.07,119.39,116.56,117.5,415200
2025-03-26,119.05,119.75,116.83,118.07,392200
2025-03-25,116.83,120.1,116.83,119.12,791400
2025-03-24,116.9,117.85,116.45,117.18,282000
2025-03-21,115.04,115.94,110.84,115.16,1042000
2025-03-20,119.63,120.17,116.02,116.29,734700
2025-03-19,119.26,121.84,119.23,120.67,539400
2025-03-18,119.21,120.86,118.16,119.05,490600
2025-03-17,117.49,120.2,117.26,119.31,549400
2025-03-14,120.19,120.89,114.61,117.89,2991400
2025-03-13,116.88,119.51,115.92,118.4,824600
2025-03-12,120.82,121.12,118.72,119.56,303500
2025-03-11,120.44,121.47,118.14,120.14,257700
2025-03-10,120.59,122.23,119.02,120.27,574300
2025-03-07,121.48,123.26,118.7,121.96,397000
2025-03-06,121.3,125.25,121.09,122.03,416600
2025-03-05,118.67,123.86,118.27,122.73,655000
2025-03-04,119.15,120.41,115.89,118.23,514900
2025-03-03,123.83,124.46,119.25,120.21,374300
2025-02-28,123.39,124.18,121.54,123.2,411900
2025-02-27,125.55,126.53,123.71,123.8,314500
2025-02-26,127.67,129.53,125.35,126.27,494500
2025-02-25,126.91,128.41,125.62,127.74,472300
2025-02-24,130.2,130.25,126.51,126.98,526600
2025-02-21,135.73,136.06,128.45,129.87,499300
2025-02-20,142.0,144.75999,135.0,135.22,750700
2025-02-19,139.91,144.57001,138.89,143.21001,588400
2025-02-18,140.42,141.85001,139.39,141.14999,331800
2025-02-14,139.8,141.75999,138.08,141.0,201500
2025-02-13,138.69,139.14,137.57001,138.67,270200
2025-02-12,136.27,138.13,136.27,137.34,226100
2025-02-11,138.33,139.33,137.5,138.7,208600
2025-02-10,141.03,141.23,138.89,139.39999,282800
2025-02-07,140.8,142.24001,139.10001,140.35001,155600
2025-02-06,142.83,142.83,139.42,140.91,200800
2025-02-05,140.39999,143.73,138.92999,142.35001,258700
2025-02-04,137.73,140.61,137.14,139.39999,230800
2025-02-03,139.19,139.94,135.78,138.24001,322800
2025-01-31,143.56,144.66,141.89,142.22,219900
2025-01-30,144.63,146.36,143.25,143.50999,209300
2025-01-29,144.83,145.67,142.95,143.22,235500
2025-01-28,142.99001,145.39999,142.42,144.36,291400
2025-01-27,142.34,143.89,142.14,143.13,131200
2025-01-24,142.5,144.16,141.92,142.44,184800
2025-01-23,141.3,143.83,140.94,143.28,250200
2025-01-22,143.24001,143.73,140.75,141.44,387900
2025-01-21,142.3,144.22,141.63,143.16,274600
2025-01-17,142.00999,142.00999,140.12,141.0,146600
2025-01-16,140.22,140.77,138.88,140.56,191700
2025-01-15,141.44,141.44,138.7,139.88,174500
2025-01-14,135.13,138.94,135.13,138.83,249000
2025-01-13,132.02,135.64,129.55,135.14999,188400
2025-01-10,131.10001,136.14,130.71001,133.73,253600
2025-01-08,131.44,134.22,131.14999,133.12,153600
2025-01-07,133.39,134.2,131.06,132.16,143600
2025-01-06,133.91,135.94,133.17,133.25,122500
2025-01-03,132.03999,134.23,131.94,133.89,119100
2025-01-02,133.14999,134.10001,131.31,132.17,122300
2024-12-31,134.13,134.45,132.42,132.52,125100
2024-12-30,133.06,134.32001,131.75,133.58,103800
