datetime,open,high,low,close,volume
2025-04-01,241.14999,242.49001,239.38,241.13,5900
2025-03-31,244.53,244.53,241.08,241.08,5400
2025-03-28,242.62,242.62,242.62,242.62,3200
2025-03-27,242.11,247.85001,241.10001,243.13,10700
2025-03-26,241.89999,246.25999,239.45,241.42,11800
2025-03-25,237.57001,240.50999,236.86,239.69,5100
2025-03-24,241.58,242.73,238.57001,242.73,5000
2025-03-21,239.09,240.55,237.42999,237.42999,9700
2025-03-20,245.0,249.99001,241.06,242.53999,10300
2025-03-19,244.02,244.7,238.8,244.58,17700
2025-03-18,243.0,243.71001,240.63,241.64,13800
2025-03-17,241.62,245.71001,240.05,245.71001,6700
2025-03-14,237.0,244.36,236.98,241.33,7900
2025-03-13,236.5,236.82001,234.39999,236.82001,7100
2025-03-12,230.55,235.74001,229.03,235.74001,13400
2025-03-11,228.21001,231.67,226.91,231.38,13900
2025-03-10,228.0,228.39,227.71001,227.71001,4300
2025-03-07,231.82001,231.82001,231.82001,231.82001,4000
2025-03-06,231.39999,232.16,230.3,230.72,5300
2025-03-05,229.62,234.09,229.62,234.09,7000
2025-03-04,230.0,234.64,230.0,231.99001,6100
2025-03-03,237.08,240.00999,234.55,235.63,4600
2025-02-28,235.08,237.3,234.99001,237.3,3800
2025-02-27,234.87,234.87,234.36,234.36,3000
2025-02-26,236.52,236.60001,236.52,236.60001,3300
2025-02-25,230.5,237.05,230.5,233.39,10200
2025-02-24,224.89999,229.61,224.89999,228.14,11000
2025-02-21,233.58,233.7,223.97,224.28,7700
2025-02-20,233.74001,233.74001,228.89,231.78999,6800
2025-02-19,231.50999,232.89999,230.21001,232.89999,8900
2025-02-18,229.10001,231.78,227.99001,231.37,9800
2025-02-14,230.09,230.09,226.47,227.53,5700
2025-02-13,221.52,231.78,220.61,231.78,7200
2025-02-12,227.14999,227.89999,220.00999,222.36,21600
2025-02-11,223.37,228.63,221.13,228.58,5300
2025-02-10,224.57001,225.14999,222.0,224.52,12900
2025-02-07,229.0,229.0,222.71001,224.00999,14800
2025-02-06,227.07001,230.03,226.0,230.03,12300
2025-02-05,226.0,228.19,224.39999,228.19,4000
2025-02-04,224.66,225.53999,224.03999,225.53999,6300
2025-02-03,219.03999,224.16,218.72,221.71001,12800
2025-01-31,228.46001,229.89999,223.03,225.35001,4500
2025-01-30,231.57001,231.57001,227.0,229.7,11200
2025-01-29,225.48,229.2,225.24001,227.60001,10800
2025-01-28,225.82001,229.25999,224.73,229.25999,7500
2025-01-27,224.71001,231.00999,224.24001,228.28999,26400
2025-01-24,225.50999,227.5,223.88,227.5,8800
2025-01-23,224.48,224.48,224.48,224.48,5400
2025-01-22,230.61,231.00999,224.57001,225.28,15700
2025-01-21,230.88,233.46001,229.62,230.53999,15700
2025-01-17,230.47,232.0,225.96001,228.05,17500
2025-01-16,228.0,229.59,225.24001,227.99001,15400
2025-01-15,228.71001,229.36,226.11,228.00999,14300
2025-01-14,219.61,224.14,216.12,223.99001,32200
2025-01-13,212.23,217.53999,208.78,217.53999,17500
2025-01-10,228.35001,228.35001,212.83,214.82001,8700
2025-01-08,228.48,231.28999,226.5,229.39,36900
2025-01-07,227.46001,230.88,227.00999,228.99001,34700
2025-01-06,234.42,235.69,228.77,228.77,11500
2025-01-03,234.0,235.75999,232.07001,232.07001,5400
2025-01-02,238.0,242.0,230.53,233.48,7300
2024-12-31,239.0,239.0,235.59,236.75999,4500
2024-12-30,238.27,239.91,238.0,239.91,5000
2024-12-27,235.0,238.25,234.46001,238.0,4800
2024-12-26,242.0,243.95,241.21001,243.95,7200
2024-12-24,240.78,240.91,235.14999,240.91,2400
2024-12-23,236.09,237.5,235.82001,237.5,4100
2024-12-20,239.31,245.14999,239.31,243.24001,6500
2024-12-19,250.8,250.8,240.22,242.0,8700
2024-12-18,263.39999,263.39999,244.69,245.63,9700
2024-12-17,264.76999,264.76999,260.94,263.48001,7000
2024-12-16,272.0,272.0,265.54001,267.17999,7300
2024-12-13,266.34,271.22,266.31,269.97,11900
2024-12-12,269.54999,271.17999,265.51999,265.51999,10000
2024-12-11,263.60999,268.0,263.60999,266.53,7300
2024-12-10,263.78,264.76999,260.01001,263.10001,7000
2024-12-09,268.75,268.75,263.78,263.78,4000
2024-12-06,267.38,269.51001,266.29999,266.29999,5300
2024-12-05,270.85001,271.98001,270.20001,271.70999,12100
2024-12-04,271.04999,271.04999,267.44,270.48001,3700
2024-12-03,269.29001,271.88,267.0,271.88,21000
2024-12-02,276.64999,276.64999,268.07001,270.42001,13600
2024-11-29,288.5,288.5,285.20999,286.51001,8800
2024-11-27,287.64999,289.87,285.03,285.26001,10400
2024-11-26,287.10001,287.10001,284.14999,285.67001,5300
2024-11-25,284.75,290.39999,281.94,286.31,15500
2024-11-22,281.51001,288.19,280.01001,282.89999,16500
2024-11-21,277.26001,284.38,277.26001,281.60001,16200
2024-11-20,275.5,279.29999,273.0,277.64001,7200
2024-11-19,270.92999,278.25,270.92999,276.10001,8900
2024-11-18,274.5,279.29999,273.84,274.04999,16400
2024-11-15,275.92001,275.92001,271.01999,271.60001,10800
2024-11-14,271.29001,283.26999,271.29001,274.78,14000
2024-11-13,272.0,275.48001,272.0,272.89001,8700
2024-11-12,262.0,272.92001,262.0,270.70001,18400
2024-11-11,253.3,261.98001,253.3,259.38,17000
2024-11-08,248.33,251.47,248.33,251.47,5100
2024-11-07,256.53,256.53,246.58,246.58,19300
2024-11-06,244.0,259.0,241.0,257.28,37700
2024-11-05,225.73,237.69,225.73,237.69,16200
2024-11-04,232.59,232.59,227.07001,228.78999,15400
2024-11-01,230.74001,230.74001,230.74001,230.74001,4200
2024-10-31,237.09,237.85001,231.28,231.28,11500
2024-10-30,233.87,236.96001,233.87,236.25999,7600
2024-10-29,232.12,233.25,232.12,232.97,7900
2024-10-28,235.88,238.36,234.82001,235.66,16100
2024-10-25,234.22,236.60001,231.10001,232.3,32200
2024-10-24,233.11,235.2,230.85001,235.2,33600
2024-10-23,233.33,234.96001,228.03,232.39,22300
2024-10-22,234.0,239.95,232.5,235.49001,25600
2024-10-21,237.39999,238.96001,234.41,234.41,20600
2024-10-18,243.74001,243.74001,236.53999,236.53999,4400
2024-10-17,239.62,242.7,238.0,242.7,13200
2024-10-16,231.0,239.39999,231.0,239.39999,11600
2024-10-15,231.0,233.78999,230.00999,230.00999,6000
2024-10-14,228.21001,230.98,228.21001,230.98,5700
2024-10-11,226.0,228.33,223.12,228.33,4400
2024-10-10,221.19,221.19,219.3,220.8,4300
2024-10-09,225.0,225.89999,225.0,225.57001,3500
2024-10-08,222.0,224.28999,221.73,224.28999,5600
2024-10-07,224.03,224.10001,220.88,221.0,11600
2024-10-04,226.28,226.78999,222.87,225.0,11500
2024-10-03,227.0,227.0,225.0,225.0,5700
2024-10-02,227.7,228.5,227.69,228.39999,6000
2024-10-01,228.77,228.77,224.3,225.64999,4900
2024-09-30,229.07001,229.8,228.17999,229.8,3100
2024-09-27,230.69,231.0,226.32001,229.77,9600
2024-09-26,229.92,230.25,227.28999,228.0,11100
2024-09-25,231.12,231.12,228.7,228.7,5600
2024-09-24,226.84,231.52,226.78,230.62,7400
2024-09-23,229.36,229.36,225.8,227.10001,11200
2024-09-20,233.8,235.47,228.25999,228.28999,28200
2024-09-19,234.00999,236.00999,233.62,234.63,12200
2024-09-18,231.49001,235.0,231.13,234.0,10800
2024-09-17,227.39,231.92999,227.39,231.44,15300
2024-09-16,228.14,230.5,225.5,226.60001,18700
2024-09-13,231.0,231.0,228.7,229.63,4400
2024-09-12,221.74001,225.57001,220.69,225.57001,7700
2024-09-11,220.0,220.66,218.5,219.35001,5800
2024-09-10,224.0,225.3,222.60001,224.60001,36000
2024-09-09,221.33,225.3,221.05,224.78999,22200
2024-09-06,223.11,224.58,217.66,219.06,10500
2024-09-05,225.64,225.99001,222.16,223.55,10500
2024-09-04,223.17999,225.97,222.73,224.25,14600
2024-09-03,218.39999,224.99001,218.39999,222.11,30200
2024-08-30,226.78,226.78,222.98,225.28999,8000
2024-08-29,223.03999,226.67999,223.03999,225.41,13900
2024-08-28,223.71001,223.71001,221.61,223.53,8400
2024-08-27,221.61,224.36,221.23,224.05,25400
2024-08-26,223.12,223.97,220.52,223.8,21200
2024-08-23,218.84,225.95,218.39999,221.2,20600
2024-08-22,220.88,221.31,216.14,216.91,14100
2024-08-21,220.0,223.0,218.89999,220.92,24800
2024-08-20,217.25,218.16,216.41,217.17999,28400
2024-08-19,217.55,218.75,216.22,218.45,25000
2024-08-16,217.88,220.36,217.83,218.42,11300
2024-08-15,215.64999,220.87,215.5,217.64999,13600
2024-08-14,210.63,212.08,210.63,212.0,12300
2024-08-13,203.61,210.21001,203.61,210.21001,16900
2024-08-12,204.71001,204.8,202.44,202.55,8800
2024-08-09,205.39,206.55,204.13,204.48,20700
2024-08-08,203.0,207.3,202.11,206.02,26000
2024-08-07,206.34,206.34,201.0,201.28,50100
2024-08-06,197.06,207.89999,195.5,203.12,45200
2024-08-05,192.00999,195.00999,189.45,194.7,43400
2024-08-02,201.11,203.5,198.75,201.14999,24700
2024-08-01,211.41,212.56,202.85001,204.08,31900
2024-07-31,207.78,213.0,206.5,212.84,13500
2024-07-30,206.0,207.89999,203.8,207.89999,17400
2024-07-29,206.73,207.57001,201.10001,204.12,48300
2024-07-26,206.14999,210.84,205.49001,206.28999,48300
2024-07-25,194.89999,204.88,194.89999,204.12,32600
2024-07-24,198.10001,200.5,194.28,194.60001,43900
2024-07-23,193.08,201.63,193.06,200.2,19300
2024-07-22,194.32001,195.98,190.48,193.31,32800
2024-07-19,199.84,201.0,192.5,192.97,25800
2024-07-18,199.02,207.49001,198.0,199.75999,54000
2024-07-17,189.7,199.59,189.7,198.52,31600
2024-07-16,187.64,192.34,187.34,192.10001,50600
2024-07-15,185.08,187.44,185.0,186.05,49000
2024-07-12,181.82001,185.44,181.82001,182.86,6700
2024-07-11,179.47,181.35001,179.25,180.42999,13800
2024-07-10,181.97,182.0,179.14999,179.45,21200
2024-07-09,178.0,181.42,177.89999,181.12,15000
2024-07-08,181.0,181.00999,178.37,178.72,14500
2024-07-05,178.5,181.58,178.14999,180.58,15200
2024-07-03,176.52,180.0,176.52,178.83,13200
2024-07-02,175.0,177.14999,174.85001,176.52,29500
2024-07-01,176.56,178.14,174.48,176.14999,23300
2024-06-28,179.5,181.64,175.3,180.13,38000
2024-06-27,175.12,177.39999,174.0,177.24001,11300
2024-06-26,174.74001,177.14,173.28999,177.14,9400
2024-06-25,177.75,179.00999,174.33,174.74001,13700
2024-06-24,175.28999,179.47,175.28999,178.17999,9800
2024-06-21,175.69,177.34,173.31,173.31,13300
2024-06-20,174.52,178.59,174.52,176.96001,21000
2024-06-18,177.0,178.00999,174.13,175.19,28400
2024-06-17,171.75,177.22,169.45,176.28,28200
2024-06-14,171.0,171.3,170.0,170.39,8700
2024-06-13,170.39999,173.03,170.39999,172.63,7800
2024-06-12,174.56,175.78999,169.55,169.55,6000
2024-06-11,168.74001,174.63,168.74001,171.8,17000
2024-06-10,174.88,174.92999,169.57001,169.57001,6100
2024-06-07,169.5,174.88,169.45,174.88,10800
2024-06-06,173.0,174.56,170.0,170.23,6500
2024-06-05,174.5,178.05,171.99001,174.38,6200
2024-06-04,168.83,173.78999,167.8,173.47,12700
2024-06-03,184.2,187.05,167.22,167.22,11100
2024-05-31,184.77,192.84,183.0,184.10001,6900
2024-05-30,168.0,184.39999,168.0,184.39999,9800
2024-05-29,163.95,171.89,163.89999,171.89,5300
2024-05-28,162.53999,164.42,162.53999,163.95,6600
2024-05-24,152.0,154.19,146.41,154.19,6100
2024-05-23,156.22,158.0,147.53999,150.88,13300
2024-05-22,165.28999,165.28999,156.2,157.85001,7500
2024-05-21,164.57001,166.0,164.57001,165.95,2700
2024-05-20,165.0,165.17999,164.2,165.17999,3300
2024-05-17,163.88,163.89,163.3,163.3,1100
2024-05-16,163.0,163.0,161.0,162.58,3600
2024-05-15,160.10001,162.62,160.10001,162.62,3800
2024-05-14,160.39999,161.0,159.67,160.94,5800
2024-05-13,160.5,160.5,159.5,159.95,4300
2024-05-10,162.19,162.19,162.19,162.19,700
