datetime,open,high,low,close,volume
2025-04-01,18.41,18.45,18.3,18.35,99003
2025-03-31,18.57,18.6,18.3,18.34,419324
2025-03-28,18.77,18.77,18.62,18.62,88195
2025-03-27,18.63,18.76,18.5,18.7,134957
2025-03-26,18.85,18.8696,18.65,18.65,87917
2025-03-25,18.9,18.91,18.83,18.88,117414
2025-03-24,18.92,18.98,18.8588,18.86,172760
2025-03-21,18.86,18.93,18.85,18.86,60748
2025-03-20,18.89,18.94,18.78,18.9,148280
2025-03-19,18.86,18.905,18.8,18.88,101394
2025-03-18,18.93,18.95,18.77,18.82,121320
2025-03-17,18.89,19.02,18.89,18.96,144261
2025-03-14,18.72,18.91,18.625,18.85,120191
2025-03-13,18.54,18.72,18.488,18.68,163846
2025-03-12,18.59,18.63,18.46,18.51,146314
2025-03-11,18.63,18.64,18.44,18.51,143537
2025-03-10,18.7518,18.78,18.58,18.59,87809
2025-03-07,18.93,18.9999,18.71,18.72,81993
2025-03-06,18.98,19.02,18.91,18.93,65338
2025-03-05,19.09,19.15,19.0067,19.04,86732
2025-03-04,19.23,19.24,18.9861,19.06,105383
2025-03-03,19.3,19.34,19.16,19.24,140928
2025-02-28,19.23,19.34,19.1001,19.3,213354
2025-02-27,19.19,19.205,19.13,19.14,91222
2025-02-26,19.14,19.2,19.04,19.2,149750
2025-02-25,18.9,19.15,18.89,19.11,377680
2025-02-24,18.73,18.88,18.7,18.78,128972
2025-02-21,18.73,18.79,18.66,18.69,101340
2025-02-20,18.75,18.7699,18.59,18.66,87308
2025-02-19,18.79,18.88,18.59,18.7,126352
2025-02-18,18.88,18.94,18.73,18.8,102100
2025-02-14,18.92,18.95,18.82,18.9,220068
2025-02-13,18.79,18.83,18.7,18.79,184153
2025-02-12,18.6,18.6399,18.46,18.62,129743
2025-02-11,18.8,18.8594,18.7501,18.78,154935
2025-02-10,18.72,18.87,18.65,18.84,176646
2025-02-07,18.72,18.75,18.63,18.71,196940
2025-02-06,18.78,18.84,18.7,18.78,215283
2025-02-05,18.6,18.8094,18.54,18.77,113629
2025-02-04,18.43,18.55,18.4,18.47,334154
2025-02-03,18.39,18.5199,18.3,18.44,183782
2025-01-31,18.79,18.92,18.36,18.41,410297
2025-01-30,18.7,18.93,18.62,18.73,200476
2025-01-29,19.06,19.06,18.82,18.82,176629
2025-01-28,19.16,19.22,18.86,18.98,213614
2025-01-27,19.01,19.28,19.0,19.15,445303
2025-01-24,19.0,19.12,18.87,19.06,115635
2025-01-23,18.89,19.46,18.8,18.92,155090
2025-01-22,19.13,19.22,18.9525,19.03,178531
2025-01-21,18.87,19.14,18.815,19.09,311178
2025-01-17,18.72,18.79,18.57,18.73,200669
2025-01-16,18.72,18.8875,18.58,18.59,584629
2025-01-15,18.58,18.89,18.5,18.73,214911
2025-01-14,18.24,18.3501,18.18,18.23,174697
2025-01-13,18.33,18.33,18.14,18.17,231418
2025-01-10,18.5,18.58,18.28,18.32,222665
2025-01-08,18.55,18.73,18.5,18.69,260085
2025-01-07,19.06,19.15,18.49,18.6301,332769
2025-01-06,19.3,19.3,19.03,19.14,238666
2025-01-03,19.14,19.4326,19.13,19.29,298550
2025-01-02,19.02,19.22,18.94,19.06,239426
2024-12-31,18.41,18.89,18.41,18.89,963442
2024-12-30,18.11,18.5,18.11,18.43,582267
2024-12-27,18.09,18.29,18.09,18.15,367299
2024-12-26,18.4,18.4399,18.09,18.15,641946
2024-12-24,18.43,18.49,18.28,18.41,168017
2024-12-23,18.65,18.71,18.5,18.5,204894
2024-12-20,18.61,18.74,18.56,18.67,374710
2024-12-19,18.59,18.6699,18.43,18.58,332689
2024-12-18,18.85,19.02,18.67,18.72,301947
2024-12-17,18.66,18.9299,18.57,18.92,299652
2024-12-16,18.81,18.8599,18.61,18.74,255200
2024-12-13,18.96,19.01,18.71,18.78,302849
2024-12-12,19.01,19.06,18.9,18.98,238311
2024-12-11,19.16,19.27,19.06,19.06,202606
2024-12-10,19.0,19.1697,18.93,19.08,225960
2024-12-09,19.05,19.17,18.92,19.02,204141
2024-12-06,19.2,19.3125,19.07,19.09,175752
2024-12-05,19.18,19.26,19.1299,19.14,395011
2024-12-04,19.27,19.36,19.17,19.2,224654
2024-12-03,19.38,19.43,19.18,19.25,213893
2024-12-02,19.59,19.6499,19.35,19.37,271014
2024-11-29,19.64,19.74,19.4,19.51,201069
2024-11-27,19.52,19.61,19.45,19.48,165283
2024-11-26,19.62,19.62,19.34,19.47,128556
2024-11-25,19.63,19.6952,19.5583,19.63,163184
2024-11-22,19.42,19.48,19.35,19.44,95354
2024-11-21,19.29,19.47,19.26,19.36,140795
2024-11-20,19.2,19.2877,19.14,19.24,135726
2024-11-19,19.57,19.58,19.22,19.26,230341
2024-11-18,19.54,19.67,19.51,19.56,175936
2024-11-15,19.63,19.65,19.45,19.56,271473
2024-11-14,19.57,19.76,19.51,19.68,203131
2024-11-13,19.58,19.65,19.4,19.5,181610
2024-11-12,19.68,19.75,19.36,19.45,576584
