datetime,open,high,low,close,volume
2025-04-01,12.49,12.6,11.875,12.17,92400
2025-03-31,12.54,12.83,12.405,12.49,90100
2025-03-28,12.707,12.811,12.49,12.65,149600
2025-03-27,12.75,12.855,12.57,12.75,32200
2025-03-26,12.82,12.86,12.56,12.73,87000
2025-03-25,12.78,12.89,12.7,12.75,56100
2025-03-24,12.89,13.366,12.54,12.78,109700
2025-03-21,12.61,12.86,12.19,12.73,159400
2025-03-20,12.3,12.795,12.276,12.76,99100
2025-03-19,11.33,12.625,11.33,12.43,146900
2025-03-18,11.02,11.35,10.915,11.3,63600
2025-03-17,11.02,11.05,10.93,11.02,171900
2025-03-14,10.96,11.4,10.859,11.02,79600
2025-03-13,10.45,10.817,10.273,10.54,66500
2025-03-12,10.66,10.66,10.3,10.52,48700
2025-03-11,10.81,11.31,10.2,10.49,58600
2025-03-10,10.88,11.0,10.681,10.79,93700
2025-03-07,11.0,11.0,10.695,10.98,60200
2025-03-06,11.1,11.1,10.769,10.97,29300
2025-03-05,10.99,11.21,10.8,11.19,33000
2025-03-04,11.05,11.115,10.752,10.92,53800
2025-03-03,11.36,11.38,11.05,11.12,33800
2025-02-28,11.4,11.5,11.25,11.35,33100
2025-02-27,11.56,11.56,11.248,11.39,17200
2025-02-26,11.43,11.65,11.425,11.5,13800
2025-02-25,11.38,11.58,11.335,11.45,38900
2025-02-24,11.45,11.595,11.269,11.34,22300
2025-02-21,11.45,11.53,11.35,11.35,49300
2025-02-20,11.38,11.43,11.29,11.36,34000
2025-02-19,11.5,11.71,11.34,11.45,20500
2025-02-18,11.59,11.75,11.52,11.53,22700
2025-02-14,11.85,11.98,11.53,11.53,18400
2025-02-13,11.62,11.93,11.5,11.72,33300
2025-02-12,11.38,11.57,11.38,11.51,13100
2025-02-11,11.45,11.7,11.409,11.56,39000
2025-02-10,11.51,11.57,11.01,11.54,19300
2025-02-07,11.45,11.57,11.32,11.39,27800
2025-02-06,11.51,11.61,11.25,11.4,25100
2025-02-05,11.48,11.57,11.305,11.44,24300
2025-02-04,11.34,11.62,11.29,11.42,22500
2025-02-03,10.8,11.4,10.79,11.39,37400
2025-01-31,11.403,11.45,11.021,11.05,24000
2025-01-30,11.31,11.44,11.25,11.34,22100
2025-01-29,11.3,11.4,11.1,11.25,35600
2025-01-28,11.04,11.37,10.97,11.29,29900
2025-01-27,11.22,11.92,11.1,11.13,32300
2025-01-24,11.17,11.47,10.8,11.29,44400
2025-01-23,11.03,11.222,10.99,11.05,31400
2025-01-22,11.32,11.38,10.97,11.11,50000
2025-01-21,11.26,11.68,11.26,11.4,58500
2025-01-17,11.01,11.31,10.855,11.19,32400
2025-01-16,10.29,11.73,10.29,11.0,70800
2025-01-15,10.52,10.52,10.079,10.26,25700
2025-01-14,10.46,10.56,10.11,10.22,46700
2025-01-13,10.06,10.46,10.05,10.33,36800
2025-01-10,10.0,10.33,9.98,10.03,69700
2025-01-08,10.26,10.49,10.035,10.17,24700
2025-01-07,10.58,10.58,10.23,10.33,25400
2025-01-06,10.72,10.81,10.53,10.53,42600
2025-01-03,10.56,10.7,10.32,10.64,34300
2025-01-02,10.74,10.86,10.385,10.43,39900
2024-12-31,10.04,10.79,9.917,10.63,142300
2024-12-30,9.84,10.08,9.58,9.95,189900
2024-12-27,10.16,10.29,9.8,9.9,53100
2024-12-26,9.9,10.37,9.86,10.18,23700
2024-12-24,10.17,10.17,9.958,10.08,9200
2024-12-23,10.08,10.27,10.0,10.07,24700
2024-12-20,10.11,10.66,10.08,10.27,86000
2024-12-19,10.65,10.65,10.21,10.29,35600
2024-12-18,11.06,11.2,10.6,10.64,52800
2024-12-17,11.01,11.02,10.78,10.97,37500
2024-12-16,10.845,11.26,10.845,11.11,24900
2024-12-13,11.05,11.05,10.85,11.02,30300
2024-12-12,11.6,11.6,10.98,11.06,16000
2024-12-11,11.86,11.86,11.4,11.62,75500
2024-12-10,11.61,11.68,11.45,11.67,35500
2024-12-09,11.54,11.81,11.31,11.54,44500
2024-12-06,11.65,11.732,11.37,11.58,25400
2024-12-05,11.71,11.77,11.537,11.65,24500
2024-12-04,11.56,11.73,11.471,11.7,26200
2024-12-03,11.7,11.7,11.375,11.55,45000
2024-12-02,11.43,11.785,11.43,11.72,41900
2024-11-29,11.56,11.759,11.5,11.64,19600
2024-11-28,11.56,11.7585,11.5,11.64,19561
2024-11-27,11.9,11.9,11.5,11.5,26700
2024-11-26,11.91,11.92,11.645,11.73,33300
2024-11-25,11.86,12.33,11.86,11.95,37000
2024-11-24,11.86,12.33,11.86,11.95,36977
2024-11-22,11.68,11.87,11.655,11.75,26500
2024-11-21,11.68,11.87,11.655,11.75,26522
2024-11-20,11.0,11.375,10.9,11.35,58400
2024-11-19,10.65,11.0,10.65,10.95,38500
