datetime,open,high,low,close,volume
2025-04-01,100.54,102.27,99.45,101.61,410800
2025-03-31,99.34,101.8,97.87,101.01,552200
2025-03-28,101.61,102.39,99.3,100.61,482000
2025-03-27,102.95,104.16,102.03,102.89,383100
2025-03-26,104.71,105.07,102.85,103.43,545900
2025-03-25,104.98,106.04,104.09,104.4,631800
2025-03-24,102.49,105.25,102.49,104.28,773300
2025-03-21,98.21,101.44,98.21,101.33,1176100
2025-03-20,99.48,100.73,99.14,100.14,318100
2025-03-19,99.65,101.05,99.19,100.51,361400
2025-03-18,99.85,100.39,97.85,98.89,401400
2025-03-17,98.78,101.44,98.78,100.13,546300
2025-03-14,97.16,99.19,96.63,99.03,500000
2025-03-13,96.79,97.42,95.59,96.17,557500
2025-03-12,97.26,97.58,94.98,96.64,581200
2025-03-11,95.9,97.39,94.82,96.37,568200
2025-03-10,96.3,97.3,93.85,95.1,812100
2025-03-07,97.57,98.47,95.14,97.13,611000
2025-03-06,98.37,99.32,97.14,97.99,507300
2025-03-05,98.35,99.77,97.17,99.75,560600
2025-03-04,98.69,100.64,95.73,98.88,891500
2025-03-03,104.55,105.26,99.76,100.25,488700
2025-02-28,102.74,104.61,102.33,104.22,812600
2025-02-27,102.18,103.28,101.79,102.33,498600
2025-02-26,101.48,103.5,101.48,102.11,546700
2025-02-25,100.81,102.32,99.88,100.84,642000
2025-02-24,103.28,103.51,100.71,100.9,707300
2025-02-21,106.57,106.71,102.57,102.84,647100
2025-02-20,107.97,108.01,105.57,106.15,462200
2025-02-19,109.28,110.09,108.03,108.04,567500
2025-02-18,108.82,110.61,107.86,109.93,745200
2025-02-14,107.92,108.98,107.42,108.41,455100
2025-02-13,106.35,107.71,106.03,107.58,375300
2025-02-12,106.59,107.33,105.96,106.08,427100
2025-02-11,106.95,108.32,106.64,107.65,512000
2025-02-10,106.98,108.33,106.8,107.66,534200
2025-02-07,107.63,107.63,105.92,106.32,520900
2025-02-06,109.0,109.28,106.09,107.15,628100
2025-02-05,107.61,108.77,106.74,108.7,531000
2025-02-04,107.25,108.5,106.3,106.92,633400
2025-02-03,107.61,109.4,106.73,107.14,681900
2025-01-31,110.0,111.57,108.1,109.15,1190900
2025-01-30,106.1,115.93,106.1,112.12,1917000
2025-01-29,106.26,107.26,105.73,106.56,984000
2025-01-28,107.25,108.0,104.87,106.2,794700
2025-01-27,107.92,108.74,105.88,106.65,953100
2025-01-24,109.08,109.85,108.5,109.09,508200
2025-01-23,110.6,111.21,108.95,109.5,606400
2025-01-22,111.94,112.67,110.37,110.51,448900
2025-01-21,112.95,113.38,110.57,112.81,605600
2025-01-17,111.92,113.05,111.42,111.94,804400
2025-01-16,108.9,111.79,108.9,111.49,572200
2025-01-15,108.01,108.9,107.14,108.87,512200
2025-01-14,105.34,106.89,105.23,105.99,552900
2025-01-13,102.79,104.7,102.49,104.7,918000
2025-01-10,104.08,104.8,102.69,103.9,719600
2025-01-08,103.66,105.73,103.49,105.04,410300
2025-01-07,107.77,107.77,101.4,104.05,1037700
2025-01-06,106.85,109.43,106.32,106.99,496800
2025-01-03,105.27,106.24,103.92,106.19,777400
2025-01-02,107.03,108.23,104.29,104.97,707300
2024-12-31,105.59,106.73,105.2,105.8,532300
2024-12-30,105.35,106.27,104.14,105.74,356400
2024-12-27,106.21,106.98,104.56,105.98,383000
2024-12-26,105.86,106.92,105.17,106.49,436400
2024-12-24,106.23,106.56,105.24,106.41,201100
2024-12-23,104.19,106.45,103.81,105.71,738900
2024-12-20,105.78,108.17,103.74,104.14,2218200
2024-12-19,107.06,107.89,104.27,106.37,871300
2024-12-18,111.37,111.63,105.39,105.63,954400
2024-12-17,112.01,112.5,107.66,110.78,1274000
2024-12-16,116.6,117.15,113.37,113.73,557700
2024-12-13,117.32,117.92,116.26,117.45,456900
2024-12-12,117.64,119.15,117.18,117.91,392500
2024-12-11,119.04,119.53,117.78,117.88,353700
2024-12-10,118.28,119.76,116.34,118.05,430000
2024-12-09,119.89,120.19,116.69,117.82,482800
2024-12-06,120.73,120.73,118.28,119.01,384200
2024-12-05,121.77,122.34,120.03,120.12,368100
2024-12-04,123.39,123.88,120.09,121.02,533300
2024-12-03,125.51,125.87,123.0,123.38,558400
2024-12-02,126.97,126.97,123.53,124.89,570200
2024-11-29,126.86,127.57,125.83,126.51,273200
2024-11-27,129.49001,129.96001,125.94,126.36,422500
2024-11-26,130.39999,131.3,128.75,129.78999,335800
2024-11-25,128.87,131.17999,128.87,130.48,566600
2024-11-22,129.0,129.58,125.52,128.3,596400
2024-11-21,129.82001,131.13,128.48,128.81,457600
2024-11-20,128.71001,132.21001,127.1,129.3,411000
2024-11-19,126.4,128.67999,126.39,128.3,312600
2024-11-18,128.59,129.42999,127.24,127.62,284900
2024-11-15,129.62,130.07001,127.3,128.03999,325600
2024-11-14,129.7,131.57001,128.67,129.95,333100
2024-11-13,130.0,130.52,128.47,128.48,381900
2024-11-12,130.0,130.52,127.19,130.17999,499700
2024-11-11,129.59,132.03999,128.96001,130.55,512700
2024-11-08,125.82,128.24001,125.62,127.29,295900
2024-11-07,127.3,127.3,125.02,125.78,364700
2024-11-06,122.56,128.05,121.0,126.98,768100
2024-11-05,115.0,117.42,114.58,117.04,310900
2024-11-04,113.68,115.55,113.34,115.33,471000
2024-11-01,114.71,115.15,113.08,114.28,630700
2024-10-31,114.43,116.16,114.06,114.76,587400
2024-10-30,122.94,123.86,114.71,115.59,1344400
2024-10-29,124.55,124.55,122.74,123.05,904800
2024-10-28,125.24,126.75,124.6,124.78,567900
2024-10-25,124.37,126.72,123.95,125.5,493900
2024-10-24,122.42,124.13,122.29,123.74,416400
2024-10-23,120.9,122.12,120.67,121.83,259800
2024-10-22,121.71,123.11,121.1,121.78,242200
2024-10-21,122.21,122.72,121.11,122.01,219500
2024-10-18,124.57,124.57,121.95,122.24,291600
2024-10-17,124.46,124.69,123.56,124.08,221400
2024-10-16,122.5,124.45,121.32,123.88,517400
2024-10-15,122.93,123.48,121.25,121.3,536500
2024-10-14,124.9,124.9,122.83,123.75,223000
2024-10-11,121.57,125.06,121.26,125.02,378400
2024-10-10,121.19,121.88,119.54,121.21,279300
2024-10-09,119.69,121.81,118.92,121.54,197500
2024-10-08,123.0,123.0,120.05,120.37,350800
2024-10-07,122.69,124.52,122.05,122.83,316100
2024-10-04,122.15,123.44,121.52,123.23,291200
2024-10-03,122.63,123.02,120.58,121.01,401000
2024-10-02,122.67,123.14,121.85,122.67,226400
2024-10-01,121.99,122.81,120.01,122.41,389100
2024-09-30,125.29,125.29,120.97,122.43,614500
2024-09-27,123.71,125.58,122.63,125.33,419600
2024-09-26,124.1,124.81,122.18,122.83,398300
2024-09-25,124.61,125.15,123.0,123.4,315300
2024-09-24,125.33,126.28,124.56,124.81,338900
2024-09-23,124.0,125.07,124.0,124.58,543600
2024-09-20,125.57,126.34,123.92,124.5,1359300
2024-09-19,126.07,127.34,125.17,127.02,504300
2024-09-18,122.48,126.12,122.34,123.06,640100
2024-09-17,121.27,123.19,121.25,122.88,363300
2024-09-16,119.62,120.88,118.74,120.32,330400
2024-09-13,118.05,119.41,117.06,119.03,317900
2024-09-12,115.07,117.15,114.83,116.38,260000
2024-09-11,113.43,114.89,110.95,114.63,508900
2024-09-10,114.86,115.47,113.25,114.28,413100
2024-09-09,114.91,115.89,113.3,114.55,352500
2024-09-06,117.62,118.4,114.42,114.52,444400
2024-09-05,115.93,118.77,114.83,117.48,626800
2024-09-04,114.95,116.8,114.69,115.2,453200
2024-09-03,118.82,119.06,114.43,115.45,576000
2024-08-30,118.87,120.28,117.77,119.92,336200
2024-08-29,118.96,119.9,118.13,118.74,322300
2024-08-28,117.82,118.31,117.09,117.81,251700
2024-08-27,117.22,118.4,116.43,118.12,315000
