datetime,open,high,low,close,volume
2025-04-01,7.2,7.72,7.1,7.61,357200
2025-03-31,6.69,6.98,6.69,6.98,135400
2025-03-28,6.8,6.8,6.53,6.66,85600
2025-03-27,6.74,6.78,6.63,6.78,45900
2025-03-26,6.44,6.84,6.44,6.74,129400
2025-03-25,6.25,6.45,6.25,6.37,61300
2025-03-24,6.21,6.42,6.12,6.24,158000
2025-03-21,6.17,6.27,6.1,6.11,113400
2025-03-20,6.01,6.41,6.01,6.32,232100
2025-03-19,5.58,5.67,5.48,5.63,96000
2025-03-18,5.56,5.58,5.45,5.56,35500
2025-03-17,5.45,5.55,5.45,5.53,14500
2025-03-14,5.41,5.57,5.39,5.43,47600
2025-03-13,5.35,5.5,5.35,5.4,24800
2025-03-12,5.51,5.58,5.4,5.46,27900
2025-03-11,5.72,5.72,5.41,5.45,25800
2025-03-10,5.71,5.79,5.61,5.65,56800
2025-03-07,5.61,5.78,5.56,5.71,84300
2025-03-06,5.45,5.65,5.45,5.55,29400
2025-03-05,5.57,5.64,5.44,5.54,70000
2025-03-04,5.5,5.67,5.39,5.57,52600
2025-03-03,5.49,5.8,5.49,5.55,73000
2025-02-28,5.46,5.64,5.3,5.59,72600
2025-02-27,5.33,5.46,5.3,5.42,44300
2025-02-26,5.29,5.52,5.29,5.33,57700
2025-02-25,5.33,5.57,5.29,5.36,59900
2025-02-24,5.4,5.43,5.29,5.39,43400
2025-02-21,5.55,5.56,5.37,5.39,99300
2025-02-20,5.41,5.6,5.41,5.55,39800
2025-02-19,5.45,5.53,5.31,5.4,49800
2025-02-18,5.55,5.7,5.45,5.45,46900
2025-02-14,5.82,5.82,5.51,5.55,30200
2025-02-13,5.68,5.81,5.59,5.75,38500
2025-02-12,5.68,5.77,5.61,5.66,36100
2025-02-11,5.72,5.8,5.67,5.73,27200
2025-02-10,5.53,5.8,5.53,5.72,42400
2025-02-07,5.5,5.54,5.45,5.51,51000
2025-02-06,5.58,5.59,5.45,5.5,68300
2025-02-05,5.6,5.61,5.48,5.56,58800
2025-02-04,5.53,5.65,5.45,5.6,57600
2025-02-03,5.45,5.54,5.42,5.49,25000
2025-01-31,5.59,5.69,5.49,5.5,37800
2025-01-30,5.6,5.79,5.59,5.6,43400
2025-01-29,5.52,5.58,5.49,5.52,20100
2025-01-28,5.52,5.61,5.52,5.52,29800
2025-01-27,5.3,5.69,5.29,5.53,169100
2025-01-24,5.76,5.85,5.67,5.76,63100
2025-01-23,5.82,5.92,5.69,5.81,60700
2025-01-22,5.98,6.02,5.82,5.82,74200
2025-01-21,5.98,6.14,5.95,5.99,104800
2025-01-17,5.9,6.03,5.9,5.91,28600
2025-01-16,6.01,6.04,5.87,5.91,70400
2025-01-15,6.05,6.13,5.96,6.01,71900
2025-01-14,5.95,6.0,5.88,5.97,40900
2025-01-13,6.03,6.13,5.9,5.94,99700
2025-01-10,6.34,6.34,5.87,6.09,126900
2025-01-08,6.17,6.34,6.12,6.28,70700
2025-01-07,6.14,6.27,6.02,6.21,44800
2025-01-06,6.25,6.4,6.13,6.14,83200
2025-01-03,5.95,6.3,5.94,6.21,180100
2025-01-02,5.47,5.92,5.47,5.89,195500
2024-12-31,5.41,5.48,5.35,5.45,104500
2024-12-30,5.28,5.44,5.28,5.41,154700
2024-12-27,5.41,5.45,5.33,5.37,78800
2024-12-26,5.42,5.5,5.35,5.41,89600
2024-12-24,5.5,5.5,5.42,5.43,43200
2024-12-23,5.35,5.49,5.28,5.48,165700
2024-12-20,5.3,5.47,5.29,5.39,94100
2024-12-19,5.46,5.46,5.28,5.34,238400
2024-12-18,5.58,5.6,5.42,5.45,102100
2024-12-17,5.58,5.62,5.5,5.53,117100
2024-12-16,5.64,5.67,5.53,5.61,91500
2024-12-13,5.78,5.78,5.57,5.71,121500
2024-12-12,5.82,5.9,5.72,5.78,65700
2024-12-11,5.7,5.98,5.6,5.9,142400
2024-12-10,5.75,5.75,5.6,5.71,83000
2024-12-09,5.63,5.82,5.63,5.7,256600
2024-12-06,5.73,5.79,5.63,5.7,69500
2024-12-05,5.36,6.16,5.36,5.74,146000
2024-12-04,5.89,6.02,5.81,5.86,124900
2024-12-03,5.7,5.92,5.6,5.89,237300
2024-12-02,5.8,5.84,5.72,5.76,85200
2024-11-29,5.95,5.98,5.76,5.83,74000
2024-11-27,5.95,6.04,5.92,5.96,59100
2024-11-26,6.02,6.09,5.91,5.95,71500
2024-11-25,6.1,6.1,6.01,6.02,71500
