datetime,open,high,low,close,volume
2025-04-01,4.31,4.85,4.3,4.63,11900
2025-03-31,4.83,5.17,4.4,4.51,17700
2025-03-28,5.13,5.224,4.97,4.97,2700
2025-03-27,5.35,5.455,5.11,5.306,3800
2025-03-26,5.53,5.64,5.35,5.54,4300
2025-03-25,5.707,5.97,5.36,5.78,2300
2025-03-24,5.2,5.99,5.2,5.765,8500
2025-03-21,5.3,5.35,5.165,5.3,3800
2025-03-20,6.01,6.5,4.93,5.27,33100
2025-03-19,5.45,6.08,5.2,5.95,16700
2025-03-18,5.28,5.53,5.01,5.2,11700
2025-03-17,5.14,6.37,5.05,5.29,34500
2025-03-14,5.2,6.07,4.9,5.224,39600
2025-03-13,5.8,6.0,5.12,5.25,8200
2025-03-12,6.0,6.5,5.693,5.693,31000
2025-03-11,5.86,6.52,5.59,6.04,26700
2025-03-10,5.75,6.49,5.076,6.04,61600
2025-03-07,5.5,6.21,5.266,6.02,29400
2025-03-06,6.0,6.0,5.88,5.9,2800
2025-03-05,6.08,6.08,5.95,6.07,2600
2025-03-04,6.182,6.182,6.01,6.03,3700
2025-03-03,6.52,6.52,6.2,6.2,4300
2025-02-28,6.35,6.6,6.35,6.6,2900
2025-02-27,6.81,6.9,6.41,6.465,11500
2025-02-26,6.865,7.03,6.8,6.98,3600
2025-02-25,7.45,7.45,6.7,6.85,10800
2025-02-24,8.02,8.02,7.27,7.3,13500
2025-02-21,8.49,8.8,8.244,8.4,18600
2025-02-20,8.3,8.529,8.3,8.5,3300
2025-02-19,8.21,8.78,8.1,8.595,8100
2025-02-18,8.0,8.95,8.0,8.194,18700
2025-02-14,7.55,7.81,7.21,7.48,7400
2025-02-13,7.0,7.17,6.71,7.16,12800
2025-02-12,7.03,7.03,6.37,6.44,3600
2025-02-11,6.67,6.84,5.8,6.29,29500
2025-02-10,7.39,7.39,6.79,6.82,11100
2025-02-07,7.2,7.446,7.2,7.315,1700
2025-02-06,7.49,8.0,7.05,7.195,14700
2025-02-05,7.5,7.51,7.25,7.51,13700
2025-02-04,8.25,8.25,7.1,7.51,31500
2025-02-03,8.5,8.61,8.22,8.29,31000
2025-01-31,8.71,9.39,8.472,8.82,46300
2025-01-30,7.5,8.67,7.5,8.4,49700
2025-01-29,7.49,7.49,7.08,7.26,12500
2025-01-28,7.5,7.5,7.0,7.29,16200
2025-01-27,7.65,8.0,7.4,7.44,21900
2025-01-24,7.75,8.02,7.65,8.02,11300
2025-01-23,8.38,8.5,7.76,7.85,34600
2025-01-22,8.64,8.96,8.26,8.5,20300
2025-01-21,8.7,9.0,8.5,8.5,25100
2025-01-17,8.44,8.75,8.4,8.5,17800
2025-01-16,8.87,9.18,8.44,8.44,27300
2025-01-15,9.2,9.45,8.58,8.75,15300
2025-01-14,9.5,9.6,9.18,9.18,10600
2025-01-13,9.14,9.76,9.14,9.494,19400
2025-01-10,8.69,10.54,8.69,9.57,67300
2025-01-08,7.56,9.13,7.56,9.05,72700
2025-01-07,7.35,7.68,7.35,7.68,19400
2025-01-06,7.04,7.45,7.04,7.43,13200
2025-01-03,6.775,7.2,6.775,7.0,14200
2025-01-02,6.99,7.31,6.975,7.04,49300
2024-12-31,6.911,7.1,6.768,6.87,11000
2024-12-30,7.01,7.312,6.55,6.97,14000
2024-12-27,6.72,7.26,6.72,6.95,19600
2024-12-26,7.1,7.19,6.78,6.92,4700
2024-12-24,6.76,6.785,6.53,6.73,5000
2024-12-23,6.5,7.18,6.35,6.91,21100
2024-12-20,6.55,6.985,6.49,6.53,15000
2024-12-19,7.68,7.69,6.795,7.06,15900
2024-12-18,7.05,7.677,7.05,7.37,30100
2024-12-17,6.71,7.11,6.71,7.05,13900
2024-12-16,6.26,6.717,6.195,6.71,66400
2024-12-13,6.005,6.33,5.85,6.33,11200
2024-12-12,6.23,6.33,5.95,5.98,74800
2024-12-11,6.295,6.62,5.945,6.25,25700
2024-12-10,6.634,6.65,6.45,6.45,10200
2024-12-09,6.7,6.9,6.62,6.62,16700
2024-12-06,6.832,6.9,6.7,6.75,5400
