datetime,open,high,low,close,volume
2025-04-01,0.47,0.47,0.4,0.41,2537500
2025-03-31,0.49,0.49,0.45,0.45,1844400
2025-03-28,0.5,0.5,0.48,0.49,1339100
2025-03-27,0.5,0.51,0.47,0.5,1524900
2025-03-26,0.52,0.52,0.5,0.5,1319800
2025-03-25,0.53,0.54,0.52,0.52,746300
2025-03-24,0.52,0.55,0.5,0.54,1629600
2025-03-21,0.5,0.54,0.49,0.51,6412200
2025-03-20,0.49,0.53,0.49,0.5,1995800
2025-03-19,0.48,0.53,0.48,0.49,1231000
2025-03-18,0.5,0.51,0.48,0.48,2410600
2025-03-17,0.53,0.53,0.5,0.5,2857000
2025-03-14,0.52,0.55,0.52,0.52,875400
2025-03-13,0.54,0.56,0.52,0.52,2221400
2025-03-12,0.53,0.55,0.52,0.52,1680600
2025-03-11,0.54,0.55,0.5,0.53,1716200
2025-03-10,0.55,0.58,0.51,0.53,1880800
2025-03-07,0.55,0.56,0.52,0.53,855200
2025-03-06,0.52,0.57,0.51,0.53,1953500
2025-03-05,0.53,0.55,0.52,0.52,1545000
2025-03-04,0.51,0.56,0.5,0.53,1166800
2025-03-03,0.58,0.59,0.51,0.51,1327400
2025-02-28,0.57,0.6,0.55,0.56,1179400
2025-02-27,0.64,0.65,0.57,0.57,1664500
2025-02-26,0.65,0.67,0.61,0.63,785400
2025-02-25,0.67,0.67,0.63,0.64,884000
2025-02-24,0.69,0.69,0.66,0.66,642400
2025-02-21,0.72,0.73,0.68,0.68,758000
2025-02-20,0.72,0.72,0.69,0.69,353600
2025-02-19,0.74,0.75,0.71,0.72,683100
2025-02-18,0.7,0.75,0.7,0.72,1411600
2025-02-14,0.69,0.7,0.66,0.69,800800
2025-02-13,0.65,0.7,0.65,0.69,1007200
2025-02-12,0.65,0.67,0.63,0.64,596900
2025-02-11,0.67,0.67,0.63,0.65,836600
2025-02-10,0.68,0.69,0.65,0.66,940100
2025-02-07,0.7,0.71,0.67,0.67,744600
2025-02-06,0.71,0.73,0.69,0.7,1214800
2025-02-05,0.69,0.71,0.66,0.71,1135300
2025-02-04,0.69,0.72,0.64,0.66,1709400
2025-02-03,0.6,0.72,0.6,0.69,4195600
2025-01-31,0.63,0.68,0.58,0.6,1784200
2025-01-30,0.62,0.64,0.61,0.63,614300
2025-01-29,0.68,0.68,0.6,0.6,2431000
2025-01-28,0.63,0.63,0.6,0.63,736800
2025-01-27,0.64,0.65,0.6,0.62,773800
2025-01-24,0.66,0.66,0.61,0.64,1074200
2025-01-23,0.68,0.69,0.62,0.63,1229800
2025-01-22,0.6,0.69,0.6,0.68,3022200
2025-01-21,0.59,0.6,0.58,0.59,7334300
2025-01-17,0.58,0.59,0.55,0.59,715200
2025-01-16,0.58,0.58,0.56,0.57,344000
2025-01-15,0.56,0.59,0.55,0.58,841900
2025-01-14,0.59,0.59,0.54,0.55,1297500
2025-01-13,0.58,0.6,0.55,0.6,1755100
2025-01-10,0.55,0.58,0.51,0.58,1669300
2025-01-08,0.57,0.57,0.53,0.53,1089300
2025-01-07,0.56,0.58,0.56,0.58,1343500
2025-01-06,0.6,0.61,0.54,0.55,2394600
2025-01-03,0.54,0.59,0.5,0.59,5583800
2025-01-02,0.51,0.53,0.5,0.52,12159500
2024-12-31,0.5,0.51,0.49,0.5,2379700
2024-12-30,0.5,0.51,0.48,0.5,1782900
2024-12-27,0.51,0.54,0.5,0.5,2167600
2024-12-26,0.54,0.54,0.5,0.51,3010600
2024-12-24,0.55,0.55,0.53,0.54,890700
2024-12-23,0.56,0.57,0.53,0.55,948800
2024-12-20,0.52,0.56,0.51,0.56,2156700
2024-12-19,0.5,0.53,0.5,0.5,2901700
2024-12-18,0.52,0.57,0.5,0.5,1826800
2024-12-17,0.5,0.52,0.48,0.5,1431800
2024-12-16,0.51,0.52,0.49,0.5,1707400
2024-12-13,0.53,0.55,0.5,0.51,2876800
2024-12-12,0.61,0.62,0.52,0.52,6980800
2024-12-11,0.61,0.62,0.58,0.61,1483700
2024-12-10,0.61,0.62,0.59,0.61,1769300
2024-12-09,0.59,0.61,0.57,0.6,1310100
2024-12-06,0.58,0.61,0.57,0.59,1110700
2024-12-05,0.52,0.59,0.52,0.57,1326300
2024-12-04,0.55,0.56,0.52,0.52,2824500
2024-12-03,0.59,0.6,0.54,0.55,5022000
2024-12-02,0.59,0.61,0.57,0.59,4246800
2024-11-29,0.58,0.59,0.56,0.57,1337300
2024-11-27,0.62,0.62,0.56,0.57,3968600
2024-11-26,0.59,0.61,0.53,0.61,10420600
2024-11-25,0.52,0.59,0.52,0.57,6731700
2024-11-22,0.62,0.62,0.5,0.5,15606500
2024-11-21,0.67,0.67,0.56,0.6,3726800
2024-11-20,0.74,0.74,0.61,0.64,9926000
2024-11-19,0.88,0.91,0.88,0.9,305800
2024-11-18,0.92,0.93,0.87,0.88,406900
2024-11-15,0.94,0.94,0.8,0.86,877500
2024-11-14,0.93,0.95,0.89,0.89,389700
2024-11-13,0.95,0.96,0.88,0.91,432100
2024-11-12,0.95,0.97,0.93,0.95,576000
2024-11-11,0.94,0.95,0.92,0.94,422500
2024-11-08,0.89,0.94,0.88,0.92,578100
2024-11-07,0.9,0.95,0.89,0.91,417600
2024-11-06,0.88,0.93,0.85,0.93,996900
2024-11-05,0.83,0.85,0.83,0.84,262600
2024-11-04,0.84,0.84,0.81,0.84,280500
2024-11-01,0.84,0.87,0.81,0.82,427400
2024-10-31,0.86,0.86,0.83,0.83,559800
2024-10-30,0.88,0.89,0.85,0.85,296400
2024-10-29,0.89,0.89,0.86,0.88,338800
2024-10-28,0.87,0.9,0.86,0.88,406500
2024-10-25,0.85,0.87,0.84,0.84,180500
2024-10-24,0.88,0.88,0.84,0.86,392000
2024-10-23,0.88,0.89,0.86,0.87,416600
2024-10-22,0.87,0.89,0.87,0.89,205800
2024-10-21,0.9,0.94,0.86,0.87,473800
2024-10-18,0.84,0.93,0.83,0.91,1171900
2024-10-17,0.86,0.87,0.84,0.84,628500
2024-10-16,0.84,0.88,0.84,0.87,295700
2024-10-15,0.86,0.87,0.83,0.83,388100
2024-10-14,0.85,0.89,0.85,0.86,473900
2024-10-11,0.85,0.87,0.85,0.86,500200
2024-10-10,0.87,0.88,0.78,0.85,782700
2024-10-09,0.87,0.89,0.85,0.88,316300
2024-10-08,0.9,0.9,0.85,0.87,498500
2024-10-07,0.9,0.92,0.88,0.88,381000
2024-10-04,0.92,0.93,0.9,0.91,206500
2024-10-03,0.91,0.93,0.9,0.9,241900
2024-10-02,0.93,0.95,0.9,0.92,350900
2024-10-01,0.91,0.92,0.87,0.9,592800
2024-09-30,0.92,0.94,0.88,0.91,764100
2024-09-27,0.89,0.92,0.87,0.92,395600
2024-09-26,0.9,0.91,0.86,0.86,365800
2024-09-25,0.9,0.91,0.88,0.89,219100
2024-09-24,0.93,0.94,0.89,0.89,340900
2024-09-23,0.95,0.97,0.93,0.94,477100
2024-09-20,0.93,0.95,0.9,0.94,1126100
2024-09-19,0.9,0.91,0.89,0.91,275400
2024-09-18,0.92,0.93,0.87,0.88,401100
2024-09-17,0.94,0.94,0.91,0.91,266400
2024-09-16,0.94,0.94,0.91,0.93,287700
2024-09-13,0.88,0.92,0.87,0.91,280800
2024-09-12,0.89,0.9,0.86,0.89,208000
2024-09-11,0.92,0.92,0.86,0.87,212700
2024-09-10,0.87,0.92,0.86,0.91,218700
2024-09-09,0.88,0.9,0.84,0.9,374200
2024-09-06,0.88,0.89,0.83,0.84,376600
2024-09-05,0.88,0.9,0.86,0.87,178300
2024-09-04,0.87,0.9,0.86,0.9,235200
2024-09-03,0.92,0.94,0.87,0.88,353600
2024-08-30,0.89,0.92,0.84,0.88,442000
2024-08-29,0.87,0.92,0.87,0.88,252400
2024-08-28,0.9,0.93,0.86,0.86,328600
2024-08-27,0.92,0.95,0.9,0.91,193400
2024-08-26,0.95,0.96,0.9,0.91,398500
2024-08-23,0.9,0.95,0.9,0.95,448700
2024-08-22,0.92,0.92,0.87,0.89,250500
2024-08-21,0.87,0.91,0.86,0.91,423000
