datetime,open,high,low,close,volume
2025-04-01,88.65,88.78,88.626,88.683,3500
2025-03-31,88.556,88.63,88.302,88.443,8600
2025-03-28,88.32,88.327,88.32,88.327,400
2025-03-27,87.819,87.91,87.755,87.755,1200
2025-03-26,87.788,87.97,87.777,87.777,13500
2025-03-25,87.808,88.0,87.808,87.92,2900
2025-03-24,87.785,87.785,87.75,87.75,200
2025-03-21,88.3,88.3,88.154,88.154,400
2025-03-20,88.42,88.42,88.163,88.163,200
2025-03-19,87.86,88.14,87.86,88.086,800
2025-03-18,87.81,87.912,87.81,87.912,500
2025-03-17,87.94,88.01,87.811,87.811,400
2025-03-14,87.91,87.93,87.755,87.755,3000
2025-03-13,87.779,88.19,87.66,88.02,2500
2025-03-12,87.82,87.929,87.717,87.717,3800
2025-03-11,88.23,88.25,87.905,87.905,1300
2025-03-10,88.129,88.29,88.11,88.196,1700
2025-03-07,88.1088,88.73,87.6784,87.6784,419
2025-03-06,87.88,87.8899,87.5942,87.7986,1484
2025-03-05,88.04,88.07,87.975,87.975,705
2025-03-04,89.1137,89.1137,89.1137,89.1137,0
2025-03-03,88.84,89.1137,88.84,89.1137,433
2025-02-28,88.9971,89.59,88.9971,89.59,336
2025-02-27,88.6025,88.6025,88.6025,88.6025,0
2025-02-26,88.59,88.6025,88.42,88.6025,1541
2025-02-25,88.49,88.49,88.454,88.454,182
2025-02-24,87.87,88.02,87.87,88.02,638
2025-02-21,87.61,87.96,87.61,87.8722,899
2025-02-20,87.495,87.5486,87.4415,87.4415,1083
2025-02-19,87.34,87.361,87.34,87.361,691
2025-02-18,87.33,87.33,87.1923,87.1923,633
2025-02-14,86.793,86.793,86.793,86.793,0
2025-02-13,86.793,86.793,86.793,86.793,0
2025-02-12,86.91,88.65,86.7766,86.793,4777
2025-02-11,91.1471,91.1471,91.1471,91.1471,0
2025-02-10,91.1471,91.1471,91.1471,91.1471,0
2025-02-07,91.1471,91.1471,91.1471,91.1471,0
2025-02-06,91.1471,91.1471,91.1471,91.1471,0
2025-02-05,91.1471,91.1471,91.1471,91.1471,23
2025-02-04,91.1471,91.1471,91.1471,91.1471,1
2025-02-03,91.1471,91.1471,91.1471,91.1471,0
2025-01-31,8.3,8.3,8.2861,8.2861,15530
2025-01-30,8.29,8.29,8.29,8.29,0
2025-01-29,8.29,8.29,8.29,8.29,0
2025-01-28,8.28,8.29,8.28,8.29,231
2025-01-27,8.245,8.245,8.245,8.245,0
2025-01-24,8.245,8.245,8.245,8.245,0
2025-01-23,8.24,8.245,8.24,8.245,140
2025-01-22,8.2551,8.2551,8.2551,8.2551,0
2025-01-21,8.2551,8.2551,8.2551,8.2551,0
2025-01-17,8.2551,8.2551,8.2551,8.2551,0
2025-01-16,8.26,8.26,8.2551,8.2551,707
2025-01-15,8.1852,8.1852,8.1852,8.1852,0
2025-01-14,8.2,8.2,8.1852,8.1852,366004
2025-01-13,8.1781,8.1781,8.1781,8.1781,0
2025-01-10,8.1851,8.1851,8.1851,8.1851,0
2025-01-08,8.224,8.224,8.224,8.224,0
2025-01-07,8.2147,8.2147,8.2147,8.2147,0
2025-01-06,8.2356,8.2356,8.2356,8.2356,0
2025-01-03,8.94621,8.94621,8.94621,8.94621,0
