datetime,open,high,low,close,volume
2025-04-01,3.75,3.75,3.75,3.75,13
2025-03-31,3.71,3.75,3.71,3.75,800
2025-03-28,3.75,3.75,3.75,3.75,500
2025-03-27,3.77,3.77,3.77,3.77,0
2025-03-26,3.82,3.82,3.77,3.77,700
2025-03-25,3.61,3.85,3.61,3.85,1000
2025-03-24,3.7,3.8,3.7,3.78,2100
2025-03-21,3.82,3.84,3.65,3.65,5000
2025-03-20,3.81,3.81,3.81,3.81,400
2025-03-19,3.9,3.9,3.81,3.81,1500
2025-03-18,3.82,3.84,3.82,3.84,1400
2025-03-17,3.8,3.88,3.76,3.86,2100
2025-03-14,3.87,3.87,3.76,3.76,2100
2025-03-13,3.8,3.93,3.8,3.89,1500
2025-03-12,3.65,3.82,3.65,3.8,2500
2025-03-11,3.77,3.79,3.76,3.79,1400
2025-03-10,3.8,3.88,3.66,3.8,5000
2025-03-07,3.85,3.89,3.69,3.81,3700
2025-03-06,3.96,4.08,3.85,3.85,6300
2025-03-05,3.96,3.96,3.96,3.96,600
2025-03-04,3.95,3.95,3.95,3.95,200
2025-03-03,3.95,3.95,3.95,3.95,0
2025-02-28,3.89,3.95,3.89,3.95,2500
2025-02-27,3.96,4.07,3.88,3.88,2600
2025-02-26,4.06,4.18,3.88,3.88,28700
2025-02-25,4.05,4.05,4.05,4.05,300
2025-02-24,4.07,4.08,4.07,4.08,600
2025-02-21,4.12,4.12,4.12,4.12,200
2025-02-20,4.07,4.07,4.07,4.07,600
2025-02-19,4.06,4.06,4.06,4.06,300
2025-02-18,3.88,4.13,3.88,4.05,3100
2025-02-14,4.2,4.75,3.85,3.91,28900
2025-02-13,4.1,4.19,4.1,4.12,4200
2025-02-12,4.11,4.3,4.1,4.1,2900
2025-02-11,4.1,4.1,4.1,4.1,200
2025-02-10,4.31,4.31,4.25,4.25,1600
2025-02-09,4.31,4.31,4.25,4.25,1568
2025-02-07,4.4,4.4,4.11,4.11,700
2025-02-06,4.16,4.34,4.11,4.34,2400
2025-02-05,4.27,4.27,4.27,4.27,2374
2025-02-04,4.22,4.33,4.2,4.27,5200
2025-02-03,4.22,4.3288,4.2,4.27,5194
2025-01-31,4.24,4.43,4.13,4.21,14100
2025-01-30,4.15,4.55,4.15,4.37,28300
2025-01-29,4.15,4.45,4.1,4.45,1700
2025-01-28,4.15,4.26,4.15,4.17,900
2025-01-27,4.31,4.6,4.18,4.6,7800
2025-01-24,4.33,4.33,4.33,4.33,400
2025-01-23,4.32,4.66,4.32,4.35,5100
2025-01-22,4.34,4.7,4.33,4.33,7400
2025-01-21,4.32,4.6,4.32,4.33,5000
2025-01-17,4.6,4.6,4.6,4.6,400
2025-01-16,4.65,4.65,4.65,4.65,0
2025-01-15,4.63,5.03,4.6,4.65,3400
2025-01-14,4.54,4.7,4.54,4.7,1300
2025-01-13,4.39,4.45,4.39,4.41,1000
2025-01-10,4.62,4.62,4.38,4.41,24500
2025-01-08,4.66,4.69,4.66,4.69,600
2025-01-07,4.67,4.85,4.67,4.75,7400
2025-01-06,4.85,4.85,4.85,4.85,400
2025-01-03,4.74,4.79,4.68,4.68,2800
2025-01-02,4.8,4.92,4.68,4.68,1800
2024-12-31,5.09,5.14,4.66,4.85,9000
2024-12-30,4.95,5.22,4.72,5.0,11900
2024-12-27,4.68,4.84,4.68,4.84,1000
2024-12-26,4.56,5.1,4.56,4.99,18800
2024-12-24,5.13,5.13,4.54,4.54,1000
2024-12-23,4.98,5.16,4.92,5.0,3800
2024-12-20,4.46,4.92,4.46,4.92,13600
2024-12-19,4.48,4.59,4.48,4.57,1200
2024-12-18,4.34,4.5,4.34,4.46,16600
2024-12-17,4.2,4.29,4.2,4.29,1600
2024-12-16,4.14,4.23,4.14,4.2,4700
2024-12-13,4.28,4.31,4.19,4.24,4700
2024-12-12,4.36,4.38,4.27,4.27,1800
2024-12-11,4.23,4.41,4.22,4.26,10300
2024-12-10,4.29,4.48,4.26,4.48,1800
2024-12-09,4.23,4.36,4.23,4.36,2300
2024-12-06,4.26,4.6,4.23,4.46,4200
2024-12-05,4.22,4.45,4.21,4.34,2600
2024-12-04,4.38,4.5,4.26,4.36,12800
2024-12-03,4.25,4.55,4.22,4.48,16200
2024-12-02,4.14,4.9,4.11,4.38,6600
2024-11-29,4.39,4.82,4.25,4.5,12400
2024-11-27,4.47,4.57,4.32,4.41,12400
2024-11-26,5.07,5.07,4.53,4.64,22300
2024-11-25,4.06,5.1,4.06,5.0,61500
2024-11-22,4.0,4.44,3.85,4.13,12600
2024-11-21,3.66,4.5,3.66,3.85,51500
2024-11-20,3.61,3.86,3.61,3.62,7500
2024-11-19,3.6,3.88,3.56,3.71,5400
2024-11-18,3.83,4.5,3.69,3.89,12400
2024-11-15,3.5,4.19,3.5,3.69,11300
2024-11-14,3.45,3.45,3.43,3.43,1500
2024-11-13,3.4,3.99,3.4,3.66,14000
2024-11-12,3.53,3.53,3.31,3.49,3200
2024-11-11,3.51,3.62,3.51,3.57,2200
2024-11-08,3.49,4.1,3.49,3.6,22400
2024-11-07,3.53,3.53,3.53,3.53,700
2024-11-06,3.45,3.45,3.33,3.35,1200
2024-11-05,3.62,3.62,3.53,3.53,600
2024-11-04,3.45,3.46,3.45,3.45,2900
2024-11-01,3.66,3.66,3.66,3.66,108
2024-10-31,3.52,3.75,3.45,3.66,4600
2024-10-30,3.28,3.28,3.28,3.28,300
2024-10-29,3.48,3.61,3.48,3.5,1900
2024-10-28,3.26,3.81,3.26,3.5,2700
2024-10-25,3.26,3.63,3.23,3.43,16600
2024-10-24,3.34,3.64,3.25,3.44,7400
2024-10-23,3.45,3.45,3.12,3.3,1600
2024-10-22,3.39,3.55,3.39,3.42,2300
2024-10-21,3.34,3.66,3.34,3.5,4400
2024-10-18,3.5,3.5,3.5,3.5,300
