datetime,open,high,low,close,volume
2025-04-01,0.034,0.034,0.034,0.034,0
2025-03-31,0.034,0.034,0.034,0.034,0
2025-03-28,0.034,0.034,0.034,0.034,0
2025-03-27,0.034,0.034,0.034,0.034,0
2025-03-26,0.034,0.034,0.034,0.034,0
2025-03-25,0.034,0.034,0.034,0.034,0
2025-03-24,0.034,0.034,0.034,0.034,0
2025-03-21,0.034,0.034,0.034,0.034,0
2025-03-20,0.025,0.034,0.025,0.034,600
2025-03-19,0.035,0.035,0.035,0.035,100
2025-03-18,0.036,0.036,0.036,0.036,0
2025-03-17,0.021,0.036,0.021,0.036,1600
2025-03-14,0.036,0.036,0.036,0.036,100
2025-03-13,0.038,0.038,0.038,0.038,0
2025-03-12,0.038,0.038,0.038,0.038,0
2025-03-11,0.038,0.038,0.038,0.038,0
2025-03-10,0.038,0.038,0.038,0.038,0
2025-03-07,0.038,0.038,0.038,0.038,2000
2025-03-06,0.039,0.039,0.039,0.039,100
2025-03-05,0.025,0.025,0.02,0.02,14600
2025-03-04,0.05,0.05,0.05,0.05,130
2025-03-03,0.05,0.05,0.05,0.05,0
2025-02-28,0.05,0.05,0.05,0.05,0
2025-02-27,0.05,0.05,0.05,0.05,0
2025-02-26,0.04,0.05,0.04,0.05,1000
2025-02-25,0.05,0.05,0.05,0.05,300
2025-02-24,0.038,0.038,0.038,0.038,0
2025-02-21,0.038,0.038,0.038,0.038,600
2025-02-20,0.035,0.038,0.035,0.038,700
2025-02-19,0.025,0.032,0.024,0.032,2100
2025-02-18,0.05,0.05,0.024,0.031,14300
2025-02-14,0.028,0.05,0.028,0.05,9800
2025-02-13,0.04,0.04,0.04,0.04,0
2025-02-12,0.04,0.04,0.04,0.04,0
2025-02-11,0.038,0.04,0.036,0.04,3900
2025-02-10,0.037,0.037,0.037,0.037,0
2025-02-07,0.037,0.037,0.037,0.037,0
2025-02-06,0.025,0.037,0.025,0.037,300
2025-02-05,0.037,0.037,0.037,0.037,0
2025-02-04,0.037,0.037,0.037,0.037,3100
2025-02-03,0.038,0.039,0.037,0.038,2900
2025-01-31,0.028,0.028,0.028,0.028,2600
2025-01-30,0.021,0.021,0.021,0.021,0
2025-01-29,0.021,0.021,0.021,0.021,0
2025-01-28,0.021,0.021,0.021,0.021,0
2025-01-27,0.021,0.021,0.021,0.021,0
2025-01-24,0.028,0.028,0.021,0.021,17200
2025-01-23,0.028,0.028,0.028,0.028,0
2025-01-22,0.028,0.028,0.028,0.028,1000
2025-01-21,0.025,0.025,0.021,0.021,7100
2025-01-17,0.023,0.025,0.023,0.025,1800
2025-01-16,0.028,0.028,0.027,0.027,4100
2025-01-15,0.028,0.028,0.028,0.028,0
2025-01-14,0.028,0.028,0.028,0.028,0
2025-01-13,0.028,0.028,0.028,0.028,0
2025-01-10,0.028,0.028,0.028,0.028,0
