datetime,open,high,low,close,volume
2025-04-01,818.59998,820.65997,797.0,805.22998,2986500
2025-03-31,808.97998,828.01001,789.40002,825.90997,3737000
2025-03-28,820.0,829.78003,817.42999,822.51001,2124700
2025-03-27,822.82001,826.77002,815.28998,821.66998,2128200
2025-03-26,845.69,851.40997,826.40002,826.76001,2562100
2025-03-25,869.54999,874.91998,847.91998,852.34998,2670600
2025-03-24,845.32001,866.87,837.76001,864.90002,3102400
2025-03-21,837.79999,850.42999,825.32001,837.57001,5963800
2025-03-20,839.03003,854.39001,832.46002,842.57001,4402700
2025-03-19,821.71997,842.13,819.5,837.01001,3790500
2025-03-18,833.41998,836.28998,812.62,822.51001,2354900
2025-03-17,816.95001,829.0,814.57001,824.76001,2546600
2025-03-14,803.10999,815.21002,800.0,813.47998,3102300
2025-03-13,818.23999,821.10999,795.38,801.65002,3566300
2025-03-12,814.95001,834.65002,813.26001,821.85999,3014800
2025-03-11,827.20001,832.34998,811.64001,824.06,3796500
2025-03-10,853.90997,863.19,825.78003,829.76001,5962900
2025-03-07,905.39001,908.0,861.39001,869.58002,4818100
2025-03-06,920.41998,931.38,898.28003,912.76001,3273100
2025-03-05,904.79999,930.48999,901.64001,929.71997,3109500
2025-03-04,922.23999,929.15997,902.78998,911.06,3343500
2025-03-03,912.79999,935.63,910.0,929.71997,3979800
2025-02-28,901.84003,921.21997,892.60999,920.63,4071100
2025-02-27,915.71997,925.5,904.06,905.15997,3085400
2025-02-26,898.37,922.42999,896.59998,915.01001,3032800
2025-02-25,890.73999,912.0,890.73999,901.79999,5111300
2025-02-24,879.28998,893.10999,870.02002,881.40002,3017100
2025-02-21,880.62,894.40002,873.42999,873.67999,3940400
2025-02-20,866.84003,880.32001,864.0,873.12,2990300
2025-02-19,857.17999,881.33002,857.17999,867.04999,3205500
2025-02-18,856.41998,862.72998,851.35999,857.20001,4289400
2025-02-14,869.09998,873.5,841.48999,844.27002,3222300
2025-02-13,877.07001,883.5,867.79999,871.85999,2472900
2025-02-12,856.92999,877.78003,856.10999,872.96997,2533400
2025-02-11,867.03003,874.19,860.5,865.0,1944200
2025-02-10,877.72998,880.0,859.37,868.88,3065600
2025-02-07,876.53003,889.35999,869.62,878.31,4426100
2025-02-06,839.52002,887.73999,835.60999,870.37,7138500
2025-02-05,835.15002,846.90002,831.06,842.17999,4578900
2025-02-04,811.04999,829.03998,805.94,826.07001,4299700
2025-02-03,804.27002,817.96002,801.75,810.42999,2808800
2025-01-31,823.0,827.34998,811.03003,811.08002,2562600
2025-01-30,808.40997,824.62,805.0,823.22998,2643000
2025-01-29,806.98999,809.12,799.0,804.08002,1827600
2025-01-28,807.23999,816.15002,800.10999,804.98999,2808800
2025-01-27,778.71002,809.25,778.71002,808.16998,3915200
2025-01-24,761.95001,789.28998,760.48999,785.40997,4170600
2025-01-23,747.65997,766.59998,744.25,766.59998,3127200
2025-01-22,745.58002,760.37,739.04999,753.97998,3737800
2025-01-21,731.27002,743.28003,726.53003,742.34998,5122800
2025-01-17,747.83002,755.28003,725.01001,725.71997,5560100
2025-01-16,747.5,765.51001,746.40002,757.59998,3070300
2025-01-15,749.0,754.59998,735.27002,746.73999,5736900
2025-01-14,784.22998,784.22998,729.0,744.90997,10373000
2025-01-13,794.40002,805.34003,783.60999,797.47998,3683800
2025-01-10,791.92999,800.0,784.85999,799.90002,3973100
2025-01-08,773.83002,792.56,770.66998,787.21997,3478400
2025-01-07,764.90002,783.96002,761.62,773.28998,3576100
2025-01-06,783.71997,784.77002,763.34998,765.09998,3991100
2025-01-03,778.16998,785.84003,775.53003,781.97998,1799100
2025-01-02,780.59003,787.0,771.77002,778.07001,1938900
2024-12-31,771.0,773.90997,764.29999,772.0,2327000
2024-12-30,777.91998,779.76001,771.0,773.84003,1719100
2024-12-27,790.0,793.29999,779.21997,783.16998,2096500
2024-12-26,794.12,803.90997,791.5,794.14001,1274200
2024-12-24,791.37,797.75,787.09998,795.66998,1165400
2024-12-23,785.16998,799.35999,773.07001,796.28003,3622300
2024-12-20,811.34998,811.34998,766.60999,767.76001,9942300
2024-12-19,765.09998,772.96997,752.40002,757.53998,4032600
2024-12-18,775.0,779.0,762.5,764.71002,3354200
2024-12-17,777.85999,788.0,772.42999,778.62,3924800
2024-12-16,792.0,799.78003,775.25,779.0,3426200
2024-12-13,777.13,794.25,772.98999,789.12,3059400
2024-12-12,796.72998,801.84003,778.39001,782.34998,2823800
2024-12-11,795.25,799.5,786.37,796.03003,3510900
2024-12-10,809.27002,814.0,797.0,799.58002,2695200
2024-12-09,823.70001,823.70001,801.28003,803.58002,3176000
2024-12-06,827.67999,841.0,825.69,826.71002,3047100
2024-12-05,827.78003,831.13,817.46002,825.62,2423400
2024-12-04,828.09998,846.46002,820.5,829.84003,3871100
2024-12-03,802.92999,817.13,801.60999,813.33002,2782100
2024-12-02,798.10999,805.34998,795.21997,799.79999,2895600
