datetime,open,high,low,close,volume
2025-04-01,18.05,18.1,17.46,17.73,47600
2025-03-31,17.38,17.91,17.38,17.72,66800
2025-03-28,18.19,18.4,17.51,17.56,37100
2025-03-27,17.7,18.0,17.7,17.89,32000
2025-03-26,17.54,18.02,17.52,17.72,43000
2025-03-25,17.77,17.94,17.52,17.6,53900
2025-03-24,17.5,17.99,17.32,17.81,59700
2025-03-21,17.5,18.07,17.12,17.36,131400
2025-03-20,18.18,18.39,17.53,17.6,86100
2025-03-19,18.12,18.37,17.9,18.18,56600
2025-03-18,18.59,18.9,18.0,18.15,89300
2025-03-17,19.55,21.39,18.79,18.86,250700
2025-03-14,18.49,18.76,17.8,18.51,135600
2025-03-13,20.9,20.99,18.34,18.51,205800
2025-03-12,21.25,21.79,21.11,21.36,68500
2025-03-11,21.48,21.58,21.2,21.25,40400
2025-03-10,21.7,21.89,21.18,21.32,49200
2025-03-07,21.74,22.04,21.43,21.89,23500
2025-03-06,21.74,21.79,21.04,21.71,34700
2025-03-05,21.92,22.19,21.78,21.88,40100
2025-03-04,21.83,22.07,21.13,21.78,78300
2025-03-03,22.0,22.85,21.66,22.14,57500
2025-02-28,22.0,22.25,21.85,22.04,40200
2025-02-27,22.42,22.45,22.02,22.02,21900
2025-02-26,23.01,23.01,22.19,22.45,47900
2025-02-25,22.71,23.01,22.29,22.96,36800
2025-02-24,22.81,23.22,22.5,22.71,35200
2025-02-21,23.05,23.05,22.46,22.67,31200
2025-02-20,22.5,22.95,22.23,22.8,22000
2025-02-19,22.76,22.76,22.4,22.73,24000
2025-02-18,23.03,23.09,22.72,22.91,26000
2025-02-14,23.48,23.5,22.95,23.07,63600
2025-02-13,22.99,23.1,22.57,23.1,44700
2025-02-12,22.65,22.96,22.65,22.79,19800
2025-02-11,22.63,23.0,22.63,23.0,27000
2025-02-10,22.77,22.9,22.25,22.77,26200
2025-02-07,22.7,22.87,22.54,22.66,27200
2025-02-06,22.78,23.22,22.7,22.9,33700
2025-02-05,22.27,22.95,22.19,22.91,79800
2025-02-04,22.31,22.67,22.12,22.31,62700
2025-02-03,22.63,23.08,22.46,22.5,44900
2025-01-31,23.06,23.41,22.77,23.06,52600
2025-01-30,23.32,23.37,22.93,23.08,35100
2025-01-29,23.06,23.3,22.75,23.07,65000
2025-01-28,22.94,23.64,22.65,23.2,75500
2025-01-27,22.84,23.44,22.45,22.61,82200
2025-01-24,22.9,23.37,22.75,22.95,45300
2025-01-23,22.45,23.31,22.45,23.09,129400
2025-01-22,22.87,22.96,22.39,22.47,47400
2025-01-21,23.16,23.3,22.84,22.93,63000
2025-01-17,23.18,23.22,22.85,23.05,108700
2025-01-16,23.46,23.46,22.9,22.99,88500
2025-01-15,23.33,23.71,22.85,23.47,55800
2025-01-14,23.54,23.98,22.67,22.71,44000
2025-01-13,22.78,23.74,22.42,23.3,43600
2025-01-10,23.69,24.12,22.96,23.04,48500
2025-01-08,24.04,24.32,23.73,24.1,64400
2025-01-07,24.99,25.2,23.95,24.13,61100
2025-01-06,24.87,25.1,24.64,25.05,63500
2025-01-03,24.5,24.87,24.28,24.83,41900
2025-01-02,24.74,24.74,24.19,24.34,55400
2024-12-31,24.14,24.76,24.14,24.46,43400
2024-12-30,24.33,24.99,23.79,24.06,66900
2024-12-27,23.54,24.59,22.69,24.4,127400
2024-12-26,24.6,25.28,23.83,23.92,81600
2024-12-24,24.9,25.57,23.45,24.95,179600
2024-12-23,26.4,27.45,26.02,26.83,118600
2024-12-20,25.28,26.93,25.28,26.3,180500
2024-12-19,25.73,26.35,25.23,25.66,46700
2024-12-18,26.68,26.96,25.23,25.36,66100
2024-12-17,26.78,26.88,26.47,26.68,45300
2024-12-16,27.02,27.42,26.73,26.76,30700
2024-12-13,26.75,27.2,26.39,27.02,32900
2024-12-12,27.64,27.64,26.83,26.84,29400
2024-12-11,27.74,28.17,27.54,27.95,49600
2024-12-10,27.12,27.75,26.8,27.5,37300
2024-12-09,27.05,27.37,26.53,26.88,32300
2024-12-06,26.74,27.08,25.96,26.91,41400
2024-12-05,27.02,27.06,25.96,26.53,51800
2024-12-04,27.26,27.26,26.6,27.16,31900
2024-12-03,27.79,27.79,26.82,27.29,25300
2024-12-02,27.75,27.9,27.46,27.71,27100
2024-11-29,27.73,28.08,27.5,27.8,16200
2024-11-27,28.21,28.41,27.55,27.62,44500
2024-11-26,27.04,28.0,26.95,27.9,33100
2024-11-25,27.59,27.94,27.12,27.33,66900
2024-11-22,27.72,27.78,27.27,27.49,30300
2024-11-21,26.54,27.67,26.41,27.52,76500
2024-11-20,26.7,26.9,26.45,26.54,37200
2024-11-19,26.18,26.73,26.17,26.7,25400
2024-11-18,26.76,26.92,26.06,26.25,29000
2024-11-15,26.3,26.64,25.96,26.39,36600
2024-11-14,26.74,26.97,25.75,26.03,65500
2024-11-13,27.48,27.72,26.95,26.98,36700
2024-11-12,28.42,28.5,27.09,27.19,45600
2024-11-11,28.34,28.57,27.96,28.44,97000
2024-11-08,28.59,28.88,27.81,27.99,35800
