datetime,open,high,low,close,volume
2025-04-01,64.02,64.56,63.86,64.42,1420100
2025-03-31,63.99,64.75,63.63,64.35,2144000
2025-03-28,63.62,64.07,63.29,63.58,2369800
2025-03-27,62.94,63.51,62.79,63.12,1318000
2025-03-26,62.14,63.28,62.14,62.86,2151000
2025-03-25,62.84,62.9,61.73,62.1,1881600
2025-03-24,63.31,63.61,62.92,62.98,1393400
2025-03-21,63.5,63.91,62.58,63.05,3630600
2025-03-20,63.44,63.72,63.2,63.55,1780800
2025-03-19,63.24,63.68,62.93,63.51,1502600
2025-03-18,63.34,63.5,62.84,63.35,2028200
2025-03-17,62.96,64.2,62.92,63.53,2907200
2025-03-14,62.36,63.02,61.88,62.95,1888800
2025-03-13,62.24,62.92,61.88,62.23,1948100
2025-03-12,62.21,62.88,62.07,62.18,1416700
2025-03-11,63.4,63.81,62.47,62.62,2224600
2025-03-10,62.6,64.28,62.51,63.27,3181200
2025-03-07,62.16,62.98,62.0,62.49,3130600
2025-03-06,63.09,63.21,62.08,62.2,2851300
2025-03-05,64.0,64.57,63.27,63.44,2091400
2025-03-04,66.53,66.54,64.21,64.26,2405000
2025-03-03,64.49,66.15,64.49,66.04,2296500
2025-02-28,64.14,64.76,63.77,64.53,1921800
2025-02-27,63.63,64.35,63.31,63.85,2104900
2025-02-26,63.57,64.05,63.3,63.98,1941000
2025-02-25,64.0,64.15,63.4,63.75,2856100
2025-02-24,63.1,63.97,62.6,63.85,3475000
2025-02-21,61.49,63.3,61.32,62.81,3902900
2025-02-20,61.88,61.9,61.12,61.62,3247000
2025-02-19,61.67,61.94,61.48,61.64,2000100
2025-02-18,61.33,62.04,61.02,61.67,2466200
2025-02-14,61.31,62.08,61.12,61.33,2146200
2025-02-13,60.59,61.45,60.5,61.1,2070900
2025-02-12,59.61,60.73,59.44,60.63,1733800
2025-02-11,59.72,60.36,59.21,60.31,1523700
2025-02-10,59.63,59.98,59.07,59.87,1098800
2025-02-07,59.5,59.68,59.12,59.47,1107600
2025-02-06,59.91,60.03,59.22,59.54,1115100
2025-02-05,59.68,60.11,59.37,59.73,1359600
2025-02-04,58.83,59.52,58.36,59.24,1073700
2025-02-03,58.53,59.38,58.1,59.27,1862700
2025-01-31,58.91,59.25,58.64,58.88,1742000
2025-01-30,59.12,59.6,58.84,59.34,1047300
2025-01-29,58.81,59.36,58.56,58.59,971100
2025-01-28,59.86,59.92,58.62,58.87,1277700
2025-01-27,59.38,60.03,58.31,60.0,2493800
2025-01-24,58.63,59.08,58.45,58.77,1345000
2025-01-23,59.02,59.21,58.55,58.69,1429700
2025-01-22,60.66,60.84,59.05,59.09,1293600
2025-01-21,61.24,61.93,60.77,61.0,1552600
2025-01-17,60.22,60.73,59.96,60.55,1697700
2025-01-16,58.61,60.11,58.3,60.07,1233800
2025-01-15,58.3,58.87,58.14,58.47,1419000
2025-01-14,56.83,57.86,56.81,57.79,1565100
2025-01-13,56.78,57.17,56.3,56.98,1388200
2025-01-10,57.83,57.93,56.64,56.66,1381000
2025-01-08,57.28,58.25,56.87,58.2,1174100
2025-01-07,57.18,57.94,57.06,57.36,1260800
2025-01-06,58.02,58.23,57.13,57.31,2018700
2025-01-03,58.71,58.72,58.23,58.34,1440700
2025-01-02,59.31,59.73,58.45,58.51,1009000
2024-12-31,59.53,59.7,58.83,59.14,864700
2024-12-30,59.53,59.53,58.84,59.33,1267300
2024-12-27,59.28,60.09,58.64,59.54,728900
2024-12-26,59.38,59.83,59.3,59.65,844500
2024-12-24,59.22,59.63,59.01,59.62,397300
2024-12-23,58.73,59.33,58.33,59.26,1239200
2024-12-20,58.48,59.1,58.37,58.95,2617700
2024-12-19,57.89,59.08,57.89,58.26,1730300
2024-12-18,59.62,59.71,58.11,58.15,2036900
2024-12-17,59.52,59.93,59.25,59.57,1509000
2024-12-16,60.41,60.74,59.85,59.88,1382300
2024-12-13,60.51,60.94,60.31,60.45,855900
2024-12-12,60.39,60.7,59.91,60.47,1264800
2024-12-11,60.8,60.82,60.24,60.41,1251200
2024-12-10,60.65,61.05,59.71,60.7,1052200
2024-12-09,60.85,61.16,60.63,60.91,1387100
2024-12-06,61.57,61.68,60.8,61.06,1773100
2024-12-05,61.58,62.12,61.24,61.54,1232800
2024-12-04,61.95,62.12,61.57,61.78,1488400
2024-12-03,62.66,62.82,61.81,61.83,1165700
2024-12-02,63.2,63.38,61.9,62.28,1368400
2024-11-29,63.33,63.57,63.11,63.2,838000
2024-11-27,63.72,64.05,63.37,63.59,1383200
2024-11-26,63.91,63.92,63.08,63.34,1715200
