datetime,open,high,low,close,volume
2025-04-01,10.22,10.22,10.2,10.2,5800
2025-03-31,10.22,10.22,10.21,10.21,2700
2025-03-28,10.18,10.22,10.18,10.21,37400
2025-03-27,10.22,10.22,10.22,10.22,6100
2025-03-26,10.21,10.21,10.2,10.2,1800
2025-03-25,10.2,10.2,10.2,10.2,900
2025-03-24,10.205,10.205,10.205,10.205,0
2025-03-21,10.205,10.205,10.205,10.205,100
2025-03-20,10.2,10.2,10.2,10.2,0
2025-03-19,10.2,10.2,10.2,10.2,1800
2025-03-18,10.18,10.18,10.18,10.18,12600
2025-03-17,10.17,10.17,10.17,10.17,1100
2025-03-14,10.18,10.18,10.18,10.18,7900
2025-03-13,10.18,10.2,10.18,10.2,22500
2025-03-12,10.18,10.18,10.18,10.18,400
2025-03-11,10.16,10.17,10.16,10.16,800100
2025-03-10,10.18,10.18,10.16,10.16,3900
2025-03-07,10.16,10.17,10.16,10.167,12400
2025-03-06,10.14,10.16,10.14,10.16,4400
2025-03-05,10.15,10.17,10.15,10.17,1400
2025-03-04,10.148,10.148,10.14,10.14,47400
2025-03-03,10.17,10.17,10.17,10.17,0
2025-02-28,10.14,10.17,10.14,10.17,7000
2025-02-27,10.13,10.13,10.13,10.13,0
2025-02-26,10.13,10.13,10.13,10.13,4300
2025-02-25,10.17,10.17,10.17,10.17,200
2025-02-24,10.133,10.15,10.13,10.15,2500
2025-02-21,10.11,10.14,10.11,10.14,1100
2025-02-20,10.13,10.13,10.13,10.13,500
2025-02-19,10.14,10.14,10.14,10.14,0
2025-02-18,10.14,10.14,10.14,10.14,200
2025-02-14,10.14,10.14,10.13,10.13,700
2025-02-13,10.12,10.12,10.12,10.12,63500
2025-02-12,10.1,10.12,10.1,10.11,553700
2025-02-11,10.097,10.11,10.09,10.1,53400
2025-02-10,10.112,10.112,10.09,10.11,19900
2025-02-07,10.09,10.09,10.09,10.09,400
2025-02-06,10.1,10.1,10.1,10.1,300
2025-02-05,10.1,10.1,10.09,10.1,2700
2025-02-04,10.1,10.1,10.1,10.1,100
2025-02-03,10.099,10.1,10.099,10.1,2500
2025-01-31,10.092,10.092,10.092,10.092,800
2025-01-30,10.093,10.1,10.093,10.1,2500
2025-01-29,10.09,10.11,10.09,10.11,6400
2025-01-28,10.08,10.09,10.08,10.09,49700
2025-01-27,10.08,10.08,10.08,10.08,0
2025-01-24,10.07,10.105,10.07,10.08,4600
2025-01-23,10.12,10.12,10.083,10.083,1000
2025-01-22,10.07,10.08,10.06,10.08,11500
2025-01-21,10.068,10.07,10.063,10.068,4700
2025-01-17,10.07,10.07,10.07,10.07,4500
2025-01-16,10.07,10.07,10.06,10.07,18000
2025-01-15,10.06,10.07,10.06,10.07,64700
2025-01-14,10.057,10.06,10.057,10.06,5100
2025-01-13,10.05,10.05,10.05,10.05,200
2025-01-10,10.06,10.06,10.06,10.06,1600
2025-01-08,10.05,10.06,10.05,10.06,63800
2025-01-07,10.05,10.05,10.045,10.045,1500
2025-01-06,10.046,10.046,10.04,10.04,6300
2025-01-03,10.04,10.04,10.04,10.04,51100
2025-01-02,10.04,10.05,10.04,10.05,182900
2024-12-31,10.049,10.05,10.045,10.05,13900
2024-12-30,10.04,10.04,10.04,10.04,250100
2024-12-27,10.03,10.03,10.03,10.03,0
2024-12-26,10.03,10.03,10.03,10.03,0
2024-12-24,10.03,10.03,10.03,10.03,128800
2024-12-23,10.05,10.05,10.01,10.02,6100
2024-12-20,10.03,10.03,10.03,10.03,3600
2024-12-19,10.038,10.038,10.029,10.035,78500
2024-12-18,10.03,10.03,10.03,10.03,800
2024-12-17,10.035,10.04,10.026,10.04,390200
2024-12-16,10.03,10.04,10.01,10.035,57800
2024-12-13,10.03,10.039,10.03,10.039,22900
2024-12-12,10.05,10.05,10.03,10.03,21200
2024-12-11,10.03,10.04,10.03,10.04,113900
2024-12-10,10.03,10.03,10.03,10.03,50100
2024-12-09,10.02,10.02,10.01,10.02,2300
2024-12-06,10.02,10.03,10.02,10.03,3400
2024-12-05,10.02,10.02,10.02,10.02,1200
2024-12-04,10.02,10.02,10.02,10.02,36700
2024-12-03,10.02,10.03,10.02,10.02,143500
2024-12-02,10.011,10.02,10.01,10.02,9100
2024-11-29,10.01,10.01,10.01,10.01,0
2024-11-27,10.01,10.017,10.01,10.01,117400
2024-11-26,10.01,10.015,10.0,10.0,600
2024-11-25,10.0,10.0,10.0,10.0,200
2024-11-22,10.01,10.015,10.0,10.015,76300
2024-11-21,10.0,10.015,10.0,10.015,247100
2024-11-20,10.0,10.001,9.991,10.0,97200
2024-11-19,10.006,10.01,10.0,10.005,107200
2024-11-18,10.0,10.005,10.0,10.0,50500
2024-11-15,9.995,10.0,9.995,10.0,305100
2024-11-14,9.99,10.0,9.98,10.0,271600
2024-11-13,9.99,9.99,9.98,9.98,119600
2024-11-12,9.98,9.98,9.98,9.98,3000
2024-11-11,9.98,9.98,9.98,9.98,0
2024-11-08,9.99,9.99,9.98,9.98,95400
2024-11-07,9.99,9.99,9.98,9.98,146600
2024-11-06,9.987,9.99,9.985,9.985,90500
2024-11-05,9.97,9.98,9.97,9.98,135500
2024-11-04,9.97,9.97,9.97,9.97,0
2024-11-01,9.97,9.97,9.97,9.97,25800
2024-10-31,9.97,9.97,9.97,9.97,4800
2024-10-30,9.97,9.98,9.97,9.98,48900
2024-10-29,9.97,9.97,9.97,9.97,7900
2024-10-28,9.97,9.97,9.97,9.97,0
2024-10-25,9.97,9.97,9.97,9.97,0
2024-10-24,9.97,9.97,9.97,9.97,5700
2024-10-23,9.97,9.979,9.97,9.979,14800
2024-10-22,10.02,10.02,9.965,9.97,21100
2024-10-21,9.97,9.97,9.97,9.97,6000
2024-10-18,9.971,9.971,9.97,9.97,9600
2024-10-17,9.97,9.97,9.965,9.97,26600
2024-10-16,9.97,9.97,9.97,9.97,8400
2024-10-15,9.975,9.975,9.975,9.975,7200
2024-10-14,9.965,9.975,9.96,9.975,9400
2024-10-11,10.03,10.03,9.96,9.96,11400
2024-10-10,9.99,9.99,9.96,9.96,115200
2024-10-09,9.99,9.99,9.97,9.97,12400
2024-10-08,9.99,9.99,9.97,9.97,37200
2024-10-07,9.98,9.98,9.98,9.98,62900
2024-10-04,9.98,9.98,9.98,9.98,4200
2024-10-03,9.98,9.98,9.98,9.98,4600
2024-10-02,9.98,9.98,9.98,9.98,6100
2024-10-01,9.98,9.98,9.98,9.98,56800
2024-09-30,9.977,9.977,9.977,9.977,7100
2024-09-27,9.97,9.97,9.97,9.97,8300
2024-09-26,9.98,9.98,9.97,9.97,18300
2024-09-25,9.971,9.971,9.97,9.97,63400
2024-09-24,9.961,9.967,9.961,9.967,20600
2024-09-23,9.96,9.98,9.96,9.98,22200
2024-09-20,9.97,9.97,9.97,9.97,17000
2024-09-19,9.97,9.97,9.97,9.97,19100
2024-09-18,9.97,9.97,9.97,9.97,76500
2024-09-17,9.97,9.97,9.97,9.97,78000
2024-09-16,9.97,9.97,9.97,9.97,0
2024-09-13,9.98,9.98,9.97,9.97,102400
2024-09-12,9.97,9.97,9.97,9.97,109400
2024-09-11,9.98,9.99,9.97,9.97,247900
2024-09-10,9.98,9.98,9.98,9.98,226000
2024-09-09,9.99,9.99,9.98,9.98,400
2024-09-06,9.97,9.99,9.97,9.97,5100
2024-09-05,9.98,9.98,9.96,9.97,112800
2024-09-04,9.96,9.97,9.96,9.97,2697800
2024-09-03,9.99,9.99,9.66,9.97,187600
