datetime,open,high,low,close,volume
2025-04-01,0.0338,0.0339,0.0287,0.03,53129
2025-03-31,0.028,0.0329,0.0269,0.0319,57481
2025-03-28,0.0287,0.035,0.0252,0.026,101338
2025-03-27,0.0298,0.0298,0.0295,0.0295,57886
2025-03-26,0.0336,0.037,0.0308,0.037,163375
2025-03-25,0.0283,0.0395,0.0283,0.037,3423
2025-03-24,0.0305,0.04,0.0305,0.04,174173
2025-03-21,0.037,0.05,0.023,0.0395,454180
2025-03-20,0.0329,0.035,0.0318,0.032,175751
2025-03-19,0.037,0.04,0.0307,0.037,200734
2025-03-18,0.0329,0.04,0.0297,0.0399,183976
2025-03-17,0.0328,0.0328,0.0266,0.0266,55200
2025-03-14,0.0245,0.0289,0.0245,0.0274,30258
2025-03-13,0.033,0.0331,0.023,0.0231,415587
2025-03-12,0.0361,0.0361,0.0253,0.0333,230205
2025-03-11,0.03,0.0399,0.0235,0.0294,96490
2025-03-10,0.0265,0.03,0.023,0.0284,59220
2025-03-07,0.024,0.03,0.024,0.0283,101629
2025-03-06,0.0265,0.0266,0.023,0.0231,215973
2025-03-05,0.0285,0.03,0.0219,0.0219,167336
2025-03-04,0.0287,0.031,0.0273,0.0276,70846
2025-03-03,0.04,0.04,0.0251,0.0301,513200
2025-02-28,0.0183,0.03,0.0183,0.0241,312668
2025-02-27,0.03,0.039,0.0222,0.0275,536629
2025-02-26,0.0212,0.03,0.0212,0.0289,165419
2025-02-25,0.029,0.029,0.0176,0.025,167236
2025-02-24,0.029,0.0311,0.0254,0.026,147634
2025-02-21,0.04,0.04,0.0231,0.0305,478747
2025-02-20,0.0279,0.03,0.0203,0.0278,1605036
2025-02-19,0.0189,0.023,0.0173,0.0217,476238
2025-02-18,0.0242,0.0242,0.0192,0.0208,690121
2025-02-14,0.0217,0.0254,0.0185,0.0253,2397057
2025-02-13,0.0161,0.0208,0.015,0.0187,380955
2025-02-12,0.0234,0.0249,0.0181,0.0187,400727
2025-02-11,0.0201,0.0296,0.0152,0.02,1891672
2025-02-10,0.0233,0.0265,0.0138,0.0185,1340621
