datetime,open,high,low,close,volume
2025-04-01,0.46,0.54,0.44,0.46,27311600
2025-03-31,0.57,0.71,0.45,0.46,80248700
2025-03-28,0.65,0.7,0.51,0.57,405858700
2025-03-27,0.33,0.35,0.33,0.35,3768700
2025-03-26,0.34,0.34,0.32,0.33,5223200
2025-03-25,0.36,0.37,0.35,0.36,2647200
2025-03-24,0.36,0.37,0.36,0.37,2663500
2025-03-21,0.34,0.37,0.34,0.36,4219700
2025-03-20,0.35,0.35,0.34,0.34,3315500
2025-03-19,0.36,0.37,0.34,0.36,5858100
2025-03-18,0.38,0.39,0.35,0.36,3800700
2025-03-17,0.37,0.39,0.36,0.38,5214700
2025-03-14,0.36,0.37,0.36,0.37,4984400
2025-03-13,0.37,0.38,0.33,0.36,5230200
2025-03-12,0.36,0.38,0.35,0.38,8797700
2025-03-11,0.35,0.36,0.33,0.36,5914600
2025-03-10,0.36,0.37,0.34,0.35,9741200
2025-03-07,0.39,0.41,0.32,0.39,13548800
2025-03-06,0.33,0.39,0.33,0.37,13170600
2025-03-05,0.32,0.35,0.31,0.34,7636600
2025-03-04,0.31,0.34,0.3,0.32,23782500
2025-03-03,0.37,0.45,0.28,0.29,61639200
2025-02-28,0.67,0.72,0.65,0.7,6069100
2025-02-27,0.71,0.73,0.67,0.67,1792800
2025-02-26,0.67,0.75,0.67,0.71,2819200
2025-02-25,0.69,0.71,0.63,0.66,5803400
2025-02-24,0.72,0.72,0.69,0.7,2973500
2025-02-21,0.74,0.75,0.7,0.71,3196300
2025-02-20,0.74,0.76,0.72,0.73,2684600
2025-02-19,0.77,0.79,0.74,0.74,2975700
2025-02-18,0.87,0.97,0.75,0.76,8937100
2025-02-14,0.75,0.83,0.75,0.78,2598500
2025-02-13,0.71,0.75,0.7,0.74,1933700
2025-02-12,0.7,0.72,0.66,0.7,2111100
2025-02-11,0.75,0.75,0.68,0.7,4528500
2025-02-10,0.72,0.76,0.71,0.75,3593000
2025-02-07,0.73,0.75,0.71,0.71,2510600
2025-02-06,0.75,0.79,0.74,0.74,3002500
2025-02-05,0.75,0.79,0.74,0.75,3192400
2025-02-04,0.72,0.8,0.72,0.76,3299600
2025-02-03,0.8,0.8,0.71,0.73,2766700
2025-01-31,0.81,0.86,0.76,0.76,4059100
2025-01-30,0.83,0.88,0.79,0.82,4352000
2025-01-29,0.94,1.08,0.82,0.83,11556300
2025-01-28,0.97,1.03,0.9,0.93,4642700
2025-01-27,0.99,1.07,0.92,0.96,5428900
2025-01-24,0.97,1.09,0.91,0.99,6737000
2025-01-23,0.83,0.98,0.81,0.89,5109700
2025-01-22,0.8,0.93,0.78,0.84,10163700
2025-01-21,0.7,0.81,0.68,0.79,6207700
2025-01-17,0.72,0.72,0.69,0.69,2389700
2025-01-16,0.7,0.73,0.68,0.71,4412700
2025-01-15,0.7,0.75,0.67,0.73,5850500
2025-01-14,0.71,0.72,0.67,0.69,8440200
2025-01-13,0.76,0.77,0.67,0.71,10409200
2025-01-10,0.84,0.86,0.75,0.77,6637200
2025-01-08,0.89,0.91,0.79,0.86,3821800
2025-01-07,0.92,0.95,0.83,0.93,4304200
2025-01-06,0.81,0.92,0.8,0.91,5366900
2025-01-03,0.78,0.8,0.75,0.79,3091100
2025-01-02,0.72,0.8,0.72,0.78,3188500
2024-12-31,0.71,0.75,0.7,0.74,2167000
2024-12-30,0.76,0.77,0.7,0.72,3156500
2024-12-27,0.78,0.82,0.74,0.77,2684900
2024-12-26,0.76,0.8,0.7,0.78,3772300
2024-12-24,0.81,0.83,0.74,0.76,2091000
2024-12-23,0.67,0.84,0.64,0.83,10340700
2024-12-20,0.73,0.76,0.7,0.71,7366500
2024-12-19,0.68,0.73,0.66,0.72,5144200
2024-12-18,0.73,0.77,0.67,0.68,5072600
2024-12-17,0.78,0.79,0.72,0.73,5877200
2024-12-16,0.81,0.85,0.75,0.77,6844100
2024-12-13,0.83,0.83,0.75,0.81,9371500
2024-12-12,0.94,0.98,0.78,0.82,8416600
2024-12-11,0.74,1.02,0.73,0.89,15731600
2024-12-10,0.75,0.76,0.73,0.73,1919800
2024-12-09,0.72,0.8,0.71,0.74,2262600
2024-12-06,0.66,0.74,0.65,0.71,3355700
2024-12-05,0.7,0.7,0.62,0.65,4092300
2024-12-04,0.71,0.72,0.68,0.69,4051800
2024-12-03,0.79,0.8,0.7,0.71,3923800
2024-12-02,0.81,0.82,0.77,0.8,2110000
2024-11-29,0.8,0.82,0.78,0.8,1021500
2024-11-27,0.81,0.85,0.79,0.8,2028300
2024-11-26,0.82,0.86,0.78,0.82,2931800
2024-11-25,0.87,0.93,0.8,0.81,5540600
2024-11-22,0.75,0.89,0.73,0.86,9985900
2024-11-21,0.8,0.83,0.76,0.77,3658100
2024-11-20,0.88,0.9,0.79,0.81,3136800
2024-11-19,0.91,0.91,0.86,0.88,3044500
2024-11-18,0.99,1.0,0.91,0.91,2904200
2024-11-15,1.08,1.08,0.97,0.98,5418300
2024-11-14,1.08,1.08,1.05,1.06,2000800
2024-11-13,1.18,1.19,1.05,1.09,3630400
2024-11-12,1.26,1.26,1.18,1.19,3384700
2024-11-11,1.26,1.31,1.23,1.27,2579100
2024-11-08,1.3,1.32,1.2,1.27,2935600
2024-11-07,1.22,1.35,1.18,1.3,4370600
2024-11-06,1.18,1.23,1.15,1.21,2595900
2024-11-05,1.2,1.2,1.01,1.19,6682600
2024-11-04,1.22,1.23,1.2,1.21,3322400
2024-11-01,1.2,1.38,1.16,1.22,21000000
2024-10-31,1.95,1.95,1.95,1.95,0
2024-10-30,2.01,2.08,1.92,1.95,6461500
2024-10-29,1.86,2.08,1.84,2.03,4123900
2024-10-28,1.82,1.95,1.81,1.86,3048600
2024-10-25,1.86,1.88,1.78,1.8,3162700
2024-10-24,1.88,1.92,1.83,1.84,2103000
2024-10-23,1.96,2.03,1.83,1.86,3213600
2024-10-22,1.97,1.99,1.86,1.94,2880400
2024-10-21,2.07,2.08,1.94,1.95,3106600
2024-10-18,2.02,2.17,2.02,2.08,4868000
2024-10-17,1.93,2.12,1.91,2.01,4649000
2024-10-16,1.8,1.97,1.79,1.91,3190000
2024-10-15,1.77,1.8,1.73,1.79,1810900
2024-10-14,1.74,1.84,1.73,1.79,2466400
2024-10-11,1.69,1.74,1.67,1.74,2251300
2024-10-10,1.61,1.7,1.6,1.69,1909500
2024-10-09,1.68,1.69,1.61,1.63,1652900
2024-10-08,1.65,1.71,1.64,1.68,1404300
