datetime,open,high,low,close,volume
2025-04-01,130.25,133.63,129.27,132.00999,3885000
2025-03-31,125.34,131.60001,124.1,130.58,7952100
2025-03-28,128.14,128.33,124.3,125.03,1731500
2025-03-27,125.92,129.50999,125.26,128.08,1978600
2025-03-26,127.18,129.75999,126.14,126.75,1643000
2025-03-25,127.4,128.64,125.72,127.02,2177500
2025-03-24,125.0,127.61,124.73,127.02,1734400
2025-03-21,121.07,123.07,119.25,123.06,3075700
2025-03-20,121.46,124.1,121.0,122.14,1509500
2025-03-19,119.52,123.97,119.23,122.65,1921800
2025-03-18,121.32,121.97,118.35,119.21,1728500
2025-03-17,119.22,122.25,119.14,121.91,2598600
2025-03-14,118.25,120.61,117.0,119.26,3159200
2025-03-13,121.0,121.46,112.88,115.79,5978000
2025-03-12,124.57,125.76,120.28,122.92,4234600
2025-03-11,122.66,125.42,120.26,121.64,2997800
2025-03-10,124.37,125.44,120.49,122.79,3472100
2025-03-07,129.5,130.39,122.91,127.51,3820600
2025-03-06,134.60001,136.78,130.63,131.11,2512400
2025-03-05,138.10001,138.10001,134.53999,136.84,2245500
2025-03-04,141.25,141.34,135.64,138.14999,2592300
2025-03-03,144.27,145.78999,141.48,142.25999,2282300
2025-02-28,141.2,143.39999,140.17,143.36,2904900
2025-02-27,142.75,143.72,139.67,140.96001,2989800
2025-02-26,144.67999,147.3,139.94,142.16,3951500
2025-02-25,154.53999,154.58,143.75999,144.46001,3967300
2025-02-24,151.0,157.49001,150.17,154.62,3357100
2025-02-21,156.77,157.75,148.5,149.39999,5271400
2025-02-20,152.71001,154.25,150.27,152.32001,3061700
2025-02-19,155.0,155.10001,151.05,153.67,1948400
2025-02-18,154.67999,155.05,153.0,154.66,1783300
2025-02-14,152.2,153.94,152.05,153.75999,1461300
2025-02-13,150.0,152.92999,149.47,152.58,2279200
2025-02-12,146.02,149.8,145.37,149.69,2018000
2025-02-11,146.59,147.57001,144.58,146.78999,2098100
2025-02-10,148.77,149.10001,145.72,147.3,2323800
2025-02-07,149.84,152.11,147.17999,148.31,2540500
2025-02-06,149.87,150.5,147.73,149.99001,2458200
2025-02-05,148.23,150.3,147.17,149.50999,2342300
2025-02-04,147.55,148.36,146.42999,148.06,2308900
2025-02-03,142.07001,145.88,141.0,145.84,1531300
2025-01-31,144.53,145.33,143.75999,144.67999,1997700
2025-01-30,143.60001,144.78999,143.14,144.06,1504700
2025-01-29,142.75,143.5,142.22,142.47,1998600
2025-01-28,140.39999,143.37,139.67999,142.42999,1545100
2025-01-27,138.02,140.94,137.92999,140.13,2406700
2025-01-24,139.14,140.85001,138.53,140.74001,1954600
2025-01-23,138.24001,139.71001,137.25999,139.17999,1643400
2025-01-22,139.27,139.7,137.41,138.53999,1817000
2025-01-21,138.0,139.63,137.24001,138.91,2328200
2025-01-17,134.92,136.22,134.42,135.61,1220300
2025-01-16,134.05,135.37,133.28999,133.56,1229700
2025-01-15,133.48,135.19,132.88,133.37,1715700
2025-01-14,131.23,131.74001,130.0,131.28,1285300
2025-01-13,127.54,130.88,127.08,130.61,1286300
2025-01-10,129.59,130.11,128.28,128.50999,2083500
2025-01-08,129.8,130.75999,128.94,130.31,1463900
2025-01-07,128.03,130.11,127.61,129.64,2214300
2025-01-06,129.42999,130.63,129.11,129.27,1575600
2025-01-03,129.61,130.50999,128.63,129.49001,1216900
2025-01-02,130.60001,130.60001,127.13,129.23,1984000
2024-12-31,131.12,131.78,129.17999,129.5,1265300
2024-12-30,130.14,132.14,129.46001,131.00999,1070500
2024-12-27,132.39,133.17,130.57001,131.85001,785200
2024-12-26,132.94,133.69,132.45,133.35001,880500
2024-12-24,132.56,133.81,132.00999,133.32001,448500
2024-12-23,132.78,133.53999,131.41,132.5,974200
2024-12-20,131.57001,134.72,131.57001,133.28,4257300
2024-12-19,134.03999,134.47,131.74001,132.19,1365600
2024-12-18,138.41,138.56,132.53999,132.59,1629600
2024-12-17,136.78,138.33,136.34,137.86,1700600
2024-12-16,136.35001,138.83,136.13,137.83,3834500
2024-12-13,135.44,136.0,133.8,135.95,1133300
2024-12-12,134.7,136.39999,134.37,135.84,1540000
2024-12-11,135.56,136.41,134.34,134.67999,2668400
2024-12-10,134.46001,135.28999,133.11,134.36,2244600
2024-12-09,136.78999,136.92999,133.87,133.99001,2371600
2024-12-06,134.82001,136.89999,134.72,136.75999,2142200
2024-12-05,136.41,136.73,133.74001,134.67,3158300
2024-12-04,139.19,139.19,133.99001,136.73,5925200
2024-12-03,136.36,137.99001,135.44,137.35001,4591600
2024-12-02,137.97,138.84,137.16,137.75999,1966800
2024-11-29,139.16,139.92999,138.10001,138.25,1036500
2024-11-27,138.8,140.91,138.71001,139.73,1551100
2024-11-26,140.33,140.64999,137.72,138.87,2338100
2024-11-25,140.98,141.17999,139.09,140.53999,3726900
2024-11-22,138.42,140.28999,137.84,140.28999,1679400
2024-11-21,136.67999,139.19,135.5,138.57001,2218900
2024-11-20,134.75999,136.53999,134.17999,136.50999,1821400
2024-11-19,131.14,134.53,130.91,134.44,1673900
2024-11-18,128.71001,132.74001,128.53999,132.60001,2641500
2024-11-15,128.3,130.83,128.03,129.0,3405300
2024-11-14,126.76,129.36,126.0,129.19,3014400
2024-11-13,129.45,130.55,126.28,127.02,4469100
2024-11-12,129.89999,130.75999,127.45,129.67,6888400
2024-11-11,123.35,124.12,122.0,123.8,5885600
2024-11-08,123.75,123.94,122.04,123.0,2562500
2024-11-07,125.95,126.34,124.01,124.6,2674100
2024-11-06,122.25,127.64,121.65,125.99,7205800
2024-11-05,117.79,118.56,116.81,117.62,1355000
2024-11-04,117.13,118.12,116.46,117.21,2192300
2024-11-01,117.72,119.24,117.0,117.15,1560400
2024-10-31,116.74,117.91,116.11,117.14,1637800
2024-10-30,118.44,119.47,116.64,117.2,2027400
2024-10-29,118.24,119.02,117.98,118.81,1327700
2024-10-28,117.16,119.4,116.91,118.43,1786100
2024-10-25,116.96,117.48,115.93,116.32,1063000
2024-10-24,115.3,116.78,114.6,116.45,1583600
2024-10-23,115.32,116.68,114.55,114.73,2186300
2024-10-22,114.75,116.28,114.34,115.68,1391800
2024-10-21,114.94,115.78,114.19,114.96,1298700
2024-10-18,115.21,115.95,114.57,114.94,1669000
2024-10-17,114.92,115.84,114.2,115.21,1919600
2024-10-16,114.74,114.85,112.91,114.41,1918000
2024-10-15,116.36,116.57,114.79,115.35,1951200
2024-10-14,114.92,116.45,114.51,115.84,2095400
2024-10-11,112.84,115.27,112.79,114.81,1860500
2024-10-10,112.43,113.88,111.84,112.69,1594900
2024-10-09,111.82,112.83,111.28,112.56,1597600
2024-10-08,111.67,111.95,110.58,111.59,1578200
