datetime,open,high,low,close,volume
2025-04-01,15.28,15.51,15.06,15.36,589100
2025-03-31,15.57,15.73,14.84,15.28,785000
2025-03-28,16.89,16.89,15.57,15.7,1089600
2025-03-27,16.31,16.63,15.74,16.63,889900
2025-03-26,16.57,16.6,15.98,16.02,723200
2025-03-25,16.88,17.35,16.42,16.48,687900
2025-03-24,15.83,17.09,15.83,16.76,1111900
2025-03-21,15.57,15.79,15.29,15.72,675700
2025-03-20,15.41,16.11,15.4,16.01,545900
2025-03-19,16.48,16.58,15.78,15.8,1033600
2025-03-18,17.13,17.31,16.54,16.6,872900
2025-03-17,16.19,16.82,16.04,16.82,559400
2025-03-14,16.48,16.58,15.85,16.07,562800
2025-03-13,15.83,16.46,15.74,16.07,652600
2025-03-12,15.01,15.89,15.01,15.74,627100
2025-03-11,14.4,15.33,14.37,15.22,831000
2025-03-10,14.81,14.81,13.96,14.18,618500
2025-03-07,15.11,15.4,14.54,14.95,554500
2025-03-06,15.25,15.45,14.88,15.04,563100
2025-03-05,14.6,15.42,14.57,15.41,719100
2025-03-04,15.09,15.09,14.17,14.57,702800
2025-03-03,15.35,15.56,14.62,14.74,565100
2025-02-28,14.83,15.03,14.45,15.01,571000
2025-02-27,15.64,15.85,15.01,15.01,462000
2025-02-26,15.25,16.06,15.16,15.97,356000
2025-02-25,15.42,15.62,14.98,15.41,431800
2025-02-24,15.93,15.95,15.26,15.68,731600
2025-02-21,16.69,16.84,15.73,15.76,1277500
2025-02-20,16.39,16.99,16.39,16.89,425900
2025-02-19,16.44,16.57,16.08,16.37,441600
2025-02-18,16.65,16.77,16.25,16.57,682100
2025-02-14,17.29,17.31,16.22,16.4,938900
2025-02-13,16.98,17.11,16.81,17.1,722200
2025-02-12,16.19,17.09,16.13,16.91,694700
2025-02-11,16.12,16.4,16.03,16.23,646100
2025-02-10,16.02,16.57,16.02,16.37,946200
2025-02-07,16.2,16.28,15.66,15.79,745800
2025-02-06,16.09,16.28,15.82,16.11,675000
2025-02-05,16.57,16.68,15.91,16.19,946900
2025-02-04,16.07,16.23,15.78,16.1,633100
2025-02-03,15.88,16.18,15.59,15.94,827500
2025-01-31,16.27,16.35,15.65,15.8,456200
2025-01-30,15.74,16.75,15.68,16.28,695700
2025-01-29,14.65,15.4,14.65,15.25,559800
2025-01-28,14.52,14.85,14.28,14.62,421700
2025-01-27,14.99,14.99,14.35,14.49,375300
2025-01-24,15.19,15.56,15.09,15.15,321300
2025-01-23,14.8,15.25,14.75,14.98,438100
2025-01-22,15.45,15.45,14.99,15.01,288600
2025-01-21,15.39,15.59,15.12,15.22,376300
2025-01-17,15.01,15.61,14.79,15.17,639700
2025-01-16,15.13,15.77,14.98,15.08,925200
2025-01-15,14.81,15.1,14.54,14.97,694700
2025-01-14,13.8,14.66,13.8,14.66,572800
2025-01-13,13.81,13.84,13.57,13.74,323900
2025-01-10,14.56,14.7,14.02,14.04,426600
2025-01-08,14.29,14.41,14.01,14.3,388400
2025-01-07,14.42,14.72,14.05,14.17,355500
2025-01-06,14.22,14.34,13.97,14.16,333400
2025-01-03,14.42,14.49,14.03,14.03,309300
2025-01-02,13.78,14.47,13.78,14.4,447000
2024-12-31,13.27,13.64,13.27,13.6,363700
2024-12-30,13.81,13.81,13.2,13.3,767300
2024-12-27,13.85,13.9,13.62,13.79,298300
2024-12-26,13.92,14.07,13.87,14.03,286800
2024-12-24,13.93,14.05,13.79,13.94,129700
2024-12-23,13.76,13.94,13.73,13.93,261100
2024-12-20,13.98,14.2,13.8,13.83,1064200
2024-12-19,14.0,14.09,13.62,13.87,773800
2024-12-18,14.62,14.69,13.77,13.81,573100
2024-12-17,14.52,14.83,14.48,14.76,400500
2024-12-16,14.96,15.03,14.73,14.85,507800
2024-12-13,15.06,15.15,14.7,14.94,489800
2024-12-12,15.55,15.69,15.3,15.3,374300
2024-12-11,15.81,16.19,15.76,15.93,415500
2024-12-10,15.83,15.96,15.53,15.63,475000
2024-12-09,15.19,16.26,15.15,15.73,779600
2024-12-06,15.29,15.29,14.78,15.11,672500
2024-12-05,15.49,15.66,15.29,15.34,333400
2024-12-04,15.94,16.1,15.5,15.54,557600
2024-12-03,15.4,16.18,15.38,15.9,695100
2024-12-02,15.38,15.5,15.19,15.32,535600
2024-11-29,15.5,15.73,15.25,15.37,242000
2024-11-27,15.52,15.59,15.27,15.35,287200
2024-11-26,15.2,15.42,14.97,15.34,335900
2024-11-25,15.02,15.25,14.77,15.12,643500
2024-11-22,15.61,15.76,15.37,15.49,486000
2024-11-21,15.87,15.93,15.41,15.62,599900
2024-11-20,15.71,15.75,15.32,15.68,490400
2024-11-19,15.99,16.02,15.47,15.78,375000
2024-11-18,15.37,16.01,15.35,15.72,678400
2024-11-15,15.34,15.34,14.87,14.9,1335900
2024-11-14,14.51,15.31,14.51,15.2,1354100
2024-11-13,15.53,15.61,14.74,14.75,507500
2024-11-12,15.12,15.61,15.02,15.22,765100
2024-11-11,15.42,15.47,14.71,15.19,1284900
2024-11-08,16.32,16.46,15.77,16.05,771900
2024-11-07,16.55,16.78,16.14,16.65,624100
2024-11-06,15.45,16.36,14.79,16.17,987400
2024-11-05,16.66,16.87,16.42,16.55,333700
2024-11-04,16.81,16.86,16.33,16.45,501200
2024-11-01,17.35,17.36,16.75,16.75,558400
2024-10-31,17.0,17.4,16.71,17.09,1037600
2024-10-30,17.98,17.98,17.49,17.73,800100
2024-10-29,18.0,18.27,17.83,17.99,856000
2024-10-28,17.4,17.94,17.27,17.76,666100
2024-10-25,17.99,17.99,17.31,17.43,1128900
2024-10-24,17.79,17.9,17.18,17.86,942500
2024-10-23,17.59,17.85,17.25,17.8,990100
2024-10-22,17.95,18.01,17.53,17.83,1041400
2024-10-21,17.52,17.62,17.09,17.52,1135400
2024-10-18,16.06,16.94,15.95,16.74,1113100
2024-10-17,15.78,15.93,15.54,15.78,492700
2024-10-16,15.92,16.18,15.63,15.69,537500
2024-10-15,15.17,15.76,15.14,15.74,529300
2024-10-14,15.41,15.57,15.25,15.46,317200
2024-10-11,15.91,16.0,15.33,15.47,676700
2024-10-10,15.13,15.76,14.93,15.7,803000
2024-10-09,14.89,15.01,14.61,14.97,552100
2024-10-08,14.87,14.91,14.46,14.85,578700
2024-10-07,15.0,15.13,14.65,15.03,661700
2024-10-04,14.52,15.19,14.43,14.96,956700
2024-10-03,14.43,14.68,14.1,14.6,594400
2024-10-02,14.36,14.8,14.31,14.57,702500
2024-10-01,14.23,14.44,14.04,14.37,593400
2024-09-30,14.46,14.46,13.86,14.04,697500
2024-09-27,15.23,15.26,14.5,14.59,713600
2024-09-26,15.34,15.54,15.09,15.26,660800
2024-09-25,15.11,15.43,14.92,15.06,755800
2024-09-24,14.51,15.17,14.33,15.11,808800
2024-09-23,14.4,14.8,14.23,14.28,719100
2024-09-20,14.27,14.49,14.04,14.38,1204300
2024-09-19,14.52,14.53,14.04,14.12,405800
2024-09-18,14.47,14.81,13.93,13.96,808600
2024-09-17,14.33,14.65,14.17,14.47,448300
2024-09-16,14.46,14.67,14.29,14.41,792800
2024-09-13,13.9,14.55,13.84,14.53,1049100
2024-09-12,12.88,13.8,12.82,13.69,776800
2024-09-11,12.26,12.63,12.15,12.59,437800
2024-09-10,12.0,12.36,11.89,12.32,362200
2024-09-09,11.8,12.09,11.77,11.97,346900
2024-09-06,12.12,12.24,11.72,11.75,425700
2024-09-05,12.48,12.48,12.1,12.18,528100
2024-09-04,12.17,12.38,12.07,12.16,437900
2024-09-03,12.81,12.81,12.12,12.17,608500
2024-08-30,13.25,13.25,12.9,13.04,383400
2024-08-29,13.24,13.4,13.18,13.23,293600
2024-08-28,13.25,13.3,12.92,13.09,468900
2024-08-27,13.37,13.71,13.3,13.59,277900
2024-08-26,13.52,13.73,13.35,13.58,321200
2024-08-23,13.56,13.7,13.31,13.51,489800
2024-08-22,13.56,13.65,13.22,13.4,316800
2024-08-21,13.5,13.78,13.3,13.76,303300
2024-08-20,13.7,13.79,13.38,13.59,536500
2024-08-19,12.96,13.57,12.91,13.46,554700
2024-08-16,13.18,13.23,12.82,13.01,586600
2024-08-15,12.54,13.07,12.48,12.94,507200
2024-08-14,12.46,12.61,12.24,12.47,327500
2024-08-13,12.23,12.64,12.23,12.47,363200
2024-08-12,12.14,12.45,11.94,12.3,487600
2024-08-09,12.08,12.13,11.9,12.04,347400
2024-08-08,11.85,12.2,11.76,11.95,479000
2024-08-07,12.36,12.4,11.75,11.8,531200
2024-08-06,11.87,12.31,11.54,12.22,647500
2024-08-05,11.54,12.16,11.29,11.93,615900
2024-08-02,13.8,14.15,12.48,12.67,1266400
2024-08-01,13.5,13.62,12.83,13.16,691900
2024-07-31,13.48,13.86,13.48,13.7,493900
2024-07-30,13.27,13.45,13.16,13.33,305300
2024-07-29,13.19,13.27,12.88,13.25,368100
2024-07-26,13.16,13.2,12.94,13.07,450100
2024-07-25,12.89,13.19,12.77,12.95,599400
2024-07-24,13.49,14.07,13.46,13.46,930500
2024-07-23,13.15,13.44,13.14,13.3,327100
2024-07-22,13.16,13.26,12.91,13.21,313900
2024-07-19,12.94,13.42,12.83,13.19,640600
2024-07-18,13.75,13.86,13.21,13.4,824800
2024-07-17,13.93,14.11,13.54,13.75,688700
2024-07-16,13.48,14.04,13.25,14.0,743500
2024-07-15,13.57,13.57,13.22,13.28,666800
2024-07-12,13.28,13.67,13.28,13.61,623200
2024-07-11,13.74,13.74,13.2,13.55,827700
2024-07-10,12.58,13.29,12.51,13.25,691600
2024-07-09,12.37,12.5,12.26,12.37,338500
2024-07-08,12.38,12.49,12.21,12.43,365200
2024-07-05,12.42,12.65,12.37,12.47,519900
2024-07-03,12.15,12.49,12.15,12.25,415900
2024-07-02,11.6,11.91,11.58,11.85,426600
2024-07-01,11.74,11.79,11.55,11.58,244100
2024-06-28,11.9,11.99,11.59,11.67,369500
2024-06-27,11.81,11.92,11.75,11.77,304900
2024-06-26,11.5,11.71,11.41,11.67,672500
2024-06-25,11.88,11.88,11.62,11.7,403100
2024-06-24,12.08,12.13,11.86,11.93,456200
2024-06-21,12.36,12.36,11.9,11.97,1528300
2024-06-20,12.33,12.49,12.19,12.46,524500
2024-06-18,12.03,12.2,11.83,12.15,755100
2024-06-17,12.15,12.24,11.94,12.05,478800
2024-06-14,12.2,12.35,12.09,12.27,475400
2024-06-13,12.58,12.64,12.02,12.14,695800
2024-06-12,13.1,13.24,12.65,12.74,647300
2024-06-11,12.5,12.69,12.37,12.67,446000
2024-06-10,12.64,12.78,12.33,12.67,538700
2024-06-07,13.2,13.25,12.58,12.63,750400
2024-06-06,13.16,13.8,13.06,13.64,869000
2024-06-05,12.8,13.08,12.64,13.03,585000
2024-06-04,13.06,13.08,12.66,12.8,621500
2024-06-03,13.47,13.47,13.21,13.36,580000
2024-05-31,13.63,13.67,13.19,13.38,501800
2024-05-30,13.6,13.73,13.32,13.45,645100
2024-05-29,13.64,13.82,13.5,13.62,566200
2024-05-28,13.64,13.95,13.57,13.89,749400
2024-05-24,13.31,13.51,13.17,13.35,503800
2024-05-23,13.34,13.47,13.02,13.12,593000
2024-05-22,13.75,13.91,13.28,13.35,1037600
2024-05-21,14.09,14.13,13.82,13.96,823100
2024-05-20,14.28,14.3,13.67,14.1,1296600
2024-05-17,13.74,14.06,13.59,14.06,1545800
2024-05-16,12.92,13.47,12.78,13.38,858900
