datetime,open,high,low,close,volume
2025-04-01,6.48,6.59,6.3,6.34,252000
2025-03-31,6.26,6.57,6.17,6.51,312000
2025-03-28,6.62,6.7,6.22,6.34,172600
2025-03-27,6.42,6.69,6.409,6.62,135300
2025-03-26,6.66,6.66,6.323,6.39,176900
2025-03-25,6.61,6.805,6.53,6.67,417400
2025-03-24,6.54,6.75,6.485,6.61,319200
2025-03-21,6.36,6.49,6.35,6.41,347500
2025-03-20,6.2,6.42,6.13,6.39,232700
2025-03-19,6.13,6.27,6.05,6.26,143200
2025-03-18,6.39,6.39,6.06,6.11,206600
2025-03-17,6.28,6.47,6.28,6.44,110600
2025-03-14,6.43,6.53,6.16,6.29,554800
2025-03-13,6.2,6.48,6.1,6.37,342500
2025-03-12,6.18,6.28,6.02,6.2,357600
2025-03-11,5.68,6.12,5.63,6.07,338500
2025-03-10,5.86,5.955,5.64,5.66,254700
2025-03-07,5.67,5.965,5.63,5.92,265500
2025-03-06,5.72,5.85,5.5,5.66,339700
2025-03-05,5.88,5.94,5.59,5.82,247700
2025-03-04,5.9,6.02,5.85,5.89,229700
2025-03-03,6.2,6.287,5.95,6.0,175100
2025-02-28,5.98,6.115,5.9,6.115,156100
2025-02-27,6.42,6.45,5.938,5.96,273500
2025-02-26,6.2,6.435,6.18,6.41,222200
2025-02-25,5.94,6.24,5.86,6.19,463500
2025-02-24,6.29,6.4,5.81,5.93,688100
2025-02-21,7.03,7.045,6.245,6.29,586200
2025-02-20,7.0,7.041,6.91,6.92,216100
2025-02-19,6.98,7.07,6.823,7.0,229800
2025-02-18,7.27,7.27,7.005,7.05,219700
2025-02-14,7.43,7.45,7.17,7.27,177600
2025-02-13,7.35,7.45,7.1,7.42,268000
2025-02-12,7.4,7.61,7.26,7.26,176900
2025-02-11,7.44,7.62,7.355,7.53,232900
2025-02-10,7.16,7.56,7.08,7.54,239300
2025-02-09,7.16,7.56,7.08,7.54,239322
2025-02-07,7.5,7.55,7.14,7.16,457400
2025-02-06,7.79,8.0,7.36,7.5,420100
2025-02-05,7.76,8.0,7.55,7.78,221300
2025-02-04,7.59,7.94,7.58,7.74,136500
2025-02-03,7.59,7.94,7.58,7.74,136822
2025-01-31,7.87,8.0,7.65,7.7,193000
2025-01-30,7.64,7.94,7.62,7.88,143600
2025-01-29,7.53,7.66,7.391,7.62,178000
2025-01-28,7.59,7.77,7.25,7.46,243100
2025-01-27,7.75,7.83,7.4,7.54,185700
2025-01-24,7.85,8.08,7.79,7.9,188900
2025-01-23,7.76,7.91,7.63,7.84,186800
2025-01-22,8.05,8.15,7.78,7.79,245400
2025-01-21,7.89,8.2,7.87,8.11,201500
2025-01-17,7.82,7.99,7.73,7.8,371500
2025-01-16,7.72,7.78,7.4,7.66,368400
2025-01-15,7.23,7.78,7.085,7.75,496200
2025-01-14,6.78,7.22,6.77,7.08,536200
2025-01-13,6.61,6.88,6.61,6.72,169300
2025-01-10,6.75,6.93,6.51,6.72,563600
2025-01-08,7.06,7.12,6.8,6.81,275600
2025-01-07,7.29,7.39,6.77,7.11,883200
2025-01-06,7.79,7.9,7.285,7.3,493900
2025-01-03,7.73,7.9,7.59,7.77,224600
2025-01-02,8.01,8.2,7.57,7.67,330100
2024-12-31,8.0,8.045,7.86,7.96,315400
2024-12-30,7.67,7.94,7.55,7.92,321000
2024-12-27,7.9,7.94,7.616,7.74,367300
2024-12-26,7.58,7.92,7.42,7.9,205500
2024-12-24,7.63,7.74,7.518,7.56,135700
2024-12-23,7.37,7.625,7.19,7.6,376400
2024-12-20,7.36,7.5,7.28,7.45,709400
2024-12-19,7.77,7.8,7.21,7.5,803700
2024-12-18,8.22,8.25,7.76,7.765,754500
2024-12-17,8.24,9.014,8.02,8.25,1344000
2024-12-16,9.6,9.83,9.37,9.7,889000
2024-12-13,9.54,9.59,9.15,9.47,347200
2024-12-12,9.5,9.97,9.33,9.49,424600
2024-12-11,9.33,9.73,9.18,9.46,361600
2024-12-10,9.24,9.93,8.94,9.58,602200
2024-12-09,9.26,9.417,8.82,9.14,489700
2024-12-06,9.67,9.77,9.1,9.17,384600
2024-12-05,9.85,9.98,9.61,9.65,255600
2024-12-04,9.85,9.95,9.6,9.84,369000
2024-12-03,9.69,9.87,9.52,9.85,319900
2024-12-02,9.85,9.85,9.5,9.68,238500
2024-11-29,9.63,9.87,9.35,9.77,166000
2024-11-27,9.31,9.64,9.21,9.59,234200
2024-11-26,9.3,9.48,9.12,9.32,455600
2024-11-25,9.288,9.46,8.93,9.3,343900
2024-11-22,8.7,9.2,8.7,9.16,261000
2024-11-21,8.49,8.78,8.26,8.67,349100
2024-11-20,8.34,8.55,8.258,8.44,244100
2024-11-19,7.71,8.38,7.65,8.34,251900
2024-11-18,7.76,7.96,7.7,7.77,103200
2024-11-15,7.95,8.01,7.65,7.73,186300
2024-11-14,8.23,8.28,7.85,7.89,150500
2024-11-13,8.49,8.58,8.14,8.2,170300
2024-11-12,8.3,8.61,8.23,8.39,341600
2024-11-11,7.95,8.41,7.9,8.38,325800
2024-11-08,7.875,8.08,7.7,7.87,190000
2024-11-07,7.81,8.17,7.8,7.84,328100
2024-11-06,7.66,7.94,7.6,7.79,316400
2024-11-05,7.08,7.39,7.08,7.36,291700
2024-11-04,7.15,7.29,6.97,7.11,235200
2024-11-01,7.35,7.49,6.9,7.165,554100
2024-10-31,8.0,8.08,7.432,7.45,349700
2024-10-30,7.91,8.08,7.8,8.04,229000
2024-10-29,7.71,7.91,7.64,7.895,152700
2024-10-28,7.64,7.83,7.53,7.71,153500
2024-10-25,7.66,7.78,7.52,7.58,167800
2024-10-24,7.61,7.75,7.59,7.63,137200
2024-10-23,7.65,7.74,7.55,7.6,129000
2024-10-22,7.73,7.85,7.585,7.67,158300
2024-10-21,7.97,8.0,7.68,7.71,233600
