datetime,open,high,low,close,volume
2025-04-01,237.48,238.98,233.42,238.24001,1451300
2025-03-31,234.8,239.67999,230.92,238.2,1948800
2025-03-28,243.41,243.41,236.0,237.00999,1570700
2025-03-27,245.23,245.98,239.69,244.45,1952900
2025-03-26,247.25999,250.42999,246.07001,246.72,1842200
2025-03-25,243.73,246.75,241.60001,246.48,1401100
2025-03-24,241.07001,243.49001,239.27,242.92,1935600
2025-03-21,235.78999,237.94,229.38,237.49001,4301000
2025-03-20,244.91,248.02,243.89,244.84,922600
2025-03-19,241.60001,248.60001,241.53,247.62,1373500
2025-03-18,247.08,247.21001,239.92999,240.39,1253600
2025-03-17,243.92,249.39999,242.24001,248.11,1971900
2025-03-14,239.42,243.62,239.0,243.11,1414000
2025-03-13,243.47,243.92,236.21001,237.28999,2026600
2025-03-12,248.0,249.03999,240.19,243.81,2349800
2025-03-11,254.87,255.92999,243.32001,246.31,3143000
2025-03-10,258.35999,260.69,255.07001,257.22,2447300
2025-03-07,261.45001,264.98001,256.64999,262.75,2337400
2025-03-06,268.38,268.54999,262.14001,262.63,1663100
2025-03-05,269.54999,272.47,268.01999,271.10001,1456000
2025-03-04,276.41,276.41,268.0,270.79999,2390100
2025-03-03,280.0,284.48001,275.37,277.72,1635200
2025-02-28,278.97,282.35001,277.76001,280.45001,2269800
2025-02-27,281.48001,283.66,276.67999,277.20999,1571200
2025-02-26,279.17001,285.0,278.92999,282.16,1607600
2025-02-25,277.66,277.78,271.70001,277.45999,1807600
2025-02-24,279.35001,280.60001,274.73999,276.76001,2058300
2025-02-21,286.64999,287.20001,275.0,277.47,1983200
2025-02-20,286.92001,287.64999,283.31,287.20001,1153100
2025-02-19,286.48001,288.92999,283.94,287.56,1414100
2025-02-18,283.51999,289.29999,280.88,288.42001,1601800
2025-02-14,290.28,290.56,283.07999,283.51999,1659900
2025-02-13,290.67001,291.45999,285.91,288.23999,1899300
2025-02-12,283.98001,291.47,283.48999,290.45001,2692500
2025-02-11,291.32001,295.59,285.01999,288.0,3055500
2025-02-10,305.92001,306.22,301.35999,304.45001,1770800
2025-02-07,304.92999,307.51999,302.85999,303.97,1662500
2025-02-06,293.98001,304.13,293.5,302.95001,1826800
2025-02-05,291.06,293.14001,288.07999,292.39001,1329700
2025-02-04,291.48001,291.85999,289.10001,290.75,1401800
2025-02-03,286.79001,290.97,283.09,290.45999,1218000
2025-01-31,291.64999,293.70999,289.29001,290.59,1293100
2025-01-30,290.92001,294.98999,290.92001,292.54001,1030500
2025-01-29,289.37,290.26999,287.19,289.66,1302200
2025-01-28,287.29999,290.88,286.32999,288.64001,1403400
2025-01-27,281.45001,288.26999,280.42001,288.04999,1569700
2025-01-24,285.0,286.59,282.35001,284.10999,1339800
2025-01-23,281.79001,285.14001,277.41,285.07001,1694400
2025-01-22,277.76999,280.78,277.70999,280.41,1412400
2025-01-21,271.26999,278.04999,269.72,277.72,2772900
2025-01-17,279.0,279.60001,276.5,277.17999,1805200
2025-01-16,276.0,277.82001,275.04999,276.0,1588200
2025-01-15,281.60001,283.59,275.81,276.04999,1513400
2025-01-14,273.0,276.73999,272.07001,276.42999,1106000
2025-01-13,270.38,273.32999,269.84,272.29001,935700
2025-01-10,273.17001,275.16,270.53,270.76001,1317600
2025-01-08,270.07999,273.89999,269.82999,273.53,1172200
2025-01-07,271.51999,273.89999,269.28,269.78,1132100
2025-01-06,275.25,275.91,272.0,272.62,1260300
2025-01-03,276.07001,276.95001,272.19,275.28,1773000
2025-01-02,281.16,281.23999,273.51001,274.45001,1211900
2024-12-31,280.98001,281.20001,278.20999,278.94,740200
2024-12-30,281.67999,282.10001,277.48999,280.31,1021000
2024-12-27,284.01001,286.04999,280.78,283.66,717600
2024-12-26,285.01001,287.26999,284.85001,286.56,473700
2024-12-24,283.63,286.54999,282.76001,286.39001,424000
2024-12-23,283.48999,284.16,280.48001,283.63,907800
2024-12-20,276.82999,286.92999,276.81,283.95999,2619100
2024-12-19,281.20001,282.79001,278.19,279.01999,1489900
2024-12-18,289.5,291.25,277.53,277.64999,1861100
2024-12-17,288.76999,291.32001,288.45999,289.44,1310600
2024-12-16,287.57999,292.07001,286.34,290.39999,976900
2024-12-13,288.60999,289.59,286.07001,287.07999,797200
2024-12-12,292.67999,294.01001,289.75,289.98999,1168000
2024-12-11,289.98999,292.95999,289.54001,291.73001,876800
2024-12-10,289.01001,289.75,285.5,287.67001,866700
2024-12-09,292.48999,293.87,286.28,286.97,1064700
2024-12-06,292.69,295.45001,292.34,292.59,1013100
2024-12-05,289.95999,294.64999,289.88,292.48001,1307400
2024-12-04,286.07999,290.01001,284.5,289.63,1115400
2024-12-03,287.20999,287.98999,283.70999,284.92999,928800
2024-12-02,288.97,289.94,284.64001,286.23999,1574300
2024-11-29,285.54999,290.42999,285.54001,289.09,702400
2024-11-27,287.88,287.89999,284.62,285.60001,1112900
2024-11-26,288.79999,289.79999,286.53,288.17999,1459100
2024-11-25,286.07999,289.63,285.79999,288.0,1808400
2024-11-22,283.32999,284.95001,282.88,284.29001,990300
2024-11-21,281.92001,283.82999,280.26999,283.44,944500
2024-11-20,279.54999,280.82999,278.54001,280.17999,938600
2024-11-19,279.29999,280.70999,276.28,279.26999,890500
2024-11-18,280.59,282.23999,278.04999,281.45001,1733900
2024-11-15,281.98999,282.45999,277.67001,278.78,1751100
2024-11-14,286.48001,287.51001,281.76001,282.01999,1396800
2024-11-13,284.69,289.04001,284.35999,286.47,1274000
2024-11-12,285.62,287.0,283.70999,286.01999,1143200
2024-11-11,281.07001,286.19,281.07001,285.91,1895500
2024-11-08,277.81,282.79999,277.20999,280.79999,1516600
2024-11-07,276.13,278.5,273.85999,277.67999,1472700
2024-11-06,270.10999,277.41,268.48999,276.26001,2148500
2024-11-05,254.08,261.07001,254.08,259.66,1604300
2024-11-04,255.42999,256.69,249.55,256.42999,2222000
2024-11-01,258.48001,263.39001,258.42999,260.57001,1481600
2024-10-31,264.26001,265.37,259.92001,260.01999,1308100
2024-10-30,263.67001,265.60001,263.25,264.26001,897800
2024-10-29,262.79999,265.10999,262.28,263.89001,791500
2024-10-28,264.35001,264.60001,260.67999,262.54999,1127500
2024-10-25,263.31,265.13,261.35999,262.12,1162000
2024-10-24,259.97,261.82001,257.42999,260.63,1195100
2024-10-23,260.48001,263.0,255.48,257.82001,1990300
2024-10-22,264.79999,265.89001,263.35001,265.5,1198100
2024-10-21,264.48999,266.44,263.26001,264.97,869100
2024-10-18,264.57001,266.57999,263.07999,265.60001,886800
2024-10-17,264.5,265.20001,262.29001,264.57001,1163500
2024-10-16,260.42999,263.29001,259.60001,262.57001,709200
2024-10-15,261.37,263.32001,259.5,260.57999,1252400
2024-10-14,261.22,263.34,260.42001,261.56,1139700
2024-10-11,261.23001,264.14001,261.04999,262.63,1084700
2024-10-10,260.89001,261.92001,259.29001,260.54001,1038200
2024-10-09,256.29001,263.01999,256.0,261.88,1442600
2024-10-08,255.32001,257.35001,253.53,256.57999,1207900
2024-10-07,254.0,255.85001,253.07001,255.16,2406700
2024-10-04,253.28,254.84,252.22,254.61,1129400
2024-10-03,246.06,249.67,246.00999,249.48,935600
2024-10-02,245.28999,249.0,244.85001,248.82001,857600
2024-10-01,248.71001,249.31,243.10001,246.08,1382500
2024-09-30,252.05,253.95,246.46001,248.60001,1646300
2024-09-27,252.81,254.42999,251.67,253.03999,1238400
