datetime,open,high,low,close,volume
2025-04-01,25.81,25.81,25.62,25.62,800
2025-03-31,25.673,25.673,25.673,25.673,800
2025-03-28,25.35,25.35,25.35,25.35,0
2025-03-27,25.35,25.35,25.35,25.35,400
2025-03-26,25.36,25.36,25.35,25.35,600
2025-03-25,25.35,25.35,25.35,25.35,400
2025-03-24,25.35,25.35,25.35,25.35,0
2025-03-21,25.35,25.35,25.35,25.35,300
2025-03-20,25.31,25.31,25.31,25.31,300
2025-03-19,25.18,25.68,25.18,25.24,1800
2025-03-18,25.13,25.389,25.13,25.389,400
2025-03-17,25.2,25.4,25.058,25.11,2700
2025-03-14,25.534,25.534,25.534,25.534,0
2025-03-13,25.795,25.795,25.534,25.534,1300
2025-03-12,25.77,25.775,25.77,25.775,1000
2025-03-11,25.53,25.79,25.53,25.76,1800
2025-03-10,25.273,25.5,25.273,25.5,1500
2025-03-07,25.28,25.333,25.26,25.27,1100
2025-03-06,25.26,25.5,25.26,25.5,1800
2025-03-05,25.262,25.262,25.262,25.262,0
2025-03-04,25.262,25.262,25.262,25.262,1600
2025-03-03,25.425,25.425,25.425,25.425,0
2025-02-28,25.425,25.425,25.425,25.425,100
2025-02-27,25.3,25.3,25.3,25.3,2700
2025-02-26,25.415,25.5,25.317,25.317,1400
2025-02-25,25.513,25.513,25.513,25.513,400
2025-02-24,25.415,25.415,25.3,25.3,1200
2025-02-21,25.427,25.427,25.427,25.427,0
2025-02-20,25.427,25.427,25.427,25.427,400
2025-02-19,25.27,25.53,25.27,25.49,600
2025-02-18,25.498,25.498,25.498,25.498,400
2025-02-14,25.17,25.17,25.17,25.17,100
2025-02-13,25.31,25.35,25.3,25.35,1400
2025-02-12,25.365,25.37,25.365,25.37,700
2025-02-11,25.5,25.5,25.5,25.5,100
2025-02-10,25.3,25.3,25.29,25.3,1000
2025-02-07,25.25,25.25,25.18,25.207,4800
2025-02-06,25.46,25.46,25.46,25.46,0
2025-02-05,25.352,25.46,25.352,25.46,400
2025-02-04,25.45,25.45,25.45,25.45,400
2025-02-03,25.57,25.73,25.103,25.103,1500
2025-01-31,25.21,25.37,25.21,25.37,1800
2025-01-30,25.45,25.45,25.45,25.45,0
2025-01-29,25.45,25.45,25.45,25.45,0
2025-01-28,25.79,25.79,25.45,25.45,1000
2025-01-27,25.8,25.8,25.77,25.77,400
2025-01-24,25.74,25.74,25.48,25.48,1100
2025-01-23,25.65,25.65,25.65,25.65,0
2025-01-22,25.15,25.8,25.1,25.65,4900
2025-01-21,25.11,25.11,25.11,25.11,300
2025-01-17,24.98,24.98,24.98,24.98,0
2025-01-16,25.16,25.543,24.7,24.98,5200
2025-01-15,25.43,25.44,25.4,25.4,2000
2025-01-14,25.13,25.69,25.13,25.6,4200
2025-01-13,25.213,25.45,25.15,25.393,1100
2025-01-10,25.31,25.6,25.31,25.6,600
2025-01-08,25.325,25.325,25.325,25.325,0
2025-01-07,25.64,25.64,25.325,25.325,1200
2025-01-06,25.25,25.25,25.25,25.25,400
2025-01-03,25.295,25.63,25.17,25.33,1600
2025-01-02,25.687,25.687,25.131,25.131,2700
2024-12-31,25.11,25.3,25.09,25.29,1600
2024-12-30,25.07,25.07,25.07,25.07,479
2024-12-27,25.04,25.39,25.04,25.07,1000
2024-12-26,25.48,25.48,24.96,25.2,1500
2024-12-24,25.47,25.47,25.3,25.46,1600
2024-12-23,25.1,25.2,25.1,25.1,2700
2024-12-20,24.75,25.28,24.34,25.1,6500
2024-12-19,24.961,24.961,24.961,24.961,300
2024-12-18,25.1,25.1,25.099,25.099,900
2024-12-17,25.0,25.0,25.0,25.0,700
2024-12-16,25.0,25.1,25.0,25.09,1900
2024-12-13,25.39,25.39,25.39,25.39,800
2024-12-12,25.393,25.393,25.393,25.393,1400
2024-12-11,25.41,25.45,25.4,25.45,6600
2024-12-10,25.381,25.41,25.37,25.37,600
2024-12-09,25.34,25.34,25.25,25.27,4700
2024-12-06,25.44,25.45,25.385,25.45,2800
2024-12-05,25.5,25.5,25.3,25.362,3700
2024-12-04,25.52,25.52,25.34,25.5,5100
2024-12-03,25.531,25.64,25.53,25.64,1000
2024-12-02,25.79,25.79,25.79,25.79,300
2024-11-29,25.997,25.997,25.997,25.997,86
2024-11-27,25.7,25.997,25.7,25.997,1200
2024-11-26,25.7,25.7,25.7,25.7,1
2024-11-25,25.7,25.7,25.7,25.7,1
2024-11-22,25.7,25.7,25.7,25.7,500
2024-11-21,26.361,26.361,26.361,26.361,40
2024-11-20,25.695,26.361,25.695,26.361,600
2024-11-19,26.0,26.28,25.903,25.903,4800
2024-11-18,26.4,26.4,26.4,26.4,0
2024-11-15,26.39,27.0,26.0,26.4,5900
2024-11-14,25.8,26.81,25.8,26.43,3700
2024-11-13,25.768,25.768,25.768,25.768,0
2024-11-12,25.4,25.768,25.4,25.768,700
2024-11-11,25.42,25.75,25.42,25.75,900
2024-11-08,25.38,25.38,25.38,25.38,200
2024-11-07,25.35,25.796,25.35,25.35,2000
2024-11-06,25.37,25.37,25.37,25.37,0
2024-11-05,25.37,25.37,25.37,25.37,200
2024-11-04,25.67,25.67,25.5,25.525,600
2024-11-01,25.5,25.93,25.35,25.93,1500
2024-10-31,25.35,25.865,25.35,25.865,800
2024-10-30,25.615,25.615,25.37,25.37,500
2024-10-29,25.35,25.7,25.35,25.7,800
2024-10-28,25.545,25.68,25.35,25.35,3800
2024-10-25,25.29,25.29,25.29,25.29,1
2024-10-24,25.306,25.306,25.25,25.29,600
2024-10-23,25.7,25.7,25.7,25.7,200
2024-10-22,25.45,25.45,25.43,25.43,500
2024-10-21,25.25,25.25,25.25,25.25,400
2024-10-18,25.25,25.55,25.25,25.4,1200
2024-10-17,25.337,25.55,25.25,25.274,1000
2024-10-16,25.17,26.408,25.17,25.5,4100
2024-10-15,25.3,25.3,25.3,25.3,2500
2024-10-14,25.299,25.299,25.17,25.17,1600
2024-10-11,25.28,25.3,25.1,25.1,3600
2024-10-10,25.19,25.19,25.143,25.18,1600
2024-10-09,25.1,25.17,25.09,25.09,1100
2024-10-08,25.08,25.18,25.04,25.17,3700
2024-10-07,24.98,25.08,24.93,24.93,11800
2024-10-04,24.984,24.984,24.839,24.929,1300
2024-10-03,24.967,25.063,24.95,25.063,700
2024-10-02,25.057,25.11,24.98,24.98,4800
2024-10-01,24.66,24.89,24.66,24.89,2000
2024-09-30,24.54,24.61,24.54,24.6,3800
2024-09-27,24.585,24.67,24.52,24.53,1900
2024-09-26,24.6,24.71,24.59,24.59,1100
2024-09-25,24.57,24.738,24.417,24.516,3900
2024-09-24,24.55,24.67,24.25,24.4,19700
2024-09-23,24.6,24.88,24.55,24.75,10200
2024-09-20,24.67,24.8,24.61,24.66,3400
2024-09-19,24.85,24.88,24.75,24.77,4600
2024-09-18,24.78,24.81,24.7,24.8,4500
2024-09-17,24.664,24.79,24.65,24.79,2600
2024-09-16,24.67,24.87,24.57,24.57,1800
2024-09-13,24.96,25.087,24.96,25.02,2300
2024-09-12,24.89,25.17,24.89,25.105,600
2024-09-11,25.14,25.14,24.95,25.08,3000
2024-09-10,25.17,25.176,25.055,25.09,3000
2024-09-09,25.173,25.173,25.12,25.12,300
2024-09-06,25.139,25.139,25.139,25.139,0
2024-09-05,25.045,25.139,25.045,25.139,1700
2024-09-04,24.84,25.18,24.84,25.18,700
2024-09-03,24.86,24.88,24.86,24.88,900
2024-08-30,24.95,24.97,24.856,24.856,1100
2024-08-29,24.84,24.98,24.84,24.98,700
2024-08-28,24.84,24.94,24.84,24.93,2400
2024-08-27,24.7,24.93,24.65,24.93,2400
2024-08-26,24.766,24.77,24.52,24.77,7100
2024-08-23,24.88,24.98,24.57,24.8,7700
2024-08-22,24.95,24.95,24.95,24.95,0
2024-08-21,24.98,24.98,24.85,24.95,1300
2024-08-20,24.82,24.94,24.52,24.93,18600
2024-08-19,25.0,25.18,24.995,24.995,500
2024-08-16,24.97,25.0,24.97,24.97,1000
2024-08-15,24.9,24.965,24.9,24.965,700
2024-08-14,24.992,24.992,24.992,24.992,200
2024-08-13,25.03,25.03,24.87,24.87,1000
2024-08-12,25.0,25.05,24.859,24.859,2600
2024-08-09,24.985,25.0,24.985,25.0,900
2024-08-08,25.0,25.0,24.85,25.0,4600
2024-08-07,25.0,25.0,25.0,25.0,29
2024-08-06,24.98,25.0,24.98,25.0,1400
2024-08-05,24.75,24.8,24.62,24.8,1300
2024-08-02,24.944,24.944,24.944,24.944,400
2024-08-01,24.95,25.0,24.944,24.944,1900
2024-07-31,24.8,25.0,24.8,24.91,1700
2024-07-30,24.77,25.0,24.519,25.0,2300
2024-07-29,24.71,24.8,24.6,24.8,2400
2024-07-26,24.88,24.88,24.76,24.76,1000
2024-07-25,24.74,24.89,24.74,24.86,3600
2024-07-24,24.7,24.7,24.7,24.7,300
2024-07-23,24.835,24.835,24.355,24.7,11500
