datetime,open,high,low,close,volume
2025-02-06,0.123,0.123,0.111,0.111,1096818
2025-01-16,0.123,0.123,0.111,0.111,965701
2024-12-29,0.0005,0.0005,0.0005,0.0005,2000
2024-12-16,0.0001,0.0001,0.0001,0.0001,109
2024-12-15,0.0001,0.0001,0.0001,0.0001,4285
2024-12-09,0.005,0.005,0.005,0.005,100000
2024-12-03,0.0001,0.0001,0.0001,0.0001,920
2024-11-26,0.123,0.123,0.111,0.111,965701
2024-11-24,0.0001,0.0001,0.0001,0.0001,120
2024-11-18,0.0001,0.0001,0.0001,0.0001,650
2024-11-14,0.123,0.123,0.111,0.111,965701
2024-11-07,0.0001,0.0001,0.0001,0.0001,1000
2024-10-30,0.0001,0.0001,0.0001,0.0001,6723
2024-10-14,0.0001,0.0001,0.0001,0.0001,4220
2024-10-10,0.0001,0.0001,0.0001,0.0001,2967
2024-10-07,0.0002,0.0002,0.0002,0.0002,3696
2024-09-26,0.0002,0.0002,0.0002,0.0002,11006
2024-09-17,0.123,0.123,0.111,0.111,1096818
2024-08-28,0.123,0.123,0.111,0.111,1096818
2024-08-22,0.0001,0.0001,0.0001,0.0001,3271
2024-08-19,0.123,0.123,0.111,0.111,1096818
2024-07-25,0.123,0.123,0.111,0.111,1096818
2024-07-19,0.123,0.1454,0.11,0.111,1096818
2024-07-18,0.123,0.123,0.111,0.111,965701
2024-06-11,0.0549,0.0549,0.0549,0.0549,4340
2024-05-23,0.0002,0.0002,0.0002,0.0002,1333
2024-05-21,0.0002,0.0002,0.0002,0.0002,0
2024-05-19,0.0002,0.0002,0.0002,0.0002,0
2024-05-13,0.0002,0.0002,0.0002,0.0002,0
2024-05-09,0.0002,0.0002,0.0002,0.0002,0
2024-05-08,0.0002,0.0002,0.0002,0.0002,0
2024-05-01,0.0002,0.0002,0.0002,0.0002,0
2024-04-30,0.0001,0.0001,0.0001,0.0001,0
2024-04-29,0.0001,0.0001,0.0001,0.0001,0
2024-04-25,0.0001,0.0001,0.0001,0.0001,0
2024-04-16,0.0002,0.0002,0.0002,0.0002,0
2024-04-15,0.0001,0.0001,0.0001,0.0001,0
2024-04-10,0.0001,0.0001,0.0001,0.0001,0
2024-04-08,0.0001,0.0001,0.0001,0.0001,0
2024-04-04,0.0001,0.0001,0.0001,0.0001,0
2024-04-03,0.0001,0.0001,0.0001,0.0001,0
