datetime,open,high,low,close,volume
2025-04-01,463.07999,469.98999,462.38,468.78,674200
2025-03-31,458.57999,468.34,456.04001,465.69,866500
2025-03-28,468.56,471.31,460.22,461.38,535600
2025-03-27,469.89001,471.85999,465.32001,468.98001,526700
2025-03-26,478.20999,480.85999,467.17999,470.10001,649200
2025-03-25,471.81,478.37,469.10999,477.23999,754800
2025-03-24,466.22,470.89001,462.01001,469.14999,910900
2025-03-21,456.13,459.88,452.94,459.48999,1091200
2025-03-20,457.70999,461.87,456.25,459.79001,778100
2025-03-19,450.76001,462.32001,448.98001,460.31,1004600
2025-03-18,451.95001,455.07999,446.56,450.10001,611800
2025-03-17,444.42999,456.76999,444.42999,453.59,975100
2025-03-14,442.54999,449.34,440.85999,446.84,873900
2025-03-13,441.13,443.0,435.48001,437.79999,725000
2025-03-12,447.5,449.45999,436.88,442.12,1116700
2025-03-11,450.98001,451.10001,441.17001,443.85001,1050400
2025-03-10,454.26001,458.51001,446.34,450.29001,1198400
2025-03-07,467.70001,468.03,453.35999,461.51001,1245400
2025-03-06,474.07001,477.81,467.26999,470.23001,1098700
2025-03-05,480.48999,485.78,477.14999,482.17999,801900
2025-03-04,497.85001,498.76001,478.62,481.29999,1103400
2025-03-03,505.0,507.32999,498.39001,502.0,1189700
2025-02-28,499.06,503.95001,493.98999,503.94,869500
2025-02-27,499.82999,504.17999,492.28,492.85001,1038200
2025-02-26,499.64001,507.35001,496.95999,498.34,915100
2025-02-25,504.60001,505.38,497.06,501.89999,999700
2025-02-24,504.17001,507.37,497.48999,500.95001,827200
2025-02-21,507.76001,511.60001,499.01001,500.28,1348200
2025-02-20,518.02002,518.64001,507.78,511.62,830400
2025-02-19,518.66998,519.84998,513.32001,519.27002,655400
2025-02-18,522.20001,522.25,508.64001,519.58002,1044800
2025-02-14,530.08002,531.92999,522.34998,522.84003,779800
2025-02-13,518.10999,528.09003,507.45999,527.47998,1386200
2025-02-12,509.07001,512.25,497.81,505.44,1184900
2025-02-11,506.91,513.03998,504.32001,512.59003,1004600
2025-02-10,505.42001,505.5,498.0,504.23001,847900
2025-02-07,501.67001,506.26999,500.45999,503.29999,829100
2025-02-06,496.97,504.89999,496.04001,502.84,1621600
2025-02-05,496.79999,497.89999,491.64999,495.84,854200
2025-02-04,494.59,497.44,491.37,493.13,567600
2025-02-03,492.23999,498.39001,487.04999,496.47,584700
2025-01-31,499.35999,505.78,498.23001,499.44,535800
2025-01-30,496.20001,503.10001,496.20001,499.20001,646900
2025-01-29,489.79999,493.01999,487.17999,490.32001,732800
2025-01-28,495.0,498.0,491.64001,493.0,638300
2025-01-27,487.32001,496.48001,479.75,496.09,612400
2025-01-24,483.48001,491.34,483.48001,489.64999,500400
2025-01-23,482.5,486.84,479.14001,486.12,517100
2025-01-22,485.04001,485.16,481.91,484.63,413300
2025-01-21,477.64999,484.91,477.64999,484.75,731400
2025-01-17,482.06,482.06,475.32001,475.85001,768400
2025-01-16,474.28,479.67001,466.84,479.0,557100
2025-01-15,471.76001,474.48999,467.20999,471.35001,681900
2025-01-14,460.82999,463.95001,459.38,462.57999,393100
2025-01-13,450.57999,458.25,450.48001,457.88,637600
2025-01-10,463.67001,465.82001,449.45001,452.81,1131500
2025-01-08,463.10001,473.35999,462.31,472.10001,507700
2025-01-07,473.14001,473.67001,462.54999,464.0,719700
2025-01-06,478.72,479.82999,472.78,473.14001,552600
2025-01-03,474.91,479.98999,472.85999,479.14999,412300
2025-01-02,474.85999,480.17001,470.23999,472.84,428000
2024-12-31,476.67999,476.95999,471.98001,473.37,297200
2024-12-30,472.31,476.10999,469.29999,473.53,299900
2024-12-27,477.88,481.56,474.5,476.76001,305000
2024-12-26,477.75,482.04999,477.75,481.19,347300
2024-12-24,475.07999,481.01999,475.07999,480.38,183600
2024-12-23,465.04999,475.22,464.44,473.76001,638600
2024-12-20,462.09,471.16,457.54001,466.35001,1592300
2024-12-19,469.73001,474.38,461.79999,462.09,828900
2024-12-18,485.14001,488.95001,469.37,470.09,776900
2024-12-17,486.75,487.67001,482.26001,485.63,574500
2024-12-16,490.23999,492.70999,488.81,489.20001,465700
2024-12-13,495.0,496.51999,486.82001,489.01999,406300
2024-12-12,496.79999,498.76001,494.51001,494.73999,328000
2024-12-11,492.45001,500.91,489.91,497.53,540000
2024-12-10,490.03,493.64999,485.79999,491.45999,445400
2024-12-09,491.26001,492.78,487.28,490.51999,412100
2024-12-06,492.23001,496.81,492.23001,494.76001,642200
2024-12-05,496.0,497.0,489.45001,491.16,529000
2024-12-04,492.79001,498.59,491.19,498.20001,500000
2024-12-03,497.91,498.64001,492.82001,493.69,398600
2024-12-02,499.51001,500.22,493.64001,497.41,734000
2024-11-29,498.23999,502.63,498.23999,499.98001,507200
2024-11-27,502.14999,503.95001,497.48999,500.88,559700
2024-11-26,495.39999,501.20999,492.5,499.66,721300
2024-11-25,484.16,494.76001,483.34,494.03,1204000
2024-11-22,477.92999,483.23001,477.01999,480.66,436000
2024-11-21,477.5,479.42001,474.28,477.92001,723600
2024-11-20,472.54001,478.47,463.57001,474.59,934000
2024-11-19,469.51999,472.35999,467.97,468.78,545000
2024-11-18,470.84,473.64999,467.81,471.94,525100
2024-11-15,478.98999,479.70999,472.37,473.31,653000
2024-11-14,485.35999,487.44,480.82999,482.09,857200
2024-11-13,476.35001,483.01999,475.92999,479.42001,911700
2024-11-12,478.16,480.10999,474.47,475.48001,530600
2024-11-11,478.81,480.70001,476.35001,478.45001,704300
2024-11-08,469.17999,479.35001,467.60001,477.17999,720000
2024-11-07,464.17001,466.59,460.73999,465.57001,741100
2024-11-06,474.12,476.51999,450.44,461.14001,1335400
2024-11-05,458.69,462.20001,458.41,462.20001,454500
2024-11-04,455.92001,458.57001,454.17001,458.41,542100
2024-11-01,455.98001,459.54001,454.94,456.35999,582600
2024-10-31,457.25,459.76999,453.95001,454.04001,688200
2024-10-30,459.37,463.26999,457.23999,458.95999,565600
2024-10-29,460.0,463.87,458.78,460.5,675000
2024-10-28,467.09,468.0,461.31,462.14001,455200
2024-10-25,468.48999,469.70999,461.23999,462.79999,481700
2024-10-24,466.01001,470.69,463.48999,466.94,796000
2024-10-23,470.0,473.06,465.57999,468.85999,695000
2024-10-22,475.44,475.44,464.5,467.73001,1254000
2024-10-21,486.64001,489.16,483.97,486.95999,886200
2024-10-18,487.45999,489.01001,483.95999,488.45999,656000
2024-10-17,490.14001,494.20001,484.91,486.10999,703500
2024-10-16,484.95001,490.35999,482.73999,490.04001,587800
2024-10-15,481.0,489.31,481.0,487.17999,752900
2024-10-14,475.04999,480.19,474.79001,479.44,459200
2024-10-11,471.57999,475.29001,471.01001,475.10999,527500
2024-10-10,472.0,473.42999,467.78,469.39999,556100
2024-10-09,471.01999,474.20999,468.82001,473.04001,1086600
2024-10-08,463.67999,471.70001,462.59,471.0,1049100
2024-10-07,461.82999,464.0,456.64999,457.51999,1022300
2024-10-04,469.35999,469.59,458.89999,460.53,1308900
2024-10-03,471.35999,472.0,466.5,467.63,576100
2024-10-02,472.20999,474.51001,468.32999,470.19,717600
2024-10-01,476.91,476.91,469.0,471.39999,1137400
2024-09-30,473.26999,476.69,471.44,474.59,1366200
2024-09-27,474.48001,477.25,473.0,473.48999,582600
2024-09-26,475.26001,477.92999,471.26001,474.03,592100
2024-09-25,480.29001,480.79999,474.84,476.14999,545200
2024-09-24,477.39999,479.54001,472.03,479.38,810600
2024-09-23,489.23999,494.01001,477.60001,479.0,957900
2024-09-20,488.53,495.10001,487.76999,494.66,1466200
2024-09-19,491.01999,492.48001,487.07001,490.10999,697900
2024-09-18,482.42999,489.0,480.76001,484.67001,619500
2024-09-17,484.98999,485.31,480.19,482.73001,613000
2024-09-16,478.91,486.42999,478.57001,484.84,954000
2024-09-13,480.07999,482.37,475.53,476.95999,743200
2024-09-12,476.26999,479.89001,473.56,478.75,860400
2024-09-11,481.89001,481.89001,467.60999,478.59,764100
2024-09-10,483.69,486.01001,479.35001,484.14001,687700
2024-09-09,479.10001,487.07001,478.67001,482.25,778200
2024-09-06,484.54999,486.87,473.92001,475.44,689100
2024-09-05,484.09,486.79001,480.87,483.85001,551200
2024-09-04,482.0,486.26001,480.51999,484.48999,577400
2024-09-03,488.73999,490.17999,480.23001,481.97,793100
2024-08-30,484.47,488.17001,480.69,487.73999,822600
2024-08-29,483.47,486.56,482.01999,483.06,596600
2024-08-28,484.39999,488.64001,480.76999,482.53,612300
2024-08-27,479.63,485.39999,476.85999,484.17999,515900
2024-08-26,481.92999,483.20999,478.79001,479.81,453700
2024-08-23,482.10001,483.56,475.64001,479.38,520100
2024-08-22,475.17999,480.70999,475.17999,480.0,990000
2024-08-21,472.92999,476.84,471.42999,475.47,527900
2024-08-20,471.84,474.54001,470.5,473.54001,601800
2024-08-19,467.92001,471.94,467.41,470.07999,479800
2024-08-16,466.60999,467.92001,463.70999,466.72,429700
2024-08-15,466.57999,469.78,465.01001,467.12,528100
2024-08-14,464.39001,467.03,461.84,466.14999,807100
2024-08-13,464.23999,466.92001,461.95999,464.47,893100
2024-08-12,464.79999,465.0,459.53,460.57999,581200
2024-08-09,459.92999,465.29999,458.0,464.92999,649000
2024-08-08,451.22,461.09,450.01001,459.78,630000
2024-08-07,452.20001,461.97,450.5,451.04999,713800
2024-08-06,443.0,455.60001,443.0,449.01999,879900
2024-08-05,452.85999,452.85999,439.23001,440.17001,1326100
2024-08-02,456.59,461.89001,449.88,460.59,1283800
2024-08-01,458.60001,461.76999,456.75,460.88,1086200
2024-07-31,462.64999,462.66,453.95999,456.48001,918500
2024-07-30,454.76999,459.04999,450.66,458.06,1009000
2024-07-29,449.92001,452.0,446.22,450.16,567900
2024-07-26,440.10001,452.62,439.69,448.75,884300
2024-07-25,435.97,447.32001,435.92001,437.20999,1073200
2024-07-24,451.0,452.59,431.01001,433.81,1281900
2024-07-23,450.23001,457.67001,440.0,451.89001,1449600
2024-07-22,445.64999,450.37,443.51999,450.35999,1222800
2024-07-19,451.38,451.38,441.53,442.14001,1314800
2024-07-18,451.60001,457.23999,448.47,448.82999,847000
2024-07-17,451.0,458.23999,448.01001,456.04999,908800
2024-07-16,451.31,452.60001,448.67999,452.35999,770900
2024-07-15,448.32001,449.57999,445.98999,446.70001,673800
2024-07-12,444.81,451.19,443.89001,445.98001,786400
2024-07-11,440.04999,443.79001,439.04999,443.25,637100
2024-07-10,436.84,437.32001,430.76999,437.29001,573400
2024-07-09,435.79999,437.29999,432.85001,435.95001,375100
2024-07-08,432.78,434.14001,430.67999,432.5,499100
2024-07-05,425.98999,432.78,423.25,432.26001,536900
2024-07-03,425.60999,427.35001,425.44,425.98999,195500
2024-07-02,420.98001,426.60999,418.12,426.01001,401500
2024-07-01,424.03,427.59,418.31,421.48999,668400
2024-06-28,419.42001,424.82999,418.69,420.92999,923600
2024-06-27,419.51001,420.70001,416.32999,419.39999,526100
2024-06-26,424.25,424.25,417.70001,419.66,933400
2024-06-25,426.04999,427.67999,423.07001,427.53,528100
2024-06-24,423.01999,428.79001,420.51999,425.64001,534500
2024-06-21,422.85999,423.60001,419.75,421.89001,1037300
2024-06-20,420.09,423.98999,417.91,422.70999,761700
2024-06-18,412.25,420.85999,412.0,420.07999,809000
2024-06-17,407.42999,413.04001,406.85001,412.31,437600
2024-06-14,407.39001,408.39001,402.26001,408.12,462000
2024-06-13,411.0,411.92001,407.85001,410.62,481300
2024-06-12,408.10001,416.39999,405.94,412.06,744600
2024-06-11,400.0,403.57001,398.88,403.32001,485600
2024-06-10,402.31,402.95999,399.76001,401.85999,562300
2024-06-07,403.57001,406.85999,402.07999,403.70001,631500
2024-06-06,410.72,411.48999,405.91,406.82001,577600
2024-06-05,406.95999,410.25,403.07999,410.10999,482300
2024-06-04,401.75,407.41,401.10001,406.5,611500
2024-06-03,398.20999,401.89001,395.47,401.64999,660100
2024-05-31,395.13,398.70999,393.67001,396.98999,2244100
2024-05-30,399.29999,399.75,395.0,395.5,704100
2024-05-29,400.92001,404.47,399.79001,399.88,656100
2024-05-28,409.73999,409.87,403.73001,405.79999,545900
2024-05-24,408.06,411.51001,406.32001,410.60001,498500
2024-05-23,415.34,415.66,406.54999,407.01999,707800
2024-05-22,413.14999,417.75,412.45999,415.09,820900
2024-05-21,412.39001,415.26999,410.35001,412.95001,485600
2024-05-20,412.10999,414.22,411.04001,412.57001,420400
2024-05-17,413.70999,414.34,409.37,413.92001,875000
2024-05-16,408.72,414.48999,408.72,412.01999,541500
2024-05-15,404.39999,414.04999,403.51001,409.89999,808300
2024-05-14,399.42999,402.42999,394.66,402.10001,749700
2024-05-13,401.29001,402.76999,397.44,397.48001,354300
2024-05-10,403.26001,404.04001,399.91,400.35001,667300
2024-05-09,395.67999,402.13,394.01001,401.53,560400
2024-05-08,394.82999,396.70999,393.73001,395.94,550800
2024-05-07,390.0,394.54001,388.79001,393.97,753600
2024-05-06,382.53,387.95999,381.87,387.70001,781300
2024-05-03,381.0,382.94,377.89999,380.56,793000
2024-05-02,368.84,377.64999,360.04999,376.39999,1346800
2024-05-01,369.85999,377.60999,369.56,372.89001,944500
2024-04-30,372.32001,374.17999,369.45999,370.32999,1116100
2024-04-29,376.51999,378.0,372.03,374.62,966200
2024-04-26,374.95001,378.98999,371.97,376.13,718500
2024-04-25,380.0,380.92999,372.63,375.17999,897800
2024-04-24,381.29001,382.5,377.60001,381.20999,582500
2024-04-23,379.0,383.67999,377.10001,382.17001,572200
2024-04-22,376.60001,380.47,374.79999,379.26001,504900
2024-04-19,375.98001,376.37,371.34,374.67001,820300
2024-04-18,377.19,379.97,369.42001,374.60001,789600
2024-04-17,375.0,378.38,373.26999,375.41,576000
2024-04-16,372.98999,375.23999,370.29001,370.73001,900000
2024-04-15,381.97,384.60999,371.97,373.54001,771600
2024-04-12,380.28,382.04999,375.85999,377.16,624400
2024-04-11,384.82001,386.72,381.54001,383.54999,661600
2024-04-10,389.66,391.73001,384.04001,384.45999,591500
2024-04-09,401.06,401.06,394.31,397.89001,398800
2024-04-08,393.47,398.31,392.34,396.07001,698900
2024-04-05,390.92001,393.79001,387.78,392.47,619700
2024-04-04,395.60999,402.38,391.19,391.57001,892600
2024-04-03,391.22,394.10999,390.45999,392.44,623400
2024-04-02,395.28,395.28,388.57999,391.20001,1181500
