datetime,open,high,low,close,volume
2025-04-01,0.682,0.73,0.68,0.68,90200
2025-03-31,0.663,0.73,0.663,0.68,49800
2025-03-28,0.68,0.697,0.68,0.69,10900
2025-03-27,0.707,0.707,0.67,0.679,17400
2025-03-26,0.726,0.726,0.685,0.705,112400
2025-03-25,0.7,0.73,0.69,0.704,34000
2025-03-24,0.71,0.71,0.685,0.69,52600
2025-03-21,0.72,0.723,0.654,0.705,11500
2025-03-20,0.707,0.73,0.703,0.703,38800
2025-03-19,0.701,0.71,0.69,0.7,73200
2025-03-18,0.73,0.757,0.71,0.721,105100
2025-03-17,0.752,0.758,0.733,0.744,26700
2025-03-14,0.784,0.784,0.76,0.76,42400
2025-03-13,0.75,0.769,0.748,0.752,55700
2025-03-12,0.744,0.78,0.707,0.75,62800
2025-03-11,0.713,0.774,0.708,0.731,41500
2025-03-10,0.696,0.714,0.68,0.703,37300
2025-03-07,0.693,0.745,0.693,0.716,51200
2025-03-06,0.67,0.747,0.67,0.706,53700
2025-03-05,0.664,0.762,0.65,0.718,111600
2025-03-04,0.63,0.661,0.608,0.65,73900
2025-03-03,0.7,0.711,0.635,0.654,76200
2025-02-28,0.702,0.734,0.701,0.711,164000
2025-02-27,0.725,0.764,0.701,0.756,99700
2025-02-26,0.76,0.768,0.716,0.744,80300
2025-02-25,0.815,0.82,0.74,0.751,179000
2025-02-24,0.817,0.817,0.76,0.813,30900
2025-02-21,0.82,0.838,0.799,0.799,127400
2025-02-20,0.854,0.862,0.81,0.861,26200
2025-02-19,0.91,0.918,0.861,0.865,70900
2025-02-18,0.938,0.951,0.89,0.89,6000
2025-02-14,0.944,0.99,0.94,0.943,92500
2025-02-13,0.884,1.02,0.884,0.94,254300
2025-02-12,0.856,0.888,0.836,0.88,11600
2025-02-11,0.882,0.882,0.836,0.864,36300
2025-02-10,0.882,0.92,0.87,0.91,12900
2025-02-07,0.883,0.9,0.875,0.881,17900
2025-02-06,0.884,0.885,0.861,0.881,57100
2025-02-05,0.855,0.897,0.84,0.87,25400
2025-02-04,0.865,0.893,0.865,0.893,7700
2025-02-03,0.836,0.881,0.817,0.868,102600
2025-01-31,0.914,0.93,0.88,0.88,55600
2025-01-30,0.911,0.934,0.888,0.92,107800
2025-01-29,0.919,0.924,0.88,0.88,37500
2025-01-28,0.908,0.908,0.855,0.88,63300
2025-01-27,0.92,0.93,0.88,0.91,97100
2025-01-24,0.95,0.99,0.938,0.938,48300
2025-01-23,0.94,0.981,0.939,0.97,53800
2025-01-22,0.965,1.0,0.94,0.94,22200
2025-01-21,0.99,1.008,0.965,0.991,72600
2025-01-17,0.94,1.015,0.92,0.995,54900
2025-01-16,0.913,1.02,0.913,0.938,105500
2025-01-15,0.91,0.968,0.908,0.942,154500
2025-01-14,0.923,0.931,0.909,0.918,41400
2025-01-13,0.965,0.965,0.898,0.93,125600
2025-01-10,1.03,1.03,0.95,0.95,139300
2025-01-08,1.04,1.05,0.995,1.03,68700
2025-01-07,1.11,1.11,1.04,1.05,40400
2025-01-06,1.11,1.147,1.05,1.05,69700
2025-01-03,1.134,1.134,1.1,1.11,28700
2025-01-02,1.14,1.175,1.11,1.115,34400
2024-12-31,1.125,1.145,1.05,1.145,124200
2024-12-30,1.2,1.2,1.13,1.13,107500
2024-12-27,1.22,1.235,1.189,1.214,40600
2024-12-26,1.265,1.27,1.18,1.265,13300
2024-12-24,1.24,1.32,1.24,1.29,33500
2024-12-23,1.21,1.22,1.16,1.22,9000
2024-12-20,1.17,1.2,1.17,1.18,83700
2024-12-19,1.21,1.21,1.15,1.15,36200
2024-12-18,1.216,1.312,1.19,1.197,75900
2024-12-17,1.19,1.243,1.18,1.23,50200
2024-12-16,1.23,1.237,1.2,1.2,48300
2024-12-13,1.24,1.27,1.19,1.25,83900
2024-12-12,1.255,1.295,1.21,1.223,48500
2024-12-11,1.33,1.33,1.27,1.27,66400
2024-12-10,1.3,1.33,1.28,1.316,23000
2024-12-09,1.4,1.462,1.34,1.347,51900
2024-12-06,1.4,1.43,1.32,1.388,225100
2024-12-05,1.23,1.5,1.21,1.417,237200
2024-12-04,1.257,1.26,1.17,1.18,71900
2024-12-03,1.15,1.23,1.15,1.23,106600
2024-12-02,1.26,1.27,1.13,1.13,159200
2024-11-29,1.295,1.295,1.248,1.27,8600
2024-11-27,1.27,1.345,1.27,1.27,63900
2024-11-26,1.21,1.257,1.183,1.25,60900
2024-11-25,1.16,1.19,1.14,1.175,59200
2024-11-22,1.09,1.129,1.06,1.129,105800
2024-11-21,1.095,1.15,0.996,1.057,246700
2024-11-20,1.15,1.15,1.057,1.061,37100
2024-11-19,1.15,1.2,1.147,1.16,49500
2024-11-18,1.05,1.151,1.03,1.151,144700
2024-11-15,1.21,1.22,0.88,1.04,641900
2024-11-14,1.23,1.33,1.208,1.222,129000
2024-11-13,1.27,1.326,1.17,1.2,567300
2024-11-12,1.46,1.48,1.26,1.285,627100
2024-11-11,1.645,1.775,1.45,1.499,761700
2024-11-08,1.75,1.75,1.5,1.593,393600
2024-11-07,1.745,1.8,1.74,1.78,95600
2024-11-06,1.8,1.8,1.66,1.721,34700
2024-11-05,1.697,1.757,1.69,1.74,65800
2024-11-04,1.79,1.89,1.69,1.7,121800
2024-11-01,1.69,1.892,1.66,1.81,157000
2024-10-31,1.68,1.7,1.66,1.7,22200
2024-10-30,1.59,1.68,1.59,1.66,63300
2024-10-29,1.63,1.68,1.59,1.594,35300
2024-10-28,1.66,1.72,1.66,1.66,39100
2024-10-25,1.64,1.696,1.62,1.696,69700
2024-10-24,1.55,1.62,1.55,1.62,84700
2024-10-23,1.55,1.57,1.51,1.57,71900
2024-10-22,1.58,1.62,1.557,1.56,48300
2024-10-21,1.605,1.63,1.59,1.62,23800
2024-10-18,1.72,1.72,1.646,1.646,58400
2024-10-17,1.675,1.76,1.665,1.72,70300
2024-10-16,1.711,1.715,1.66,1.67,44500
2024-10-15,1.65,1.737,1.635,1.72,85100
2024-10-14,1.58,1.69,1.58,1.66,46400
2024-10-11,1.57,1.65,1.567,1.61,62800
2024-10-10,1.54,1.63,1.5,1.6,88400
2024-10-09,1.6,1.64,1.58,1.58,94900
2024-10-08,1.52,1.65,1.52,1.647,150000
2024-10-07,1.625,1.625,1.52,1.53,73100
2024-10-04,1.531,1.69,1.531,1.61,202500
2024-10-03,1.54,1.573,1.52,1.53,49300
2024-10-02,1.46,1.6,1.46,1.547,100300
2024-10-01,1.4,1.44,1.36,1.436,83100
2024-09-30,1.42,1.45,1.38,1.4,25300
2024-09-27,1.39,1.44,1.37,1.403,29800
2024-09-26,1.38,1.41,1.37,1.39,50400
2024-09-25,1.45,1.461,1.36,1.36,53400
2024-09-24,1.481,1.49,1.46,1.46,61200
2024-09-23,1.51,1.525,1.472,1.48,19900
2024-09-20,1.55,1.55,1.49,1.52,19000
2024-09-19,1.49,1.54,1.38,1.54,171700
2024-09-18,1.46,1.52,1.42,1.484,58400
2024-09-17,1.445,1.51,1.43,1.47,149100
2024-09-16,1.51,1.56,1.47,1.487,72600
2024-09-13,1.53,1.57,1.52,1.52,64300
2024-09-12,1.55,1.58,1.51,1.52,144800
2024-09-11,1.62,1.64,1.6,1.61,32100
2024-09-10,1.61,1.61,1.57,1.59,30700
2024-09-09,1.673,1.715,1.615,1.63,33200
2024-09-06,1.73,1.79,1.64,1.64,154700
2024-09-05,1.92,1.92,1.77,1.78,95700
2024-09-04,1.8,1.94,1.71,1.802,104400
2024-09-03,1.86,1.89,1.77,1.8,168600
2024-08-30,1.6,1.86,1.6,1.85,154100
2024-08-29,1.57,1.62,1.564,1.608,177800
2024-08-28,1.54,1.56,1.51,1.545,83100
2024-08-27,1.68,1.68,1.54,1.55,77600
2024-08-26,1.6,1.604,1.56,1.59,31100
2024-08-23,1.55,1.63,1.55,1.59,43900
2024-08-22,1.6,1.6,1.52,1.56,22200
2024-08-21,1.583,1.63,1.58,1.61,56400
2024-08-20,1.584,1.61,1.584,1.6,14900
2024-08-19,1.65,1.65,1.57,1.59,58600
2024-08-16,1.65,1.686,1.64,1.65,18900
2024-08-15,1.6,1.719,1.6,1.66,111600
2024-08-14,1.58,1.58,1.56,1.58,16600
2024-08-13,1.5,1.588,1.5,1.57,32400
2024-08-12,1.588,1.605,1.51,1.519,52800
2024-08-09,1.685,1.708,1.48,1.58,130400
2024-08-08,1.59,1.68,1.495,1.58,123800
2024-08-07,1.56,1.63,1.52,1.527,93500
2024-08-06,1.64,1.65,1.55,1.56,104400
2024-08-05,1.9,1.9,1.4,1.55,182800
2024-08-02,1.62,1.713,1.54,1.652,120500
2024-08-01,1.56,1.855,1.56,1.67,318000
2024-07-31,1.47,1.554,1.43,1.55,127200
2024-07-30,1.5,1.51,1.43,1.468,47900
2024-07-29,1.63,1.64,1.495,1.51,61300
2024-07-26,1.57,1.627,1.55,1.61,133500
2024-07-25,1.4,1.627,1.36,1.53,188200
2024-07-24,1.41,1.433,1.39,1.4,43000
2024-07-23,1.422,1.44,1.4,1.42,39900
2024-07-22,1.35,1.43,1.35,1.43,21500
2024-07-19,1.409,1.42,1.36,1.41,47300
2024-07-18,1.46,1.5,1.35,1.395,85000
2024-07-17,1.55,1.55,1.45,1.47,61300
2024-07-16,1.54,1.578,1.47,1.55,122500
2024-07-15,1.55,1.68,1.48,1.51,76400
2024-07-12,1.41,1.661,1.4,1.553,154800
2024-07-11,1.345,1.468,1.345,1.4,135100
2024-07-10,1.35,1.432,1.35,1.36,21400
2024-07-09,1.434,1.435,1.36,1.4,31800
