datetime,open,high,low,close,volume
2025-04-01,1.83,2.18,1.83,2.15,112000
2025-03-31,2.27,2.34,1.8,1.95,246700
2025-03-28,2.4,2.51,2.064,2.38,195600
2025-03-27,2.33,2.49,2.27,2.38,142600
2025-03-26,2.63,2.81,2.25,2.47,392100
2025-03-25,4.74,4.99,2.65,2.81,3201400
2025-03-24,4.53,5.2,4.252,4.75,120600
2025-03-21,4.355,5.011,4.355,4.46,151700
2025-03-20,4.25,4.69,4.15,4.35,65400
2025-03-19,3.575,4.69,3.275,4.27,217100
2025-03-18,3.753,3.753,3.21,3.62,33200
2025-03-17,3.85,3.91,3.63,3.64,70800
2025-03-14,4.0,4.06,3.87,3.91,12100
2025-03-13,4.2,4.2,3.9,4.04,18800
2025-03-12,4.1,4.35,3.99,4.35,24100
2025-03-11,4.8,4.88,4.14,4.19,48300
2025-03-10,5.29,5.29,4.66,4.91,52900
2025-03-07,4.95,5.33,4.69,5.28,72500
2025-03-06,4.34,5.025,4.1,4.73,31000
2025-03-05,4.22,4.49,4.03,4.34,21700
2025-03-04,3.75,4.38,3.585,4.31,61200
2025-03-03,4.2,4.2,3.621,3.81,47300
2025-02-28,4.09,4.42,3.895,4.13,59700
2025-02-27,4.41,4.555,4.03,4.205,65700
2025-02-26,4.09,4.43,4.041,4.43,32600
2025-02-25,4.61,4.61,3.875,4.1,60300
2025-02-24,4.37,4.646,4.17,4.6,75300
2025-02-21,4.9,4.9,4.056,4.33,138600
2025-02-20,5.64,6.15,4.44,4.72,225400
2025-02-19,4.86,5.6,4.74,5.6,258300
2025-02-18,4.9,4.952,4.72,4.83,79000
2025-02-14,4.515,4.9,4.322,4.84,112200
2025-02-13,4.58,4.58,4.25,4.43,117000
2025-02-12,4.41,4.699,4.15,4.52,204500
2025-02-11,4.25,4.59,3.9,4.42,155300
2025-02-10,4.31,4.59,4.1,4.21,334700
2025-02-07,3.64,4.4,3.6,4.25,819700
2025-02-06,3.13,3.44,2.98,3.42,258900
2025-02-05,3.25,3.25,3.15,3.17,141000
2025-02-04,3.08,3.22,3.011,3.18,67200
2025-02-03,3.06,3.183,2.855,3.114,144200
2025-01-31,2.8,3.05,2.764,3.025,106000
2025-01-30,2.66,2.85,2.66,2.72,41100
2025-01-29,2.87,2.87,2.64,2.65,17800
2025-01-28,2.78,2.85,2.72,2.768,15000
2025-01-27,2.95,2.971,2.718,2.78,17300
2025-01-24,2.9,2.99,2.9,2.99,21800
2025-01-23,2.82,3.1,2.82,2.87,68100
2025-01-22,2.74,3.1,2.68,3.03,143900
2025-01-21,2.58,2.75,2.58,2.74,60500
2025-01-17,2.65,2.73,2.59,2.61,38800
2025-01-16,2.56,2.7,2.52,2.68,13300
2025-01-15,2.59,2.6,2.52,2.55,40100
2025-01-14,2.6,2.6,2.5,2.58,24100
2025-01-13,2.67,2.68,2.5,2.6,41300
2025-01-10,2.64,2.74,2.63,2.67,26100
2025-01-08,2.72,2.765,2.65,2.72,36200
2025-01-07,2.66,2.76,2.631,2.72,61200
2025-01-06,2.59,2.7,2.5,2.65,149100
2025-01-03,2.49,2.57,2.45,2.485,26900
2025-01-02,2.46,2.58,2.41,2.49,30000
2024-12-31,2.55,2.55,2.35,2.42,81800
2024-12-30,2.64,2.64,2.07,2.45,139300
2024-12-27,2.55,2.63,2.5,2.6,32400
2024-12-26,2.49,2.65,2.49,2.62,46300
2024-12-24,2.52,2.55,2.43,2.52,31500
2024-12-23,2.41,2.5,2.39,2.48,44700
2024-12-20,2.52,2.61,2.26,2.48,215600
2024-12-19,2.45,2.55,2.4,2.44,807400
2024-12-18,2.58,2.63,2.44,2.45,50100
2024-12-17,2.5,2.59,2.44,2.58,33000
2024-12-16,2.54,2.56,2.48,2.53,32600
2024-12-13,2.505,2.62,2.41,2.61,49100
2024-12-12,2.55,2.55,2.45,2.49,15600
2024-12-11,2.56,2.56,2.36,2.55,40300
2024-12-10,2.46,2.54,2.35,2.49,50300
2024-12-09,2.6,2.6,2.48,2.5,26500
2024-12-06,2.49,2.54,2.47,2.54,24100
2024-12-05,2.48,2.5,2.4,2.45,89800
2024-12-04,2.55,2.57,2.45,2.53,52800
2024-12-03,2.5,2.55,2.45,2.47,65700
2024-12-02,2.5,2.57,2.45,2.55,49800
2024-11-29,2.58,2.58,2.48,2.5,59000
2024-11-27,2.51,2.6,2.45,2.53,50100
2024-11-26,2.64,2.64,2.45,2.485,49200
2024-11-25,2.72,2.8,2.6,2.62,130000
2024-11-22,2.43,2.71,2.42,2.65,124900
2024-11-21,2.42,2.59,2.38,2.5,132900
2024-11-20,2.35,2.47,2.31,2.47,77400
2024-11-19,2.33,2.38,2.31,2.335,30400
2024-11-18,2.35,2.4,2.27,2.33,41900
2024-11-15,2.42,2.42,2.27,2.31,70800
2024-11-14,2.38,2.47,2.36,2.39,39400
2024-11-13,2.43,2.51,2.4,2.43,57400
2024-11-12,2.49,2.49,2.36,2.44,120900
2024-11-11,2.39,2.54,2.35,2.47,142500
2024-11-08,2.28,2.361,2.26,2.32,58800
2024-11-07,2.4,2.453,2.34,2.37,41800
2024-11-06,2.45,2.48,2.36,2.39,69600
2024-11-05,2.43,2.6,2.26,2.48,88800
2024-11-04,2.25,2.37,2.2,2.37,61000
2024-11-01,2.36,2.38,2.1,2.26,67600
2024-10-31,2.59,2.59,2.31,2.37,197800
2024-10-30,2.42,2.51,2.38,2.47,70000
2024-10-29,2.36,2.46,2.35,2.43,91000
2024-10-28,2.42,2.44,2.33,2.39,84900
2024-10-27,2.42,2.44,2.33,2.39,84942
2024-10-25,2.47,2.65,2.38,2.42,444000
2024-10-24,2.32,2.531,2.29,2.46,393200
2024-10-23,2.32,2.5307,2.29,2.46,393169
2024-10-22,2.41,2.49,2.32,2.37,186364
2024-10-21,2.45,2.45,2.2,2.43,895100
2024-10-18,2.8,2.83,2.4,2.54,3169000
2024-10-17,2.43,2.7,2.4,2.65,378800
2024-10-16,2.53,2.8,2.39,2.47,215800
2024-10-15,2.715,2.835,2.625,2.655,132993
2024-10-14,3.0,3.0,2.61,2.76,180520
2024-10-11,3.105,3.525,3.0,3.09,72547
2024-10-10,3.135,3.36,3.135,3.24,46667
2024-10-09,3.015,3.45,2.835,3.225,130860
2024-10-08,3.27,3.27,2.94,3.015,72993
2024-10-07,3.285,3.285,2.865,3.27,116140
2024-10-04,3.72,3.75,3.15,3.285,158453
2024-10-03,4.065,4.665,3.645,3.66,319173
2024-10-02,4.29,4.35,3.45,4.125,556313
2024-10-01,6.21,7.665,4.215,4.47,13510447
2024-09-30,3.735,3.93,3.465,3.54,18007
2024-09-27,3.525,3.825,3.45,3.6,8680
2024-09-26,3.375,3.6,3.33,3.525,5040
2024-09-25,3.45,3.57,3.345,3.42,10073
2024-09-24,3.615,3.78,3.33,3.525,13867
2024-09-23,3.75,3.75,3.6,3.615,6100
2024-09-20,3.72,3.9,3.6,3.75,21527
2024-09-19,3.855,3.885,3.6,3.825,15900
2024-09-18,3.3,3.87,3.3,3.6,13347
2024-09-17,3.9,3.945,3.675,3.705,9727
2024-09-16,3.885,4.05,3.87,3.9,10913
2024-09-13,3.99,4.14,3.975,4.05,12100
2024-09-12,3.975,4.2,3.915,3.945,7453
2024-09-11,4.035,4.2,3.9,4.17,6233
2024-09-10,4.05,4.14,3.93,4.05,15320
2024-09-09,4.035,4.2,3.915,4.185,10993
2024-09-06,4.185,4.335,3.765,4.035,25440
2024-09-05,4.125,4.305,3.9,4.05,14147
2024-09-04,3.945,4.335,3.945,4.185,17320
2024-09-03,3.855,4.2,3.6,4.05,49400
2024-08-30,3.33,3.75,3.27,3.6,34300
2024-08-29,3.165,3.36,3.0,3.195,30387
2024-08-28,3.9,3.9,3.21,3.24,54287
2024-08-27,4.05,4.05,3.75,3.84,9847
2024-08-26,4.215,4.215,3.66,3.9,18867
2024-08-23,4.32,4.425,3.45,4.125,16547
2024-08-22,4.35,4.41,4.2,4.32,9127
2024-08-21,4.575,4.575,4.05,4.335,11433
2024-08-20,4.515,4.575,4.245,4.485,17713
2024-08-19,4.77,4.785,4.395,4.5,22633
2024-08-16,4.8,4.95,4.65,4.92,13587
2024-08-15,4.845,4.845,4.485,4.8,47287
2024-08-14,4.845,4.95,4.605,4.935,12113
2024-08-13,4.47,4.995,4.35,4.995,75960
2024-08-12,4.74,4.935,4.065,4.56,44753
2024-08-09,5.145,5.28,4.5,4.755,329173
2024-08-08,5.535,5.7,5.205,5.52,40740
2024-08-07,5.535,5.85,5.25,5.7,11847
2024-08-06,5.25,5.46,4.95,5.37,9107
2024-08-05,4.785,5.445,4.77,5.25,20140
2024-08-02,5.7,5.745,5.13,5.475,32860
2024-08-01,6.12,6.12,5.565,5.595,14760
2024-07-31,6.0,6.255,5.85,6.0,7420
2024-07-30,6.3,6.375,6.0,6.15,19240
2024-07-29,6.105,6.465,6.015,6.315,29107
2024-07-26,6.33,6.81,6.075,6.45,141133
2024-07-25,6.105,6.975,5.88,6.3,82067
2024-07-24,6.3,6.3,5.73,6.03,24720
2024-07-23,5.52,6.3,5.295,6.285,44113
2024-07-22,5.55,5.7,5.25,5.505,23373
2024-07-19,5.97,5.985,5.625,5.7,18933
2024-07-18,6.3,6.3,5.55,5.85,39547
2024-07-17,6.06,6.45,5.655,6.36,76353
2024-07-16,6.345,7.05,5.4,6.45,785727
2024-07-15,5.625,6.0,5.325,5.79,58253
2024-07-12,5.055,5.625,4.95,5.55,92093
2024-07-11,5.58,6.0,4.86,5.175,772620
2024-07-10,4.95,5.1,4.815,4.86,11287
2024-07-09,5.25,5.325,4.875,4.875,20527
2024-07-08,4.65,5.685,4.5,5.34,78533
2024-07-05,4.5,4.785,4.5,4.68,8407
2024-07-03,4.65,4.8,4.5,4.59,20600
2024-07-02,4.65,4.8,4.41,4.65,11967
2024-07-01,4.56,5.025,4.56,4.905,6820
2024-06-28,4.83,4.845,4.53,4.56,13307
2024-06-27,4.95,5.055,4.68,4.845,15227
2024-06-26,4.83,5.055,4.65,4.95,22933
2024-06-25,4.725,4.815,4.545,4.725,10913
2024-06-24,5.1,5.205,4.74,4.95,12320
2024-06-21,5.01,5.355,4.71,5.1,22547
2024-06-20,4.545,5.7,4.545,5.25,96553
2024-06-18,4.47,4.65,4.35,4.5,33627
2024-06-17,5.07,5.07,4.35,4.5,31453
2024-06-14,5.19,5.25,4.5,4.8,34000
2024-06-13,5.505,5.505,4.845,5.1,46707
2024-06-12,5.76,5.76,5.325,5.55,29440
2024-06-11,5.745,5.88,5.7,5.79,22800
2024-06-10,6.3,6.3,5.85,6.0,26693
2024-06-07,5.7,6.66,5.37,6.45,219973
2024-06-06,5.97,6.045,5.58,5.73,126120
2024-06-05,6.165,6.225,5.58,5.955,378573
2024-06-04,6.0,6.225,5.1,5.565,983580
2024-06-03,5.7,5.91,5.1,5.25,56773
2024-05-31,5.955,6.375,5.685,5.91,36387
2024-05-30,6.45,6.615,6.15,6.225,30713
2024-05-29,6.0,6.9,6.0,6.6,75533
2024-05-28,6.15,6.9,5.565,6.6,127760
2024-05-24,7.08,7.5,6.0,6.165,163627
2024-05-23,5.625,8.775,5.55,7.8,845773
2024-05-22,8.25,8.4,5.7,6.9,1629820
2024-05-21,7.065,16.8,6.315,7.725,15920287
2024-05-20,3.72,4.17,3.225,3.795,51667
2024-05-17,3.6,3.855,3.24,3.615,85280
2024-05-16,3.3,3.45,3.195,3.3,72467
2024-05-15,3.225,3.3,3.195,3.285,3673
2024-05-14,3.6,3.72,3.195,3.285,7800
2024-05-13,3.87,4.05,3.48,3.75,7120
2024-05-10,3.9,4.05,3.765,3.87,4133
2024-05-09,3.9,4.05,3.735,4.05,8207
2024-05-08,4.05,4.29,3.87,3.87,2747
2024-05-07,3.945,4.23,3.945,4.2,5540
2024-05-06,3.75,4.2,3.6,3.915,2460
2024-05-03,3.9,4.05,3.69,3.96,4040
2024-05-02,3.885,4.08,3.75,3.9,6180
2024-05-01,4.065,4.065,3.48,3.975,7047
2024-04-30,3.645,3.825,3.465,3.645,6953
2024-04-29,4.14,4.23,3.81,3.93,4020
2024-04-26,3.9,4.125,3.825,3.945,4580
