datetime,open,high,low,close,volume
2025-04-01,0.58,0.748,0.58,0.748,709900
2025-03-31,0.61,0.649,0.501,0.625,222900
2025-03-28,0.54,0.6,0.523,0.524,39200
2025-03-27,0.629,0.629,0.55,0.55,25400
2025-03-26,0.595,0.61,0.551,0.551,33700
2025-03-25,0.53,0.626,0.527,0.55,49300
2025-03-24,0.54,0.549,0.525,0.526,10900
2025-03-21,0.55,0.565,0.536,0.536,23400
2025-03-20,0.573,0.577,0.573,0.573,2000
2025-03-19,0.56,0.57,0.54,0.565,10800
2025-03-18,0.56,0.57,0.56,0.57,14500
2025-03-17,0.54,0.565,0.54,0.56,12300
2025-03-14,0.534,0.546,0.516,0.54,4300
2025-03-13,0.57,0.57,0.53,0.53,3000
2025-03-12,0.533,0.551,0.527,0.551,4900
2025-03-11,0.51,0.52,0.51,0.513,9300
2025-03-10,0.52,0.537,0.5,0.505,30900
2025-03-07,0.53,0.537,0.527,0.53,22500
2025-03-06,0.559,0.559,0.52,0.53,41000
2025-03-05,0.599,0.599,0.55,0.55,20900
2025-03-04,0.54,0.58,0.54,0.55,20200
2025-03-03,0.583,0.599,0.54,0.54,21500
2025-02-28,0.56,0.58,0.55,0.58,18900
2025-02-27,0.569,0.569,0.54,0.54,42600
2025-02-26,0.57,0.57,0.54,0.54,29800
2025-02-25,0.6,0.6,0.541,0.554,68900
2025-02-24,0.617,0.622,0.53,0.591,77500
2025-02-21,0.63,0.643,0.58,0.59,123200
2025-02-20,0.642,0.663,0.631,0.647,38400
2025-02-19,0.723,0.723,0.631,0.651,116100
2025-02-18,0.72,0.73,0.682,0.684,81800
2025-02-14,0.755,0.758,0.7,0.73,67200
2025-02-13,0.69,0.775,0.683,0.741,101500
2025-02-12,0.706,0.75,0.7,0.723,27000
2025-02-11,0.71,0.76,0.688,0.728,87200
2025-02-10,0.738,0.741,0.71,0.73,19500
2025-02-07,0.752,0.76,0.724,0.736,69000
2025-02-06,0.739,0.76,0.711,0.747,74900
2025-02-05,0.72,0.753,0.684,0.719,100600
2025-02-04,0.69,0.747,0.69,0.719,86100
2025-02-03,0.7,0.736,0.67,0.708,46000
2025-01-31,0.73,0.74,0.7,0.701,124600
2025-01-30,0.732,0.756,0.73,0.742,73700
2025-01-29,0.75,0.754,0.732,0.74,47900
2025-01-28,0.766,0.793,0.73,0.77,212500
2025-01-27,0.77,0.82,0.76,0.765,160500
2025-01-24,0.825,0.865,0.78,0.807,211400
2025-01-23,0.833,0.901,0.81,0.85,257400
2025-01-22,0.831,0.895,0.807,0.88,155700
2025-01-21,0.93,0.943,0.8,0.835,585800
2025-01-17,0.94,1.03,0.93,0.93,1117100
2025-01-16,0.77,0.969,0.75,0.925,2887800
2025-01-15,0.98,1.55,0.735,0.742,83347700
2025-01-14,0.71,0.75,0.68,0.72,92300
2025-01-13,0.711,0.75,0.677,0.71,80400
2025-01-10,0.77,0.77,0.711,0.75,48900
2025-01-08,0.77,0.77,0.711,0.76,58300
2025-01-07,0.889,0.889,0.71,0.78,217800
2025-01-06,0.69,0.899,0.69,0.85,1066800
2025-01-03,0.678,0.68,0.631,0.638,45700
2025-01-02,0.65,0.7,0.624,0.675,10100
2024-12-31,0.65,0.671,0.623,0.65,29600
2024-12-30,0.613,0.685,0.613,0.668,15800
2024-12-27,0.684,0.684,0.623,0.658,10900
2024-12-26,0.644,0.685,0.612,0.676,6700
2024-12-24,0.64,0.643,0.64,0.64,11900
2024-12-23,0.664,0.68,0.613,0.64,18700
2024-12-20,0.631,0.68,0.611,0.68,20400
2024-12-19,0.64,0.69,0.631,0.665,4900
2024-12-18,0.688,0.701,0.651,0.651,10500
2024-12-17,0.72,0.728,0.686,0.7,16600
2024-12-16,0.72,0.736,0.701,0.72,29700
2024-12-13,0.68,0.74,0.66,0.737,114000
2024-12-12,0.69,0.69,0.65,0.667,36300
2024-12-11,0.648,0.666,0.648,0.658,5000
2024-12-10,0.64,0.689,0.64,0.648,37300
2024-12-09,0.641,0.67,0.64,0.648,11500
2024-12-06,0.685,0.685,0.641,0.65,27100
2024-12-05,0.67,0.67,0.635,0.65,9700
2024-12-04,0.65,0.666,0.648,0.648,4800
2024-12-03,0.67,0.67,0.645,0.645,2700
2024-12-02,0.649,0.69,0.649,0.665,9100
2024-11-29,0.651,0.68,0.651,0.661,17500
2024-11-27,0.68,0.68,0.64,0.65,7000
2024-11-26,0.616,0.648,0.615,0.648,22400
2024-11-25,0.649,0.655,0.628,0.63,13900
