datetime,open,high,low,close,volume
2025-04-01,82.61,82.85,80.92,82.25,2321200
2025-03-31,82.19,83.15,81.87,82.31,1992700
2025-03-28,82.0,82.2,81.0,81.46,2176100
2025-03-27,80.07,82.08,79.83,81.63,1906000
2025-03-26,80.36,81.39,79.67,80.87,2775700
2025-03-25,76.2,81.49,76.11,80.23,6273400
2025-03-24,79.5,80.79,78.76,80.34,2672800
2025-03-21,80.58,81.25,79.85,80.17,3780800
2025-03-20,81.51,81.53,80.11,80.7,1680000
2025-03-19,80.53,81.5,80.08,81.34,2499500
2025-03-18,81.76,82.07,81.02,81.3,1496400
2025-03-17,80.34,82.23,80.22,81.86,1465400
2025-03-14,80.2,80.66,79.7,80.33,2158500
2025-03-13,81.93,81.93,80.14,80.73,2232600
2025-03-12,82.12,82.59,81.12,81.55,2560000
2025-03-11,83.92,84.38,82.19,83.18,3014500
2025-03-10,83.24,86.24,83.16,84.19,4391900
2025-03-07,81.82,83.89,81.37,82.62,3604100
2025-03-06,82.84,82.89,81.26,81.85,1762500
2025-03-05,82.01,83.64,81.94,82.73,1940800
2025-03-04,85.12,85.78,82.34,82.36,2505800
2025-03-03,82.79,84.78,82.38,84.73,2235800
2025-02-28,82.76,83.36,81.35,82.61,2088300
2025-02-27,79.81,81.89,79.44,81.64,2370500
2025-02-26,82.29,83.22,79.72,80.16,2140900
2025-02-25,81.72,83.44,81.72,82.8,2496900
2025-02-24,79.93,82.52,79.43,81.22,3179700
2025-02-21,79.24,80.36,78.85,80.14,2089700
2025-02-20,78.28,79.35,78.19,79.21,1402100
2025-02-19,76.08,78.71,76.03,78.66,2627700
2025-02-18,76.62,76.85,75.66,75.92,1421600
2025-02-14,77.72,78.5,76.94,76.96,1334100
2025-02-13,77.02,77.59,76.47,77.51,1301300
2025-02-12,75.99,77.15,75.66,76.86,1435400
2025-02-11,76.64,77.29,75.66,77.2,1839800
2025-02-10,78.34,78.34,76.24,76.67,2028400
2025-02-07,77.46,78.46,77.15,78.35,1310700
2025-02-06,77.61,77.72,76.94,77.31,1148600
2025-02-05,76.56,77.03,76.19,76.8,1452200
2025-02-04,77.74,77.74,76.26,76.88,1569800
2025-02-03,77.2,78.27,76.51,78.03,1905200
2025-01-31,77.2,77.98,76.94,77.23,1462100
2025-01-30,77.36,78.0,76.94,77.78,1278900
2025-01-29,76.8,77.77,76.54,76.93,1816800
2025-01-28,76.98,78.12,76.49,76.69,1984500
2025-01-27,75.93,77.45,75.26,76.95,4330500
2025-01-24,74.1,75.34,74.1,74.89,2648200
2025-01-23,72.5,76.26,72.5,74.76,3567600
2025-01-22,74.42,74.52,73.14,73.24,2036400
2025-01-21,73.35,75.05,73.17,74.25,3576500
2025-01-17,73.72,73.9,73.01,73.31,1845000
2025-01-16,71.53,73.76,71.47,73.62,1290800
2025-01-15,71.85,72.31,70.87,71.78,2346000
2025-01-14,71.48,71.97,71.09,71.89,2217500
2025-01-13,71.4,71.59,70.05,71.24,3305300
2025-01-10,73.78,73.99,71.1,71.39,2026400
2025-01-08,74.54,74.77,73.78,74.52,1456800
2025-01-07,74.11,75.2,73.93,74.32,2034500
2025-01-06,75.19,75.91,74.02,74.13,1967300
2025-01-03,75.7,76.59,75.37,75.85,910500
2025-01-02,76.51,77.0,75.87,75.88,1062300
2024-12-31,75.45,76.41,75.12,76.24,1201100
2024-12-30,76.48,76.54,75.26,75.45,1612200
2024-12-27,77.41,78.03,76.7,77.05,1235500
2024-12-26,77.74,78.54,77.68,77.83,2102300
2024-12-24,78.04,78.23,77.46,78.03,538500
2024-12-23,78.25,79.05,77.28,78.13,1320100
2024-12-20,78.42,79.28,78.11,78.86,3353300
2024-12-19,78.42,79.19,77.96,78.24,1411300
2024-12-18,79.36,80.22,79.14,79.17,1697200
2024-12-17,79.8,81.12,79.43,80.31,2602500
2024-12-16,80.56,81.03,80.15,80.17,1519800
2024-12-13,81.41,81.41,80.13,80.56,1467700
2024-12-12,81.67,81.88,80.7,81.41,1360700
2024-12-11,81.87,82.13,80.9,81.36,1529700
2024-12-10,80.0,82.2,79.62,81.94,2989600
2024-12-09,78.74,79.98,78.49,79.97,2782900
2024-12-06,78.29,78.83,77.3,77.5,1557500
2024-12-05,77.14,78.33,77.05,78.14,1761400
2024-12-04,77.36,77.76,76.96,77.52,2222500
2024-12-03,78.37,78.55,77.54,77.99,1382700
2024-12-02,78.39,78.45,77.35,78.37,1771400
2024-11-29,78.04,78.7,77.58,78.41,839300
2024-11-27,78.4,78.82,77.65,77.79,1156700
2024-11-26,77.61,78.1,77.03,77.81,1239400
2024-11-25,77.51,78.46,77.21,77.28,2418200
2024-11-22,78.41,78.79,77.27,77.58,1359000
2024-11-21,77.14,78.27,76.96,77.95,2024300
2024-11-20,75.65,77.26,75.19,77.13,2118100
2024-11-19,74.61,75.59,73.92,75.31,1960200
2024-11-18,74.11,74.75,73.78,74.62,1855600
2024-11-15,74.7,74.74,72.51,73.97,3138100
2024-11-14,75.74,76.1,74.8,74.92,1190400
2024-11-13,76.5,76.68,75.56,75.84,1551800
2024-11-12,77.31,77.47,75.97,76.59,1413100
2024-11-11,77.29,77.81,76.64,77.03,1590900
2024-11-08,76.03,77.98,75.85,77.49,1391500
2024-11-07,76.8,77.29,76.15,76.34,1947000
2024-11-06,79.0,79.19,76.28,76.66,2015700
2024-11-05,78.2,78.88,77.63,78.83,1369600
2024-11-04,78.56,79.02,78.05,78.18,1625300
2024-11-01,78.48,78.95,78.06,78.75,1517300
2024-10-31,77.95,78.77,77.87,78.24,1917500
2024-10-30,77.53,78.33,77.29,77.94,1205000
2024-10-29,77.96,78.74,77.46,77.48,1201600
2024-10-28,78.35,78.94,78.18,78.33,1088900
2024-10-25,78.98,79.01,77.68,77.86,1129200
2024-10-24,79.43,79.53,78.73,78.77,1580300
2024-10-23,78.08,79.45,77.88,79.37,1884300
2024-10-22,77.93,79.07,76.28,78.86,3127700
2024-10-21,80.05,80.11,77.98,78.06,1961600
2024-10-18,80.18,80.58,79.93,80.18,1526900
2024-10-17,81.05,81.28,80.0,80.02,1559400
2024-10-16,81.03,81.67,80.69,81.11,1098100
2024-10-15,81.18,82.54,81.18,81.49,1224100
2024-10-14,80.34,81.08,80.16,81.05,1416400
2024-10-11,80.02,80.43,79.8,80.18,1550400
2024-10-10,79.94,80.05,79.52,79.78,1059600
2024-10-09,79.82,80.12,79.23,79.71,1360600
2024-10-08,79.6,79.72,79.1,79.63,1408900
2024-10-07,79.91,80.04,79.09,79.38,1806100
2024-10-04,80.22,80.8,79.86,80.61,1841400
2024-10-03,81.59,81.68,80.37,80.89,2423100
2024-10-02,83.02,83.52,81.26,82.04,3608800
2024-10-01,83.32,84.81,81.59,84.09,4415900
2024-09-30,83.15,83.22,81.92,82.3,3214700
2024-09-27,83.6,84.29,83.06,83.24,2037400
2024-09-26,83.1,83.6,82.78,83.25,1613000
2024-09-25,84.04,84.04,83.12,83.38,1246800
2024-09-24,83.04,83.81,82.73,83.76,1939000
2024-09-23,82.92,83.76,82.66,83.19,1554300
2024-09-20,83.22,83.29,82.56,82.99,4289000
2024-09-19,83.98,84.0,82.54,83.34,1735300
2024-09-18,84.25,84.71,83.53,83.92,1355400
2024-09-17,84.73,85.24,84.38,84.5,1251500
2024-09-16,84.5,85.49,84.2,84.76,1148900
2024-09-13,83.21,83.97,83.01,83.76,1210900
2024-09-12,82.35,83.27,81.87,83.17,1408400
2024-09-11,83.56,83.56,82.2,82.59,1160300
2024-09-10,83.51,84.5,83.28,83.79,1781000
2024-09-09,83.04,83.84,82.32,83.24,2787900
2024-09-06,83.08,83.58,82.65,82.88,1445000
2024-09-05,82.61,83.48,82.21,83.04,2531800
2024-09-04,81.22,82.68,80.95,82.07,3501100
2024-09-03,80.04,81.88,79.98,81.2,2563000
2024-08-30,79.24,80.11,79.24,80.03,1902900
2024-08-29,79.99,80.09,78.74,79.03,974800
2024-08-28,79.05,80.15,78.75,79.7,1521300
2024-08-27,79.22,79.8,78.66,79.26,1044400
2024-08-26,79.36,80.1,79.14,79.17,949000
2024-08-23,78.89,79.38,78.59,79.3,1014200
2024-08-22,78.96,79.18,78.15,78.71,844300
2024-08-21,78.34,79.26,77.95,78.79,987700
2024-08-20,77.98,78.34,77.72,78.1,978300
2024-08-19,77.31,78.58,77.18,78.16,1540500
2024-08-16,76.81,77.47,76.58,77.18,1566100
2024-08-15,78.18,78.18,76.53,76.84,1419400
2024-08-14,77.78,78.78,77.3,77.96,1422500
2024-08-13,76.67,77.43,76.4,77.32,761800
2024-08-12,77.49,77.49,76.39,76.48,1098100
2024-08-09,77.92,77.97,76.84,77.63,1158600
2024-08-08,77.14,78.05,76.98,77.87,1398100
2024-08-07,76.97,78.69,76.65,77.61,1568000
2024-08-06,76.6,78.11,76.6,76.89,2682900
2024-08-05,78.77,79.37,75.97,76.29,2940400
2024-08-02,78.59,79.31,76.86,78.82,2183200
2024-08-01,77.13,78.15,76.33,78.06,1434600
2024-07-31,76.91,77.9,76.38,77.01,2291000
2024-07-30,75.78,77.21,75.78,76.87,1701600
2024-07-29,75.79,76.82,75.46,76.12,1621000
2024-07-26,74.92,76.22,74.9,75.79,2667700
2024-07-25,74.35,76.44,74.28,74.77,1785200
2024-07-24,73.86,74.41,72.98,74.23,2182400
2024-07-23,73.32,74.34,73.07,73.94,1353300
2024-07-22,73.71,73.78,72.57,73.43,1228400
2024-07-19,74.27,74.64,73.08,73.59,1616600
2024-07-18,73.75,75.39,73.7,74.23,1740400
2024-07-17,73.57,75.29,73.55,74.45,2931600
2024-07-16,73.0,73.4,72.26,73.32,1599700
2024-07-15,71.38,73.59,71.16,72.75,4089900
2024-07-12,71.8,72.21,71.3,71.45,2085700
2024-07-11,71.39,71.78,70.84,71.19,1905600
2024-07-10,70.42,71.67,70.15,71.33,2105300
2024-07-09,69.4,70.25,69.0,70.07,1541300
2024-07-08,70.68,70.68,69.33,69.44,1922100
2024-07-05,69.92,70.93,69.41,70.88,1551900
