datetime,open,high,low,close,volume
2025-04-01,0.285,0.285,0.255,0.265,70200
2025-03-31,0.31,0.315,0.285,0.298,56600
2025-03-28,0.35,0.36,0.323,0.323,54800
2025-03-27,0.371,0.404,0.353,0.355,46100
2025-03-26,0.377,0.39,0.374,0.374,27100
2025-03-25,0.373,0.39,0.353,0.375,28700
2025-03-24,0.392,0.392,0.353,0.353,17900
2025-03-21,0.399,0.4,0.35,0.366,88900
2025-03-20,0.404,0.412,0.395,0.395,18100
2025-03-19,0.428,0.428,0.403,0.412,14900
2025-03-18,0.426,0.431,0.39,0.425,20700
2025-03-17,0.382,0.43,0.382,0.406,71600
2025-03-14,0.382,0.444,0.382,0.415,72400
2025-03-13,0.426,0.45,0.39,0.408,103400
2025-03-12,0.508,0.508,0.452,0.452,165700
2025-03-11,0.547,0.548,0.489,0.51,127900
2025-03-10,0.53,0.56,0.53,0.533,408500
2025-03-07,0.513,0.56,0.478,0.53,919500
2025-03-06,0.48,0.57,0.47,0.513,516200
2025-03-05,0.459,0.563,0.43,0.51,726600
2025-03-04,0.44,0.501,0.43,0.46,534500
2025-03-03,0.43,0.515,0.421,0.467,208800
2025-02-28,0.45,0.493,0.45,0.45,75700
2025-02-27,0.481,0.505,0.415,0.455,143400
2025-02-26,0.49,0.515,0.447,0.456,274100
2025-02-25,0.431,0.51,0.4,0.477,269600
2025-02-24,0.429,0.48,0.407,0.46,281300
2025-02-21,0.39,0.445,0.39,0.43,53400
2025-02-20,0.409,0.424,0.406,0.413,30200
2025-02-19,0.399,0.431,0.399,0.42,65800
2025-02-18,0.395,0.42,0.39,0.401,25700
2025-02-14,0.385,0.408,0.385,0.39,22400
2025-02-13,0.391,0.401,0.379,0.394,7600
2025-02-12,0.4,0.412,0.38,0.391,270600
2025-02-11,0.412,0.439,0.4,0.412,134900
2025-02-10,0.405,0.46,0.4,0.438,47100
2025-02-07,0.369,0.449,0.364,0.404,81700
2025-02-06,0.341,0.38,0.341,0.38,321500
2025-02-05,0.461,0.47,0.333,0.37,509100
2025-02-04,0.475,0.486,0.452,0.465,105700
2025-02-03,0.482,0.496,0.473,0.486,103200
2025-01-31,0.509,0.51,0.461,0.496,136200
2025-01-30,0.51,0.53,0.48,0.487,91900
2025-01-29,0.519,0.549,0.501,0.524,100200
2025-01-28,0.5,0.524,0.5,0.518,18900
2025-01-27,0.5,0.555,0.5,0.505,116300
2025-01-24,0.52,0.566,0.51,0.51,69200
2025-01-23,0.511,0.53,0.502,0.523,24100
