datetime,open,high,low,close,volume
2025-04-01,76.74,80.33,75.42,80.26,1003900
2025-03-31,75.5,77.66,73.29,76.75,1185100
2025-03-28,78.66,79.91,75.3,79.25,1764500
2025-03-27,84.89,86.05,79.89,79.96,1164100
2025-03-26,92.61,93.03,86.15,86.63,1075800
2025-03-25,92.45,95.49,91.38,93.23,1208400
2025-03-24,91.39,92.9,90.05,92.82,751400
2025-03-21,86.0,89.0,85.01,88.57,1276000
2025-03-20,85.97,88.85,85.97,87.8,976700
2025-03-19,84.03,89.45,83.62,87.7,1103800
2025-03-18,85.96,86.5,82.31,83.04,911200
2025-03-17,85.08,87.79,84.01,87.05,715200
2025-03-14,84.76,86.81,83.58,85.42,878600
2025-03-13,84.24,85.27,81.59,82.06,1131100
2025-03-12,83.02,85.79,81.92,84.36,1320200
2025-03-11,77.38,81.84,76.18,80.07,1334500
2025-03-10,77.43,79.96,74.3,77.27,1634600
2025-03-07,77.45,81.9,74.36,80.8,1514900
2025-03-06,76.54,77.71,74.14,76.06,1845700
2025-03-05,79.95,80.08,76.18,79.37,1211600
2025-03-04,75.2,79.33,72.49,78.13,1972500
2025-03-03,86.0,86.18,75.82,77.13,1809200
2025-02-28,81.79,85.27,79.3,84.56,2024200
2025-02-27,88.0,88.04,78.42,79.4,2146100
2025-02-26,89.5,91.4,85.9,87.01,1308600
2025-02-25,83.88,87.83,82.87,86.31,1940900
2025-02-24,86.75,86.99,80.27,83.36,2682200
2025-02-21,95.89,96.31,85.38,86.2,1656000
2025-02-20,88.84,94.55,86.25,94.09,2256600
2025-02-19,91.94,93.0,86.82,88.92,1617800
2025-02-18,91.39,93.52,89.65,92.36,2026600
2025-02-14,93.03,94.67,90.04,92.68,1772300
2025-02-13,97.7,98.19,92.34,93.03,1397200
2025-02-12,93.27,97.75,91.11,97.45,1077000
2025-02-11,97.0,99.0,96.11,97.16,935800
2025-02-10,99.0,100.99,96.14,98.77,1427700
2025-02-07,97.43,99.04,93.43,98.66,1744200
2025-02-06,103.78,105.14,97.31,97.69,1373900
2025-02-05,104.0,106.78,99.03,105.14,1958100
2025-02-04,96.17,99.19,94.83,98.51,1825400
2025-02-03,96.53,98.14,95.14,96.47,1180400
2025-01-31,103.18,104.85,99.38,101.45,1183800
