datetime,open,high,low,close,volume
2025-04-01,300.37,303.32001,297.16,301.51001,235700
2025-03-31,294.63,301.95001,293.5,299.87,190200
2025-03-28,301.44,302.14001,294.29001,296.10999,188800
2025-03-27,300.79001,304.19,299.23999,302.01001,123900
2025-03-26,306.98001,308.64001,300.39001,300.73999,168100
2025-03-25,304.35001,307.48001,301.89001,305.26001,255900
2025-03-24,300.45001,305.69,298.10001,303.63,281600
2025-03-21,297.17999,298.95999,293.01999,298.12,434400
2025-03-20,295.29001,299.44,294.62,295.70001,190400
2025-03-19,291.0,298.35001,289.70999,296.64001,193300
2025-03-18,290.89001,292.48999,287.07001,291.70999,157400
2025-03-17,287.57999,293.34,285.95999,291.09,275600
2025-03-14,283.64999,287.51999,282.92001,286.94,171000
2025-03-13,287.01999,287.01999,281.45999,282.48999,146900
2025-03-12,286.92001,288.75,283.01999,287.53,245300
2025-03-11,281.70001,286.5,278.64001,284.42999,411400
2025-03-10,287.54001,290.72,281.73999,282.51001,194300
2025-03-07,295.06,295.22,285.62,290.64999,184100
2025-03-06,298.60999,300.95001,293.60999,296.54001,211300
2025-03-05,298.39001,304.84,296.92001,302.06,198200
2025-03-04,305.82001,305.82001,297.60001,299.06,258600
2025-03-03,314.85001,318.95001,306.03,307.0,277800
2025-02-28,313.26999,314.09,307.57999,313.72,244200
2025-02-27,322.48001,322.48001,308.29001,311.16,237800
2025-02-26,321.32999,325.62,319.57999,319.95999,163100
2025-02-25,323.70999,324.63,319.32999,323.20999,169700
2025-02-24,322.76999,324.94,321.64001,321.98001,160600
2025-02-21,328.70001,328.70001,321.76001,322.57999,117400
2025-02-20,327.37,329.16,325.07001,327.04999,174600
2025-02-19,327.26999,329.16,326.45001,328.45001,150900
2025-02-18,324.98001,329.06,323.39001,328.72,127600
2025-02-14,329.01999,330.54999,324.57999,325.01999,87700
2025-02-13,320.98001,329.31,319.87,328.79999,100100
2025-02-12,319.01001,320.76999,317.72,320.26001,96200
2025-02-11,322.31,323.82999,319.85999,321.53,107800
2025-02-10,326.57001,326.57001,324.22,324.67001,85300
2025-02-07,327.88,328.95999,324.82999,326.34,58800
2025-02-06,327.35999,327.94,324.42001,327.07001,93800
2025-02-05,328.13,335.0,323.39999,325.37,87900
2025-02-04,325.28,329.04999,324.44,325.70001,85400
2025-02-03,325.03,328.59,319.89001,326.91,194600
2025-01-31,331.54999,332.5,328.22,328.64001,82900
2025-01-30,328.45999,333.41,328.45999,330.56,85900
2025-01-29,329.67001,330.98999,324.35999,326.48001,112700
2025-01-28,332.29999,335.20999,330.39001,330.45001,81600
2025-01-27,328.03,333.87,328.03,333.48999,120200
2025-01-24,327.04001,330.0,327.04001,328.76999,122100
2025-01-23,328.39001,330.28,325.92001,327.04001,98900
2025-01-22,331.23999,334.38,329.32001,329.78,98200
2025-01-21,328.07999,331.04999,327.28,330.91,217300
