datetime,open,high,low,close,volume
2025-04-01,1.35,1.59,1.3,1.35,157400
2025-03-31,1.36,1.38,1.35,1.35,8200
2025-03-28,1.4,1.4,1.35,1.38,9900
2025-03-27,1.4,1.42,1.36,1.42,8100
2025-03-26,1.41,1.43,1.41,1.41,4100
2025-03-25,1.44,1.45,1.42,1.43,3000
2025-03-24,1.44,1.45,1.41,1.45,6000
2025-03-21,1.41,1.42,1.4,1.4,5000
2025-03-20,1.4,1.43,1.4,1.42,4900
2025-03-19,1.45,1.45,1.41,1.41,6900
2025-03-18,1.45,1.48,1.45,1.45,13000
2025-03-17,1.43,1.5,1.38,1.45,11300
2025-03-14,1.38,1.4,1.35,1.38,21100
2025-03-13,1.37,1.39,1.37,1.39,11900
2025-03-12,1.4,1.41,1.37,1.39,11200
2025-03-11,1.45,1.45,1.39,1.4,12400
2025-03-10,1.53,1.53,1.42,1.47,20100
2025-03-07,1.56,1.56,1.51,1.56,17100
2025-03-06,1.57,1.6,1.5,1.58,32500
2025-03-05,1.47,1.57,1.47,1.57,20900
2025-03-04,1.6,1.62,1.39,1.46,49800
2025-03-03,1.7,1.7,1.6,1.6,15800
2025-02-28,1.7,1.78,1.66,1.69,13200
2025-02-27,1.83,1.83,1.7,1.7,33600
2025-02-26,1.97,1.99,1.83,1.83,15300
2025-02-25,1.89,1.97,1.86,1.97,16200
2025-02-24,1.9,2.01,1.87,1.89,21200
2025-02-21,1.96,1.98,1.91,1.91,22300
2025-02-20,1.98,2.04,1.96,1.98,9400
2025-02-19,1.99,2.07,1.94,1.98,53300
2025-02-18,1.98,2.05,1.98,1.99,5600
2025-02-14,2.01,2.01,1.99,1.99,4000
2025-02-13,2.04,2.06,1.94,2.04,40600
2025-02-12,2.07,2.19,2.03,2.06,15900
2025-02-11,2.11,2.11,2.02,2.07,21200
2025-02-10,2.12,2.19,2.1,2.12,12000
2025-02-09,2.12,2.19,2.1,2.115,12035
2025-02-07,2.11,2.21,2.07,2.09,9300
2025-02-06,2.09,2.48,2.09,2.13,68500
2025-02-05,2.03,2.1,2.03,2.03,2400
2025-02-04,2.01,2.19,1.99,2.01,20000
2025-02-03,2.01,2.1884,1.99,2.01,20014
2025-01-31,2.02,2.04,2.01,2.01,7500
2025-01-30,2.06,2.07,1.98,2.02,9900
2025-01-29,1.97,2.18,1.97,2.02,4500
2025-01-28,1.99,2.06,1.97,2.01,21100
2025-01-27,2.06,2.16,2.01,2.02,11700
2025-01-26,2.06,2.1622,2.01,2.02,11666
2025-01-24,2.07,2.1,2.06,2.07,17700
2025-01-23,2.07,2.1,2.0631,2.0672,17683
2025-01-22,2.08,2.14,2.05,2.11,16000
2025-01-21,2.1,2.13,2.07,2.07,7000
2025-01-17,2.1,2.12,2.08,2.12,4600
2025-01-16,2.11,2.16,2.08,2.1,5000
2025-01-15,2.14,2.15,2.06,2.13,9000
2025-01-14,2.05,2.18,2.02,2.08,14600
2025-01-13,2.09,2.12,2.03,2.05,5300
2025-01-10,2.16,2.21,2.1,2.14,8900
2025-01-08,2.29,2.34,2.17,2.21,36500
2025-01-07,2.34,2.34,2.26,2.31,10800
2025-01-06,2.28,2.4,2.28,2.34,17100
2025-01-05,2.28,2.4,2.2758,2.34,17125
2025-01-03,2.24,2.35,2.18,2.34,98800
2025-01-02,2.22,2.27,2.18,2.21,24800
2025-01-01,2.22,2.2706,2.18,2.21,24838
2024-12-31,2.03,2.3,2.03,2.21,176400
2024-12-30,2.03,2.2999,2.03,2.21,176420
2024-12-27,2.02,2.03,1.97,1.98,19300
2024-12-26,1.97,2.05,1.97,2.02,18400
2024-12-24,1.97,2.03,1.97,2.02,14600
2024-12-23,1.98,2.03,1.98,2.02,25300
2024-12-20,1.91,2.03,1.91,2.0,34400
2024-12-19,1.89,2.0,1.88,1.94,31900
2024-12-18,2.01,2.02,1.9,1.9,61400
2024-12-17,1.92,1.98,1.9,1.98,42300
2024-12-16,2.03,2.08,1.9,1.98,64500
2024-12-13,2.05,2.11,2.03,2.08,11600
2024-12-12,2.1,2.18,2.1,2.1,14400
2024-12-11,2.2,2.25,2.07,2.12,15500
2024-12-10,2.15,2.25,2.12,2.22,9500
2024-12-09,2.1,2.25,2.08,2.2,33300
2024-12-06,2.01,2.13,2.0,2.09,33900
2024-12-05,2.1,2.15,2.0,2.04,41800
2024-12-04,2.05,2.23,2.05,2.17,25000
2024-12-03,2.12,2.2,2.07,2.11,16700
2024-12-02,2.21,2.22,2.08,2.18,38300
2024-11-29,2.3,2.3,2.22,2.24,10700
2024-11-27,2.3,2.35,2.19,2.28,40300
2024-11-26,2.2,2.4,2.2,2.3,102600
2024-11-25,2.07,2.19,2.03,2.12,38400
2024-11-22,1.98,2.15,1.98,2.11,23100
2024-11-21,1.96,2.02,1.94,1.98,17300
2024-11-20,2.01,2.03,1.96,1.96,12300
2024-11-19,2.0,2.05,1.96,2.02,20300
2024-11-18,2.0,2.02,1.99,2.0,16600
2024-11-15,2.03,2.09,2.03,2.04,11700
2024-11-14,2.03,2.05,2.02,2.04,8600
2024-11-13,2.04,2.11,2.02,2.05,18600
2024-11-12,2.08,2.12,2.05,2.06,4000
2024-11-11,2.04,2.12,2.04,2.1,26100
2024-11-08,2.1,2.12,2.06,2.06,6600
2024-11-07,2.08,2.15,2.03,2.09,15900
2024-11-06,2.1,2.17,2.03,2.13,40500
2024-11-05,2.09,2.1,2.06,2.06,12500
2024-11-04,2.04,2.1,2.04,2.08,11300
2024-11-01,2.03,2.1,2.02,2.08,21900
2024-10-31,2.12,2.16,2.05,2.06,19200
2024-10-30,2.09,2.19,2.09,2.16,15400
2024-10-29,2.16,2.16,2.1,2.13,17000
2024-10-28,2.11,2.17,2.1,2.14,25300
2024-10-25,2.15,2.15,2.1,2.13,8700
2024-10-24,2.13,2.16,2.07,2.11,38400
2024-10-23,2.18,2.2,2.13,2.15,8600
2024-10-22,2.25,2.28,2.18,2.21,32500
2024-10-21,2.27,2.27,2.21,2.25,19900
2024-10-18,2.2,2.27,2.2,2.22,16600
2024-10-17,2.27,2.3,2.19,2.22,14600
2024-10-16,2.11,2.37,2.11,2.29,60800
2024-10-15,2.11,2.15,2.11,2.15,12100
2024-10-14,2.16,2.16,2.11,2.13,19100
2024-10-11,2.1,2.18,2.1,2.16,8900
2024-10-10,2.12,2.17,2.09,2.13,21200
2024-10-09,2.1,2.19,2.1,2.16,17800
2024-10-08,2.13,2.17,2.1,2.11,12700
2024-10-07,2.15,2.21,2.15,2.17,6300
2024-10-04,2.19,2.22,2.17,2.2,8600
2024-10-03,2.14,2.2,2.14,2.17,10900
2024-10-02,2.2,2.23,2.17,2.19,10700
2024-10-01,2.22,2.22,2.17,2.21,9100
2024-09-30,2.27,2.27,2.24,2.25,6800
2024-09-27,2.15,2.26,2.15,2.23,11700
2024-09-26,2.17,2.2,2.15,2.17,7100
2024-09-25,2.23,2.23,2.12,2.18,18600
2024-09-24,2.26,2.29,2.24,2.25,9200
2024-09-23,2.28,2.35,2.24,2.31,11100
2024-09-20,2.26,2.34,2.26,2.3,13200
2024-09-19,2.32,2.32,2.25,2.29,27800
2024-09-18,2.32,2.36,2.27,2.27,21100
2024-09-17,2.34,2.39,2.34,2.38,11700
2024-09-16,2.35,2.41,2.31,2.39,18400
2024-09-13,2.33,2.46,2.33,2.38,17400
2024-09-12,2.43,2.46,2.21,2.34,40200
2024-09-11,2.43,2.47,2.32,2.46,9900
2024-09-10,2.27,2.43,2.22,2.43,45200
2024-09-09,2.3,2.39,2.2,2.24,40700
2024-09-06,2.41,2.46,2.3,2.3,219500
2024-09-05,2.44,2.48,2.41,2.42,15100
2024-09-04,2.36,2.5,2.36,2.46,15900
2024-09-03,2.46,2.51,2.38,2.4,29200
2024-08-30,2.37,2.55,2.37,2.49,28900
2024-08-29,2.45,2.48,2.27,2.39,62700
2024-08-28,2.47,2.56,2.45,2.48,38500
2024-08-27,2.49,2.58,2.47,2.55,26800
2024-08-26,2.57,2.59,2.5,2.55,37100
2024-08-23,2.49,2.57,2.49,2.54,52500
2024-08-22,2.6,2.6,2.52,2.53,39200
2024-08-21,2.51,2.69,2.51,2.61,60100
2024-08-20,2.56,2.71,2.47,2.62,100100
2024-08-19,2.44,2.58,2.44,2.53,60500
