datetime,open,high,low,close,volume
2025-04-01,17.94,17.99,17.87,17.97,121569
2025-03-31,17.98,18.0736,17.85,17.93,674042
2025-03-28,18.42,18.43,18.28,18.29,74282
2025-03-27,18.41,18.47,18.27,18.38,74639
2025-03-26,18.65,18.7,18.42,18.43,75545
2025-03-25,18.69,18.73,18.6,18.7,81439
2025-03-24,18.77,18.81,18.68,18.68,72143
2025-03-21,18.61,18.76,18.5507,18.695,47030
2025-03-20,18.65,18.7491,18.6,18.6299,31436
2025-03-19,18.56,18.7,18.56,18.69,55498
2025-03-18,18.62,18.67,18.54,18.595,37076
2025-03-17,18.59,18.68,18.54,18.66,95408
2025-03-14,18.41,18.54,18.41,18.51,145684
2025-03-13,18.43,18.51,18.345,18.4366,111021
2025-03-12,18.45,18.49,18.35,18.43,187841
2025-03-11,18.54,18.54,18.4,18.43,72267
2025-03-10,18.59,18.62,18.46,18.5,87757
2025-03-07,18.73,18.7621,18.55,18.58,266531
2025-03-06,18.65,18.7699,18.61,18.65,73056
2025-03-05,18.91,18.95,18.71,18.72,85093
2025-03-04,19.0,19.0215,18.73,18.84,58429
2025-03-03,19.08,19.15,18.97,18.97,117399
2025-02-28,19.09,19.15,18.9,19.03,146136
2025-02-27,19.03,19.0609,18.93,19.02,89760
2025-02-26,19.07,19.14,18.96,19.05,285335
2025-02-25,19.0,19.09,18.9609,19.04,93843
2025-02-24,18.8,18.95,18.7205,18.87,246972
2025-02-21,18.77,18.81,18.72,18.8,46228
2025-02-20,18.67,18.8,18.6,18.77,70963
2025-02-19,18.74,18.93,18.6286,18.74,58513
2025-02-18,18.92,18.9499,18.73,18.8,70812
2025-02-14,18.84,19.0,18.8101,18.94,98451
2025-02-13,18.65,18.81,18.61,18.76,88135
2025-02-12,18.55,18.63,18.36,18.58,96539
2025-02-11,18.7,18.77,18.62,18.75,221313
2025-02-10,18.61,18.77,18.561,18.74,91385
2025-02-07,18.59,18.6,18.51,18.58,40506
2025-02-06,18.67,18.7,18.57,18.65,65089
2025-02-05,18.44,18.69,18.406,18.66,69845
2025-02-04,18.29,18.44,18.26,18.36,103926
2025-02-03,18.4,18.44,18.27,18.35,97621
2025-01-31,18.6,18.75,18.27,18.44,277134
2025-01-30,18.4,18.63,18.3714,18.54,150932
2025-01-29,18.61,18.61,18.3,18.31,100689
2025-01-28,18.83,18.8999,18.49,18.54,152841
2025-01-27,18.49,19.09,18.42,18.76,251136
2025-01-24,18.44,18.63,18.3501,18.54,86499
2025-01-23,18.27,18.51,18.2501,18.42,112039
2025-01-22,18.56,18.59,18.35,18.4,92314
2025-01-21,18.3701,18.54,18.3526,18.52,179395
2025-01-17,18.47,18.48,18.17,18.3,118142
2025-01-16,18.36,18.64,18.26,18.33,180654
2025-01-15,18.09,18.43,18.08,18.33,200275
2025-01-14,17.69,17.83,17.57,17.72,197110
2025-01-13,17.75,17.86,17.56,17.6,134177
2025-01-10,18.3,18.3,17.77,17.85,187661
2025-01-08,18.15,18.35,18.12,18.33,235183
2025-01-07,18.65,18.69,18.17,18.22,111215
2025-01-06,18.86,18.94,18.61,18.65,246204
2025-01-03,18.68,19.05,18.66,18.91,356473
2025-01-02,18.49,18.7194,18.41,18.58,147082
2024-12-31,17.8,18.41,17.78,18.41,672736
2024-12-30,17.87,18.29,17.8,18.17,508009
2024-12-27,18.04,18.06,17.84,17.86,292536
2024-12-26,18.3,18.3,18.05,18.06,199689
2024-12-24,18.27,18.38,18.23,18.27,123342
2024-12-23,18.5,18.5,18.35,18.37,171475
2024-12-20,18.34,18.5199,18.3,18.51,291227
2024-12-19,18.45,18.4699,18.14,18.28,212994
2024-12-18,18.81,18.92,18.52,18.54,161166
2024-12-17,18.7,18.87,18.6106,18.84,201974
2024-12-16,18.94,18.97,18.71,18.78,250740
2024-12-13,19.11,19.198,18.8513,18.9,120856
2024-12-12,19.14,19.25,19.06,19.16,354007
2024-12-11,19.21,19.3799,19.08,19.28,308820
