datetime,open,high,low,close,volume
2025-04-01,115.99,116.88,113.54,115.74,6650100
2025-03-31,113.71,117.03,112.18,116.67,7616600
2025-03-28,118.71,119.43,114.63,115.33,7349400
2025-03-27,118.93,119.84,117.54,119.0,8239400
2025-03-26,125.77,126.34,121.61,122.2,5084600
2025-03-25,124.9,126.05,124.15,125.2,4326300
2025-03-24,122.31,124.82,122.0,124.27,6184400
2025-03-21,119.35,120.88,118.3,120.14,10989900
2025-03-20,118.82,121.81,118.82,120.47,7026000
2025-03-19,117.23,121.25,116.23,119.85,8430800
2025-03-18,118.28,119.21,117.28,118.11,7234900
2025-03-17,114.97,119.3,114.84,117.96,8374900
2025-03-14,113.99,115.77,112.54,115.34,6879400
2025-03-13,114.0,114.85,111.23,111.68,7435500
2025-03-12,115.0,115.6,112.55,114.0,7925500
2025-03-11,111.71,113.51,110.34,112.04,13490400
2025-03-10,116.0,116.28,109.22,111.69,16765700
2025-03-07,118.73,119.49,115.45,119.29,8513500
2025-03-06,120.8,123.13,118.6,119.37,8611500
2025-03-05,122.0,124.38,121.44,123.75,7291900
2025-03-04,126.47,126.57,119.25,121.72,12996500
2025-03-03,133.33,133.99001,127.73,129.13,5969400
2025-02-28,129.89999,133.41,128.99001,133.11,7424200
2025-02-27,131.8,132.87,128.81,129.24001,5538700
2025-02-26,130.41,132.24001,130.14999,131.05,5493600
2025-02-25,131.03,131.28999,126.38,129.60001,7458500
2025-02-24,132.75999,132.97,128.89999,129.97,7784500
2025-02-21,135.17999,135.60001,130.91,131.69,6704100
2025-02-20,140.25,141.07001,132.42999,134.34,8860800
2025-02-19,140.00999,140.92999,139.25999,140.69,3623100
2025-02-18,139.41,140.78,138.89,140.71001,3797000
2025-02-14,136.45,139.58,136.45,138.95,5044500
2025-02-13,137.97,138.10001,136.35001,136.84,4699800
2025-02-12,136.08,137.28,135.60001,137.11,4688900
2025-02-11,136.81,138.21001,135.44,137.78999,5096800
2025-02-10,140.25,140.31,135.61,137.31,5517700
2025-02-07,142.02,142.03,139.82001,139.98,3529000
2025-02-06,140.00999,141.39999,140.0,141.08,4576600
2025-02-05,137.47,139.22,136.50999,138.92999,5871200
2025-02-04,137.73,137.88,136.28999,136.77,5997300
2025-02-03,135.81,138.0,133.91,137.16,5307000
2025-01-31,139.14,139.75999,137.77,138.42999,5503400
2025-01-30,139.81,140.49001,138.89,139.94,4545700
2025-01-29,138.47,141.48,138.17999,138.71001,5719800
2025-01-28,136.07001,138.84,135.64,138.53999,5885100
2025-01-27,135.25999,136.75999,134.12,136.64999,6460700
2025-01-24,136.47,139.03999,136.47,137.82001,6475500
2025-01-23,135.97,138.2,135.97,137.8,6911000
2025-01-22,137.25999,138.38,135.82001,136.0,7177500
2025-01-21,136.44,137.62,135.28999,137.3,11213300
2025-01-17,136.16,138.08,134.53,137.87,12481500
2025-01-16,132.35001,136.14999,131.89999,135.81,16235700
2025-01-15,129.71001,131.44,128.46001,130.55,11349500
2025-01-14,125.4,125.4,123.69,124.62,8999900
2025-01-13,122.45,124.3,122.45,123.99,5433000
2025-01-10,126.31,126.5,123.29,123.45,6873800
2025-01-08,126.91,128.0,125.76,127.86,5744500
2025-01-07,129.64999,129.66,125.46,126.88,7268800
2025-01-06,127.63,129.95,127.63,128.64,6665200
2025-01-03,125.65,126.0,124.08,125.94,3988400
2025-01-02,126.51,127.28,124.21,124.78,5014300
2024-12-31,126.33,126.83,125.2,125.72,2970000
2024-12-30,124.55,126.16,124.02,125.75,2637900
2024-12-27,127.05,127.86,125.82,126.76,3088100
2024-12-26,126.53,128.17,126.49,128.03,3013500
2024-12-24,125.07,127.22,124.59,127.06,2902800
2024-12-23,123.1,124.67,122.79,124.45,5074100
2024-12-20,121.2,124.54,120.53,123.44,14884000
2024-12-19,124.78,124.94,120.3,120.5,8632400
2024-12-18,128.16,128.39,120.29,121.04,7858800
2024-12-17,128.10001,128.7,127.18,127.74,7141400
2024-12-16,127.74,129.31,127.39,129.03,5659700
2024-12-13,128.0,128.81,126.71,127.4,6091500
2024-12-12,127.89,128.83,127.36,127.91,3610500
2024-12-11,127.75,127.95,126.28,127.59,8835400
2024-12-10,127.63,128.61,126.53,126.79,6551300
2024-12-09,130.52,130.77,128.33,128.58,7753900
2024-12-06,130.52,130.57001,129.17999,129.96001,5013200
2024-12-05,129.94,131.86,129.42,130.32001,4991900
2024-12-04,130.19,131.2,129.64,129.99001,6203700
2024-12-03,133.19,133.19,130.00999,130.44,4791300
2024-12-02,132.3,133.0,130.83,131.03,5512100
2024-11-29,132.28,132.73,131.42,131.61,4068200
2024-11-27,131.49001,132.42999,130.57001,131.21001,5507800
2024-11-26,130.75,131.78999,128.53,131.28,8817300
2024-11-25,135.44,136.24001,133.58,133.66,8012300
2024-11-22,134.67999,135.67,133.96001,134.69,6334100
2024-11-21,133.2,135.57001,133.14,134.99001,5547400
2024-11-20,133.16,133.64999,131.05,131.69,5125600
2024-11-19,133.25999,134.09,131.92999,132.24001,7244800
2024-11-18,134.69,135.50999,133.42,133.78,6434100
2024-11-15,133.37,134.39999,132.53999,134.06,7281900
2024-11-14,133.10001,134.91,131.98,132.42999,7344200
2024-11-13,133.46001,134.64999,132.47,132.75999,6134800
2024-11-12,133.19,133.82001,131.71001,132.31,5683300
2024-11-11,130.55,133.99001,130.55,133.52,6861300
2024-11-08,128.98,130.52,127.76,129.53,6979300
2024-11-07,130.74001,131.55,128.08,128.44,7780000
2024-11-06,129.50999,133.52,127.66,131.49001,22798700
2024-11-05,116.09,117.9,116.09,117.81,4798400
2024-11-04,117.01,117.45,115.94,116.14,4366300
2024-11-01,116.67,118.02,116.3,116.85,4372100
2024-10-31,117.13,117.91,115.7,116.25,5374600
2024-10-30,118.61,119.32,117.79,117.92,5673000
2024-10-29,118.89,120.09,118.82,119.3,4622200
2024-10-28,118.12,119.68,117.51,119.13,5994000
2024-10-25,120.0,120.0,116.33,116.88,7271700
2024-10-24,118.4,119.34,117.94,119.17,5611800
2024-10-23,117.89,118.74,117.2,118.28,5661600
2024-10-22,117.65,118.61,117.25,118.32,4429600
2024-10-21,120.37,120.69,117.88,118.28,7469100
2024-10-18,119.53,121.12,119.11,121.06,6852900
2024-10-17,119.77,120.36,118.73,119.44,9357200
2024-10-16,116.88,121.45,116.5,119.51,21458500
2024-10-15,115.43,116.06,112.03,112.22,8925200
2024-10-14,111.05,112.44,110.55,112.28,7179300
2024-10-11,109.0,111.48,109.0,110.46,5826200
2024-10-10,108.44,109.03,107.65,108.08,4065500
2024-10-09,107.22,109.37,107.22,109.04,4445800
2024-10-08,107.65,108.21,107.39,107.49,3679400
2024-10-07,107.69,108.92,107.27,107.64,4439900
2024-10-04,107.61,108.08,106.62,107.88,5608900
2024-10-03,103.58,104.7,103.16,104.57,4587200
2024-10-02,104.83,105.4,103.91,104.52,3293600
2024-10-01,104.18,105.19,103.06,104.42,5437400
2024-09-30,103.74,104.4,103.12,104.24,3378600
2024-09-27,104.93,105.14,104.02,104.11,3113300
2024-09-26,103.07,104.79,102.97,104.6,5183000
2024-09-25,102.75,102.81,101.72,102.34,3825100
2024-09-24,102.77,102.88,101.95,102.58,4749700
2024-09-23,101.69,102.53,101.31,102.47,3962400
2024-09-20,100.87,102.53,100.19,102.47,14513400
2024-09-19,101.22,101.43,99.52,100.73,9091900
2024-09-18,100.12,101.01,99.24,99.3,5195900
2024-09-17,100.68,100.82,99.44,99.84,4748600
2024-09-16,99.15,100.19,98.76,100.09,4467200
2024-09-13,96.87,98.74,96.85,98.25,5354800
2024-09-12,97.37,97.69,95.68,96.64,4752900
2024-09-11,95.49,97.14,94.09,97.03,6764100
2024-09-10,98.4,98.43,94.89,96.62,7798600
2024-09-09,97.76,99.02,97.6,98.18,5281500
2024-09-06,99.7,100.8,96.14,96.59,9246800
2024-09-05,101.0,101.3,99.12,99.56,4462400
2024-09-04,99.74,101.32,99.68,100.15,4212500
2024-09-03,102.85,103.26,98.46,99.27,6634000
2024-08-30,102.91,103.81,102.1,103.61,4951400
2024-08-29,102.92,102.92,101.28,102.6,3325600
2024-08-28,101.89,102.7,101.42,102.2,2836800
2024-08-27,102.46,102.85,102.04,102.08,2537200
2024-08-26,103.04,103.05,101.98,102.33,2679000
2024-08-23,100.94,102.58,100.82,101.89,3814800
2024-08-22,100.76,100.98,99.9,100.56,2777300
2024-08-21,101.1,101.23,99.96,100.69,3576000
2024-08-20,101.25,101.63,100.6,100.78,3396900
2024-08-19,101.52,102.04,101.3,101.75,4070500
2024-08-16,100.63,101.5,100.46,101.44,4159700
2024-08-15,100.8,101.21,100.15,100.64,5885100
2024-08-14,97.76,100.59,97.51,99.44,10161700
2024-08-13,95.77,96.8,94.95,96.71,5941500
2024-08-12,94.9,95.22,93.54,94.84,4196300
2024-08-09,94.29,95.12,94.02,94.72,3542600
2024-08-08,93.49,95.04,92.78,94.63,6592300
2024-08-07,94.61,95.33,92.01,92.11,7215700
2024-08-06,92.2,93.84,91.52,92.97,6068300
