datetime,open,high,low,close,volume
2025-03-12,21.49,21.8,17.25,19.43,23210
2025-03-11,13.41,20.35,13.21,20.35,15720
2025-03-10,12.6985,15.07,12.69,15.0,11872
2025-03-07,14.51,14.7,12.59,12.59,27453
2025-03-06,20.2,20.2,13.6,14.95,190637
2025-03-05,18.87,19.2,18.87,19.01,15471
2025-03-04,18.8,18.86,18.41,18.6,7831
2025-03-03,19.71,19.75,18.85,18.85,7861
2025-03-02,19.71,19.75,18.85,18.85,7861
2025-02-28,18.21,20.1,18.16,19.71,46131
2025-02-27,18.21,20.1,18.16,19.71,46131
2025-02-26,18.5,18.7743,18.21,18.21,5200
2025-02-25,18.46,18.7637,18.46,18.55,10446
2025-02-24,18.64,18.94,18.25,18.25,6280
2025-02-23,18.85,19.1865,18.26,18.65,14867
2025-02-21,19.15,19.18,19.0,19.0,12381
2025-02-20,19.15,19.18,18.99,19.04,12510
2025-02-19,19.2,19.29,19.02,19.07,9898
2025-02-18,19.5,19.5,19.1,19.3,2912
2025-02-17,19.3,19.5,19.02,19.24,20528
2025-02-14,19.33,19.5763,19.0535,19.25,3083
2025-02-13,19.33,19.5763,19.0535,19.29,3327
2025-02-12,19.06,19.42,19.0466,19.18,12121
2025-02-11,19.19,19.59,19.04,19.165,14934
2025-02-10,19.74,19.77,19.02,19.49,7889
2025-02-09,19.5,19.85,19.48,19.68,15682
2025-02-07,19.5809,19.84,19.33,19.35,10027
2025-02-06,19.5,19.84,19.33,19.35,10136
2025-02-05,19.75,19.84,19.5001,19.68,5143
2025-02-04,20.12,20.12,19.265,19.88,10192
2025-02-03,20.0,20.23,19.91,20.02,6409
2025-02-02,19.5,20.22,19.5,20.18,30607
2025-01-31,21.44,21.44,19.72,19.85,28830
2025-01-30,21.44,21.44,19.6,19.6,106554
2025-01-29,21.0,21.65,21.0,21.45,6049
2025-01-28,21.7521,21.82,21.36,21.6999,5370
2025-01-27,21.2,21.84,21.09,21.47,24507
2025-01-26,20.85,21.8899,20.7456,20.97,14706
2025-01-24,21.9,21.98,21.6,21.62,19988
2025-01-23,21.9,21.98,21.6,21.9,19988
2025-01-22,20.77,22.0,20.77,21.95,12707
2025-01-21,20.74,21.46,20.2,21.04,14270
2025-01-20,20.01,20.3,19.95,20.11,43657
2025-01-17,19.26,19.5,19.0016,19.44,7499
2025-01-16,19.26,19.5,19.0016,19.4407,7499
2025-01-15,19.25,19.4205,19.25,19.26,7089
2025-01-14,19.22,19.48,19.0,19.46,7543
2025-01-13,18.9314,19.4679,18.9314,19.4679,8139
2025-01-12,19.16,19.49,19.15,19.25,11396
2025-01-10,19.25,19.3699,18.75,19.3699,12147
2025-01-09,19.25,19.3699,18.75,19.3699,12147
2025-01-08,19.25,19.3915,18.72,19.265,10434
2025-01-07,19.25,19.3915,18.72,19.265,10434
2025-01-06,19.48,19.5,18.71,19.36,7759
2025-01-05,19.32,19.43,19.035,19.32,47601
2025-01-02,19.8,19.8,18.71,19.13,23923
2025-01-01,19.78,20.0,19.31,19.61,6928
2024-12-31,19.0,20.0,18.51,19.87,29361
2024-12-30,19.0,20.0,18.51,19.87,30767
2024-12-29,18.64,18.94,18.45,18.85,6417
2024-12-27,18.45,18.75,17.77,18.75,42226
2024-12-26,18.45,18.75,17.77,18.75,42226
2024-12-25,18.25,18.61,18.25,18.5,12288
2024-12-24,18.25,18.42,18.07,18.25,7901
2024-12-23,18.25,18.42,18.0,18.25,7901
