datetime,open,high,low,close,volume
2025-04-01,17.37,18.23,17.265,18.23,17199
2025-03-31,16.92,17.66,16.3921,17.63,20561
2025-03-28,19.55,19.55,17.5,17.9,30274
2025-03-27,20.44,20.54,19.14,19.63,23828
2025-03-26,23.21,23.21,20.355,20.82,54078
2025-03-25,24.96,25.03,23.951,24.14,11498
2025-03-24,23.9,24.8581,23.9,24.84,10071
2025-03-21,22.25,23.48,22.05,23.3,10180
2025-03-20,22.54,23.7597,22.54,23.41,8604
2025-03-19,22.17,23.5797,22.06,22.93,11427
2025-03-18,22.671,23.09,21.661,21.9781,12138
2025-03-17,23.213,23.4196,22.3999,23.406,8784
2025-03-14,23.5,23.5,22.12,22.3494,21289
2025-03-13,23.05,24.22,21.89,22.3511,9669
2025-03-12,23.11,23.94,22.4241,23.1011,22508
2025-03-11,21.28,22.42,20.365,21.3616,16464
2025-03-10,22.06,22.06,19.2681,20.3542,15058
2025-03-07,23.51,24.38,22.735,23.9696,1507
