datetime,open,high,low,close,volume
2025-04-01,6.79,6.95,6.63,6.87,620100
2025-03-31,6.6,7.08,6.6,6.9,975100
2025-03-28,7.33,7.33,6.76,6.77,688400
2025-03-27,7.62,7.67,7.33,7.39,585000
2025-03-26,7.53,7.7,7.4,7.65,437600
2025-03-25,7.67,7.79,7.5,7.52,414500
2025-03-24,7.87,8.0,7.54,7.6,464100
2025-03-21,7.55,7.82,7.46,7.75,727000
2025-03-20,7.65,7.95,7.44,7.64,744400
2025-03-19,7.9,8.0,7.68,7.74,357700
2025-03-18,7.91,7.92,7.75,7.87,554800
2025-03-17,7.83,8.0,7.68,7.94,682300
2025-03-14,7.76,7.9,7.58,7.84,689100
2025-03-13,7.7,7.78,7.32,7.72,615600
2025-03-12,7.87,8.0,7.81,7.83,987100
2025-03-11,7.88,8.19,7.64,7.9,1348400
2025-03-10,7.8,8.05,7.58,7.88,1151600
2025-03-07,7.7,8.0,7.35,7.7,1083300
2025-03-06,8.39,8.5,7.55,7.69,2347900
2025-03-05,6.71,9.18,6.67,8.55,18709500
2025-03-04,5.54,5.71,5.27,5.6,1136600
2025-03-03,5.65,5.92,5.46,5.5,669400
2025-02-28,5.43,5.68,5.43,5.64,429000
2025-02-27,5.66,5.7,5.43,5.44,404900
2025-02-26,5.5,5.79,5.44,5.66,351100
2025-02-25,5.49,5.52,5.34,5.44,326600
2025-02-24,5.43,5.54,5.25,5.5,475200
2025-02-21,5.78,5.8,5.41,5.42,451900
2025-02-20,5.86,5.86,5.55,5.7,393900
2025-02-19,5.94,5.94,5.68,5.84,714500
2025-02-18,5.97,6.06,5.79,5.91,525900
2025-02-14,5.65,5.96,5.62,5.87,543600
2025-02-13,5.52,5.62,5.43,5.58,297800
2025-02-12,5.44,5.56,5.38,5.48,305800
2025-02-11,5.51,5.56,5.48,5.5,249100
2025-02-10,5.55,5.62,5.46,5.6,309100
2025-02-07,5.66,5.7,5.51,5.52,233900
2025-02-06,5.69,5.77,5.64,5.69,286600
2025-02-05,5.54,5.8,5.51,5.69,261200
2025-02-04,5.48,5.59,5.45,5.51,266600
2025-02-03,5.5,5.67,5.45,5.49,342100
2025-01-31,5.88,5.96,5.62,5.63,330800
2025-01-30,5.95,6.05,5.72,5.88,250600
2025-01-29,5.89,6.08,5.81,5.9,233800
2025-01-28,5.8,5.87,5.65,5.85,212700
2025-01-27,5.87,5.96,5.6,5.81,344400
2025-01-24,5.94,6.09,5.87,5.95,210200
2025-01-23,5.85,6.03,5.78,5.98,325600
2025-01-22,6.12,6.13,5.79,5.92,348900
2025-01-21,6.06,6.25,6.01,6.09,408600
2025-01-17,5.69,6.03,5.65,5.94,364800
2025-01-16,5.82,5.82,5.56,5.65,414900
2025-01-15,5.55,5.79,5.47,5.77,462300
2025-01-14,5.34,5.44,5.24,5.44,323700
2025-01-13,5.23,5.52,5.17,5.26,554400
2025-01-10,5.39,5.44,5.25,5.27,303500
2025-01-08,5.32,5.48,5.28,5.45,241300
2025-01-07,5.38,5.41,5.16,5.4,388000
2025-01-06,5.6,5.64,5.33,5.38,428500
2025-01-03,5.47,5.68,5.44,5.51,332700
2025-01-02,5.41,5.53,5.3,5.48,466100
2024-12-31,5.46,5.56,5.26,5.31,256700
2024-12-30,5.45,5.55,5.34,5.45,410500
2024-12-27,5.55,5.65,5.44,5.52,285000
2024-12-26,5.4,5.76,5.38,5.61,415700
2024-12-24,5.31,5.46,5.21,5.44,197000
2024-12-23,5.46,5.51,5.25,5.3,512300
2024-12-20,5.31,5.55,5.25,5.49,1204900
2024-12-19,5.76,5.85,5.4,5.41,955700
2024-12-18,6.01,6.05,5.62,5.7,651000
2024-12-17,6.14,6.14,5.87,6.0,662200
2024-12-16,6.1,6.23,6.04,6.15,642300
2024-12-13,6.3,6.4,6.1,6.12,685700
2024-12-12,6.4,6.64,6.34,6.38,493000
2024-12-11,6.76,6.81,6.45,6.45,525700
2024-12-10,6.59,6.82,6.56,6.71,531300
2024-12-09,6.68,7.0,6.55,6.6,585900
2024-12-06,7.05,7.05,6.6,6.72,631900
2024-12-05,7.45,7.49,6.63,6.66,1394800
2024-12-04,7.58,7.79,7.46,7.53,570200
2024-12-03,7.44,7.73,7.41,7.61,608500
2024-12-02,7.76,7.83,7.55,7.56,718600
2024-11-29,7.6,7.97,7.6,7.72,483300
2024-11-27,7.62,7.89,7.41,7.64,668000
2024-11-26,7.3,7.75,7.15,7.59,1030400
2024-11-25,7.5,7.52,7.3,7.46,871400
2024-11-22,7.5,7.52,7.09,7.44,1103700
2024-11-21,7.56,7.85,7.37,7.63,1010200
2024-11-20,7.52,7.61,7.26,7.5,578500
2024-11-19,7.23,7.67,7.09,7.52,1163700
2024-11-18,6.96,7.39,6.85,7.27,1436200
2024-11-15,7.03,7.13,6.8,6.82,1036300
2024-11-14,7.04,7.42,6.82,7.2,834500
2024-11-13,7.35,7.54,6.97,7.01,1267300
2024-11-12,7.03,7.58,7.02,7.25,2144300
2024-11-11,6.49,7.02,6.22,7.01,1268300
2024-11-08,6.68,6.79,6.38,6.5,979300
2024-11-07,6.98,7.03,6.71,6.77,993700
2024-11-06,6.44,7.08,6.13,6.99,1909200
2024-11-05,5.71,6.38,5.54,6.11,2132100
2024-11-04,5.72,6.18,5.36,5.74,3911900
2024-11-01,4.12,5.98,3.83,5.86,37879800
2024-10-31,3.57,3.62,3.49,3.49,638200
2024-10-30,3.64,3.68,3.49,3.58,319100
2024-10-29,3.67,3.67,3.55,3.62,98500
2024-10-28,3.51,3.74,3.51,3.67,249300
2024-10-25,3.45,3.59,3.45,3.47,206800
2024-10-24,3.47,3.53,3.42,3.43,201000
2024-10-23,3.46,3.47,3.39,3.46,183100
2024-10-22,3.48,3.54,3.42,3.49,161400
2024-10-21,3.5,3.5,3.43,3.46,119000
2024-10-18,3.43,3.53,3.41,3.5,161600
2024-10-17,3.56,3.56,3.42,3.44,195500
2024-10-16,3.36,3.58,3.28,3.56,392600
2024-10-15,3.39,3.43,3.28,3.35,552900
2024-10-14,3.54,3.62,3.41,3.41,243500
2024-10-11,3.44,3.57,3.43,3.55,228900
2024-10-10,3.25,3.47,3.18,3.44,334100
2024-10-09,3.25,3.37,3.18,3.25,284200
2024-10-08,3.29,3.31,3.23,3.27,244800
2024-10-07,3.39,3.39,3.26,3.32,301800
2024-10-04,3.51,3.54,3.38,3.38,167800
2024-10-03,3.43,3.62,3.42,3.47,196000
2024-10-02,3.51,3.53,3.42,3.47,202600
2024-10-01,3.66,3.66,3.5,3.56,233900
2024-09-30,3.74,3.8,3.62,3.65,343800
2024-09-27,3.85,3.89,3.73,3.8,174200
2024-09-26,3.85,3.87,3.73,3.78,242900
2024-09-25,3.79,3.87,3.72,3.78,170800
2024-09-24,3.76,3.8,3.63,3.78,282400
2024-09-23,3.64,3.86,3.51,3.74,337200
2024-09-20,3.72,3.79,3.47,3.63,634600
2024-09-19,3.67,3.74,3.6,3.7,285900
2024-09-18,3.44,3.65,3.3,3.55,348500
2024-09-17,3.47,3.54,3.33,3.41,406800
2024-09-16,3.55,3.62,3.41,3.42,196900
2024-09-13,3.5,3.66,3.5,3.55,251900
2024-09-12,3.36,3.54,3.33,3.5,131000
2024-09-11,3.23,3.36,3.16,3.32,374600
2024-09-10,3.38,3.48,3.28,3.31,224300
2024-09-09,3.36,3.46,3.32,3.37,254500
2024-09-06,3.26,3.36,3.13,3.33,249100
2024-09-05,3.18,3.3,3.14,3.26,158000
2024-09-04,3.25,3.32,3.1,3.18,228200
2024-09-03,3.47,3.47,3.27,3.28,148400
2024-08-30,3.36,3.47,3.32,3.45,199700
2024-08-29,3.4,3.47,3.33,3.36,234800
2024-08-28,3.49,3.5,3.27,3.37,254500
2024-08-27,3.5,3.56,3.41,3.49,164800
2024-08-26,3.52,3.65,3.48,3.5,546300
2024-08-23,3.31,3.67,3.31,3.51,450800
2024-08-22,3.44,3.48,3.26,3.29,225600
2024-08-21,3.39,3.52,3.34,3.45,187400
2024-08-20,3.25,3.39,3.25,3.34,202300
2024-08-19,3.35,3.36,3.26,3.27,325100
2024-08-16,3.31,3.35,3.15,3.34,309200
2024-08-15,3.05,3.33,3.02,3.3,415300
2024-08-14,3.02,3.04,2.94,3.02,115600
2024-08-13,2.84,3.08,2.81,3.04,290000
2024-08-12,2.78,2.85,2.7,2.82,259100
2024-08-09,2.95,2.95,2.69,2.75,290000
2024-08-08,2.95,2.97,2.63,2.88,305800
2024-08-07,2.9,2.92,2.62,2.63,189500
2024-08-06,2.69,2.87,2.68,2.82,176100
2024-08-05,2.58,2.7,2.53,2.69,296500
2024-08-02,2.71,2.77,2.55,2.77,288800
2024-08-01,2.99,3.02,2.7,2.74,330800
2024-07-31,3.04,3.05,2.95,2.99,167400
2024-07-30,2.9,3.02,2.83,2.99,197200
2024-07-29,3.07,3.16,2.89,2.91,282100
2024-07-26,3.19,3.28,3.04,3.07,271000
2024-07-25,3.22,3.35,3.08,3.19,377300
2024-07-24,3.05,3.35,2.96,3.2,391700
2024-07-23,2.98,3.11,2.95,3.07,235200
2024-07-22,2.81,2.99,2.78,2.97,175800
2024-07-19,2.79,2.84,2.74,2.78,167000
2024-07-18,2.9,2.96,2.74,2.76,282600
2024-07-17,3.02,3.02,2.85,2.91,346200
2024-07-16,2.79,3.11,2.79,3.07,515100
2024-07-15,2.74,2.87,2.68,2.77,359200
2024-07-12,2.9,3.08,2.52,2.61,708800
2024-07-11,2.65,2.92,2.65,2.88,331600
2024-07-10,2.6,2.67,2.56,2.63,146600
2024-07-09,2.54,2.66,2.48,2.63,370600
2024-07-08,2.57,2.62,2.4,2.51,360200
2024-07-05,2.49,2.55,2.44,2.51,253700
2024-07-03,2.57,2.62,2.5,2.54,133100
2024-07-02,2.68,2.71,2.55,2.58,233900
2024-07-01,2.77,2.79,2.61,2.69,387700
2024-06-28,2.64,2.8,2.57,2.73,6312500
2024-06-27,2.64,2.85,2.52,2.65,472400
2024-06-26,2.43,2.69,2.31,2.67,398100
2024-06-25,2.5,2.68,2.42,2.44,427100
2024-06-24,2.75,2.87,2.55,2.55,328400
2024-06-21,2.7,2.77,2.67,2.73,277100
2024-06-20,2.8,2.89,2.71,2.71,236800
2024-06-18,2.93,3.03,2.73,2.75,367600
2024-06-17,2.96,3.02,2.85,2.96,239000
2024-06-14,3.16,3.23,2.96,2.98,230200
2024-06-13,3.16,3.34,3.13,3.2,349900
2024-06-12,3.11,3.19,2.98,3.03,209100
2024-06-11,3.08,3.2,3.0,3.08,301200
2024-06-10,3.32,3.32,3.03,3.08,392400
2024-06-07,3.1,3.49,3.09,3.2,1227800
2024-06-06,2.9,2.95,2.81,2.86,147700
2024-06-05,2.78,2.91,2.77,2.86,209900
2024-06-04,2.94,2.97,2.66,2.79,303500
2024-06-03,2.76,3.08,2.75,2.93,376700
2024-05-31,2.82,2.88,2.76,2.76,161800
2024-05-30,2.91,2.93,2.75,2.83,174000
2024-05-29,2.7,2.89,2.7,2.87,181700
2024-05-28,3.11,3.12,2.71,2.77,475300
2024-05-24,3.24,3.35,3.06,3.12,198400
2024-05-23,3.19,3.32,3.15,3.25,136100
2024-05-22,3.15,3.21,3.01,3.17,216000
2024-05-21,3.13,3.24,3.07,3.16,160900
2024-05-20,3.29,3.39,2.85,3.16,368700
2024-05-17,3.5,3.54,3.25,3.3,258700
2024-05-16,3.62,3.68,3.45,3.48,195400
2024-05-15,3.65,3.8,3.61,3.63,173800
2024-05-14,3.39,3.66,3.39,3.66,217300
2024-05-13,3.41,3.5,3.33,3.38,170700
2024-05-10,3.39,3.63,3.38,3.42,222200
2024-05-09,3.61,3.82,3.4,3.52,315100
2024-05-08,3.75,3.85,3.71,3.83,129900
2024-05-07,3.85,3.89,3.63,3.75,213200
2024-05-06,3.77,3.98,3.74,3.8,240600
2024-05-03,3.8,3.92,3.71,3.78,122200
2024-05-02,3.69,3.85,3.62,3.76,154700
2024-05-01,3.53,3.68,3.42,3.66,140900
2024-04-30,3.53,3.64,3.46,3.54,145600
2024-04-29,3.44,3.62,3.4,3.56,159600
2024-04-26,3.38,3.52,3.38,3.44,180300
2024-04-25,3.44,3.51,3.36,3.39,193200
2024-04-24,3.47,3.65,3.37,3.4,179700
2024-04-23,2.95,3.44,2.94,3.4,461300
2024-04-22,3.41,3.72,2.89,2.95,878400
2024-04-19,3.78,3.9,3.61,3.69,308700
2024-04-18,3.99,4.01,3.77,3.79,199400
2024-04-17,4.0,4.18,3.92,3.97,296700
2024-04-16,3.87,4.06,3.82,3.94,250600
2024-04-15,3.83,3.98,3.75,3.93,232900
2024-04-12,4.02,4.19,3.62,3.85,438700
2024-04-11,3.99,4.09,3.81,4.09,270800
2024-04-10,3.99,4.04,3.71,3.92,287200
2024-04-09,4.29,4.31,3.91,3.98,451800
2024-04-08,4.06,4.37,4.06,4.21,302600
2024-04-05,4.33,4.65,3.88,4.02,689000
2024-04-04,3.95,4.47,3.86,4.32,917500
2024-04-03,3.7,3.95,3.61,3.95,349800
2024-04-02,3.66,3.9,3.56,3.59,365500
