datetime,open,high,low,close,volume
2025-04-01,3.62,3.62,3.5,3.52,2500
2025-03-31,3.55,3.55,3.44,3.44,7500
2025-03-28,3.43,3.5,3.43,3.5,10500
2025-03-27,3.5,3.5,3.45,3.45,18000
2025-03-26,3.63,3.64,3.5,3.5,3300
2025-03-25,3.66,3.68,3.58,3.59,3900
2025-03-24,3.92,3.92,3.69,3.69,2800
2025-03-21,3.69,3.9,3.6,3.89,4600
2025-03-20,3.59,3.81,3.59,3.61,2400
2025-03-19,3.6,3.78,3.52,3.7,7400
2025-03-18,3.5,3.71,3.47,3.53,54800
2025-03-17,3.47,3.5,3.47,3.47,5600
2025-03-14,3.47,3.5,3.47,3.5,7000
2025-03-13,3.52,3.61,3.38,3.58,12100
2025-03-12,3.28,3.44,3.28,3.41,19400
2025-03-11,3.83,3.83,3.27,3.28,24600
2025-03-10,3.8,3.82,3.8,3.81,2700
2025-03-07,3.82,3.89,3.82,3.84,3000
2025-03-06,3.75,3.88,3.75,3.82,1900
2025-03-05,3.67,4.01,3.67,3.88,9300
2025-03-04,3.95,4.03,3.65,3.65,26500
2025-03-03,3.96,4.04,3.95,3.95,2700
2025-02-28,3.99,3.99,3.99,3.99,0
2025-02-27,4.16,4.16,3.99,3.99,700
2025-02-26,4.06,4.16,4.06,4.16,900
2025-02-25,4.16,4.16,4.16,4.16,1400
2025-02-24,4.0,4.01,4.0,4.0,1900
2025-02-21,4.09,4.14,4.02,4.05,5300
2025-02-20,4.13,4.15,4.08,4.15,3300
2025-02-19,4.14,4.19,4.09,4.15,5000
2025-02-18,4.1,4.18,4.1,4.18,3200
2025-02-14,4.25,4.25,4.14,4.15,7000
2025-02-13,4.11,4.25,4.08,4.25,6200
2025-02-12,4.15,4.26,4.12,4.15,12600
2025-02-11,4.17,4.19,4.13,4.15,3900
2025-02-10,4.31,4.31,4.13,4.21,6500
2025-02-07,4.2,4.2,4.19,4.2,900
2025-02-06,4.19,4.25,4.19,4.22,1700
2025-02-05,4.15,4.27,4.15,4.21,4400
2025-02-04,4.23,4.3,4.1,4.15,16400
2025-02-03,4.25,4.25,4.2,4.23,6900
2025-01-31,4.25,4.29,4.25,4.29,900
2025-01-30,4.27,4.28,4.25,4.28,2700
2025-01-29,4.27,4.27,4.23,4.25,3000
2025-01-28,4.22,4.26,4.22,4.26,3700
2025-01-27,4.23,4.25,4.21,4.25,3300
2025-01-24,4.24,4.24,4.2,4.23,1800
2025-01-23,4.23,4.25,4.23,4.25,5000
2025-01-22,4.23,4.24,4.23,4.23,3700
2025-01-21,4.15,4.26,4.14,4.2,18200
2025-01-17,4.24,4.28,4.2,4.21,6100
2025-01-16,4.22,4.22,4.19,4.22,900
2025-01-15,4.18,4.25,4.16,4.25,3300
2025-01-14,4.22,4.24,4.15,4.15,14800
2025-01-13,4.22,4.24,4.2,4.2,2500
2025-01-10,4.2,4.22,4.2,4.21,1500
2025-01-08,4.23,4.24,4.18,4.22,5300
2025-01-07,4.23,4.29,4.22,4.29,1600
2025-01-06,4.4,4.4,4.22,4.27,4100
2025-01-03,4.27,4.32,4.2,4.32,7300
2025-01-02,4.25,4.31,4.23,4.29,7200
2024-12-31,4.29,4.32,4.24,4.31,8000
2024-12-30,4.25,4.31,4.25,4.31,4000
2024-12-27,4.23,4.26,4.23,4.26,11700
2024-12-26,4.29,4.29,4.2,4.25,12300
2024-12-24,4.22,4.31,4.2,4.31,5000
2024-12-23,4.25,4.25,4.04,4.15,7600
2024-12-20,4.07,4.25,4.03,4.24,8800
2024-12-19,4.2,4.2,4.02,4.14,10600
2024-12-18,4.26,4.28,4.14,4.15,6500
2024-12-17,4.26,4.33,4.15,4.25,18000
2024-12-16,4.28,4.28,4.21,4.28,4300
2024-12-13,4.3,4.3,4.25,4.3,2600
2024-12-12,4.25,4.38,4.2,4.38,8600
2024-12-11,4.21,4.27,4.2,4.25,5100
2024-12-10,4.28,4.28,4.22,4.22,5200
2024-12-09,4.38,4.38,4.23,4.28,9300
2024-12-06,4.43,4.43,4.3,4.38,5800
2024-12-05,4.35,4.49,4.2,4.28,6700
2024-12-04,4.6,4.6,4.45,4.46,14300
2024-12-03,4.66,4.66,4.49,4.57,8200
2024-12-02,4.5,4.7,4.5,4.63,11000
2024-11-29,4.6,4.7,4.6,4.69,6800
2024-11-27,4.25,4.61,4.25,4.56,33100
2024-11-26,4.27,4.34,4.23,4.29,3700
2024-11-25,4.2,4.43,4.2,4.31,17700
2024-11-24,4.2,4.43,4.2,4.31,17667
2024-11-22,4.25,4.32,4.11,4.21,10800
2024-11-21,4.45,4.45,4.13,4.25,10400
2024-11-20,4.26,4.51,4.17,4.42,11100
2024-11-19,4.35,4.44,4.26,4.27,14200
2024-11-18,4.35,4.44,4.26,4.27,14156
2024-11-15,4.5,4.53,4.43,4.53,3500
2024-11-14,4.46,4.53,4.33,4.53,5200
2024-11-13,4.4,4.52,4.4,4.43,7200
2024-11-12,4.43,4.59,4.3,4.31,16500
2024-11-11,4.65,4.67,4.38,4.38,13300
2024-11-08,4.76,4.81,4.53,4.55,15300
2024-11-07,4.72,4.72,4.52,4.54,5900
2024-11-06,4.58,4.58,4.45,4.53,3600
2024-11-05,4.51,4.58,4.4,4.45,7900
2024-11-04,4.54,4.54,4.5,4.54,2900
2024-11-01,4.55,4.69,4.52,4.55,7300
2024-10-31,4.62,4.64,4.5,4.57,1800
2024-10-30,4.49,4.83,4.41,4.66,9100
2024-10-29,4.53,4.65,4.39,4.56,6500
2024-10-28,4.58,4.73,4.5,4.53,14900
2024-10-25,4.58,4.95,4.45,4.8,4000
2024-10-24,4.55,4.58,4.45,4.45,2000
2024-10-23,4.55,4.55,4.4,4.49,5700
2024-10-22,4.39,4.47,4.31,4.42,5800
2024-10-21,4.6,4.62,4.36,4.38,14500
2024-10-18,4.48,4.55,4.44,4.51,5900
2024-10-17,4.59,4.74,4.47,4.7,22100
2024-10-16,4.23,4.61,4.23,4.61,18000
2024-10-15,4.5,4.54,4.22,4.42,21900
2024-10-14,4.79,4.79,4.35,4.55,19300
2024-10-11,4.7,4.92,4.7,4.73,5800
2024-10-10,4.83,4.86,4.61,4.76,8200
2024-10-09,4.58,4.8,4.5,4.8,31800
2024-10-08,4.48,4.62,4.38,4.48,6900
2024-10-07,4.64,4.68,4.55,4.57,13200
2024-10-04,4.53,4.67,4.13,4.67,18800
2024-10-03,4.9,5.08,4.51,4.61,41400
2024-10-02,5.09,5.09,4.83,4.98,17000
2024-10-01,5.6,5.6,4.39,4.7,78900
2024-09-30,5.98,5.98,5.6,5.73,15600
