datetime,open,high,low,close,volume
2025-04-01,48.37,48.87,47.79,48.29,9306200
2025-03-31,48.5,48.59,47.12,48.28,12190200
2025-03-28,48.98,49.52,47.98,48.08,11259000
2025-03-27,47.79,48.48,47.65,48.39,11017800
2025-03-26,47.91,48.06,47.14,47.39,6828800
2025-03-25,47.31,48.21,47.3,47.55,8070900
2025-03-24,47.25,47.62,46.6,46.82,10246000
2025-03-21,47.12,47.36,46.35,47.36,27911700
2025-03-20,47.5,48.18,47.2,47.76,7056200
2025-03-19,47.85,48.37,47.48,47.99,9701200
2025-03-18,48.34,48.68,47.49,47.81,12076200
2025-03-17,46.7,47.84,46.4,47.52,11108300
2025-03-14,46.67,46.83,45.82,46.24,10535900
2025-03-13,44.07,46.27,43.93,45.65,11811900
2025-03-12,43.31,43.96,42.91,43.63,7546800
2025-03-11,42.66,43.87,42.66,43.42,9565700
2025-03-10,43.5,43.9,42.03,42.37,8741400
2025-03-07,43.8,45.04,43.48,43.87,8254600
2025-03-06,43.67,44.25,43.48,43.92,9923500
2025-03-05,42.85,43.92,42.56,43.85,10063500
2025-03-04,42.74,43.07,41.93,42.51,11878100
2025-03-03,43.7,43.95,42.16,42.36,12599900
2025-02-28,41.6,42.86,41.23,42.84,14387200
2025-02-27,43.12,43.26,42.04,42.12,9621700
2025-02-26,43.1,43.94,42.6,43.58,7966700
2025-02-25,43.77,43.87,42.16,42.93,13053000
2025-02-24,45.41,45.47,43.46,44.04,22565300
2025-02-21,47.46,48.23,45.15,45.33,17235100
2025-02-20,47.4,48.23,47.2,48.09,13664600
2025-02-19,46.9,47.8,46.78,47.41,9043500
2025-02-18,47.39,47.62,46.76,47.51,9006900
2025-02-14,47.79,47.91,46.54,46.54,9890800
2025-02-13,46.99,48.0,46.67,47.75,11626000
2025-02-12,45.31,47.02,45.11,46.81,11972300
2025-02-11,46.0,46.23,45.47,45.49,11489000
2025-02-10,46.0,46.63,45.78,46.46,10736300
2025-02-07,45.18,45.84,44.8,44.84,7483900
2025-02-06,44.94,45.03,44.06,44.88,11222900
2025-02-05,44.06,45.52,43.97,44.96,14089500
2025-02-04,43.09,43.55,42.98,43.35,7856100
2025-02-03,42.9,43.7,42.66,43.12,10451700
2025-01-31,43.49,43.62,42.47,42.72,10595200
2025-01-30,42.38,43.52,42.25,43.09,9872800
2025-01-29,41.42,41.99,40.99,41.59,9944000
2025-01-28,41.57,41.65,41.02,41.35,6098600
2025-01-27,41.64,41.76,40.85,41.57,6135800
2025-01-24,42.58,42.85,41.99,42.04,5244700
2025-01-23,41.51,41.96,41.05,41.95,6280000
2025-01-22,42.53,42.6,41.62,41.68,6597000
2025-01-21,42.11,42.7,42.09,42.35,8027300
2025-01-17,41.35,41.88,41.1,41.67,7286500
2025-01-16,41.9,42.14,41.45,41.65,9421400
2025-01-15,40.78,41.5,40.35,41.37,11649300
2025-01-14,39.46,40.28,39.19,40.16,11369700
2025-01-13,38.93,39.19,38.53,39.17,8309400
2025-01-10,39.77,40.26,38.82,39.1,10018800
2025-01-08,38.2,39.15,38.11,39.13,8320400
2025-01-07,38.25,38.95,37.84,38.16,7585200
2025-01-06,38.07,38.3,37.68,37.79,8146600
2025-01-03,38.41,38.49,38.02,38.11,6261900
2025-01-02,38.06,38.85,37.89,38.37,8296200
2024-12-31,37.0,37.39,36.86,37.22,9342600
2024-12-30,37.42,37.5,36.86,37.0,7507800
2024-12-27,37.61,38.22,37.51,37.84,5456100
2024-12-26,38.31,38.61,38.09,38.09,5896400
2024-12-24,38.2,38.32,37.87,38.31,3549300
2024-12-23,38.01,38.26,37.46,38.16,8591600
2024-12-20,37.25,38.44,37.18,38.28,23927000
2024-12-19,37.67,37.92,36.94,37.02,13794000
2024-12-18,39.37,39.57,37.59,37.64,16488700
2024-12-17,39.46,40.07,39.43,39.8,12095800
2024-12-16,40.15,40.26,39.74,40.08,10069200
2024-12-13,41.0,41.09,40.19,40.22,11263900
2024-12-12,41.62,42.25,41.47,41.56,7387200
2024-12-11,41.66,42.52,41.44,42.28,8464900
2024-12-10,42.0,42.11,41.46,41.49,7751900
2024-12-09,41.9,42.43,41.61,41.73,10749000
2024-12-06,41.02,41.65,40.78,41.11,7751100
2024-12-05,41.43,41.6,40.12,41.07,10966900
2024-12-04,41.5,41.76,41.05,41.41,9668200
