datetime,open,high,low,close,volume
2025-04-01,0.98,0.98,0.97,0.97,532
2025-03-31,0.81,0.81,0.55,0.55,1851
2025-03-28,0.9999,0.9999,0.9999,0.9999,520
2025-03-27,0.9277,1.05,0.8755,0.8755,5829
2025-03-25,0.9277,0.9277,0.9277,0.9277,36
2025-03-24,0.9,0.92,0.85,0.92,7042
2025-03-20,0.97,0.97,0.9101,0.9101,61
2025-03-19,0.85,0.9101,0.85,0.9101,5170
2025-03-18,0.81,0.92,0.8,0.92,4782
2025-03-14,1.0,1.0,0.986,0.986,4830
2025-03-13,0.748,1.04,0.748,0.84,7259
2025-03-12,1.07,1.16,1.06,1.1,14118
2025-03-11,1.21,1.21,0.9503,0.9503,5748
2025-03-10,1.23,1.24,1.15,1.15,7123
2025-03-07,1.23,1.28,1.1,1.11,6524
2025-03-06,1.6,1.6,1.2601,1.48,1899
2025-03-05,1.48,1.48,1.48,1.48,511
2025-03-04,1.36,1.36,1.2,1.32,5418
2025-03-03,1.48,1.48,1.21,1.21,5421
2025-02-28,1.31,1.46,1.01,1.395,8124
2025-02-27,1.49,1.59,1.29,1.5,5634
2025-02-26,1.6,1.6,1.17,1.45,12034
2025-02-25,1.67,1.67,1.4,1.4,10111
2025-02-24,1.55,1.55,1.3,1.48,7554
2025-02-21,1.49,1.49,1.48,1.48,284
2025-02-20,1.34,1.65,1.34,1.64,1813
2025-02-19,1.65,1.7,1.25,1.3389,1328
2025-02-18,1.63,1.63,1.36,1.6,3196
2025-02-14,1.45,1.67,1.45,1.67,1306
2025-02-13,1.27,1.48,1.26,1.48,9492
2025-02-12,1.355,1.38,1.31,1.38,1630
2025-02-11,1.39,2.14,1.3,1.3,18780
2025-02-10,1.3,1.3,1.15,1.15,5567
2025-02-07,1.51,1.51,1.35,1.5,9457
2025-02-06,1.35,1.55,1.3,1.51,6300
2025-02-05,1.59,1.59,1.47,1.49,960
2025-02-04,1.57,1.57,1.2,1.45,6715
2025-02-03,1.4,1.57,1.22,1.35,2740
2025-01-31,1.55,1.77,1.3,1.73,13264
2025-01-30,1.5,1.85,1.3,1.49,10848
2025-01-29,1.24,1.24,1.24,1.24,200
2025-01-28,1.13,1.49,1.05,1.3,19807
2025-01-27,1.55,1.55,1.2,1.2,7240
2025-01-24,1.55,2.0,1.5,1.7,5621
2025-01-23,1.7,1.7,1.55,1.55,110
2025-01-22,1.31,1.55,1.31,1.55,110
2025-01-21,1.31,1.51,1.3,1.37,7250
