datetime,open,high,low,close,volume
2025-04-01,10.978,11.02,10.94,10.94,4600
2025-03-31,11.01,11.01,10.95,10.95,500
2025-03-28,11.0,11.0,10.95,10.95,4200
2025-03-27,10.95,11.02,10.95,10.95,1800
2025-03-26,10.97,11.0,10.95,10.95,5800
2025-03-25,10.96,10.98,10.95,10.97,361300
2025-03-24,10.98,10.98,10.98,10.98,0
2025-03-21,10.97,10.98,10.97,10.98,30000
2025-03-20,10.95,10.98,10.95,10.98,22200
2025-03-19,11.03,11.03,10.99,11.02,700
2025-03-18,10.95,10.98,10.95,10.98,708600
2025-03-17,10.97,10.97,10.95,10.95,105100
2025-03-14,10.96,10.96,10.95,10.95,6400
2025-03-13,10.955,10.955,10.955,10.955,0
2025-03-12,10.95,10.955,10.945,10.955,80000
2025-03-11,10.93,10.94,10.93,10.94,78700
2025-03-10,10.94,10.94,10.92,10.94,168700
2025-03-07,10.94,10.96,10.94,10.96,806200
2025-03-06,10.945,10.95,10.93,10.95,115200
2025-03-05,10.94,10.95,10.94,10.95,10600
2025-03-04,10.935,10.945,10.935,10.94,58100
2025-03-03,10.94,10.945,10.94,10.945,10900
2025-02-28,10.945,10.95,10.94,10.945,19400
2025-02-27,10.93,10.95,10.93,10.95,531200
2025-02-26,10.94,10.95,10.93,10.93,181900
2025-02-25,10.95,10.95,10.935,10.94,300400
2025-02-24,10.96,10.96,10.94,10.94,9500
2025-02-21,10.95,10.97,10.945,10.95,91500
2025-02-20,10.96,10.975,10.92,10.92,748900
2025-02-19,10.97,10.97,10.95,10.95,526200
2025-02-18,11.0,11.0,10.96,10.96,256000
2025-02-14,11.0,11.0,10.96,10.96,96600
2025-02-13,10.95,10.98,10.95,10.97,175700
2025-02-12,11.0,11.1,10.95,10.95,8163600
2025-02-11,10.885,10.89,10.85,10.86,10900
2025-02-10,10.91,10.91,10.86,10.89,48200
2025-02-07,10.89,10.92,10.84,10.89,4900
2025-02-06,10.89,10.89,10.85,10.89,900
2025-02-05,10.87,10.88,10.85,10.87,5300
2025-02-04,10.9,10.9,10.85,10.9,1300
2025-02-03,10.85,10.88,10.85,10.88,3500
2025-01-31,10.84,10.84,10.84,10.84,1000
2025-01-30,10.84,10.851,10.84,10.84,12300
2025-01-29,10.84,10.85,10.83,10.84,20000
2025-01-28,10.87,10.87,10.83,10.83,25600
2025-01-27,10.84,10.84,10.84,10.84,0
2025-01-24,10.84,10.869,10.84,10.84,31100
2025-01-23,10.834,10.85,10.834,10.845,14600
2025-01-22,10.86,10.86,10.815,10.85,78800
2025-01-21,10.85,10.86,10.81,10.82,37000
2025-01-17,10.82,10.82,10.815,10.815,126200
2025-01-16,10.81,10.82,10.81,10.816,6500
2025-01-15,10.82,10.83,10.82,10.82,2600
2025-01-14,10.81,10.825,10.81,10.81,16800
2025-01-13,10.82,10.82,10.8,10.8,25100
2025-01-10,10.82,10.82,10.81,10.81,108700
2025-01-08,10.825,10.825,10.8,10.81,294700
2025-01-07,10.79,10.83,10.79,10.82,4700
2025-01-06,10.78,10.83,10.78,10.81,23800
2025-01-03,10.8,10.82,10.8,10.81,150800
2025-01-02,10.79,10.83,10.79,10.8,6300
2024-12-31,10.79,10.81,10.79,10.8,2100
2024-12-30,10.785,10.82,10.78,10.82,47600
2024-12-27,10.785,10.8,10.785,10.79,5600
2024-12-26,10.77,10.8,10.77,10.79,110700
2024-12-24,10.77,10.8,10.77,10.8,800
2024-12-23,10.78,10.78,10.78,10.78,3600
2024-12-20,10.79,10.79,10.77,10.78,24900
2024-12-19,10.787,10.787,10.78,10.78,1100
2024-12-18,10.78,10.78,10.77,10.78,174300
2024-12-17,10.78,10.78,10.771,10.78,175400
2024-12-16,10.77,10.783,10.77,10.78,15400
2024-12-13,10.775,10.8,10.77,10.77,9600
2024-12-12,10.76,10.78,10.76,10.78,56500
2024-12-11,10.76,10.77,10.76,10.76,8900
2024-12-10,10.76,10.77,10.76,10.765,10300
2024-12-09,10.75,10.76,10.75,10.76,29800
2024-12-06,10.74,10.75,10.74,10.75,31300
2024-12-05,10.74,10.748,10.74,10.748,1100
2024-12-04,10.75,10.75,10.74,10.74,1700
2024-12-03,10.737,10.737,10.73,10.73,3000
2024-12-02,10.731,10.741,10.73,10.741,8400
2024-11-29,10.73,10.73,10.73,10.73,500
2024-11-27,10.73,10.75,10.73,10.74,4900
2024-11-26,10.721,10.725,10.72,10.725,2800
2024-11-25,10.74,10.74,10.74,10.74,0
2024-11-22,10.72,10.74,10.72,10.74,38200
2024-11-21,10.72,10.73,10.72,10.73,109300
2024-11-20,10.73,10.733,10.72,10.72,24700
2024-11-19,10.72,10.725,10.72,10.72,120300
2024-11-18,10.72,10.73,10.71,10.72,1700
2024-11-15,10.72,10.72,10.72,10.72,0
2024-11-14,10.74,10.74,10.71,10.72,153100
2024-11-13,10.7,10.71,10.7,10.71,50400
2024-11-12,10.7,10.7,10.7,10.7,10000
2024-11-11,10.69,10.69,10.69,10.69,200
2024-11-08,10.7,10.7,10.7,10.7,0
2024-11-07,10.691,10.7,10.691,10.7,10100
2024-11-06,10.68,10.695,10.68,10.695,1200
2024-11-05,10.68,10.69,10.68,10.69,88700
2024-11-04,10.69,10.7,10.68,10.69,25100
2024-11-01,10.69,10.69,10.68,10.69,4700
2024-10-31,10.68,10.7,10.68,10.7,18000
