datetime,open,high,low,close,volume
2025-04-01,6.21,6.21,6.21,6.21,460
2025-03-31,6.13,6.398,5.91,6.02,2695
2025-03-28,6.3336,6.3336,6.21,6.21,735
2025-03-27,6.26,6.38,6.26,6.38,165
2025-03-26,6.3999,6.3999,6.2,6.2,1334
2025-03-25,6.0,6.305,6.0,6.305,940
2025-03-24,6.0,6.4,6.0,6.4,3421
2025-03-21,6.23,6.4,6.1,6.4,8480
2025-03-20,6.35,6.39,6.0,6.39,3015
2025-03-19,6.26,6.29,6.1,6.29,2104
2025-03-18,6.13,6.27,6.0,6.24,6721
2025-03-17,6.29,6.3,6.1,6.3,1292
2025-03-14,6.21,6.28,6.2,6.28,1271
2025-03-13,6.38,6.38,6.2,6.2,1426
2025-03-12,6.21,6.21,6.21,6.21,1217
2025-03-11,6.55,6.55,6.2,6.2,4642
2025-03-10,6.5,6.5,6.26,6.26,4483
2025-03-07,6.4,6.4,6.4,6.4,662
2025-03-06,6.4,6.5,6.21,6.29,17650
2025-03-05,6.25,6.4,6.25,6.37,1312
2025-03-04,6.4,6.4,6.22,6.22,1972
2025-03-03,6.5,6.5,6.2089,6.22,4065
2025-02-28,6.44,6.5,6.4,6.5,3494
2025-02-27,6.49,6.49,6.39,6.39,337
2025-02-26,6.74,6.74,6.21,6.21,1009
2025-02-25,6.32,6.32,6.32,6.32,483
2025-02-24,6.2778,6.31,6.2,6.23,942
2025-02-21,6.35,6.35,6.2,6.2,985
2025-02-20,6.4,6.5,6.31,6.35,3741
2025-02-19,6.26,6.39,6.26,6.39,762
2025-02-18,6.26,6.75,6.26,6.45,2035
2025-02-14,6.27,6.4,6.2253,6.4,762
2025-02-13,6.48,6.48,6.23,6.23,1413
2025-02-12,6.21,6.21,6.21,6.21,938
2025-02-11,6.3,6.4179,6.25,6.35,1992
2025-02-10,6.44,6.71,6.22,6.22,1375
2025-02-07,6.23,6.3466,6.21,6.3466,1353
2025-02-06,6.2,6.2,6.2,6.2,1944
2025-02-05,6.39,6.68,6.39,6.48,5909
2025-02-04,6.47,6.65,6.16,6.31,3855
2025-02-03,6.18,6.35,6.17,6.17,2997
2025-01-31,6.15,6.36,6.15,6.36,2181
2025-01-30,6.52,6.52,6.25,6.25,795
2025-01-29,6.25,6.4,6.25,6.37,3148
2025-01-28,6.33,6.51,6.3101,6.4,4874
2025-01-27,6.25,6.73,6.18,6.18,10178
2025-01-24,6.21,6.85,6.16,6.16,13780
2025-01-23,6.33,6.495,6.3001,6.44,4705
2025-01-22,6.45,6.45,6.45,6.45,1162
2025-01-17,6.83,6.95,6.5844,6.6,2216
2025-01-16,6.31,6.7513,6.31,6.7513,1867
2025-01-15,6.36,6.45,6.36,6.45,276
2025-01-14,6.31,6.565,6.29,6.31,1383
2025-01-10,6.46,6.655,6.35,6.35,5547
2025-01-08,6.32,7.0,6.32,6.6,13564
2025-01-07,6.39,6.5,6.28,6.49,4800
2025-01-06,6.5,6.558,6.2917,6.49,5842
2025-01-03,6.3999,6.4,6.1387,6.4,4470
2025-01-02,6.33,6.59,6.31,6.46,9118
2024-12-31,5.9,6.75,5.9,6.42,33730
2024-12-30,5.87,6.005,5.81,6.005,6450
2024-12-27,5.89,5.965,5.88,5.931,12094
2024-12-26,6.0,6.09,5.8949,6.0,10214
2024-12-24,5.95,5.95,5.95,5.95,322
2024-12-23,5.97,6.04,5.94,5.98,11075
2024-12-20,5.99,6.05,5.93,6.05,5007
2024-12-19,6.0,6.045,6.0,6.03,8410
2024-12-18,6.08,6.08,6.0,6.02,14595
2024-12-17,5.92,6.09,5.87,6.09,21562
2024-12-16,5.8512,6.03,5.8512,6.03,16006
2024-12-13,5.97,6.09,5.95,6.02,111290
2024-12-12,5.99,6.09,5.99,6.09,6029
2024-12-11,5.96,6.04,5.95,5.95,3795
2024-12-10,5.96,5.96,5.93,5.93,4649
2024-12-09,5.97,6.0,5.89,6.0,35605
2024-12-06,5.98,5.98,5.84,5.9107,4514
2024-12-05,5.89,6.0,5.85,5.86,6192
2024-12-04,5.89,5.9,5.8,5.9,5503
2024-12-03,5.98,5.99,5.81,5.91,28811
2024-12-02,5.87,5.9814,5.87,5.98,2212
2024-11-29,5.94,5.9998,5.94,5.9755,1715
2024-11-27,5.95,6.0,5.86,5.91,6349
2024-11-26,5.95,6.0,5.925,5.95,3201
2024-11-25,5.91,6.02,5.9,5.91,23966
2024-11-22,6.0,6.05,5.85,5.92,46908
2024-11-21,5.93,6.29,5.7314,6.085,14556
2024-11-20,5.785,5.95,5.75,5.95,14073
2024-11-19,5.8,6.235,5.76,5.95,21428
2024-11-18,5.38,6.115,5.38,5.95,24869
2024-11-15,5.9271,5.9639,5.8552,5.9,80987
2024-11-14,5.77,6.0,5.74,6.0,5408
2024-11-13,5.87,5.9,5.77,5.9,821
2024-11-12,5.83,6.0,5.83,5.85,5060
2024-11-11,5.75,5.98,5.75,5.81,5781
2024-11-08,5.95,6.0,5.79,5.94,12058
2024-11-07,5.76,5.94,5.75,5.77,1714
2024-11-06,5.8,5.83,5.3,5.76,4589
2024-11-05,5.98,5.9801,5.73,5.78,24327
