datetime,open,high,low,close,volume
2025-04-01,1.81,1.915,1.78,1.845,1173900
2025-03-31,1.8,1.92,1.76,1.84,1860700
2025-03-28,1.99,2.12,1.92,2.0,2940300
2025-03-27,1.53,2.34,1.52,1.97,27284400
2025-03-26,1.44,1.44,1.31,1.37,1954600
2025-03-25,1.55,1.55,1.42,1.43,566100
2025-03-24,1.5,1.56,1.5,1.55,479300
2025-03-21,1.47,1.5,1.44,1.5,911000
2025-03-20,1.52,1.535,1.48,1.5,782200
2025-03-19,1.55,1.56,1.5,1.52,1016900
2025-03-18,1.62,1.62,1.51,1.53,1179500
2025-03-17,1.67,1.675,1.6,1.62,994800
2025-03-14,1.74,1.745,1.65,1.66,1191000
2025-03-13,1.82,1.875,1.71,1.72,376000
2025-03-12,1.81,1.86,1.77,1.82,410600
2025-03-11,1.79,1.82,1.705,1.79,783300
2025-03-10,1.81,1.88,1.75,1.8,783200
2025-03-07,1.87,1.95,1.775,1.84,957800
2025-03-06,1.62,1.92,1.605,1.89,2399300
2025-03-05,1.65,1.67,1.57,1.64,1216500
2025-03-04,1.62,1.7,1.57,1.65,975000
2025-03-03,1.77,1.8,1.62,1.62,761600
2025-02-28,1.72,1.77,1.695,1.75,948600
2025-02-27,1.82,1.825,1.74,1.75,1044000
2025-02-26,1.87,1.905,1.77,1.8,1059400
2025-02-25,1.96,2.0,1.865,1.88,1175100
2025-02-24,2.05,2.05,1.93,1.97,1076500
2025-02-21,2.18,2.21,2.025,2.05,1974000
2025-02-20,2.29,2.29,2.12,2.15,874800
2025-02-19,2.26,2.35,2.25,2.29,664500
2025-02-18,2.24,2.31,2.175,2.27,1018000
2025-02-14,2.13,2.28,2.115,2.21,675400
2025-02-13,2.08,2.15,2.055,2.12,360600
2025-02-12,2.01,2.09,1.97,2.07,560300
2025-02-11,2.09,2.09,1.96,2.03,988600
2025-02-10,2.18,2.2,2.055,2.09,702600
2025-02-07,2.34,2.35,2.16,2.17,635800
2025-02-06,2.39,2.42,2.32,2.34,403500
2025-02-05,2.28,2.43,2.25,2.39,788500
2025-02-04,2.17,2.27,2.1,2.26,632800
2025-02-03,2.25,2.3,2.12,2.17,1126000
2025-01-31,2.41,2.45,2.32,2.34,807400
2025-01-30,2.26,2.43,2.205,2.36,1256800
2025-01-29,2.33,2.36,2.22,2.24,641400
2025-01-28,2.4,2.43,2.265,2.35,738400
2025-01-27,2.47,2.58,2.39,2.42,1082600
2025-01-24,2.55,2.61,2.46,2.49,1138700
2025-01-23,2.48,2.58,2.475,2.53,1721800
2025-01-22,2.45,2.51,2.38,2.48,926300
2025-01-21,2.5,2.53,2.35,2.44,1329200
2025-01-17,2.5,2.5,2.33,2.47,1770400
2025-01-16,2.23,2.5,2.21,2.49,1687800
2025-01-15,2.2,2.32,2.19,2.24,870300
2025-01-14,2.32,2.34,2.21,2.21,1167800
2025-01-13,2.31,2.34,2.26,2.31,1510100
2025-01-10,2.36,2.39,2.3,2.35,1024600
2025-01-08,2.4,2.425,2.35,2.39,941000
2025-01-07,2.48,2.505,2.39,2.42,1062600
2025-01-06,2.55,2.55,2.422,2.46,1255200
2025-01-03,2.51,2.58,2.42,2.5,1127200
2025-01-02,2.53,2.7,2.39,2.5,2462300
2024-12-31,2.36,2.5,2.295,2.49,1806100
2024-12-30,2.36,2.37,2.261,2.32,908600
2024-12-27,2.4,2.47,2.365,2.41,674300
2024-12-26,2.31,2.425,2.31,2.42,984500
2024-12-24,2.49,2.505,2.25,2.35,1231000
2024-12-23,2.38,2.51,2.28,2.5,2994300
2024-12-20,2.18,2.405,2.15,2.37,1916900
2024-12-19,2.18,2.23,2.08,2.2,2569400
2024-12-18,2.28,2.39,2.13,2.17,1629500
2024-12-17,2.28,2.345,2.221,2.27,1204100
2024-12-16,2.47,2.5,2.29,2.31,1596700
2024-12-13,2.3,2.44,2.24,2.34,3350700
2024-12-12,2.48,2.5,2.28,2.29,3261700
2024-12-11,2.51,2.585,2.385,2.52,4748800
2024-12-10,2.45,2.605,2.35,2.49,8085100
2024-12-09,2.6,2.685,2.47,2.47,2143400
2024-12-06,2.65,2.72,2.54,2.58,1961100
2024-12-05,2.65,2.79,2.57,2.64,1504300
2024-12-04,2.71,2.85,2.63,2.72,1489900
2024-12-03,3.08,3.155,2.65,2.7,2279300
2024-12-02,2.81,3.085,2.785,3.03,1059600
2024-11-29,2.99,2.99,2.78,2.87,1175200
2024-11-27,2.65,2.995,2.65,2.99,1848000
2024-11-26,2.59,2.67,2.53,2.61,1217100
2024-11-25,2.54,2.7,2.49,2.59,1809300
2024-11-22,2.45,2.5,2.4,2.45,1937400
2024-11-21,2.48,2.51,2.395,2.44,675700
2024-11-20,2.49,2.54,2.4,2.5,1000600
2024-11-19,2.48,2.54,2.38,2.48,1564700
2024-11-18,2.54,2.62,2.45,2.49,1719300
2024-11-15,2.7,2.735,2.48,2.53,1257300
2024-11-14,2.9,2.93,2.62,2.7,1089100
2024-11-13,3.1,3.178,2.91,2.91,703400
2024-11-12,3.4,3.4,3.04,3.05,827700
2024-11-11,3.23,3.81,3.23,3.39,1367000
2024-11-08,3.29,3.33,2.92,3.19,3299900
2024-11-07,3.35,3.38,3.167,3.27,595200
2024-11-06,3.43,3.52,3.285,3.35,716200
2024-11-05,3.23,3.295,3.14,3.25,1199500
2024-11-04,3.16,3.45,3.14,3.23,713800
2024-11-01,3.1,3.255,3.1,3.19,501100
2024-10-31,3.33,3.425,3.08,3.08,823600
2024-10-30,3.37,3.685,3.305,3.33,816200
2024-10-29,3.43,3.46,3.25,3.41,1223500
2024-10-28,3.35,3.495,3.28,3.46,1334000
2024-10-25,3.68,3.68,3.32,3.33,981600
2024-10-24,3.87,3.92,3.635,3.64,701900
2024-10-23,4.11,4.118,3.81,3.87,691700
2024-10-22,4.19,4.22,4.04,4.16,912000
2024-10-21,4.27,4.545,4.18,4.22,740000
2024-10-18,4.0,4.4,3.97,4.26,703300
2024-10-17,4.35,4.36,3.97,4.0,635600
2024-10-16,4.03,4.425,3.87,4.34,812200
2024-10-15,3.92,4.02,3.77,3.97,422400
2024-10-14,3.87,4.155,3.87,3.94,627300
2024-10-11,3.71,3.91,3.603,3.89,437900
2024-10-10,3.88,3.88,3.6,3.71,985900
2024-10-09,4.02,4.1,3.855,3.94,665200
2024-10-08,3.9,4.005,3.83,3.9,723600
2024-10-07,3.89,3.91,3.7,3.84,542800
2024-10-04,3.98,4.111,3.87,3.92,523600
2024-10-03,4.12,4.28,3.83,3.9,1263300
2024-10-02,4.16,4.24,4.01,4.17,517600
2024-10-01,4.51,4.525,4.11,4.21,566500
2024-09-30,4.63,4.76,4.46,4.52,516500
2024-09-27,4.64,4.72,4.4,4.52,395100
2024-09-26,4.77,4.77,4.54,4.58,527100
2024-09-25,4.77,4.94,4.68,4.7,538900
2024-09-24,4.86,4.92,4.68,4.75,602100
2024-09-23,5.26,5.26,4.84,4.86,534400
2024-09-20,5.33,5.395,5.18,5.21,712800
2024-09-19,5.46,5.675,5.31,5.38,385000
2024-09-18,5.4,5.65,5.22,5.27,306100
2024-09-17,5.74,5.829,5.31,5.39,391300
2024-09-16,5.7,5.88,5.36,5.65,390200
2024-09-13,5.8,5.94,5.53,5.71,539900
2024-09-12,6.48,6.485,5.56,5.59,577600
2024-09-11,6.41,6.554,6.25,6.42,405000
2024-09-10,5.89,6.628,5.77,6.51,676700
2024-09-09,5.38,6.03,5.285,5.91,651500
2024-09-06,5.41,5.45,5.19,5.32,382100
2024-09-05,5.38,5.52,5.15,5.43,333800
2024-09-04,5.13,5.46,5.081,5.39,410300
2024-09-03,5.32,5.33,5.001,5.15,653200
2024-08-30,5.5,5.56,5.12,5.31,385400
2024-08-29,5.25,5.56,5.19,5.5,384000
2024-08-28,5.36,5.45,5.09,5.24,325300
2024-08-27,5.64,5.715,5.35,5.38,430600
2024-08-26,5.37,5.68,5.36,5.66,539800
2024-08-23,5.22,5.445,5.21,5.32,556500
2024-08-22,5.43,5.5,5.12,5.15,392400
2024-08-21,5.11,5.44,5.07,5.38,298700
2024-08-20,5.21,5.23,4.95,5.11,447700
2024-08-19,5.04,5.23,4.98,5.21,632700
2024-08-16,4.97,5.13,4.83,5.07,508300
2024-08-15,5.31,5.43,4.97,5.01,746000
2024-08-14,5.45,6.28,4.965,5.13,2108400
2024-08-13,5.1,5.2,4.89,4.97,460900
2024-08-12,5.03,5.23,4.895,5.07,442600
2024-08-09,5.37,5.56,4.87,4.93,430500
2024-08-08,5.0,5.43,4.89,5.25,643100
2024-08-07,5.6,5.66,5.13,5.19,453900
2024-08-06,6.0,6.19,5.41,5.48,460600
2024-08-05,5.39,5.74,5.34,5.71,674600
2024-08-02,6.0,6.17,5.77,5.97,785200
2024-08-01,6.6,6.66,6.145,6.41,533400
2024-07-31,6.4,6.74,6.2,6.43,514300
2024-07-30,6.73,6.99,6.33,6.35,385100
2024-07-29,7.01,7.092,6.63,6.69,407600
2024-07-26,7.05,7.24,6.89,7.04,408600
2024-07-25,6.67,7.07,6.57,6.91,436900
2024-07-24,6.73,7.08,6.63,6.64,626100
