datetime,open,high,low,close,volume
2025-04-01,25.5791,25.74,25.4,25.47,57702
2025-03-31,25.65,25.7581,25.45,25.52,272194
2025-03-28,25.87,25.87,25.55,25.61,56949
2025-03-27,25.95,26.0199,25.85,25.87,31233
2025-03-26,26.0,26.07,25.94,25.97,46086
2025-03-25,26.05,26.0782,26.0,26.04,37060
2025-03-24,25.97,26.09,25.97,26.0,35567
2025-03-21,25.95,26.039,25.95,25.97,35858
2025-03-20,25.96,26.035,25.94,25.97,32664
2025-03-19,26.0,26.04,25.9358,26.0,49009
2025-03-18,25.96,25.99,25.93,25.98,34573
2025-03-17,25.92,25.99,25.87,25.95,43500
2025-03-14,25.97,25.97,25.86,25.92,41907
2025-03-13,25.98,25.99,25.93,25.93,46009
2025-03-12,25.9,25.9744,25.8717,25.93,34069
2025-03-11,25.88,25.98,25.8275,25.91,51843
2025-03-10,25.82,25.85,25.8,25.84,46965
2025-03-07,25.86,25.94,25.81,25.83,43467
2025-03-06,25.77,25.87,25.77,25.85,61203
2025-03-05,25.79,25.85,25.701,25.8,81686
2025-03-04,25.57,25.8,25.4565,25.76,167708
2025-03-03,25.4,25.5999,25.35,25.59,54579
2025-02-28,26.04,26.1,25.9112,25.98,86359
2025-02-27,26.11,26.1138,26.01,26.025,45986
2025-02-26,26.27,26.34,26.12,26.18,54058
2025-02-25,26.13,26.25,26.0516,26.22,52481
2025-02-24,25.92,26.12,25.92,26.12,47811
2025-02-21,26.03,26.03,25.91,25.9799,13622
2025-02-20,25.99,26.04,25.945,26.03,32743
2025-02-19,25.98,25.99,25.8506,25.95,46885
2025-02-18,26.1171,26.1299,25.82,25.89,48836
2025-02-14,25.94,26.1,25.9399,26.042,31190
2025-02-13,26.06,26.09,25.9301,26.02,34103
2025-02-12,25.9,26.0,25.85,25.94,33988
2025-02-11,25.92,26.01,25.9,25.9609,25373
2025-02-10,25.9,25.97,25.86,25.97,43518
2025-02-07,25.82,25.89,25.8,25.89,80113
2025-02-06,25.7601,25.8255,25.75,25.8,41317
2025-02-05,25.73,25.81,25.73,25.8,37737
2025-02-04,25.7,25.7554,25.67,25.74,29249
2025-02-03,25.58,25.7599,25.5444,25.73,79265
2025-01-31,25.95,25.95,25.5,25.6,210879
2025-01-30,25.88,25.95,25.8432,25.93,46936
2025-01-29,25.7872,25.87,25.77,25.84,36773
2025-01-28,25.84,25.8553,25.75,25.81,31134
2025-01-27,25.75,25.9,25.69,25.82,48912
2025-01-24,25.76,25.7728,25.6801,25.72,28034
2025-01-23,25.63,25.78,25.62,25.68,59578
2025-01-22,25.79,25.79,25.69,25.72,46797
2025-01-21,25.73,25.83,25.6618,25.77,68310
2025-01-17,25.5,25.67,25.42,25.67,154363
2025-01-16,25.55,25.6199,25.43,25.46,70649
2025-01-15,25.53,25.6,25.4,25.5,49290
2025-01-14,25.35,25.5999,25.35,25.5,44707
2025-01-13,25.47,25.54,25.32,25.37,58798
2025-01-10,25.55,25.6,25.45,25.5,75359
2025-01-08,25.64,25.7,25.55,25.68,31463
2025-01-07,25.8,25.8001,25.56,25.69,46732
2025-01-06,25.83,25.89,25.72,25.75,80147
2025-01-03,25.88,25.89,25.73,25.75,71989
2025-01-02,25.7,25.88,25.63,25.88,58044
2024-12-31,25.57,25.76,25.41,25.73,275992
2024-12-30,25.48,25.57,25.38,25.49,85958
2024-12-27,25.51,25.57,25.26,25.47,63689
2024-12-26,25.0,25.57,25.0,25.57,35575
2024-12-24,25.52,25.55,25.41,25.5,31312
2024-12-23,25.38,25.5,25.3069,25.47,46440
2024-12-20,25.3,25.39,25.23,25.37,33706
2024-12-19,25.2,25.26,25.18,25.26,63432
2024-12-18,25.3,25.37,25.21,25.26,54489
2024-12-17,25.29,25.34,25.2264,25.33,26549
2024-12-16,25.22,25.28,25.22,25.27,51207
2024-12-13,25.16,25.2499,25.16,25.22,50761
2024-12-12,25.21,25.2444,25.16,25.16,33757
2024-12-11,25.34,25.34,25.21,25.25,47943
2024-12-10,25.29,25.29,25.2,25.26,44247
2024-12-09,25.29,25.29,25.25,25.26,35322
2024-12-06,25.28,25.3078,25.26,25.29,71042
2024-12-05,25.33,25.33,25.28,25.28,82731
2024-12-04,25.34,25.34,25.29,25.3083,38362
2024-12-03,25.31,25.35,25.3,25.34,81051
2024-12-02,25.3,25.36,25.28,25.36,98289
2024-11-29,25.97,26.12,25.81,25.81,286497
2024-11-27,26.01,26.01,25.87,25.94,38996
2024-11-26,25.97,26.01,25.8866,26.01,41768
2024-11-25,25.9,26.01,25.9,25.97,46706
2024-11-22,25.9093,25.9431,25.8,25.8,47265
2024-11-21,25.94,26.0,25.86,25.93,47592
2024-11-20,25.91,26.02,25.86,25.92,41314
2024-11-19,25.99,26.02,25.8621,25.9701,23093
2024-11-18,25.96,26.02,25.9,25.95,31668
2024-11-15,26.01,26.01,25.91,25.92,20618
2024-11-14,25.99,26.09,25.89,25.98,50553
2024-11-13,25.97,26.0,25.81,25.95,39097
2024-11-12,25.93,25.9895,25.855,25.91,25156
2024-11-11,25.95,26.0,25.8,25.95,41731
2024-11-08,25.9637,26.0,25.95,25.99,39895
2024-11-07,25.85,26.0,25.845,25.95,83797
2024-11-06,25.77,25.8925,25.77,25.8796,45768
2024-11-05,25.76,25.89,25.7512,25.89,31478
2024-11-04,25.86,25.8899,25.76,25.78,62859
2024-11-01,25.9,25.9,25.7701,25.81,42387
2024-10-31,25.67,25.91,25.67,25.85,78009
2024-10-30,25.73,25.81,25.66,25.7249,60154
2024-10-29,25.67,25.7399,25.61,25.69,40467
2024-10-28,25.68,25.79,25.65,25.65,45467
2024-10-25,25.6,25.735,25.55,25.63,35642
2024-10-24,25.64,25.7291,25.548,25.5877,49376
2024-10-23,25.64,25.72,25.56,25.71,19123
2024-10-22,25.5576,25.73,25.5482,25.64,29547
2024-10-21,25.79,25.79,25.41,25.595,148840
2024-10-18,25.67,25.82,25.67,25.76,36142
2024-10-17,25.74,25.75,25.65,25.72,23248
2024-10-16,25.8,25.83,25.67,25.67,39864
2024-10-15,25.7,25.8,25.66,25.76,37243
2024-10-14,25.68,25.74,25.61,25.7,60579
2024-10-11,25.49,25.69,25.49,25.66,35930
2024-10-10,25.62,25.6252,25.435,25.48,49869
2024-10-09,25.63,25.6444,25.46,25.5923,43040
2024-10-08,25.47,25.6499,25.47,25.57,39726
2024-10-07,25.52,25.59,25.4687,25.51,37452
2024-10-04,25.54,25.59,25.5017,25.57,29427
2024-10-03,25.49,25.59,25.47,25.55,43721
2024-10-02,25.46,25.6,25.445,25.49,55776
2024-10-01,25.38,25.45,25.34,25.45,96239
2024-09-30,25.53,25.58,25.25,25.34,254837
2024-09-27,25.47,25.5499,25.38,25.51,122499
2024-09-26,25.39,25.46,25.35,25.44,95721
2024-09-25,25.36,25.45,25.32,25.35,79222
2024-09-24,25.36,25.39,25.25,25.36,75208
2024-09-23,25.45,25.492,25.34,25.34,94258
2024-09-20,25.63,25.63,25.465,25.47,63257
2024-09-19,25.62,25.62,25.545,25.56,35116
2024-09-18,25.65,25.65,25.5,25.5,53168
2024-09-17,25.74,25.7404,25.57,25.58,45270
2024-09-16,25.62,25.72,25.45,25.67,66721
2024-09-13,25.65,25.65,25.54,25.61,24671
2024-09-12,25.54,25.65,25.54,25.6,32425
2024-09-11,25.45,25.55,25.38,25.47,49309
2024-09-10,25.44,25.45,25.31,25.42,70105
2024-09-09,25.4,25.56,25.35,25.39,70877
2024-09-06,25.4,25.47,25.26,25.46,43227
2024-09-05,25.39,25.4,25.32,25.4,33814
2024-09-04,25.37,25.41,25.3212,25.38,59336
2024-09-03,25.28,25.35,25.23,25.3099,98694
2024-08-30,25.35,25.41,25.27,25.27,131549
2024-08-29,25.94,25.95,25.85,25.85,44291
2024-08-28,25.9,25.95,25.85,25.94,31255
2024-08-27,25.88,25.92,25.845,25.88,27767
2024-08-26,25.9,25.915,25.82,25.88,28762
2024-08-23,25.83,25.91,25.81,25.9,38231
2024-08-22,25.83,25.85,25.81,25.85,19506
2024-08-21,25.81,25.8397,25.7601,25.8397,41343
2024-08-20,25.78,25.85,25.7202,25.8,48503
2024-08-19,25.8,25.83,25.64,25.69,43541
2024-08-16,25.76,25.79,25.73,25.79,25121
2024-08-15,25.71,25.74,25.62,25.72,26282
2024-08-14,25.63,25.74,25.62,25.68,20749
2024-08-13,25.61,25.9,25.55,25.6,23870
2024-08-12,25.76,25.76,25.6,25.61,24118
2024-08-09,25.6586,25.78,25.6106,25.75,26840
2024-08-08,25.66,25.7,25.5501,25.7,22538
2024-08-07,25.53,25.7,25.5205,25.59,43625
2024-08-06,25.57,25.61,25.44,25.47,37437
2024-08-05,25.51,25.632,25.41,25.51,62548
2024-08-02,25.61,25.76,25.61,25.68,55176
2024-08-01,25.698,25.7628,25.68,25.69,18216
2024-07-31,25.73,25.75,25.61,25.61,84772
2024-07-30,25.71,25.7525,25.48,25.6099,42957
2024-07-29,25.8,25.8,25.7,25.73,31680
2024-07-26,25.77,25.833,25.75,25.78,27260
2024-07-25,25.69,25.78,25.61,25.77,22095
2024-07-24,25.6,25.73,25.6,25.6,59944
2024-07-23,25.52,25.67,25.52,25.59,21269
2024-07-22,25.68,25.68,25.554,25.56,42698
2024-07-19,25.62,25.6499,25.51,25.56,35491
2024-07-18,25.67,25.67,25.61,25.65,18797
