datetime,open,high,low,close,volume
2025-04-01,5.78,6.12,5.78,6.01,522800
2025-03-31,5.77,5.93,5.73,5.81,373900
2025-03-28,6.0,6.04,5.79,5.87,332300
2025-03-27,6.09,6.15,5.96,6.03,413700
2025-03-26,5.95,6.23,5.92,6.07,571700
2025-03-25,5.9,6.0,5.86,5.88,446400
2025-03-24,5.93,6.01,5.84,5.89,509800
2025-03-21,5.75,5.81,5.73,5.8,1079000
2025-03-20,5.78,5.91,5.77,5.83,478300
2025-03-19,5.82,5.95,5.77,5.83,574400
2025-03-18,6.19,6.22,5.79,5.81,578800
2025-03-17,6.12,6.33,6.12,6.19,874900
2025-03-14,6.0,6.25,5.95,6.14,1616500
2025-03-13,6.05,6.17,5.94,5.95,638000
2025-03-12,6.05,6.24,6.02,6.08,878600
2025-03-11,5.8,6.03,5.77,5.98,1179800
2025-03-10,5.65,5.84,5.65,5.78,1549100
2025-03-07,5.71,5.93,5.58,5.75,1488000
2025-03-06,5.42,5.69,5.35,5.64,1146400
2025-03-05,5.38,5.57,5.33,5.53,2166800
2025-03-04,5.64,5.66,5.44,5.45,1251100
2025-03-03,6.12,6.15,5.6,5.72,880300
2025-02-28,6.04,6.17,5.97,6.1,1030900
2025-02-27,5.83,6.54,5.73,6.0,1597200
2025-02-26,6.32,6.5,6.28,6.35,667500
2025-02-25,6.54,6.55,6.3,6.35,693600
2025-02-24,6.58,6.61,6.49,6.52,601200
2025-02-21,6.79,6.79,6.45,6.57,808700
2025-02-20,6.85,6.88,6.68,6.71,477000
2025-02-19,6.94,6.98,6.85,6.88,343200
2025-02-18,6.99,7.12,6.93,7.01,359600
2025-02-14,7.0,7.16,6.96,6.97,349800
2025-02-13,6.8,6.96,6.73,6.96,351400
2025-02-12,6.72,6.81,6.64,6.78,576600
2025-02-11,6.7,6.85,6.64,6.79,314500
2025-02-10,6.68,6.79,6.5,6.68,521800
2025-02-07,6.82,7.01,6.55,6.55,674700
2025-02-06,7.1,7.11,6.74,6.76,869200
2025-02-05,6.88,7.12,6.82,7.01,1199200
2025-02-04,6.77,6.96,6.74,6.85,1751700
2025-02-03,6.94,6.94,6.74,6.85,415800
2025-01-31,7.23,7.23,6.85,6.92,480800
