datetime,open,high,low,close,volume
2025-04-01,12.79,13.07,12.52,12.82,93400
2025-03-31,12.69,13.105,12.32,12.8,127400
2025-03-28,14.02,14.02,12.875,12.91,64700
2025-03-27,13.98,14.13,13.72,14.05,55700
2025-03-26,13.75,14.14,13.73,13.94,65500
2025-03-25,14.645,14.645,13.63,13.715,51200
2025-03-24,14.64,15.035,14.46,14.68,75100
2025-03-21,14.82,15.2,14.08,14.44,143600
2025-03-20,15.71,15.9,14.97,14.99,61200
2025-03-19,15.45,15.98,15.4,15.87,69900
2025-03-18,15.08,15.67,14.73,15.55,86100
2025-03-17,14.72,15.174,14.557,15.07,122300
2025-03-14,14.66,15.09,14.243,14.83,76500
2025-03-13,14.61,14.915,14.391,14.59,66500
2025-03-12,14.9,15.19,14.39,14.83,79000
2025-03-11,15.32,15.52,14.66,14.89,86100
2025-03-10,15.0,15.6,15.0,15.2,112100
2025-03-07,14.15,15.345,14.15,15.11,78300
2025-03-06,14.04,14.405,13.863,14.37,65500
2025-03-05,14.2,14.47,13.99,14.23,92500
2025-03-04,13.93,14.37,13.74,14.1,97600
2025-03-03,14.71,14.88,13.92,14.15,86400
2025-02-28,14.41,14.852,13.93,14.59,509500
2025-02-27,14.8,15.1,14.355,14.5,68500
2025-02-26,15.22,15.975,14.78,14.86,67500
2025-02-25,16.03,16.03,15.27,15.37,95100
2025-02-24,15.77,16.347,15.38,15.58,101900
2025-02-21,16.57,17.39,15.59,15.61,67600
2025-02-20,16.9,16.927,16.46,16.46,66400
2025-02-19,17.39,17.39,16.99,17.03,62000
2025-02-18,17.7,17.77,17.36,17.6,63500
2025-02-14,18.03,18.41,17.605,17.7,89900
2025-02-13,17.42,17.98,17.1,17.87,72400
2025-02-12,17.14,17.47,16.92,17.25,76100
2025-02-11,17.03,17.626,17.03,17.52,61700
2025-02-10,16.72,17.37,16.7,17.24,74000
2025-02-07,16.86,17.037,16.51,16.69,79000
2025-02-06,16.96,17.01,16.73,16.82,66600
2025-02-05,16.35,16.99,16.23,16.9,115700
2025-02-04,16.28,17.08,16.05,16.28,70900
2025-02-03,16.47,16.605,16.2,16.36,78100
2025-01-31,16.63,16.9,16.33,16.67,81200
2025-01-30,16.42,17.37,16.29,16.72,98400
2025-01-29,16.51,16.51,15.9,16.33,68100
2025-01-28,18.66,18.66,16.085,16.51,139000
2025-01-27,17.98,19.005,17.83,18.73,82200
2025-01-24,17.87,18.23,17.575,17.96,56800
2025-01-23,17.48,18.2,17.42,18.05,62000
2025-01-22,17.79,17.959,17.32,17.48,53200
2025-01-21,17.59,18.45,17.09,17.82,97000
2025-01-17,17.43,17.455,17.118,17.41,53700
2025-01-16,17.16,17.426,16.79,17.25,53300
2025-01-15,17.33,17.33,16.905,17.12,32400
2025-01-14,17.28,17.47,16.5,16.93,67300
2025-01-13,16.71,17.425,16.56,17.27,110000
2025-01-10,17.12,17.12,16.635,16.79,96600
2025-01-08,17.28,17.63,16.865,17.34,75400
2025-01-07,17.67,17.915,17.23,17.36,61900
2025-01-06,17.75,18.07,17.58,17.67,87200
2025-01-03,17.41,17.98,17.275,17.73,80700
2025-01-02,17.76,18.11,17.24,17.29,50600
2024-12-31,17.42,17.73,17.323,17.64,59700
2024-12-30,17.21,17.645,16.985,17.41,71300
2024-12-27,17.72,17.95,17.01,17.43,82400
2024-12-26,17.73,17.94,16.93,17.94,154100
2024-12-24,17.94,18.37,17.74,17.76,50600
2024-12-23,17.17,17.9,17.06,17.84,122900
2024-12-20,16.82,17.88,16.82,17.17,333500
2024-12-19,17.23,17.51,16.74,17.07,115900
2024-12-18,17.68,18.31,17.07,17.18,115400
2024-12-17,17.13,17.83,17.002,17.68,123000
2024-12-16,17.79,18.578,16.925,17.19,149900
2024-12-13,18.4,18.51,17.71,17.79,95200
2024-12-12,19.07,19.14,18.465,18.47,79000
2024-12-11,19.49,19.49,19.05,19.08,267900
2024-12-10,19.57,19.7,19.255,19.35,72100
2024-12-09,18.88,19.71,18.88,19.5,107200
2024-12-06,19.34,19.34,18.88,18.99,89200
2024-12-05,19.7,19.935,19.14,19.23,84300
2024-12-04,19.32,19.79,19.15,19.72,94800
2024-12-03,19.77,19.77,19.235,19.305,68100
2024-12-02,19.67,19.85,19.31,19.77,115600
2024-11-29,19.5,19.795,19.155,19.66,43700
2024-11-27,19.56,19.9,19.109,19.48,50400
2024-11-26,19.63,19.65,19.115,19.54,109100
2024-11-25,19.4,20.11,18.865,19.64,101000
2024-11-22,19.58,19.785,19.026,19.12,65900
2024-11-21,18.75,19.49,18.62,19.46,86900
2024-11-20,18.77,18.97,18.63,18.75,99600
2024-11-19,18.33,18.92,18.33,18.83,82400
2024-11-18,19.22,19.22,18.41,18.47,109300
2024-11-15,19.15,19.3,18.957,19.14,83500
2024-11-14,20.39,20.39,18.93,18.97,76700
2024-11-13,20.39,20.54,20.026,20.26,69600
2024-11-12,21.1,21.29,20.19,20.37,100300
2024-11-11,20.2,21.64,20.2,21.29,98200
2024-11-08,20.07,20.11,19.784,19.99,54400
2024-11-07,20.35,20.568,19.77,20.0,82600
2024-11-06,19.99,20.69,19.46,20.42,91200
2024-11-05,18.45,19.26,18.45,19.12,70500
2024-11-04,18.17,18.61,18.11,18.5,87300
2024-11-01,18.3,18.45,17.72,18.16,123600
2024-10-31,17.86,18.58,17.66,18.13,90000
2024-10-30,17.77,18.194,17.62,17.91,83700
2024-10-29,18.59,18.79,17.73,17.77,83900
2024-10-28,18.35,19.45,18.35,18.77,87900
2024-10-25,18.33,18.46,17.78,17.96,51200
2024-10-24,18.45,18.69,18.183,18.3,59300
2024-10-23,18.55,18.674,18.255,18.43,77700
2024-10-22,18.71,18.845,18.265,18.69,68500
2024-10-21,19.96,20.02,18.815,18.83,79900
2024-10-18,19.82,19.99,19.23,19.95,87700
2024-10-17,19.37,19.77,19.199,19.75,55000
2024-10-16,19.61,19.91,19.34,19.45,57600
2024-10-15,19.1,19.82,19.1,19.44,68100
2024-10-14,18.89,19.18,18.71,19.04,49500
2024-10-11,18.7,19.1,18.7,18.86,56200
2024-10-10,19.01,19.042,18.71,18.71,63300
2024-10-09,19.47,19.644,19.1,19.19,73300
2024-10-08,19.55,19.71,19.38,19.49,57900
2024-10-07,19.85,19.963,19.26,19.47,70200
