datetime,open,high,low,close,volume
2025-04-01,39.59,39.645,38.705,39.0,615500
2025-03-31,38.64,39.73,38.45,39.4,885700
2025-03-28,38.59,38.83,38.03,38.71,606700
2025-03-27,38.28,38.86,38.02,38.29,496400
2025-03-26,37.84,38.305,37.8,38.08,353500
2025-03-25,38.73,38.73,37.44,37.64,719300
2025-03-24,38.18,38.92,38.18,38.75,701000
2025-03-21,38.36,38.36,37.875,38.15,1361200
2025-03-20,38.19,38.69,38.14,38.39,622700
2025-03-19,37.8,38.62,37.7,38.35,792800
2025-03-18,37.25,38.04,36.98,38.03,877900
2025-03-17,36.68,37.7,36.68,37.26,854400
2025-03-14,36.14,36.69,35.93,36.68,807300
2025-03-13,37.11,37.51,36.08,36.64,821100
2025-03-12,37.63,37.85,37.0,37.16,616600
2025-03-11,39.5,39.5,37.58,37.8,1461800
2025-03-10,39.87,40.62,39.27,39.59,1032600
2025-03-07,38.75,39.655,38.75,39.53,678200
2025-03-06,38.54,39.073,37.83,38.76,636200
2025-03-05,38.19,38.835,37.935,38.81,903100
2025-03-04,38.41,39.07,38.02,38.05,565300
2025-03-03,38.74,38.96,38.26,38.57,575300
2025-02-28,39.03,39.19,37.65,38.62,1703500
2025-02-27,39.04,39.2,37.89,39.0,713800
2025-02-26,38.7,39.0,38.06,38.23,560700
2025-02-25,38.32,39.341,38.225,38.86,678000
2025-02-24,37.73,38.33,37.28,38.13,548900
2025-02-21,37.95,37.95,37.39,37.73,357300
2025-02-20,37.5,37.89,37.26,37.78,283500
2025-02-19,37.61,37.8,37.37,37.47,322000
2025-02-18,37.3,37.88,37.215,37.69,293700
2025-02-14,38.07,38.57,37.34,37.38,481900
2025-02-13,37.81,38.02,37.64,37.82,321800
2025-02-12,36.93,37.72,36.93,37.71,461800
2025-02-11,37.46,37.92,37.4,37.9,323100
2025-02-10,37.6,37.83,37.36,37.63,310800
2025-02-07,37.78,37.96,37.29,37.63,246700
2025-02-06,37.59,37.94,37.44,37.78,309200
2025-02-05,37.2,37.575,36.73,37.44,271800
2025-02-04,36.52,37.06,36.32,36.71,345100
2025-02-03,36.62,37.31,36.26,37.11,511400
2025-01-31,37.25,37.73,37.05,37.15,596600
2025-01-30,37.69,37.69,36.8,37.45,514900
2025-01-29,37.59,37.83,36.63,37.05,422700
2025-01-28,37.73,37.97,37.55,37.67,378600
2025-01-27,36.95,38.04,36.95,38.0,423700
2025-01-24,36.3,37.03,36.3,36.73,371900
2025-01-23,36.23,36.4,35.75,36.38,319100
2025-01-22,36.5,36.647,36.06,36.14,312800
2025-01-21,36.71,37.2,36.675,36.89,451200
2025-01-17,36.84,37.13,36.595,36.61,381600
2025-01-16,35.86,37.11,35.86,36.88,429500
2025-01-15,37.0,37.002,35.67,35.92,487500
2025-01-14,36.39,36.52,35.85,35.94,598000
2025-01-13,36.45,36.66,35.87,36.29,774100
2025-01-10,36.9,37.25,36.18,36.49,810700
2025-01-08,36.94,37.0,36.22,36.94,631700
2025-01-07,37.76,37.82,36.66,37.17,789000
2025-01-06,38.2,38.24,37.35,37.46,644200
2025-01-03,37.37,38.35,37.37,38.24,457500
2025-01-02,37.78,38.059,37.14,37.4,523400
2024-12-31,37.62,38.19,37.41,37.91,734600
2024-12-30,37.82,37.82,36.86,37.36,523400
2024-12-27,37.83,38.17,37.43,37.69,310900
2024-12-26,37.62,38.19,37.62,38.09,474300
2024-12-24,37.83,38.18,37.33,38.05,177500
2024-12-23,37.71,37.99,37.39,37.9,516400
2024-12-20,37.49,38.84,37.45,37.84,1960100
2024-12-19,38.83,39.26,37.18,37.2,1222300
2024-12-18,40.99,41.14,38.74,38.84,839200
2024-12-17,40.8,41.44,40.522,41.15,593900
2024-12-16,41.41,41.74,41.08,41.14,685600
2024-12-13,41.53,41.76,41.02,41.47,686900
2024-12-12,42.01,42.703,41.995,42.31,461900
2024-12-11,42.79,42.97,41.93,42.23,583500
2024-12-10,43.41,43.41,42.565,42.82,389500
2024-12-09,43.39,43.88,43.14,43.56,447300
2024-12-06,43.1,43.42,42.85,43.4,597900
2024-12-05,43.21,43.215,42.64,42.95,434400
2024-12-04,43.51,43.68,43.145,43.32,370700
2024-12-03,44.8,44.8,43.65,43.7,566000
2024-12-02,45.0,45.28,44.68,44.8,725200
2024-11-29,45.69,45.985,45.01,45.1,450200
2024-11-27,45.63,46.07,45.38,45.38,443600
2024-11-26,45.02,45.21,44.28,45.08,508000
2024-11-25,45.0,46.05,44.87,45.14,886600
2024-11-22,44.35,44.65,44.07,44.35,573600
2024-11-21,43.84,44.8,43.607,44.16,521800
2024-11-20,43.88,44.085,43.11,43.9,661800
2024-11-19,43.25,44.255,43.25,44.24,684400
2024-11-18,42.89,43.565,42.86,43.36,404300
2024-11-15,42.6,43.46,42.44,43.13,384800
2024-11-14,42.67,43.36,42.16,42.33,246100
2024-11-13,43.06,43.25,42.63,42.95,349500
2024-11-12,42.83,43.24,42.4,42.44,486500
2024-11-11,43.44,43.76,43.01,43.2,395600
2024-11-08,43.34,43.95,43.185,43.68,437800
2024-11-07,42.45,43.05,42.18,42.99,569400
2024-11-06,43.06,43.385,41.16,42.32,621000
2024-11-05,41.63,43.59,41.47,43.52,526300
2024-11-04,41.7,42.32,41.64,41.97,426300
2024-11-01,42.21,42.58,41.48,41.62,672200
2024-10-31,43.71,44.39,42.11,42.15,822200
2024-10-30,42.67,43.295,42.4,42.47,498700
2024-10-29,42.8,42.865,42.38,42.5,429800
2024-10-28,43.09,43.49,42.665,43.02,367300
2024-10-25,43.36,43.79,42.785,42.85,317000
2024-10-24,43.27,43.77,43.179,43.28,344000
2024-10-23,42.92,43.93,42.71,43.32,599000
2024-10-22,42.97,43.17,42.71,42.99,426000
2024-10-21,44.67,44.94,42.87,43.04,381600
2024-10-18,44.8,45.0,44.5,44.95,243800
2024-10-17,44.98,45.05,44.58,44.72,305100
2024-10-16,44.84,45.315,44.8,45.16,328600
2024-10-15,44.6,45.35,44.6,44.78,381000
2024-10-14,44.06,44.52,43.76,44.36,257700
2024-10-11,44.54,44.61,43.92,44.16,339000
2024-10-10,44.54,44.82,43.84,44.18,385300
2024-10-09,44.68,44.89,44.355,44.74,528900
2024-10-08,44.83,45.005,44.23,44.78,590200
2024-10-07,44.34,44.59,44.0,44.54,484800
2024-10-04,46.04,46.46,44.46,44.63,777200
2024-10-03,46.86,46.96,46.13,46.39,388600
2024-10-02,46.9,47.155,46.53,46.88,548500
2024-10-01,48.46,48.64,47.26,47.44,443500
2024-09-30,47.4,48.27,46.96,48.2,818700
2024-09-27,47.24,47.57,46.84,47.45,520000
2024-09-26,48.17,48.17,46.78,46.82,633900
2024-09-25,48.74,48.75,48.025,48.15,703100
2024-09-24,49.0,49.106,48.36,48.68,496200
2024-09-23,48.92,49.44,48.665,49.13,687400
2024-09-20,48.2,48.6,48.1,48.57,1603100
2024-09-19,48.88,48.88,47.52,48.13,633500
2024-09-18,48.93,49.254,48.22,48.4,787400
2024-09-17,48.71,48.87,48.12,48.14,452300
2024-09-16,47.95,48.9,47.7,48.71,881300
2024-09-13,47.35,47.81,46.81,47.66,762700
2024-09-12,46.78,47.93,46.63,47.69,852400
2024-09-11,46.58,46.74,45.84,46.65,518200
2024-09-10,46.84,47.45,46.74,47.11,653800
2024-09-09,45.89,46.83,45.88,46.81,716700
2024-09-06,46.05,46.57,45.58,46.47,461400
2024-09-05,46.94,47.06,45.84,46.03,736700
2024-09-04,46.69,47.415,46.395,46.6,590600
2024-09-03,46.58,47.07,46.3,46.71,990500
2024-08-30,46.39,46.75,45.85,46.74,1047800
2024-08-29,46.02,46.49,45.73,46.04,739700
2024-08-28,46.0,46.27,45.75,46.05,811700
2024-08-27,45.0,46.02,44.78,46.0,443300
2024-08-26,45.78,45.865,45.02,45.51,433100
2024-08-23,44.72,46.03,44.48,45.55,711200
2024-08-22,44.24,44.83,43.99,44.73,460700
2024-08-21,43.48,44.11,42.98,44.07,397100
2024-08-20,43.02,43.54,42.99,43.29,316300
2024-08-19,42.88,43.39,42.801,43.18,323000
2024-08-16,42.8,43.24,42.4,42.88,385900
2024-08-15,43.41,43.52,42.59,42.74,509700
2024-08-14,43.07,43.56,42.85,43.39,440400
2024-08-13,42.89,43.06,42.403,42.79,706500
2024-08-12,43.0,43.3,42.34,42.56,507700
2024-08-09,42.41,43.47,41.79,43.25,706300
2024-08-08,41.92,42.26,41.38,42.12,847800
2024-08-07,42.82,43.625,41.82,42.05,1263700
2024-08-06,40.325,42.91,39.86,42.33,1860800
2024-08-05,41.56,43.51,41.12,42.4,947400
2024-08-02,42.58,43.76,42.53,43.03,1014900
2024-08-01,42.87,43.17,42.46,42.85,494400
2024-07-31,43.22,43.23,42.211,42.57,947600
2024-07-30,43.88,44.12,43.135,43.42,758000
2024-07-29,43.42,43.725,42.95,43.6,387300
2024-07-26,43.07,43.555,42.96,43.46,306000
2024-07-25,43.08,43.365,42.585,42.77,543200
2024-07-24,43.88,44.06,42.85,42.9,645100
2024-07-23,44.12,44.375,43.77,44.0,586100
2024-07-22,44.31,44.75,43.35,44.26,659200
2024-07-19,45.05,45.22,44.11,44.19,554900
2024-07-18,45.67,46.84,45.08,45.1,839500
2024-07-17,45.55,46.32,45.18,45.84,742000
2024-07-16,44.35,45.655,44.17,45.48,1075700
2024-07-15,43.74,44.14,43.0,44.11,766700
2024-07-12,42.52,43.68,41.98,43.5,841800
2024-07-11,40.58,42.24,40.32,42.06,1175000
2024-07-10,40.38,40.43,39.17,39.73,1555500
2024-07-09,40.69,40.825,40.01,40.18,455800
2024-07-08,40.91,40.93,40.59,40.78,493800
2024-07-05,40.74,40.86,40.34,40.74,971800
2024-07-03,40.55,41.04,40.32,40.74,254400
2024-07-02,40.43,41.05,40.31,40.54,440000
2024-07-01,40.91,41.21,39.923,40.23,697100
2024-06-28,41.14,41.57,40.66,41.22,907800
2024-06-27,41.16,41.48,40.47,41.0,500400
2024-06-26,41.19,41.33,40.79,40.92,577000
