datetime,open,high,low,close,volume
2025-04-01,38.19,38.97,37.725,38.7,97000
2025-03-31,38.0,38.41,37.406,38.13,71900
2025-03-28,39.39,39.645,38.59,38.67,62600
2025-03-27,40.4,40.54,39.58,39.93,47600
2025-03-26,42.04,42.04,40.55,40.62,59600
2025-03-25,42.65,42.7,41.71,42.04,52900
2025-03-24,42.52,43.01,42.4,43.01,46900
2025-03-21,41.41,41.604,41.02,41.59,50100
2025-03-20,41.38,42.579,41.38,41.76,56600
2025-03-19,41.01,42.26,40.9,42.06,72300
2025-03-18,41.4,41.4,40.6,41.05,50900
2025-03-17,41.47,42.178,41.2,41.9,132500
2025-03-14,40.01,41.12,39.97,40.96,82800
2025-03-13,39.96,40.22,39.1,39.305,61500
2025-03-12,40.5,40.99,39.614,40.21,90200
2025-03-11,38.67,39.96,38.457,39.61,82900
2025-03-10,39.14,39.37,38.13,38.59,197600
2025-03-07,40.01,40.376,39.05,40.26,88400
2025-03-06,41.28,41.34,39.76,40.03,124300
2025-03-05,42.01,42.18,41.083,41.98,66500
2025-03-04,40.28,42.38,39.85,41.63,131800
2025-03-03,43.63,43.63,40.71,41.1,116200
2025-02-28,41.77,43.14,41.43,43.14,90000
2025-02-27,45.25,45.25,42.42,42.63,110700
2025-02-26,44.14,44.86,43.632,44.06,122700
2025-02-25,43.19,43.5,41.85,42.91,173100
2025-02-24,45.0,45.0,43.08,43.33,187000
2025-02-21,47.95,47.95,44.7,45.25,240600
2025-02-20,48.45,48.45,46.805,47.6,143400
2025-02-19,49.38,49.38,48.159,48.31,128200
2025-02-18,50.21,50.42,49.22,49.63,160300
2025-02-14,51.0,51.11,49.607,49.82,139100
2025-02-13,51.01,51.018,49.513,50.85,228000
2025-02-12,49.39,51.52,48.906,51.07,176400
2025-02-11,51.3,51.3,49.708,50.23,151000
2025-02-10,51.28,51.86,50.865,51.49,407000
2025-02-07,49.35,52.098,49.15,51.06,243800
2025-02-06,50.0,50.17,48.364,48.83,130400
2025-02-05,48.59,50.024,48.096,49.66,134900
2025-02-04,48.66,48.66,47.344,48.37,114000
2025-02-03,45.61,48.4,45.25,47.97,138500
2025-01-31,48.5,49.249,47.09,47.62,195300
2025-01-30,46.81,48.46,46.5,48.31,286000
2025-01-29,45.11,46.65,45.0,45.93,198100
2025-01-28,45.22,45.22,43.422,45.19,332100
2025-01-27,46.68,46.805,43.63,44.36,750200
2025-01-24,51.61,51.93,50.8,51.35,466100
2025-01-23,49.15,51.64,48.77,51.14,456100
2025-01-22,49.09,49.519,48.25,49.15,473300
2025-01-21,46.27,48.13,46.0,48.01,287800
2025-01-17,44.97,45.699,44.43,45.39,103900
2025-01-16,44.33,44.55,43.53,44.43,61200
2025-01-15,44.04,44.403,43.771,44.02,65700
2025-01-14,43.01,43.54,42.54,43.06,102200
2025-01-13,42.8,42.8,41.84,42.39,71600
2025-01-10,43.59,43.613,42.7,43.38,105100
2025-01-08,43.81,43.929,42.22,43.22,92900
2025-01-07,45.66,46.54,44.0,44.35,102900
2025-01-06,45.0,45.869,44.667,45.34,163900
2025-01-03,42.26,44.2,42.01,44.2,118200
2025-01-02,41.26,42.04,40.98,41.81,61800
2024-12-31,42.02,42.29,40.484,40.92,78300
2024-12-30,41.58,41.92,40.8,41.64,62300
2024-12-27,42.34,42.611,41.386,41.79,42300
2024-12-26,43.31,43.31,42.01,42.76,65500
2024-12-24,41.68,42.51,41.31,42.51,22400
2024-12-23,41.77,41.96,40.732,41.81,48000
2024-12-20,40.51,42.24,40.51,41.66,36300
2024-12-19,41.38,41.599,40.6,41.31,50200
2024-12-18,42.73,43.02,40.401,40.77,63800
2024-12-17,42.59,42.59,41.37,42.17,115200
2024-12-16,42.48,42.865,41.8,42.78,96700
2024-12-13,42.94,43.029,42.36,42.5,57500
2024-12-12,43.83,43.84,42.757,42.97,63400
2024-12-11,43.4,43.76,42.81,43.68,72600
2024-12-10,43.52,43.62,42.51,42.8,69100
2024-12-09,45.2,45.45,43.5,43.51,154000
2024-12-06,45.43,46.17,44.722,45.41,99400
2024-12-05,45.11,45.53,44.61,45.37,96200
2024-12-04,45.55,45.614,44.8,45.02,78600
2024-12-03,45.85,46.14,44.812,45.45,94100
2024-12-02,47.46,47.46,45.7,45.8,140900
2024-11-29,45.77,47.0,45.51,46.62,66800
2024-11-27,46.05,46.16,44.979,45.51,67900
2024-11-26,45.8,46.8,45.36,45.618,87700
2024-11-25,47.51,47.949,45.233,45.71,139900
2024-11-22,46.73,46.98,46.04,46.93,131100
2024-11-21,45.0,46.745,44.2,46.51,120400
2024-11-20,44.76,45.25,43.83,44.51,87600
2024-11-19,43.92,44.69,43.27,44.5,132700
2024-11-18,43.35,44.5,42.7,44.5,155700
2024-11-15,43.24,43.33,42.354,42.36,82500
2024-11-14,44.54,44.64,43.59,43.73,66700
2024-11-13,45.11,45.11,43.75,43.91,171100
2024-11-12,44.58,45.1,43.27,44.06,135500
2024-11-11,45.73,45.73,44.09,45.0,110800
2024-11-08,44.99,45.745,44.31,45.02,71900
2024-11-07,43.97,45.4,43.51,44.934,96400
2024-11-06,43.42,44.278,42.572,44.0,80200
2024-11-05,42.01,42.295,41.733,42.21,41000
2024-11-04,41.73,41.88,41.07,41.38,85900
2024-11-01,43.54,43.93,42.6,42.868,46500
2024-10-31,43.34,43.45,42.3,42.93,70700
2024-10-30,44.51,44.51,43.33,43.45,94000
2024-10-29,43.59,44.06,42.73,44.01,95700
2024-10-28,42.75,44.134,42.32,43.96,150500
2024-10-25,42.36,42.68,41.695,41.78,60500
2024-10-24,42.05,42.18,41.37,41.68,61000
2024-10-23,42.21,42.95,41.12,41.77,87500
2024-10-22,43.69,43.69,42.0,42.86,145500
2024-10-21,43.97,43.99,42.84,43.74,220900
2024-10-18,41.99,43.52,41.805,43.1,160600
2024-10-17,43.0,43.0,41.75,42.02,209800
2024-10-16,39.62,42.07,39.62,42.07,196500
2024-10-15,39.26,39.33,38.445,39.04,39000
2024-10-14,38.46,39.01,38.32,38.849,23100
2024-10-11,37.5,38.378,37.5,38.378,8600
2024-10-10,37.86,37.94,37.31,37.75,26100
2024-10-09,38.51,38.57,37.78,38.25,15800
2024-10-08,38.76,38.87,38.31,38.74,11100
2024-10-07,40.0,40.0,38.25,38.77,44200
2024-10-04,38.45,39.42,38.4,39.41,62200
2024-10-03,38.5,38.5,38.03,38.37,32600
2024-10-02,37.55,38.21,37.24,38.041,33100
2024-10-01,37.97,37.97,36.71,37.638,35400
2024-09-30,38.5,39.61,36.58,36.973,53700
2024-09-27,36.98,37.49,36.98,37.211,16100
2024-09-26,37.39,37.74,37.0,37.011,38700
2024-09-25,36.61,37.04,36.34,36.92,19500
2024-09-24,36.46,36.87,36.44,36.719,32400
2024-09-23,35.95,36.46,35.73,36.192,99300
2024-09-20,34.76,35.6,34.68,35.563,36100
2024-09-19,33.66,33.82,33.521,33.764,7800
