datetime,open,high,low,close,volume
2025-03-31,0.1844,0.2299,0.1844,0.2299,8
2025-03-28,0.2074,0.2074,0.2074,0.2074,188
2025-03-27,0.21,0.2241,0.1501,0.1603,2361
2025-03-26,0.177,0.24,0.177,0.24,2855
2025-03-25,0.1653,0.1717,0.1531,0.1531,322
2025-03-24,0.194,0.194,0.194,0.194,428
2025-03-21,0.1784,0.191,0.1784,0.191,2777
2025-03-20,0.187,0.192,0.15,0.1811,6170
2025-03-19,0.1832,0.1832,0.1832,0.1832,370
2025-03-18,0.1631,0.1832,0.144,0.1831,2564
2025-03-17,0.155,0.1793,0.1425,0.1606,19325
2025-03-13,0.19,0.19,0.1838,0.1838,2108
2025-03-12,0.1733,0.207,0.1417,0.1801,6062
2025-03-11,0.186,0.2101,0.1561,0.2101,11940
2025-03-10,0.21,0.2101,0.1551,0.2078,6542
2025-03-07,0.208,0.208,0.141,0.208,2449
2025-03-04,0.189,0.2189,0.189,0.2189,2007
2025-03-03,0.1935,0.1935,0.1935,0.1935,259
2025-02-28,0.1899,0.19,0.151,0.19,10445
2025-02-27,0.179,0.25,0.1698,0.19,16042
2025-02-26,0.1968,0.21,0.15,0.1883,57126
2025-02-25,0.24,0.2403,0.127,0.1399,17780
2025-02-24,0.23,0.33,0.2111,0.2244,172056
2025-02-21,0.16,0.2211,0.16,0.21,26519
2025-02-20,0.22,0.22,0.17,0.19,4096
2025-02-19,0.2235,0.2308,0.1611,0.1611,2344
2025-02-18,0.27,0.27,0.125,0.2055,21041
2025-02-14,0.257,0.257,0.25,0.25,1054
2025-02-13,0.18,0.3,0.18,0.231,64890
2025-02-12,0.203,0.203,0.203,0.203,332
2025-02-11,0.205,0.205,0.205,0.205,100
2025-02-10,0.2,0.2,0.2,0.2,25007
2025-02-06,0.15,0.194,0.15,0.194,10930
2025-02-05,0.1949,0.1949,0.1949,0.1949,290
2025-02-04,0.2,0.2,0.15,0.1999,355
2025-01-30,0.24,0.24,0.23,0.23,6
2025-01-29,0.22132,0.2882,0.22132,0.2882,310
2025-01-28,0.18,0.23,0.1221,0.23,10008
2025-01-24,0.17,0.17,0.17,0.17,300
2025-01-23,0.1731,0.1771,0.1611,0.177,1912
2025-01-22,0.142,0.142,0.1419,0.1419,6000
2025-01-21,0.1726,0.1726,0.122,0.122,200
2025-01-17,0.1175,0.1775,0.075,0.1775,4729
2025-01-16,0.1488,0.1775,0.1488,0.1775,740
2025-01-15,0.16,0.16,0.1408,0.1408,1327
2025-01-14,0.23,0.23,0.11,0.1399,33920
2025-01-13,0.3,0.3,0.1521,0.1521,8580
2025-01-10,0.23,0.3499,0.23,0.3299,12626
2025-01-08,0.223,0.223,0.1999,0.2,824
2025-01-07,0.288,0.288,0.175,0.203,34480
2025-01-06,0.106,0.354,0.075,0.192,179141
2025-01-03,0.108,0.108,0.0701,0.108,2248
2025-01-02,0.1102,0.1102,0.067,0.1101,2570
2024-12-31,0.0999,0.1,0.086,0.086,7323
2024-12-30,0.071,0.1,0.07,0.099,33588
