datetime,open,high,low,close,volume
2025-04-01,57.93,58.2,56.51,57.15,5132300
2025-03-31,56.75,58.27,56.75,58.01,8202100
2025-03-28,56.41,56.74,55.98,56.61,3504300
2025-03-27,56.47,56.93,56.1,56.16,4490600
2025-03-26,55.8,56.72,55.72,56.56,4472400
2025-03-25,56.33,56.45,55.51,55.65,6720600
2025-03-24,55.9,56.46,55.75,56.28,4699400
2025-03-21,56.27,56.33,55.57,55.8,10839500
2025-03-20,56.62,56.66,56.1,56.46,5079400
2025-03-19,56.96,57.03,56.28,56.44,6039800
2025-03-18,56.99,57.18,56.61,56.96,3708700
2025-03-17,56.95,57.37,56.81,56.98,3837200
2025-03-14,55.97,56.82,55.86,56.69,6367700
2025-03-13,56.5,57.45,55.8,55.86,5824100
2025-03-12,56.5,56.72,55.88,56.37,7062100
2025-03-11,58.5,58.77,56.23,56.71,7482500
2025-03-10,58.75,60.39,58.22,58.49,7584000
2025-03-07,57.47,59.02,57.43,58.48,6256800
2025-03-06,57.86,58.27,56.73,57.33,7126600
2025-03-05,57.34,58.26,57.09,58.11,5369000
2025-03-04,57.7,58.53,57.7,57.76,8280700
2025-03-03,56.68,57.64,56.63,57.55,5859800
2025-02-28,56.84,57.25,56.66,57.03,7520400
2025-02-27,56.07,56.83,56.05,56.57,5082100
2025-02-26,56.16,56.91,55.9,56.1,6078300
2025-02-25,55.69,56.46,54.13,56.24,9778000
2025-02-24,56.74,57.56,56.66,57.31,5309300
2025-02-21,56.72,57.33,56.63,57.09,7387200
2025-02-20,55.67,56.7,55.67,56.52,5226100
2025-02-19,55.05,55.88,55.0,55.67,4123500
2025-02-18,54.35,55.24,54.23,55.23,3811500
2025-02-14,55.08,55.43,54.47,54.49,3721300
2025-02-13,54.12,55.0,53.93,54.92,4129700
2025-02-12,53.66,54.15,53.3,54.07,4310000
2025-02-11,53.99,54.58,53.8,54.38,3893200
2025-02-10,54.05,54.37,53.59,53.96,3831200
2025-02-07,54.18,54.35,53.87,54.12,4544100
2025-02-06,54.62,54.7,54.02,54.29,4367300
2025-02-05,54.59,54.73,54.05,54.43,4581700
2025-02-04,54.29,54.44,53.85,54.03,3700800
2025-02-03,53.9,54.75,53.61,54.49,4324200
2025-01-31,54.09,55.08,54.03,54.64,6777500
2025-01-30,54.7,54.84,53.78,54.32,4277800
2025-01-29,55.09,55.17,53.89,54.06,3510700
2025-01-28,55.63,55.92,54.89,54.98,3694700
2025-01-27,55.1,56.15,54.91,56.0,6102700
2025-01-24,54.05,54.57,53.89,54.34,3359200
2025-01-23,54.08,54.24,53.53,54.13,3785600
2025-01-22,54.86,54.95,53.93,53.96,4950000
2025-01-21,54.73,55.49,54.66,55.26,5732400
2025-01-17,54.65,55.11,54.46,54.62,5345400
2025-01-16,53.19,54.63,53.1,54.58,4332000
2025-01-15,54.38,54.4,53.04,53.17,4978000
2025-01-14,52.54,53.36,52.45,53.15,4294600
2025-01-13,51.75,52.53,51.6,52.47,5172700
2025-01-10,52.01,52.24,51.64,51.67,5852100
2025-01-08,52.54,52.54,51.95,52.51,4727800
2025-01-07,52.85,53.58,52.41,52.51,4908500
2025-01-06,53.21,53.28,52.47,52.73,6850000
2025-01-03,52.64,53.31,52.54,53.28,4074200
2025-01-02,53.26,53.35,52.4,52.6,4991100
2024-12-31,52.96,53.48,52.87,53.41,5643300
2024-12-30,52.56,52.86,52.2,52.73,5695300
2024-12-27,52.93,53.48,52.47,52.66,5373900
2024-12-26,53.11,53.39,52.89,53.07,7385900
2024-12-24,52.88,53.24,52.67,53.24,2585000
2024-12-23,52.7,53.07,52.44,53.0,5474900
2024-12-20,52.0,53.56,52.0,52.79,14467200
2024-12-19,53.17,53.51,51.74,51.76,7959000
2024-12-18,54.3,54.82,52.78,52.81,7659400
2024-12-17,54.41,55.15,54.14,54.52,4951700
2024-12-16,55.0,55.47,54.52,54.58,5671600
2024-12-13,55.0,55.51,54.77,55.34,3899100
2024-12-12,55.17,55.88,55.06,55.14,3885200
2024-12-11,55.67,55.98,55.17,55.32,6634600
2024-12-10,56.25,56.32,55.69,55.78,5089600
2024-12-09,56.1,56.68,55.77,56.48,3946800
2024-12-06,56.06,56.36,55.95,56.17,3112200
2024-12-05,55.97,56.17,55.68,56.06,3790600
2024-12-04,56.35,56.57,55.94,56.17,4011300
2024-12-03,56.9,56.94,56.0,56.03,4856200
2024-12-02,57.57,57.67,56.41,56.69,5053000
2024-11-29,58.5,58.65,57.79,57.89,3486200
2024-11-27,58.14,58.79,58.13,58.32,3016100
2024-11-26,57.39,57.84,57.08,57.75,3038900
2024-11-25,57.5,57.72,57.17,57.45,6793300
2024-11-22,57.65,57.88,57.3,57.45,3277800
2024-11-21,56.72,57.51,56.56,57.39,2953100
2024-11-20,56.92,57.27,56.63,56.88,4131300
2024-11-19,56.72,57.33,56.32,57.18,3365100
2024-11-18,56.14,56.89,55.97,56.77,4209600
2024-11-15,56.08,56.62,55.95,56.54,7984900
2024-11-14,56.84,56.84,55.88,56.07,5115100
2024-11-13,57.45,57.59,56.62,56.9,3792000
2024-11-12,57.4,57.65,56.98,57.02,3675500
2024-11-11,57.52,58.65,57.48,57.65,5228100
2024-11-08,56.8,57.71,56.7,57.51,5576600
2024-11-07,57.27,57.33,56.26,56.38,7303100
2024-11-06,58.24,58.24,56.0,57.0,11418200
2024-11-05,59.0,59.01,57.92,58.82,5515400
2024-11-04,58.99,60.05,58.91,59.29,4691600
2024-11-01,59.41,59.83,58.82,58.88,4615700
2024-10-31,60.25,60.4,59.32,59.37,9170600
2024-10-30,60.52,61.0,60.3,60.48,4564700
2024-10-29,61.11,61.34,60.4,60.41,5174300
