datetime,open,high,low,close,volume
2025-04-01,7.0,7.0,6.24,6.468,3600
2025-03-31,6.31,7.02,6.31,7.02,20800
2025-03-28,6.5,6.8,6.151,6.8,11500
2025-03-27,6.5,6.97,6.325,6.5,31400
2025-03-26,6.5,6.8,6.4,6.5,17100
2025-03-25,6.5,6.5,6.36,6.5,8300
2025-03-24,6.5,6.5,6.4,6.5,15800
2025-03-21,6.0,6.5,6.0,6.5,7200
2025-03-20,6.98,6.98,6.06,6.49,22600
2025-03-19,6.18,6.3,6.117,6.117,3000
2025-03-18,6.42,6.42,6.3,6.31,6900
2025-03-17,6.7,6.75,6.033,6.31,10900
2025-03-14,6.635,6.77,6.59,6.77,16100
2025-03-13,6.15,6.45,6.15,6.45,3400
2025-03-12,6.49,6.69,6.024,6.47,44900
2025-03-11,6.42,6.55,6.3,6.5,26500
2025-03-10,6.7,6.7,6.04,6.14,36000
2025-03-07,5.95,6.7,5.92,6.7,34700
2025-03-06,6.0,6.25,5.8,5.89,72600
2025-03-05,6.0,6.12,5.8,6.0,16700
2025-03-04,6.15,6.171,6.15,6.171,800
2025-03-03,6.54,6.57,6.089,6.46,4900
2025-02-28,6.48,6.6,6.01,6.6,31500
2025-02-27,6.33,6.49,6.02,6.49,19700
2025-02-26,6.2,6.505,5.99,6.09,30600
2025-02-25,6.38,6.48,6.115,6.16,25700
2025-02-24,6.59,6.59,6.05,6.45,15200
2025-02-21,6.59,6.59,6.26,6.56,19300
2025-02-20,6.31,6.72,6.184,6.56,37200
2025-02-19,6.54,6.54,6.082,6.5,31200
2025-02-18,5.8,6.6,5.8,6.405,66400
2025-02-14,5.72,5.875,5.51,5.72,47600
2025-02-13,6.27,6.39,5.68,5.72,72700
2025-02-12,6.5,6.5,6.05,6.19,77100
2025-02-11,6.5,7.46,6.25,6.5,481600
2025-02-10,9.0,9.0,8.72,9.0,4400
2025-02-07,9.6,9.6,9.375,9.5,2000
2025-02-06,10.0,10.8,10.0,10.0,7200
2025-02-05,9.5,9.8,9.5,9.8,2800
2025-02-04,9.4,9.5,9.25,9.5,4300
2025-02-03,8.6,8.8,8.55,8.8,1500
2025-01-31,9.4,9.4,8.428,8.45,300
2025-01-30,8.4,8.4,8.4,8.4,300
2025-01-29,8.45,8.45,8.363,8.4,1100
2025-01-28,8.45,8.45,8.45,8.45,0
2025-01-27,8.45,8.45,8.45,8.45,0
2025-01-24,8.45,8.45,8.45,8.45,1500
2025-01-23,8.5,8.5,8.5,8.5,500
2025-01-22,8.5,8.5,8.0,8.0,700
2025-01-21,8.8,8.8,8.8,8.8,200
2025-01-17,8.45,8.45,8.45,8.45,100
2025-01-16,8.5,8.8,8.5,8.8,800
2025-01-15,7.728,7.728,7.728,7.728,100
2025-01-14,8.48,8.48,8.48,8.48,100
2025-01-13,8.414,9.5,8.414,9.5,600
2025-01-10,8.5,8.5,8.5,8.5,1200
2025-01-08,9.47,9.5,8.5,8.5,4500
2025-01-07,9.49,9.49,9.49,9.49,0
2025-01-06,8.7,9.49,8.7,9.49,2500
2025-01-03,8.15,8.95,8.15,8.95,300
2025-01-02,8.108,8.108,8.1,8.1,1300
2024-12-31,7.9,8.0,7.9,8.0,2200
2024-12-30,7.9,7.9,7.9,7.9,0
2024-12-27,7.9,7.9,7.9,7.9,0
2024-12-26,7.9,7.9,7.9,7.9,200
2024-12-24,8.0,8.0,8.0,8.0,0
2024-12-23,7.5,8.0,7.5,8.0,600
2024-12-20,8.0,8.0,8.0,8.0,0
2024-12-19,8.0,8.0,8.0,8.0,0
2024-12-18,8.0,8.0,8.0,8.0,0
2024-12-17,8.0,8.0,8.0,8.0,0
2024-12-16,8.0,8.0,8.0,8.0,0
2024-12-13,8.0,8.0,8.0,8.0,0
2024-12-12,8.0,8.0,8.0,8.0,0
2024-12-11,8.0,8.0,8.0,8.0,0
2024-12-10,8.0,8.0,8.0,8.0,0
2024-12-09,8.0,8.0,8.0,8.0,0
2024-12-06,8.0,8.0,8.0,8.0,0
2024-12-05,8.0,8.0,8.0,8.0,2000
2024-12-04,6.8,8.0,6.73,8.0,7800
2024-12-03,6.5,6.5,6.5,6.5,0
2024-12-02,6.605,6.605,6.5,6.5,3100
2024-11-29,6.15,6.15,6.15,6.15,100
2024-11-27,6.113,6.113,6.113,6.113,0
2024-11-26,6.113,6.113,6.113,6.113,0
2024-11-25,6.113,6.113,6.113,6.113,0
2024-11-22,6.113,6.113,6.113,6.113,0
2024-11-21,6.113,6.113,6.113,6.113,0
2024-11-20,6.45,6.45,6.113,6.113,300
2024-11-19,6.0,6.45,6.0,6.0,5600
2024-11-18,5.99,5.99,5.99,5.99,0
2024-11-15,5.99,5.99,5.99,5.99,0
2024-11-14,5.99,5.99,5.99,5.99,0
2024-11-13,5.99,5.99,5.99,5.99,50
2024-11-12,5.99,5.99,5.99,5.99,0
