datetime,open,high,low,close,volume
2025-04-01,27.3,27.48,26.97,27.21,924234
2025-03-31,27.35,27.52,26.96,27.27,1661813
2025-03-28,27.2,27.39,26.868,27.3,861979
2025-03-27,27.18,27.34,26.935,27.08,747512
2025-03-26,27.02,27.305,26.89,27.12,814817
2025-03-25,27.25,27.39,26.86,27.07,729646
2025-03-24,26.92,27.42,26.86,27.21,931246
2025-03-21,26.9,26.99,26.58,26.75,1448081
2025-03-20,26.93,27.217,26.84,27.08,826578
2025-03-19,27.03,27.21,26.68,27.06,909593
2025-03-18,26.91,27.16,26.85,27.02,1141318
2025-03-17,27.0,27.32,27.0,27.05,1097109
2025-03-14,26.42,26.855,26.27,26.79,1257502
2025-03-13,26.78,27.095,26.255,26.27,1375498
2025-03-12,26.81,27.22,26.79,26.92,1585558
2025-03-11,27.17,27.275,26.495,26.75,1489926
2025-03-10,27.23,27.64,27.02,27.13,1543277
