datetime,open,high,low,close,volume
2025-04-01,24.9,25.1,24.9,24.96,4800
2025-03-31,24.93,25.1,24.9,24.91,21700
2025-03-28,24.91,24.95,24.78,24.78,3800
2025-03-27,24.92,24.951,24.773,24.87,4700
2025-03-26,25.06,25.1,24.84,24.87,5100
2025-03-25,24.99,25.115,24.95,25.06,4900
2025-03-24,25.0,25.1,24.99,25.07,3600
2025-03-21,24.99,25.1,24.95,25.1,3400
2025-03-20,25.04,25.05,25.0,25.01,4600
2025-03-19,24.98,25.14,24.95,25.1,5100
2025-03-18,24.96,25.15,24.95,25.06,2000
2025-03-17,24.92,25.15,24.92,25.112,3900
2025-03-14,25.13,25.2,25.13,25.2,1800
2025-03-13,25.13,25.14,25.018,25.13,1500
2025-03-12,24.995,24.995,24.995,24.995,1500
2025-03-11,24.96,25.027,24.78,24.95,4200
2025-03-10,24.92,25.1,24.92,24.95,5300
2025-03-07,25.05,25.13,25.05,25.1,6700
2025-03-06,25.08,25.08,24.835,25.051,6500
2025-03-05,24.95,25.04,24.81,25.04,11400
2025-03-04,25.137,25.14,25.03,25.03,2300
2025-03-03,25.13,25.171,25.0,25.08,7600
2025-02-28,25.153,25.16,25.14,25.15,4200
2025-02-27,25.18,25.18,25.087,25.087,3400
2025-02-26,25.06,25.19,25.0,25.1,10000
2025-02-25,25.182,25.2,24.97,24.97,3500
2025-02-24,25.2,25.2,25.0,25.04,4600
2025-02-21,25.18,25.18,25.0,25.125,5700
2025-02-20,25.05,25.2,25.002,25.2,2500
2025-02-19,25.1,25.2,24.97,25.2,5500
2025-02-18,25.18,25.18,24.97,24.97,5200
2025-02-14,25.21,25.212,25.12,25.212,1600
2025-02-13,25.07,25.14,25.03,25.13,4600
2025-02-12,24.95,25.138,24.95,25.02,2500
2025-02-11,25.0,25.14,25.0,25.075,8000
2025-02-10,25.05,25.14,25.05,25.08,2300
2025-02-07,24.99,25.14,24.99,25.109,9000
2025-02-06,25.02,25.02,24.96,24.99,11000
2025-02-05,24.775,25.07,24.775,25.07,10600
2025-02-04,25.2,25.29,25.103,25.16,1900
2025-02-03,25.18,25.24,25.1,25.17,4500
2025-01-31,25.16,25.235,25.05,25.05,4200
2025-01-30,25.198,25.22,25.04,25.22,2500
2025-01-29,25.04,25.1,25.0,25.1,11400
2025-01-28,25.12,25.2,25.12,25.2,1600
2025-01-27,25.09,25.17,25.0,25.15,9700
2025-01-24,25.07,25.258,25.07,25.16,3500
2025-01-23,25.24,25.24,25.24,25.24,0
2025-01-22,25.2,25.24,25.05,25.24,2000
2025-01-21,25.15,25.24,25.04,25.2,4500
2025-01-17,25.13,25.19,25.027,25.15,1900
2025-01-16,25.133,25.21,25.04,25.06,4400
2025-01-15,24.95,25.187,24.95,25.11,3300
2025-01-14,24.76,25.03,24.76,25.03,1400
2025-01-13,24.871,25.09,24.76,24.95,12600
2025-01-10,25.09,25.09,24.75,24.9,9300
2025-01-08,25.02,25.19,24.783,25.0,7700
2025-01-07,25.05,25.15,24.9,25.01,8400
2025-01-06,25.01,25.123,25.0,25.1,5600
2025-01-03,25.0,25.15,24.81,25.0,14900
2025-01-02,24.9,25.074,24.85,24.97,7900
2024-12-31,25.33,25.43,24.71,24.71,50300
2024-12-30,25.0,25.61,25.0,25.61,9600
2024-12-27,25.27,25.27,24.9,25.0,5500
2024-12-26,25.16,25.16,25.0,25.065,5900
2024-12-24,25.1,25.1,25.1,25.1,600
2024-12-23,25.1,25.146,25.1,25.1,1600
2024-12-20,25.127,25.127,25.126,25.126,300
2024-12-19,25.1,25.15,25.07,25.07,4400
2024-12-18,25.1,25.3,25.06,25.07,2100
2024-12-17,25.05,25.25,25.05,25.14,5000
2024-12-16,25.1,25.291,25.09,25.15,8200
2024-12-13,25.1,25.1,25.05,25.05,4500
2024-12-12,25.05,25.15,25.05,25.07,8500
2024-12-11,25.231,25.231,25.05,25.05,2100
2024-12-10,25.075,25.15,25.06,25.06,1800
2024-12-09,25.04,25.16,25.04,25.1,2400
2024-12-06,25.277,25.3,25.175,25.175,2300
2024-12-05,25.141,25.388,25.0,25.03,11200
2024-12-04,25.34,25.34,25.318,25.318,900
2024-12-03,25.41,25.49,25.315,25.315,2100
2024-12-02,25.6,25.6,25.45,25.45,1700
2024-11-29,25.6,25.6,25.6,25.6,1700
2024-11-27,25.29,25.29,25.29,25.29,300
2024-11-26,25.22,25.22,25.115,25.115,1000
2024-11-25,25.36,25.615,25.36,25.615,1500
2024-11-22,25.375,25.375,25.16,25.18,1400
2024-11-21,24.98,25.44,24.98,25.44,5700
2024-11-20,25.1,25.132,24.9,24.94,7100
2024-11-19,25.15,25.25,25.07,25.205,2300
2024-11-18,25.34,25.42,25.32,25.42,1400
2024-11-15,25.05,25.05,25.05,25.05,1000
2024-11-14,25.042,25.29,25.042,25.29,3900
2024-11-13,25.16,25.25,24.904,25.01,7200
2024-11-12,25.23,25.23,25.23,25.23,300
2024-11-11,25.63,25.63,25.21,25.25,700
2024-11-08,25.292,25.36,25.292,25.36,3500
2024-11-07,25.29,25.29,25.28,25.28,500
2024-11-06,25.1,25.26,25.1,25.16,7200
2024-11-05,25.24,25.24,24.982,25.06,2400
2024-11-04,25.31,25.429,25.31,25.39,3300
2024-11-01,25.29,25.53,25.29,25.32,6500
2024-10-31,25.4,25.48,25.32,25.48,5300
2024-10-30,25.56,25.58,25.56,25.58,500
2024-10-29,25.32,25.427,25.232,25.35,4600
2024-10-28,25.31,25.449,25.22,25.34,2900
2024-10-25,25.29,25.55,25.26,25.35,6700
2024-10-24,25.538,25.538,25.34,25.38,5200
