datetime,open,high,low,close,volume
2025-04-01,11.9,11.95,11.66,11.86,47200
2025-03-31,11.86,12.07,11.77,12.02,35300
2025-03-28,12.0,12.0,11.81,11.95,47900
2025-03-27,12.07,12.16,12.01,12.14,42100
2025-03-26,12.13,12.27,12.1,12.15,33300
2025-03-25,12.4,12.47,12.17,12.18,46100
2025-03-24,12.25,12.54,12.2,12.52,61400
2025-03-21,12.3,12.33,12.18,12.21,34500
2025-03-20,12.53,12.74,12.3,12.47,46700
2025-03-19,12.5,12.71,12.35,12.65,35900
2025-03-18,12.38,12.55,12.3,12.46,32300
2025-03-17,12.34,12.69,12.34,12.51,13500
2025-03-14,12.45,12.66,12.3,12.44,30000
2025-03-13,12.47,12.62,12.3,12.42,46400
2025-03-12,11.8,12.67,11.75,12.67,52500
2025-03-11,11.93,12.05,11.8,11.82,25500
2025-03-10,12.02,12.39,11.96,11.99,38200
2025-03-07,12.49,12.49,12.1,12.23,20500
2025-03-06,12.17,12.51,12.04,12.49,20100
2025-03-05,12.52,12.62,12.19,12.36,19400
2025-03-04,12.85,13.01,12.28,12.68,36100
2025-03-03,13.2,13.43,13.03,13.03,21200
2025-02-28,13.35,13.47,12.7,13.2,55000
2025-02-27,13.01,13.39,13.01,13.39,23900
2025-02-26,13.4,13.44,12.59,12.98,53300
2025-02-25,13.21,13.51,13.1,13.34,28400
2025-02-24,13.64,13.81,13.21,13.21,47100
2025-02-21,13.9,14.04,13.55,13.6,19100
2025-02-20,14.04,14.12,13.77,13.92,27400
2025-02-19,14.27,14.58,13.98,13.99,25800
2025-02-18,14.41,14.44,13.97,14.3,24300
2025-02-14,14.45,14.55,13.95,14.42,18600
2025-02-13,14.11,14.51,14.08,14.45,18000
2025-02-12,14.25,14.48,14.01,14.13,21000
2025-02-11,14.39,14.63,14.28,14.49,13600
2025-02-10,14.7,14.7,13.79,14.39,61900
2025-02-07,14.78,14.91,14.45,14.7,26800
2025-02-06,14.71,15.03,14.64,14.89,21500
2025-02-05,14.59,14.83,14.3,14.8,36600
2025-02-04,13.82,14.58,13.7,14.53,53900
