datetime,open,high,low,close,volume
2025-04-01,3.41,3.41,3.41,3.41,0
2025-03-31,3.41,3.41,3.41,3.41,0
2025-03-28,3.41,3.41,3.41,3.41,0
2025-03-27,3.41,3.41,3.41,3.41,0
2025-03-26,3.41,3.41,3.41,3.41,0
2025-03-25,3.41,3.41,3.41,3.41,0
2025-03-24,3.41,3.41,3.41,3.41,0
2025-03-21,3.41,3.41,3.41,3.41,0
2025-03-20,3.41,3.41,3.41,3.41,0
2025-03-19,3.41,3.41,3.41,3.41,0
2025-03-18,3.41,3.41,3.41,3.41,0
2025-03-17,3.48,3.48,3.25,3.41,3000
2025-03-14,3.22,3.45,3.03,3.18,86400
2025-03-13,3.15,3.26,3.03,3.07,15500
2025-03-12,3.14,3.32,3.13,3.17,18400
2025-03-11,3.2,3.52,3.06,3.13,43600
2025-03-10,3.41,3.41,3.2,3.24,44200
2025-03-07,3.52,3.96,3.43,3.507,53200
2025-03-06,3.83,4.084,3.52,3.52,37700
2025-03-05,4.18,4.18,3.74,3.98,54500
2025-03-04,5.11,5.17,3.35,3.55,139700
2025-03-03,4.46,5.54,4.46,5.11,120800
2025-02-28,4.71,4.71,4.28,4.48,47300
2025-02-27,4.71,5.17,4.525,4.6,20900
2025-02-26,4.85,4.85,4.6,4.62,8500
2025-02-25,4.77,5.04,4.59,4.71,29600
2025-02-24,4.98,5.04,4.838,4.9,4700
2025-02-21,5.08,5.264,5.005,5.02,11800
2025-02-20,4.91,4.99,4.89,4.99,23000
2025-02-19,5.02,5.325,4.77,4.847,33600
2025-02-18,5.06,5.354,4.87,5.04,48300
2025-02-14,5.4,5.46,5.2,5.21,13200
2025-02-13,5.12,5.22,5.08,5.16,16600
2025-02-12,5.21,5.223,5.083,5.13,3400
2025-02-11,5.39,5.51,5.215,5.33,39000
2025-02-10,5.66,5.66,5.38,5.54,77900
2025-02-07,5.92,6.02,5.685,5.73,60500
2025-02-06,5.942,6.3,5.85,5.92,61300
2025-02-05,5.44,5.75,5.44,5.71,36100
2025-02-04,5.4,5.615,5.3,5.33,5300
2025-02-03,5.63,5.63,5.03,5.14,14100
2025-01-31,5.68,5.9,5.5,5.56,28700
2025-01-30,5.1,5.51,5.01,5.49,20000
2025-01-29,4.92,5.25,4.92,5.07,13900
2025-01-28,4.98,5.06,4.9,5.0,78400
2025-01-27,4.98,5.2,4.62,4.77,99800
2025-01-24,4.81,4.98,4.655,4.89,116300
2025-01-23,4.8,4.8,4.55,4.6,51800
2025-01-22,4.35,4.61,4.35,4.41,59800
2025-01-21,3.96,4.41,3.96,4.41,31800
2025-01-17,3.89,4.04,3.855,3.895,16600
2025-01-16,3.6,3.815,3.6,3.745,6800
2025-01-15,3.85,3.85,3.59,3.59,53000
2025-01-14,3.65,3.895,3.65,3.82,32200
2025-01-13,3.69,3.69,3.5,3.575,37200
2025-01-10,3.79,3.99,3.48,3.52,33700
2025-01-08,3.94,3.963,3.73,3.73,31200
2025-01-07,3.76,3.99,3.76,3.85,16400
2025-01-06,3.8,3.81,3.67,3.69,20600
2025-01-03,3.74,3.787,3.725,3.76,6900
2025-01-02,3.9,3.9,3.53,3.685,11800
2024-12-31,3.75,4.0,3.74,3.928,20600
2024-12-30,3.74,3.87,3.54,3.87,31700
2024-12-27,3.73,3.91,3.73,3.91,8900
2024-12-26,3.63,3.63,3.604,3.604,900
2024-12-24,3.54,3.63,3.54,3.63,3000
2024-12-23,3.35,3.609,3.35,3.609,7500
2024-12-20,3.23,3.53,3.23,3.34,15200
2024-12-19,3.23,3.32,3.148,3.23,5900
2024-12-18,3.37,3.386,3.16,3.16,4700
2024-12-17,3.3,3.352,3.154,3.265,4700
2024-12-16,3.16,3.35,3.16,3.34,14200
2024-12-13,3.26,3.27,3.143,3.25,7000
2024-12-12,3.35,3.49,3.23,3.3,11300
2024-12-11,3.6,3.6,3.398,3.49,8200
2024-12-10,3.61,3.644,3.59,3.607,3700
2024-12-09,3.68,3.68,3.61,3.65,8900
2024-12-06,3.64,3.78,3.577,3.71,16600
2024-12-05,3.68,3.716,3.591,3.65,2200
2024-12-04,3.73,3.73,3.575,3.61,14000
2024-12-03,3.73,3.86,3.655,3.77,10900
2024-12-02,3.85,3.85,3.58,3.714,15500
2024-11-29,3.31,3.69,3.31,3.69,23000
2024-11-27,3.34,3.34,3.31,3.33,7800
2024-11-26,3.19,3.31,3.168,3.27,56800
2024-11-25,3.2,3.2,3.14,3.165,11600
2024-11-22,3.09,3.225,3.09,3.16,4300
2024-11-21,3.32,3.32,3.1,3.13,14300
2024-11-20,3.32,3.37,3.26,3.28,19700
2024-11-19,3.36,3.36,3.22,3.26,10500
2024-11-18,3.38,3.42,3.23,3.26,12200
2024-11-15,3.26,3.315,3.14,3.24,33700
2024-11-14,3.83,3.83,3.29,3.38,225200
2024-11-13,4.18,4.18,3.703,3.74,57000
2024-11-12,4.149,4.167,4.085,4.126,20200
2024-11-11,4.26,4.3,4.115,4.205,30200
2024-11-08,4.12,4.183,4.015,4.11,30100
2024-11-07,4.16,4.268,4.04,4.04,23600
2024-11-06,4.17,4.3,4.15,4.176,12600
2024-11-05,4.22,4.238,4.19,4.19,4200
2024-11-04,4.34,4.41,4.21,4.21,4700
2024-11-01,4.45,4.45,4.27,4.34,10700
2024-10-31,4.48,4.48,4.21,4.36,27000
2024-10-30,4.55,4.6,4.35,4.357,21300
2024-10-29,4.51,4.6,4.44,4.58,14400
2024-10-28,4.44,4.57,4.3,4.48,37200
2024-10-25,4.19,4.285,4.12,4.17,111100
2024-10-24,4.57,4.57,4.13,4.201,64700
2024-10-23,4.49,4.54,4.417,4.54,5100
2024-10-22,4.84,4.84,4.2,4.46,32500
2024-10-21,5.06,5.123,4.924,4.98,14700
2024-10-18,5.075,5.15,4.98,4.99,5100
2024-10-17,5.08,5.23,4.972,5.029,16500
2024-10-16,4.97,5.15,4.938,5.08,24800
2024-10-15,4.95,4.95,4.855,4.91,11600
2024-10-14,5.38,5.45,4.7,4.9,40900
2024-10-11,4.75,5.25,4.75,5.13,68900
2024-10-10,4.72,4.78,4.58,4.7,21000
2024-10-09,4.69,4.76,4.592,4.709,26100
2024-10-08,4.74,4.78,4.547,4.624,39100
2024-10-07,4.6,4.71,4.48,4.71,51500
2024-10-04,4.52,4.59,4.48,4.48,36700
2024-10-03,4.7,4.73,4.33,4.46,41400
2024-10-02,4.91,4.91,4.531,4.6,57800
2024-10-01,4.15,4.72,4.08,4.625,132800
2024-09-30,3.87,4.16,3.87,4.07,47100
2024-09-27,4.07,4.14,3.59,3.97,46100
2024-09-26,4.16,4.3,4.0,4.0,34000
2024-09-25,3.89,4.22,3.89,4.118,18300
2024-09-24,4.06,4.06,3.82,3.89,19800
2024-09-23,4.12,4.16,3.89,3.9,63000
2024-09-20,3.95,4.05,3.835,3.969,36600
2024-09-19,3.69,3.86,3.67,3.86,18400
2024-09-18,3.58,3.69,3.45,3.502,26600
2024-09-17,3.32,3.414,3.32,3.414,6600
2024-09-16,3.3,3.486,3.22,3.325,20500
2024-09-13,3.12,3.27,3.12,3.15,4600
2024-09-12,3.15,3.15,3.1,3.15,5200
2024-09-11,3.09,3.13,3.03,3.1,9900
2024-09-10,3.19,3.19,2.971,3.06,14700
2024-09-09,2.96,3.149,2.95,3.14,26400
2024-09-06,3.1,3.1,2.84,2.89,15100
2024-09-05,2.89,3.017,2.88,2.98,12000
2024-09-04,2.87,3.036,2.87,2.89,10400
2024-09-03,3.13,3.14,2.84,2.91,8100
2024-08-30,3.105,3.13,3.019,3.086,7000
2024-08-29,3.1,3.2,3.02,3.03,6800
2024-08-28,2.94,2.997,2.94,2.96,2800
2024-08-27,2.937,2.96,2.932,2.94,2000
2024-08-26,2.86,2.98,2.86,2.97,2900
2024-08-23,2.95,2.95,2.79,2.87,7200
2024-08-22,2.93,2.98,2.855,2.94,11700
2024-08-21,2.765,2.85,2.75,2.85,14900
2024-08-20,2.69,2.72,2.62,2.62,12800
2024-08-19,2.65,2.75,2.61,2.74,25000
2024-08-16,2.52,2.69,2.51,2.57,16500
2024-08-15,2.36,2.48,2.36,2.42,10600
2024-08-14,2.29,2.45,2.27,2.31,11400
2024-08-13,2.299,2.299,2.21,2.22,9000
2024-08-12,2.3,2.3,2.211,2.245,13500
2024-08-09,2.22,2.3,2.16,2.275,24500
2024-08-08,2.24,2.24,2.119,2.22,14300
2024-08-07,2.28,2.28,2.125,2.16,21400
2024-08-06,2.25,2.33,2.045,2.21,17600
2024-08-05,2.15,2.15,2.065,2.08,14700
2024-08-02,2.27,2.325,2.15,2.25,19600
2024-08-01,2.27,2.379,2.2,2.226,8000
2024-07-31,2.23,2.32,2.16,2.27,16900
2024-07-30,2.178,2.24,2.17,2.22,16000
2024-07-29,2.23,2.25,2.18,2.25,19000
2024-07-26,2.15,2.273,2.15,2.24,14500
2024-07-25,2.25,2.25,2.14,2.2,10500
2024-07-24,2.15,2.26,2.15,2.26,3200
2024-07-23,2.1,2.15,2.02,2.12,23700
2024-07-22,2.14,2.258,2.06,2.09,16200
2024-07-19,2.14,2.158,2.1,2.12,9200
2024-07-18,2.075,2.175,2.07,2.07,15900
2024-07-17,2.13,2.16,2.06,2.07,24400
2024-07-16,2.16,2.205,2.05,2.13,18300
2024-07-15,2.03,2.189,2.03,2.09,9200
2024-07-12,2.046,2.066,2.005,2.01,21200
2024-07-11,2.08,2.08,1.98,1.98,9900
2024-07-10,1.96,2.01,1.92,1.976,7600
2024-07-09,1.9,1.992,1.9,1.99,6300
2024-07-08,1.95,1.97,1.9,1.96,5800
2024-07-05,1.896,1.93,1.89,1.89,7200
2024-07-03,1.88,1.91,1.85,1.89,11600
2024-07-02,1.86,1.98,1.86,1.906,26000
2024-07-01,1.973,2.03,1.89,1.901,29000
2024-06-28,1.99,1.99,1.89,1.93,6700
2024-06-27,1.89,2.0,1.79,1.86,36000
2024-06-26,1.97,2.27,1.84,1.88,66700
2024-06-25,1.93,1.96,1.93,1.93,25900
2024-06-24,2.03,2.03,1.9,1.93,15800
2024-06-21,2.03,2.03,2.0,2.0,6600
2024-06-20,1.929,2.1,1.92,2.04,61900
2024-06-18,1.9,1.93,1.86,1.87,22600
2024-06-17,1.97,2.068,1.815,1.89,24800
2024-06-14,2.54,2.82,1.95,1.955,95900
2024-06-13,2.5,2.5,2.5,2.5,0
2024-06-12,2.5,2.5,2.5,2.5,0
2024-06-11,2.5,2.5,2.5,2.5,0
2024-06-10,2.5,2.5,2.5,2.5,0
2024-06-07,2.5,2.5,2.5,2.5,0
2024-06-06,2.57,2.62,2.5,2.5,11700
2024-06-05,2.75,2.84,2.58,2.58,19600
2024-06-04,2.72,2.72,2.46,2.52,30800
2024-06-03,2.86,2.86,2.54,2.66,20900
2024-05-31,2.7,2.945,2.7,2.84,16500
2024-05-30,2.97,3.0,2.675,2.83,20000
2024-05-29,3.15,3.15,3.0,3.0,33600
2024-05-28,3.25,3.28,3.05,3.135,28300
2024-05-24,3.25,3.33,3.19,3.2,15200
2024-05-23,3.269,3.334,3.175,3.22,42800
2024-05-22,3.31,3.38,3.254,3.27,22200
2024-05-21,3.4,3.439,3.315,3.39,12600
2024-05-20,3.35,3.46,3.3,3.46,9400
2024-05-17,3.43,3.49,3.38,3.41,7800
2024-05-16,3.56,3.58,3.38,3.58,39700
2024-05-15,3.61,3.629,3.51,3.58,24600
2024-05-14,3.7,3.7,3.6,3.61,35700
2024-05-13,3.68,3.76,3.65,3.67,26800
2024-05-10,3.8,3.9,3.5,3.62,105600
2024-05-09,3.3,4.05,3.3,3.8,222600
2024-05-08,3.24,3.3,3.2,3.29,23400
2024-05-07,3.43,3.45,3.335,3.335,27000
2024-05-06,3.41,3.559,3.23,3.443,43000
2024-05-03,3.39,3.57,3.38,3.418,19700
2024-05-02,3.319,3.345,3.292,3.32,1900
2024-05-01,3.39,3.39,3.285,3.285,1400
2024-04-30,3.31,3.46,3.28,3.34,13200
2024-04-29,3.59,3.59,3.27,3.27,4800
2024-04-26,3.5,3.5,3.4,3.4,2900
2024-04-25,3.426,3.65,3.426,3.63,5900
2024-04-24,3.42,3.743,3.42,3.43,8200
2024-04-23,3.49,3.49,3.36,3.36,2000
2024-04-22,3.395,3.4,3.35,3.38,8700
2024-04-19,3.35,3.405,3.2,3.3,3700
2024-04-18,3.4,3.44,3.39,3.4,2700
2024-04-17,3.52,3.55,3.38,3.4,1500
2024-04-16,3.51,3.55,3.5,3.54,1500
2024-04-15,3.75,3.75,3.53,3.56,4200
2024-04-12,3.95,3.95,3.75,3.8,8800
2024-04-11,3.88,3.97,3.85,3.9,11500
2024-04-10,3.99,4.094,3.84,3.91,21000
2024-04-09,3.92,4.06,3.92,4.05,2600
2024-04-08,4.14,4.14,3.75,3.75,18200
2024-04-05,4.07,4.07,3.95,4.0,4900
2024-04-04,4.09,4.09,3.875,3.9,9000
2024-04-03,4.09,4.29,3.95,3.95,20200
2024-04-02,4.03,4.12,3.75,3.95,23800
