datetime,open,high,low,close,volume
2025-04-01,1.25,1.3,1.25,1.25,27500
2025-03-31,1.3,1.3,1.2,1.21,93700
2025-03-28,1.51,1.516,1.33,1.35,81000
2025-03-27,1.49,1.49,1.465,1.48,34200
2025-03-26,1.52,1.53,1.47,1.5,26300
2025-03-25,1.43,1.57,1.43,1.52,109600
2025-03-24,1.44,1.48,1.4,1.43,75900
2025-03-21,1.46,1.47,1.42,1.46,24400
2025-03-20,1.52,1.54,1.43,1.476,30500
2025-03-19,1.35,1.55,1.33,1.5,126800
2025-03-18,1.25,1.42,1.25,1.39,114200
2025-03-17,1.3,1.37,1.25,1.27,46200
2025-03-14,1.29,1.31,1.24,1.25,54600
2025-03-13,1.282,1.34,1.28,1.29,32800
2025-03-12,1.359,1.359,1.25,1.28,50300
2025-03-11,1.28,1.37,1.28,1.37,59600
2025-03-10,1.2,1.37,1.13,1.37,1283200
2025-03-07,1.29,1.32,1.25,1.28,25800
2025-03-06,1.27,1.348,1.27,1.32,31700
2025-03-05,1.28,1.4,1.23,1.28,133700
2025-03-04,1.07,1.46,1.07,1.25,123700
2025-03-03,1.33,1.33,1.05,1.11,143000
2025-02-28,1.313,1.36,1.26,1.33,70000
2025-02-27,1.42,1.49,1.3,1.31,69800
2025-02-26,1.39,1.43,1.37,1.39,37700
2025-02-25,1.45,1.5,1.37,1.41,60200
2025-02-24,1.57,1.585,1.46,1.46,103900
2025-02-21,1.63,1.64,1.56,1.6,84900
2025-02-20,1.61,1.65,1.51,1.58,81900
2025-02-19,1.64,1.72,1.62,1.63,58500
2025-02-18,1.62,1.73,1.62,1.69,77900
2025-02-14,1.79,1.85,1.74,1.75,66900
2025-02-13,1.73,1.79,1.66,1.73,119200
2025-02-12,1.74,1.78,1.74,1.74,44300
2025-02-11,1.73,1.828,1.73,1.76,52300
2025-02-10,1.93,1.93,1.745,1.78,95100
2025-02-07,1.98,1.98,1.85,1.9,54300
2025-02-06,1.95,2.0,1.9,1.93,39900
2025-02-05,1.95,1.999,1.92,1.95,51800
2025-02-04,2.05,2.05,1.963,2.0,47800
2025-02-03,2.17,2.17,1.96,2.03,110100
2025-01-31,2.19,2.244,2.1,2.12,111900
2025-01-30,2.14,2.26,1.98,2.25,153400
2025-01-29,2.25,2.4,2.0,2.14,221200
2025-01-28,2.06,2.4,1.96,2.32,238700
2025-01-27,2.04,2.06,1.85,1.96,122700
2025-01-24,2.13,2.3,2.02,2.1,179800
2025-01-23,1.82,2.26,1.771,2.15,494800
2025-01-22,1.75,1.88,1.61,1.79,281700
2025-01-21,1.95,1.99,1.76,1.78,183900
2025-01-17,2.03,2.13,1.83,1.92,329600
2025-01-16,2.1,2.2,1.93,2.04,267900
2025-01-15,2.3,2.428,1.99,2.05,301800
2025-01-14,2.07,2.29,2.02,2.21,163600
2025-01-13,2.41,2.465,2.06,2.08,271500
2025-01-10,2.44,2.7,2.31,2.64,228900
2025-01-08,2.7,2.7,2.18,2.42,343600
2025-01-07,2.9,2.95,2.77,2.84,250400
2025-01-06,3.3,3.389,2.78,2.81,496400
2025-01-03,2.65,3.17,2.52,3.09,585500
2025-01-02,2.8,3.085,2.48,2.68,589100
2024-12-31,3.39,3.47,2.375,2.52,774300
2024-12-30,3.35,3.64,3.05,3.37,848000
2024-12-27,3.7,4.51,3.035,3.34,3686500
2024-12-26,3.33,3.689,3.184,3.45,1719000
2024-12-24,3.08,3.78,3.03,3.38,1976500
2024-12-23,3.1,3.5,2.84,3.12,2264300
2024-12-20,1.86,4.49,1.86,3.5,38881100
2024-12-19,2.54,2.68,1.89,1.94,1519500
2024-12-18,3.11,3.11,2.2,2.54,4493000
2024-12-17,3.81,5.1,3.1,3.53,93203700
2024-12-16,0.99,2.12,0.975,1.78,15838800
2024-12-13,1.05,1.06,0.96,0.986,406800
2024-12-12,1.38,1.5,0.95,1.02,1955900
2024-12-11,0.93,1.64,0.91,1.33,9216200
2024-12-10,0.96,0.977,0.887,0.93,168500
2024-12-09,0.95,0.975,0.88,0.93,200500
2024-12-06,0.923,0.95,0.887,0.92,220500
2024-12-05,0.958,0.958,0.9,0.95,116000
2024-12-04,0.92,0.97,0.91,0.935,114400
2024-12-03,0.885,0.946,0.885,0.928,155700
2024-12-02,0.9,0.936,0.877,0.88,163800
2024-11-29,0.892,0.892,0.87,0.884,73800
2024-11-27,0.86,0.89,0.859,0.869,158000
2024-11-26,0.89,0.905,0.845,0.86,130100
2024-11-25,0.9,0.97,0.858,0.868,119500
2024-11-22,0.876,0.92,0.858,0.876,33600
