datetime,open,high,low,close,volume
2025-04-01,19.02,19.27,18.2,19.26,3661000
2025-03-31,18.72,19.48,18.55,19.09,2489400
2025-03-28,19.38,19.5,18.82,18.97,1441500
2025-03-27,19.15,19.43,18.84,19.34,1986400
2025-03-26,19.42,19.9,19.19,19.35,1948000
2025-03-25,19.98,20.01,19.2,19.2,3688100
2025-03-24,20.75,21.2,19.39,19.67,3609300
2025-03-21,21.73,21.8,20.72,20.76,4254100
2025-03-20,21.7,22.14,21.53,21.89,1558700
2025-03-19,21.81,22.35,21.5,21.98,2048900
2025-03-18,22.52,22.57,21.3,21.69,1975800
2025-03-17,21.11,22.41,20.92,22.3,2633800
2025-03-14,19.49,20.74,19.36,20.74,2917700
2025-03-13,20.05,20.66,19.32,19.67,2299800
2025-03-12,20.14,20.29,19.58,20.04,2327800
2025-03-11,20.85,20.98,19.68,20.14,2479200
2025-03-10,21.44,21.7,20.55,20.82,2237500
2025-03-07,21.15,22.1,21.05,21.22,2923800
2025-03-06,19.83,21.39,19.73,21.01,2984200
2025-03-05,20.2,20.41,18.97,20.06,4055600
2025-03-04,19.9,20.85,19.51,20.56,3236800
2025-03-03,21.43,21.5,19.95,20.16,4659600
2025-02-28,21.31,21.46,20.81,21.43,3355100
2025-02-27,21.76,22.02,21.23,21.44,3652000
2025-02-26,22.88,23.02,21.65,21.87,2957400
2025-02-25,23.1,23.3,22.48,22.88,2558800
2025-02-24,23.37,23.71,23.0,23.13,2234500
2025-02-21,23.95,24.91,22.81,23.2,3332800
2025-02-20,24.3,24.37,23.59,23.83,3909900
2025-02-19,23.86,24.49,23.49,24.38,3047400
2025-02-18,23.16,24.25,22.85,23.93,2774000
2025-02-14,23.21,23.6,22.54,23.2,3107500
2025-02-13,25.42,25.91,22.03,23.21,7219200
2025-02-12,28.45,28.56,26.61,26.61,2534000
2025-02-11,29.02,29.56,28.5,28.73,1203900
2025-02-10,28.24,29.55,28.17,28.69,1738100
2025-02-07,28.29,28.47,27.8,27.82,1706500
2025-02-06,30.02,30.04,27.87,28.1,1991300
2025-02-05,30.25,30.39,29.45,29.7,1826200
2025-02-04,28.02,30.35,27.76,30.35,2734900
2025-02-03,28.65,28.83,27.37,27.72,3149100
2025-01-31,30.07,30.07,28.99,29.26,1749100
2025-01-30,30.98,31.08,29.62,30.13,1673700
2025-01-29,29.56,30.58,29.4,30.45,1668400
2025-01-28,30.15,30.44,29.12,29.61,1143000
2025-01-27,30.27,31.48,29.81,30.13,2216400
2025-01-24,30.39,30.74,29.66,29.92,1273100
2025-01-23,29.7,30.69,29.6,30.45,1917700
2025-01-22,30.44,30.44,29.24,29.33,1659400
2025-01-21,30.99,30.99,30.0,30.79,1628500
2025-01-17,30.47,31.37,30.1,31.01,2528900
2025-01-16,31.01,31.33,30.37,30.48,2149900
2025-01-15,30.39,31.67,30.04,31.31,3259700
2025-01-14,29.07,29.77,28.54,29.73,2519300
2025-01-13,28.16,30.32,28.07,29.42,3625000
2025-01-10,27.19,28.72,27.19,27.98,2784000
2025-01-08,26.65,27.2,26.25,27.05,1935800
2025-01-07,26.7,27.13,26.34,26.87,1640600
2025-01-06,27.21,27.74,26.61,26.68,1783700
2025-01-03,26.77,27.2,26.35,27.16,1933000
2025-01-02,26.8,27.2,26.48,26.77,1624600
2024-12-31,25.76,26.83,25.76,26.55,1799300
2024-12-30,25.43,26.14,25.1,25.57,2421900
2024-12-27,25.6,26.11,25.2,25.4,1753600
2024-12-26,25.66,25.82,25.29,25.7,1583000
2024-12-24,25.29,25.98,25.17,25.66,777000
2024-12-23,25.28,25.46,24.75,25.4,2467000
2024-12-20,24.68,25.62,24.21,25.15,6487600
2024-12-19,26.84,27.06,25.43,25.46,2866400
2024-12-18,27.9,27.93,26.35,26.58,4353700
2024-12-17,27.63,28.0,27.27,27.92,2244200
2024-12-16,28.66,28.95,27.68,27.84,2387400
2024-12-13,29.52,29.9,29.05,29.26,1432300
2024-12-12,30.52,30.55,29.33,29.72,2097100
2024-12-11,30.44,31.1,30.0,30.71,1651300
2024-12-10,30.48,31.26,30.21,30.42,1410600
2024-12-09,30.48,31.42,30.35,30.5,1764800
2024-12-06,31.02,31.02,29.86,30.22,1481900
2024-12-05,31.32,31.68,30.62,30.8,1430100
2024-12-04,31.9,31.9,30.61,31.3,1878600
2024-12-03,32.92,33.14,31.8,31.88,1743400
2024-12-02,31.39,32.76,30.84,32.7,2345100
2024-11-29,31.79,31.79,30.89,31.49,1053000
2024-11-27,31.62,32.38,31.33,31.39,1764500
2024-11-26,31.63,31.93,31.32,31.57,1249900
2024-11-25,32.02,32.61,31.57,31.78,1656600
2024-11-22,32.09,32.7,31.81,31.99,931900
2024-11-21,31.94,32.72,31.45,32.15,1721600
2024-11-20,31.45,31.95,31.26,31.63,1745500
2024-11-19,31.05,32.12,31.01,31.55,2449000
2024-11-18,30.97,31.67,30.47,31.45,1810400
2024-11-15,31.5,31.87,30.71,30.72,1691200
2024-11-14,30.4,31.38,29.86,31.16,2035100
2024-11-13,30.11,30.51,29.4,30.34,1595900
2024-11-12,30.53,30.82,30.0,30.11,2411700
2024-11-11,31.0,31.0,29.95,30.82,2222500
2024-11-08,30.49,30.94,30.09,30.92,1741100
2024-11-07,30.87,30.87,29.97,30.58,2277500
2024-11-06,30.21,31.66,29.9,30.84,4953600
2024-11-05,28.88,29.06,28.22,28.84,2363700
2024-11-04,28.22,29.01,28.1,28.35,1766800
2024-11-01,28.75,28.96,27.94,28.08,2739900
2024-10-31,29.3,30.17,28.08,28.52,4230200
2024-10-30,29.32,29.39,28.75,28.83,3927900
2024-10-29,31.0,31.14,28.92,29.08,5148500
2024-10-28,31.63,31.91,31.36,31.6,1443600
2024-10-25,32.25,32.65,31.91,32.18,1267300
2024-10-24,32.22,32.33,31.47,31.85,2130700
2024-10-23,32.87,32.99,31.81,32.17,2030400
2024-10-22,32.92,33.38,32.43,33.07,1480100
