datetime,open,high,low,close,volume
2025-04-01,18.3,18.41,17.85,18.38,692400
2025-03-31,18.45,18.45,18.03,18.27,941200
2025-03-28,18.94,18.965,18.33,18.77,1148600
2025-03-27,19.32,19.43,18.97,19.02,838900
2025-03-26,19.66,19.68,19.15,19.36,854000
2025-03-25,19.46,19.7,19.38,19.6,1074300
2025-03-24,19.08,19.445,18.9,19.34,1120000
2025-03-21,18.61,19.15,18.55,18.89,1762700
2025-03-20,18.6,19.03,18.59,18.85,873400
2025-03-19,18.23,19.06,18.23,18.84,1548600
2025-03-18,17.94,18.62,17.65,18.51,1920500
2025-03-17,18.2,18.5,17.805,18.06,1815800
2025-03-14,16.52,18.45,16.51,18.38,4365800
2025-03-13,16.09,16.175,15.49,15.61,2152800
2025-03-12,16.62,16.69,16.22,16.25,1019200
2025-03-11,16.76,17.06,16.35,16.46,1363400
2025-03-10,17.27,17.53,16.865,16.89,1231300
2025-03-07,17.23,17.75,17.0,17.5,1914200
2025-03-06,17.43,17.68,17.125,17.27,970100
2025-03-05,17.45,17.8,17.19,17.69,978700
2025-03-04,17.07,17.64,17.03,17.5,1103800
2025-03-03,17.87,18.08,17.31,17.37,1214800
2025-02-28,17.48,17.8,17.31,17.72,942700
2025-02-27,17.85,18.12,17.47,17.54,1064000
2025-02-26,17.91,18.145,17.8,17.88,673000
2025-02-25,18.08,18.18,17.55,17.96,1466600
2025-02-24,18.18,18.188,17.64,18.03,795900
2025-02-21,18.5,18.5,17.95,18.11,1146900
2025-02-20,18.37,18.4,17.94,18.3,772900
2025-02-19,18.9,18.927,18.42,18.46,766600
2025-02-18,19.3,19.425,18.75,19.07,916300
2025-02-14,19.5,19.75,19.19,19.3,1047400
2025-02-13,19.47,19.53,19.04,19.5,580200
2025-02-12,18.52,19.41,18.5,19.26,1029700
2025-02-11,18.87,19.1,18.64,18.78,607700
2025-02-10,19.34,19.368,19.0,19.08,994000
2025-02-07,19.37,19.43,18.84,19.05,656600
2025-02-06,19.23,19.29,18.91,19.03,624800
2025-02-05,18.87,19.21,18.67,19.19,659200
2025-02-04,18.95,19.02,18.52,18.86,708300
2025-02-03,18.12,18.78,17.98,18.76,1063300
2025-01-31,18.68,19.0,18.47,18.52,1006800
2025-01-30,18.7,18.91,18.26,18.45,1466900
2025-01-29,19.65,19.75,19.17,19.38,751300
2025-01-28,19.14,20.0,19.14,19.68,1010700
2025-01-27,18.59,19.98,18.456,19.16,1115000
2025-01-24,18.73,19.03,18.63,18.88,768700
2025-01-23,18.4,18.77,18.33,18.66,793000
2025-01-22,18.79,18.88,18.48,18.53,519100
2025-01-21,18.45,18.83,18.35,18.7,597800
2025-01-17,18.98,18.98,18.19,18.3,541500
2025-01-16,18.35,18.68,18.13,18.66,630700
2025-01-15,18.9,19.0,18.36,18.37,766500
2025-01-14,17.87,18.43,17.79,18.33,855700
2025-01-13,17.44,17.825,17.23,17.78,1363700
2025-01-10,17.21,17.68,17.01,17.61,1115600
2025-01-08,17.32,17.73,17.21,17.71,806300
2025-01-07,17.83,18.16,17.31,17.52,1230000
2025-01-06,18.13,18.4,17.71,17.84,1185900
2025-01-03,18.03,18.23,17.77,18.18,864200
2025-01-02,18.51,18.525,17.8,18.0,1170700
2024-12-31,18.23,18.55,18.05,18.26,1185000
2024-12-30,17.69,18.065,17.44,18.0,984400
2024-12-27,18.2,18.23,17.745,17.83,985200
2024-12-26,18.3,18.48,18.15,18.32,915700
2024-12-24,18.39,18.47,18.26,18.43,427300
2024-12-23,18.5,18.612,18.245,18.39,1005700
2024-12-20,18.34,18.72,18.34,18.49,2402100
2024-12-19,19.25,19.36,18.6,18.65,2041200
2024-12-18,19.66,20.0,18.8,19.02,1439200
2024-12-17,20.0,20.045,19.445,19.6,858000
2024-12-16,20.09,20.57,19.92,20.22,962300
