datetime,open,high,low,close,volume
2025-04-01,267.17001,272.78,264.67001,271.13,411300
2025-03-31,264.57999,273.79999,258.95001,267.41,370000
2025-03-28,267.70999,269.595,264.45001,267.56,304900
2025-03-27,274.44,275.03,267.76999,269.62,471300
2025-03-26,282.34,282.34,272.98001,275.14999,433200
2025-03-25,286.88,288.57001,280.45001,283.42001,542500
2025-03-24,285.01999,287.70999,282.42999,286.23001,259100
2025-03-21,277.98001,282.07999,273.0,280.38,737400
2025-03-20,276.31,283.405,276.31,281.32999,353800
2025-03-19,276.07001,281.16,271.07001,279.48001,532300
2025-03-18,275.12,276.685,272.45999,275.29001,431900
2025-03-17,270.23001,278.26999,268.84601,276.07001,242600
2025-03-14,268.19,274.85999,264.92499,272.62,307500
2025-03-13,266.92999,266.92999,256.54001,260.63,281800
2025-03-12,266.01001,272.715,264.10999,267.13,470300
2025-03-11,257.23999,265.38,254.5,262.34,508900
2025-03-10,272.04999,272.50201,256.17001,257.23999,693400
2025-03-07,275.59,278.81,269.42001,274.79001,347000
2025-03-06,282.23999,287.85999,276.23001,277.69,263200
2025-03-05,281.76001,287.35001,280.44,286.38,393200
2025-03-04,282.88,287.69,278.62,283.62,437000
2025-03-03,285.48001,292.14001,281.89001,285.88,434400
2025-02-28,280.22,285.44,278.41,285.44,323000
2025-02-27,291.79999,292.785,280.76999,281.45999,361600
2025-02-26,280.73999,294.28,280.73999,291.84,449000
2025-02-25,288.17999,288.48499,275.26999,281.62,502200
2025-02-24,291.28,294.59,286.20001,287.70001,561500
2025-02-21,303.0,304.10999,290.54999,291.67999,635300
2025-02-20,303.22,309.07999,300.0,303.12,683700
2025-02-19,296.10001,310.0,290.10999,303.76001,1816300
2025-02-18,266.5,273.55499,264.815,271.14001,717000
2025-02-14,272.85001,274.75299,266.85999,268.67001,400900
2025-02-13,267.97,273.07001,267.367,272.89001,301600
2025-02-12,264.0,267.64001,260.51001,267.06,350900
2025-02-11,259.14999,270.91501,258.82001,268.29999,779000
2025-02-10,260.31,262.315,259.42999,261.04999,300800
2025-02-07,261.09,263.10999,259.20999,260.67001,266200
2025-02-06,265.56,265.56,259.79001,261.5,342900
2025-02-05,266.44,266.64999,263.04999,265.94,367100
2025-02-04,264.64999,266.48999,259.57999,262.10999,886100
2025-02-03,264.89999,267.0,263.16,265.0,536800
2025-01-31,270.07001,271.53101,266.62,266.97,490000
2025-01-30,270.20999,272.5,267.28,269.0,259500
2025-01-29,271.57001,271.57001,266.37,269.73001,371700
2025-01-28,273.10001,275.17999,269.51001,270.82001,317600
2025-01-27,274.04001,275.0,270.54501,272.73001,258100
2025-01-24,272.35999,275.48999,271.01401,274.06,409600
2025-01-23,275.64999,275.64999,270.04001,273.78,639100
2025-01-22,267.42999,277.89001,266.23001,275.84,745400
2025-01-21,270.0,270.69,265.14001,268.20001,448900
2025-01-17,264.92999,264.92999,259.31,263.69,433800
2025-01-16,261.17001,263.76999,257.89001,262.31,490400
2025-01-15,254.64,262.73999,253.92999,261.76999,617600
2025-01-14,248.32001,254.0,245.27,252.89,450400
2025-01-13,238.63,248.53999,237.64999,246.92999,425400
2025-01-10,254.45,255.625,247.94,250.62,467200
2025-01-08,252.19,258.51999,248.705,257.81,445200
2025-01-07,240.2,260.875,238.0,252.23,1052700
2025-01-06,243.35001,252.89999,222.59,237.28,1023600
2025-01-03,241.28,243.375,239.75999,241.97,170600
2025-01-02,238.84,243.14999,237.63499,239.99001,145800
2024-12-31,241.03999,241.89,236.62,237.48,189800
2024-12-30,238.35001,240.50999,234.55,238.17999,196500
2024-12-27,238.47,241.89,236.92999,239.85001,294400
2024-12-26,238.78999,241.92,238.53999,240.53999,180600
2024-12-24,241.82001,241.82001,239.59,240.36,88800
2024-12-23,243.0,245.74001,237.67999,240.55,213400
2024-12-20,242.0,245.89,241.235,242.53999,948300
2024-12-19,238.71001,245.56,235.755,243.52,439300
2024-12-18,246.53999,247.925,238.7,238.89999,472000
2024-12-17,250.08,251.28,244.64,247.55,336400
2024-12-16,245.0,250.37,243.735,247.24001,324300
2024-12-13,251.59,251.74001,244.37,245.55,240100
2024-12-12,251.08,254.575,243.36,252.25999,409400
2024-12-11,250.0,259.26999,247.55499,253.66,679200
2024-12-10,244.28999,245.3,240.47,242.27,239100
2024-12-09,237.60001,241.97501,236.62,240.86,170700
2024-12-06,244.97,245.3,236.605,237.23,203800
2024-12-05,247.42,248.605,242.3,242.7,194700
2024-12-04,244.88,250.63,244.10001,249.08,233900
2024-12-03,244.11,246.77,242.7,245.24001,281800
2024-12-02,243.00999,245.66,241.91,244.84,224100
2024-11-29,242.56,246.61,242.3,244.12,114700
2024-11-27,249.86,250.81,240.3,244.14999,271500
2024-11-26,245.67999,250.94501,244.02,248.96001,297500
2024-11-25,247.28999,249.86,243.875,244.67999,422400
2024-11-22,240.0,245.21001,237.92,244.84,252000
2024-11-21,237.28999,241.0,235.92999,240.49001,203300
2024-11-20,235.28999,242.95,235.28999,239.2,248900
2024-11-19,237.16,239.35001,234.62,237.11,203400
2024-11-18,236.48,241.82001,235.30499,240.48,643300
2024-11-15,233.88,239.73,231.27,237.84,382700
2024-11-14,236.0,237.25,232.505,233.50999,195700
2024-11-13,237.77,238.28999,235.13,236.05,180900
2024-11-12,240.28,242.64999,236.00999,236.22,274600
2024-11-11,237.96001,243.38499,236.71001,242.07001,446500
2024-11-08,232.36,236.53999,231.92999,236.45,318800
2024-11-07,233.96001,239.99001,232.92,233.07001,381300
2024-11-06,238.89999,238.89999,228.89999,233.7,463500
2024-11-05,229.00999,235.47,228.645,232.39,417600
2024-11-04,233.84,237.46001,227.89,229.50999,453700
2024-11-01,231.08,236.56,227.92999,233.3,526000
2024-10-31,207.58,230.75,207.58,228.87,953200
2024-10-30,208.17999,218.21001,208.17999,211.28999,734000
2024-10-29,208.62,214.97,206.515,209.63,585400
2024-10-28,206.17,213.86,205.8,208.74001,536900
2024-10-25,206.0,206.724,203.72,204.71001,244600
2024-10-24,204.89,208.22,204.89,206.55,330400
2024-10-23,205.36,205.36,199.00999,203.71001,249800
2024-10-22,205.85001,206.81,202.0,205.62,228800
2024-10-21,208.35001,209.91,201.96001,206.67999,225200
2024-10-18,204.28999,209.69501,203.84,208.64999,221700
2024-10-17,205.42999,206.28,198.67999,202.25999,280300
2024-10-16,204.96001,209.41,203.795,205.42999,272500
2024-10-15,211.39,212.48,204.87,206.62,361400
2024-10-14,205.0,217.44,204.77,211.36,586900
2024-10-11,193.7,203.86,193.495,203.19,387700
2024-10-10,197.22,197.22,192.53999,192.58,295600
2024-10-09,194.75,197.82001,193.66,197.55,272400
2024-10-08,191.96001,196.41,190.50999,194.81,273500
2024-10-07,194.64,194.64,190.08,190.81,244000
2024-10-04,197.59,198.89,192.25999,194.73,243600
2024-10-03,192.17999,197.09,189.94,194.99001,304200
2024-10-02,190.83,194.00999,187.84,193.02,248300
2024-10-01,193.92999,194.55,186.965,191.56,274300
2024-09-30,191.12,194.44,191.12,194.31,296900
2024-09-27,193.27,195.02,189.47,191.55,159100
2024-09-26,189.71001,192.10001,186.09,191.63,282100
2024-09-25,191.96001,191.96001,185.13,186.89,380300
2024-09-24,195.86,195.95,191.35001,191.39999,332500
2024-09-23,196.09,198.95799,194.655,194.89999,276400
2024-09-20,200.22,200.77499,194.72501,195.0,835800
2024-09-19,201.0,203.28,198.09599,200.82001,370000
2024-09-18,189.71001,199.66,188.75,195.58,464300
2024-09-17,188.17999,192.92,185.07001,187.06,406300
2024-09-16,187.28999,191.28999,184.8,187.64999,497000
2024-09-13,199.31,200.00999,186.78,186.94,601100
2024-09-12,202.03,203.63,198.06,200.00999,257000
2024-09-11,201.88,205.23,198.87,202.31,393500
2024-09-10,194.78,207.81,194.78,204.12,445900
2024-09-09,203.98,204.8,194.86,195.08,550900
2024-09-06,204.46001,205.996,199.92999,203.73,539200
2024-09-05,202.39,205.50999,199.99001,204.03999,306000
2024-09-04,204.11,209.67999,202.17,202.55,340300
2024-09-03,203.00999,209.245,203.00999,204.97,358900
2024-08-30,202.35001,203.83501,199.86,202.32001,267500
2024-08-29,202.24001,204.92999,201.39999,202.39999,286400
2024-08-28,203.36,204.35001,197.98,200.46001,323300
2024-08-27,200.53,203.99001,199.395,203.16,334800
2024-08-26,209.53999,210.015,201.98,202.07001,420500
2024-08-23,199.24001,211.185,198.66,210.12,983400
2024-08-22,196.0,200.16,195.03,197.57001,382700
2024-08-21,193.19,195.94501,191.52,195.21001,331900
2024-08-20,190.67,192.77,187.99001,192.07001,550200
2024-08-19,190.23,194.44,188.62,191.45,419700
2024-08-16,188.88,191.16,186.67999,190.50999,320100
2024-08-15,184.28999,192.05,184.19,189.25999,520800
2024-08-14,186.75,187.845,181.13,183.10001,545000
2024-08-13,177.28999,194.50999,174.23,186.94,1046500
2024-08-12,169.45,172.42,168.3,168.78999,383900
2024-08-09,170.11,171.27,166.64,170.03,294000
2024-08-08,164.42,170.13,164.42,169.38,349300
2024-08-07,171.57001,172.16,163.63,163.64,451600
2024-08-06,177.46001,177.993,171.41,171.44,551900
2024-08-05,170.63,181.44,169.84,177.56,617400
2024-08-02,169.91,180.5,167.75999,175.50999,850300
2024-08-01,168.73,172.85001,160.17999,171.25,726500
2024-07-31,151.98,176.745,148.0,167.09,2326900
2024-07-30,178.52,180.8,171.66,173.09,921500
2024-07-29,180.94,181.75,174.05,178.38,673300
2024-07-26,190.16,191.52499,176.66,178.42999,552700
2024-07-25,191.49001,196.16,189.98,190.10001,409800
2024-07-24,187.66,194.3,187.66,193.22,344900
2024-07-23,192.2,192.2,188.24001,188.3,383100
2024-07-22,190.95,192.48,184.95,192.25,207600
2024-07-19,192.13,192.13,187.285,189.87,182500
2024-07-18,202.34,204.28999,188.64999,190.81,382200
2024-07-17,194.73,207.25,193.3,203.22,672400
2024-07-16,191.60001,198.37,190.88,196.75,455100
2024-07-15,190.83,193.58,188.353,191.67999,449300
2024-07-12,187.44,194.58,187.44,190.83,390000
2024-07-11,181.02,186.67999,179.75,186.28999,341400
2024-07-10,178.83,179.69,177.27,179.46001,315700
2024-07-09,179.37,180.075,174.5,177.99001,277000
2024-07-08,181.14,183.32001,179.19,179.27,323600
2024-07-05,178.19,181.31,176.78999,181.09,183900
2024-07-03,176.32001,178.21001,175.10001,177.42,130500
2024-07-02,177.97,179.50999,174.5,175.99001,185700
2024-07-01,179.99001,181.25,174.69,177.09,349600
2024-06-28,176.16,181.28999,173.815,179.97,750500
2024-06-27,174.25,175.08,171.77,174.89999,339200
2024-06-26,171.77,175.25,171.11,174.82001,194800
2024-06-25,174.62,175.55499,172.14999,172.27,320200
2024-06-24,178.0,178.67999,174.03999,174.39999,358700
2024-06-21,176.75,180.48,175.96001,178.56,516400
2024-06-20,176.02,176.67,170.59,175.45,561500
2024-06-18,185.92999,186.74001,175.03,176.03,469400
2024-06-17,184.72,187.96001,182.67,187.32001,265500
2024-06-14,187.47,188.47,185.095,187.78,203500
2024-06-13,191.39,192.02499,186.61,188.0,268600
2024-06-12,193.53999,198.48,189.14999,191.77,367200
2024-06-11,187.72,191.05,185.02,189.94,296000
2024-06-10,187.33,192.315,184.10001,188.06,515000
2024-06-07,194.97,194.97,187.06,188.95,584400
2024-06-06,192.47,198.61,191.59,196.41,547200
2024-06-05,191.46001,195.396,191.46001,193.28999,279800
2024-06-04,188.0,193.38,188.0,190.86,305800
2024-06-03,190.38,192.47,186.83,188.03999,285200
2024-05-31,188.55,191.17,187.0,189.47,435800
2024-05-30,190.17999,192.07001,185.12,188.00999,512200
2024-05-29,190.50999,193.17999,189.52499,191.34,211100
2024-05-28,193.64999,194.12,191.155,192.81,230900
2024-05-24,190.96001,196.25,190.96001,193.66,193300
2024-05-23,198.5,199.687,190.58,190.69,247600
2024-05-22,199.97,201.37,198.82001,198.97,170700
2024-05-21,200.67999,201.14999,198.47,200.23,166700
2024-05-20,203.53999,204.12,199.60001,201.44,166800
2024-05-17,201.5,204.09,200.69,203.53,220700
2024-05-16,204.39999,204.81,200.96001,201.53,273300
2024-05-15,211.07001,211.07001,203.95,204.7,295200
2024-05-14,206.28,211.85001,206.201,208.73,189000
2024-05-13,213.10001,214.97,204.36501,204.77,218400
2024-05-10,209.83,213.035,206.57001,212.28,335500
2024-05-09,204.02,210.77,202.75999,209.39999,380700
2024-05-08,205.91,220.408,199.53999,203.09,918800
2024-05-07,212.89,214.94,209.485,210.0,565600
2024-05-06,209.78999,211.92,208.27,211.62,327000
2024-05-03,208.81,209.67,206.58,208.55,311100
2024-05-02,207.08,208.14,202.81,206.06,368400
2024-05-01,196.69,208.78,196.48,205.28999,544700
2024-04-30,201.11,203.25999,196.23,196.47,302800
2024-04-29,205.83,207.66901,199.32001,202.03999,361600
2024-04-26,206.39999,207.17,203.10001,204.41,290600
2024-04-25,204.22,206.66,201.00999,205.5,261700
2024-04-24,207.31,209.005,204.12,206.14999,336400
2024-04-23,203.89999,207.21001,203.095,205.7,392000
2024-04-22,204.03999,206.36,200.8,203.0,348300
2024-04-19,202.7,204.11,199.38,202.72,338700
