datetime,open,high,low,close,volume
2025-04-01,90.81,90.81,83.53,88.4,431100
2025-03-31,89.7,91.72,88.648,90.7,576200
2025-03-28,92.82,93.26,89.78,91.8,436200
2025-03-27,89.71,93.28,89.5,92.86,457100
2025-03-26,91.51,93.02,89.88,91.15,347400
2025-03-25,90.69,92.94,89.54,91.62,330300
2025-03-24,91.51,92.73,90.915,91.14,440700
2025-03-21,87.94,91.45,87.84,90.25,589000
2025-03-20,92.57,93.515,89.625,90.05,359800
2025-03-19,91.48,95.88,91.46,94.06,711600
2025-03-18,91.82,92.665,89.33,91.46,351100
2025-03-17,90.36,94.77,90.36,92.73,295500
2025-03-14,91.6,93.59,89.69,90.34,435900
2025-03-13,91.66,92.72,88.5,89.42,436100
2025-03-12,96.77,97.41,89.66,91.16,873600
2025-03-11,100.64,100.79,92.95,94.6,620700
2025-03-10,97.51,102.39,96.795,100.71,794100
2025-03-07,92.11,101.15,91.01,100.45,795200
2025-03-06,92.56,94.045,90.44,92.27,350200
2025-03-05,91.23,94.965,89.337,94.82,526900
2025-03-04,86.13,93.13,84.17,90.2,845900
2025-03-03,97.13,97.44,87.2,87.73,769100
2025-02-28,91.3,96.92,89.425,96.66,703200
2025-02-27,96.55,96.895,91.41,91.41,341600
2025-02-26,93.33,96.54,93.33,96.28,455800
2025-02-25,94.36,95.15,91.99,93.14,349700
2025-02-24,96.74,97.552,93.54,94.62,543100
2025-02-21,101.53,102.645,96.69,96.75,487800
2025-02-20,103.0,103.49,100.6,100.81,426100
2025-02-19,104.85,105.89,102.58,103.11,365900
2025-02-18,105.03,108.68,104.31,105.58,480200
2025-02-14,103.6,105.641,102.915,103.82,366800
2025-02-13,105.05,105.92,102.05,103.54,411700
2025-02-12,104.24,105.864,101.705,104.51,465200
2025-02-11,102.19,106.7,101.87,106.33,775900
2025-02-10,105.36,105.71,101.92,104.84,969000
2025-02-07,107.59,108.095,104.2,105.38,1326500
2025-02-06,99.785,119.04,98.5,107.76,4528700
2025-02-05,126.15,129.19901,124.47,127.06,1546600
2025-02-04,123.55,127.53,123.08,126.55,516900
2025-02-03,122.95,125.45,121.82,122.41,799200
2025-01-31,128.03999,129.96001,125.2,126.89,452500
2025-01-30,133.59,133.92999,121.34,127.94,976500
2025-01-29,132.82001,134.17,130.14,131.52,246700
2025-01-28,132.0,134.994,130.515,132.66,300500
2025-01-27,134.98,135.925,129.0,130.46001,524900
2025-01-24,138.66,138.66,134.88,136.21001,408000
2025-01-23,136.5,141.375,132.5,139.47,1030900
2025-01-22,140.0,144.44,136.73,138.74001,558600
2025-01-21,134.33,142.33,133.57001,139.13,906700
2025-01-17,134.96001,136.87,129.94,131.94,683800
2025-01-16,137.0,137.01801,126.01,132.505,1620700
2025-01-15,149.0,149.0,128.077,136.52,1779800
2025-01-14,147.88,151.46001,146.72,149.31,473900
2025-01-13,140.05,146.74001,139.03,146.32001,467600
2025-01-10,148.14999,148.14999,141.00999,143.62,489500
2025-01-08,148.28999,150.53,145.59,150.31,299800
2025-01-07,153.82001,154.10001,147.98,149.7,385100
2025-01-06,154.05,155.91,151.39999,152.24001,387000
2025-01-03,147.11,154.0,147.11,151.37,485400
2025-01-02,147.24001,149.28,145.69,146.75,292800
2024-12-31,147.53999,147.61,144.73,145.25999,370700
2024-12-30,144.5,148.02499,142.0,146.59,309500
2024-12-27,146.25999,147.97,143.26199,147.85001,310300
2024-12-26,146.92,149.41,145.44,147.78,346600
2024-12-24,147.67,148.75999,145.21001,148.75999,128000
2024-12-23,149.2,151.716,144.91,146.14,344100
2024-12-20,140.73,150.78999,140.73,149.83,1423200
2024-12-19,142.71001,144.75999,140.87,142.63,760900
2024-12-18,149.69,151.0,139.755,141.81,712600
2024-12-17,149.55,151.48,146.42,148.06,467500
2024-12-16,151.03999,154.80299,146.75,150.14999,1020000
2024-12-13,161.21001,164.17999,150.52499,150.98,746900
2024-12-12,158.33,161.46001,156.13,158.78999,633600
2024-12-11,160.14999,161.38,155.35001,159.03,537600
2024-12-10,160.64999,161.32201,153.02,156.56,606100
2024-12-09,167.22,168.0,158.37,159.22,1110400
2024-12-06,175.85001,178.045,163.61,165.25,1173500
2024-12-05,189.71001,190.97501,175.42,175.85001,511900
2024-12-04,190.0,190.71001,184.16,189.56,362900
2024-12-03,186.67999,190.0,185.61,188.21001,444400
2024-12-02,193.78999,197.14,187.17101,187.55,462700
2024-11-29,190.53,193.655,189.60001,192.21001,107700
2024-11-27,198.03,198.34,184.5,189.25,224800
2024-11-26,195.8,196.89,192.75,195.57001,283800
2024-11-25,193.28999,196.0,188.19,193.63,491500
