datetime,open,high,low,close,volume
2025-04-01,47.82,47.82,47.15,47.44,338700
2025-03-31,47.43,47.96,47.01,47.53,263200
2025-03-28,49.58,49.81,48.3,48.72,549000
2025-03-27,50.75,51.05,50.5,50.72,349000
2025-03-26,51.59,52.02,50.83,51.28,579100
2025-03-25,51.4,51.86,51.2,51.73,1097600
2025-03-24,51.2,52.27,51.2,52.04,1157900
2025-03-21,53.05,53.62,51.26,51.93,1531200
2025-03-20,55.9,56.3,54.97,55.32,485000
2025-03-19,52.94,53.62,52.47,53.32,246000
2025-03-18,52.58,52.58,51.63,52.51,146700
2025-03-17,52.5,53.26,52.31,52.96,226300
2025-03-14,53.05,53.19,52.19,52.33,210200
2025-03-13,52.77,53.2,52.44,53.03,238600
2025-03-12,53.5,53.8,52.75,53.23,403900
2025-03-11,50.84,51.13,50.07,50.81,539800
2025-03-10,51.78,52.05,50.95,51.7,505600
2025-03-07,54.1,54.14,52.53,53.43,512800
2025-03-06,50.61,51.51,50.25,50.66,447500
2025-03-05,47.59,49.31,47.11,49.25,587100
2025-03-04,45.28,46.13,44.6,45.51,342900
2025-03-03,46.79,46.99,45.32,45.74,216200
2025-02-28,46.77,46.86,45.65,46.24,273000
2025-02-27,48.47,48.88,47.55,47.79,276600
2025-02-26,48.73,49.03,48.34,48.47,273800
2025-02-25,47.43,47.68,46.61,47.36,588200
2025-02-24,48.0,48.6,47.7,48.34,395000
2025-02-21,48.43,48.81,46.86,47.22,517900
2025-02-20,46.36,47.08,46.24,46.5,258100
2025-02-19,44.37,44.67,44.16,44.42,245400
2025-02-18,42.9,43.48,42.84,43.48,133200
2025-02-14,42.95,43.21,42.42,42.72,114500
2025-02-13,42.16,43.07,42.0,42.94,292200
2025-02-12,40.0,40.37,39.4,39.82,273200
2025-02-11,40.65,40.73,40.2,40.46,197300
2025-02-10,40.78,41.31,40.78,41.31,237600
2025-02-07,41.69,41.8,40.34,40.43,372100
2025-02-06,41.9,42.29,41.83,41.93,226900
2025-02-05,42.06,42.06,41.58,41.72,230500
2025-02-04,41.01,42.31,41.01,41.74,226000
2025-02-03,42.46,43.1,40.79,41.54,521000
2025-01-31,45.3,45.53,44.37,44.52,284100
2025-01-30,45.94,46.3,45.31,46.26,244000
2025-01-29,44.83,45.59,44.83,45.41,111900
2025-01-28,45.0,45.0,44.53,44.82,96400
2025-01-27,44.63,45.13,44.47,45.12,102200
2025-01-24,45.72,45.97,45.5,45.61,142800
2025-01-23,45.38,45.38,45.08,45.32,101300
2025-01-22,45.64,45.91,45.45,45.47,175100
2025-01-21,45.46,45.49,45.01,45.38,127500
2025-01-17,44.95,45.26,44.91,45.04,242300
2025-01-16,45.05,45.08,44.55,44.96,185800
2025-01-15,45.0,45.33,44.61,44.81,154200
2025-01-14,44.83,44.83,44.29,44.6,255300
2025-01-13,43.65,44.43,43.65,44.42,278700
2025-01-10,44.54,44.54,43.86,44.1,286100
2025-01-08,44.92,45.01,44.51,44.92,233200
2025-01-07,45.3,45.41,44.78,44.99,206900
2025-01-06,44.98,45.36,44.76,44.85,216200
2025-01-03,44.0,44.37,43.81,44.24,267100
2025-01-02,43.05,43.05,42.35,42.56,243700
2024-12-31,43.29,43.66,42.92,43.36,234600
2024-12-30,43.42,43.46,42.75,43.3,288800
2024-12-27,43.0,43.49,42.74,43.37,244600
2024-12-26,43.76,43.94,43.66,43.7,268700
2024-12-24,45.11,45.47,45.01,45.47,243500
2024-12-23,45.02,45.41,44.72,45.32,155200
2024-12-20,44.81,45.59,44.64,45.15,653900
2024-12-19,45.56,45.93,45.09,45.12,159100
2024-12-18,46.22,46.56,44.72,44.74,599300
2024-12-17,46.0,46.0,45.59,45.73,348100
2024-12-16,46.7,46.94,46.53,46.71,247100
2024-12-13,47.08,47.46,46.63,46.7,351100
2024-12-12,47.43,47.98,47.37,47.46,328400
2024-12-11,47.44,47.76,47.31,47.68,312300
2024-12-10,47.0,47.29,46.64,46.97,746700
2024-12-09,45.34,46.12,45.1,45.41,1595700
2024-12-06,47.01,47.01,46.46,46.63,212200
2024-12-05,47.7,47.7,46.75,47.0,536200
2024-12-04,48.27,48.38,47.99,48.1,527000
2024-12-03,47.17,48.05,46.04,47.77,1016200
2024-12-02,50.35,50.49,49.86,49.95,430700
2024-11-29,51.05,51.66,50.69,51.62,194100
2024-11-27,53.5,53.75,53.29,53.6,169100
2024-11-26,54.34,54.34,53.83,53.93,185600
2024-11-25,54.33,54.43,54.01,54.36,210600
2024-11-22,53.88,54.28,53.73,54.25,154800
2024-11-21,54.26,54.71,54.24,54.4,291200
2024-11-20,52.59,52.7,52.26,52.56,222200
2024-11-19,51.75,52.36,51.74,52.25,142100
2024-11-18,51.76,52.29,51.68,52.27,267800
2024-11-15,50.0,50.1,49.37,49.69,339900
2024-11-14,52.88,53.14,52.38,52.38,551600
2024-11-13,52.35,52.36,51.56,51.58,246000
2024-11-12,54.11,54.11,53.63,53.83,379400
2024-11-11,56.2,56.2,55.34,55.46,380200
2024-11-08,57.44,57.57,56.37,56.79,219600
2024-11-07,59.27,59.88,59.15,59.62,196900
2024-11-06,58.51,58.9,56.84,57.88,218200
2024-11-05,61.22,61.56,61.15,61.44,151100
2024-11-04,62.29,62.72,61.92,62.01,216000
2024-11-01,61.06,61.43,60.71,60.72,126200
2024-10-31,60.22,60.47,59.78,60.11,243600
2024-10-30,61.65,61.9,60.82,60.82,118000
2024-10-29,62.1,62.43,61.95,62.29,210000
2024-10-28,62.54,62.74,62.28,62.68,292800
2024-10-25,60.32,60.66,60.01,60.02,175200
2024-10-24,61.6,61.6,60.7,61.08,198800
2024-10-23,61.32,61.73,60.73,60.94,199700
2024-10-22,60.06,60.52,59.98,60.39,190500
2024-10-21,62.62,62.62,61.7,62.04,225100
2024-10-18,63.2,63.25,62.88,63.07,259100
2024-10-17,62.44,62.73,62.23,62.29,822700
2024-10-16,63.56,63.78,63.18,63.69,333200
2024-10-15,64.51,64.72,63.27,63.33,336300
2024-10-14,67.41,67.54,66.3,66.62,191500
2024-10-11,67.76,67.93,67.54,67.68,199600
2024-10-10,68.13,68.16,67.62,68.09,390500
2024-10-09,68.78,68.9,68.2,68.89,147000
2024-10-08,69.17,69.33,68.39,68.77,161200
2024-10-07,69.62,70.09,69.33,69.61,231400
2024-10-04,69.2,69.35,68.22,68.67,279200
2024-10-03,70.0,70.0,69.17,69.69,2242500
2024-10-02,70.06,70.3,69.35,69.8,487100
2024-10-01,69.96,70.5,69.22,69.98,354700
2024-09-30,71.43,71.98,69.46,69.99,576400
2024-09-27,72.94,74.01,72.94,73.23,101200
2024-09-26,72.29,72.75,71.73,72.67,114900
2024-09-25,70.5,70.6,69.27,69.39,56900
2024-09-24,72.16,72.5,71.63,71.88,148300
2024-09-23,70.37,70.94,70.25,70.92,107500
2024-09-20,69.78,69.78,68.79,69.1,82500
2024-09-19,70.41,70.47,69.75,70.31,58600
2024-09-18,69.81,70.51,69.01,69.12,108100
2024-09-17,69.89,70.01,69.26,69.52,60500
2024-09-16,69.91,70.01,69.24,69.62,59200
2024-09-13,69.23,69.69,69.0,69.0,107300
2024-09-12,66.29,67.09,66.06,67.03,179100
2024-09-11,63.29,64.06,62.63,64.0,117100
2024-09-10,61.47,61.47,60.65,61.17,91900
2024-09-09,61.4,61.7,60.99,61.08,137900
2024-09-06,62.77,62.77,60.23,60.44,132000
2024-09-05,64.69,64.74,63.61,63.88,81900
2024-09-04,64.45,65.32,64.27,64.51,138100
2024-09-03,65.83,66.23,64.62,64.75,203800
2024-08-30,63.8,63.99,63.28,63.82,89400
2024-08-29,64.17,64.79,64.04,64.27,96600
2024-08-28,63.14,63.17,62.31,62.66,74900
2024-08-27,64.92,65.2,64.72,65.01,48300
2024-08-26,65.08,65.27,64.69,64.77,79000
2024-08-23,63.92,65.0,63.59,64.97,95000
2024-08-22,64.92,65.04,63.44,63.81,141800
2024-08-21,61.89,62.42,61.74,62.26,97800
2024-08-20,60.63,60.75,60.35,60.61,73900
2024-08-19,60.41,60.99,60.36,60.86,106000
2024-08-16,60.7,61.5,60.7,61.37,68000
2024-08-15,61.57,61.6,60.91,61.51,130400
2024-08-14,61.17,61.26,60.35,60.89,85200
2024-08-13,59.85,60.27,59.25,60.17,82900
2024-08-12,59.6,60.02,59.53,59.63,60000
2024-08-09,59.28,60.04,59.28,59.81,70500
2024-08-08,58.5,59.14,58.15,59.08,174300
2024-08-07,60.71,60.84,58.76,58.8,167400
2024-08-06,59.54,60.69,59.16,60.07,146900
2024-08-05,58.07,59.33,58.0,58.66,270300
2024-08-02,64.5,64.94,64.07,64.62,132700
2024-08-01,66.0,66.17,64.41,64.88,114100
2024-07-31,65.01,66.05,64.91,65.44,175100
2024-07-30,65.56,65.67,64.97,65.47,73400
2024-07-29,65.52,66.03,65.41,65.91,82100
2024-07-26,65.25,65.49,64.53,65.36,103100
2024-07-25,64.35,65.61,64.35,64.94,155600
2024-07-24,63.71,63.72,62.5,62.5,172600
2024-07-23,64.31,64.68,64.2,64.49,71300
2024-07-22,65.71,65.9,65.31,65.88,82400
2024-07-19,66.43,66.51,65.81,65.81,98900
2024-07-18,66.73,66.78,65.18,65.34,79600
2024-07-17,66.99,67.19,66.35,66.35,154300
2024-07-16,67.5,68.25,67.5,68.06,87600
2024-07-15,69.83,70.2,69.18,69.38,116300
2024-07-12,71.23,71.75,71.2,71.41,92400
2024-07-11,70.72,71.4,70.6,70.94,183000
2024-07-10,66.84,67.24,66.79,67.23,92400
2024-07-09,67.9,67.94,67.26,67.26,90000
2024-07-08,68.46,68.51,68.19,68.29,92700
2024-07-05,68.35,68.4,67.72,68.4,79000
2024-07-03,67.21,68.08,67.2,67.82,52200
2024-07-02,66.0,66.76,66.0,66.76,114200
2024-07-01,66.81,67.21,66.5,66.65,76800
2024-06-28,65.77,66.22,65.57,65.74,71300
2024-06-27,65.42,65.63,64.99,65.31,97000
2024-06-26,65.2,65.62,65.15,65.44,72600
2024-06-25,66.1,66.44,65.61,66.11,200900
2024-06-24,66.47,66.99,66.38,66.63,137800
2024-06-21,66.04,66.75,66.0,66.5,167600
2024-06-20,67.22,67.63,66.47,67.53,95500
2024-06-18,66.78,67.42,66.63,67.35,96000
2024-06-17,67.08,67.92,66.81,67.89,62300
2024-06-14,67.99,68.11,67.52,68.01,88800
2024-06-13,68.44,68.44,67.23,67.64,89700
2024-06-12,69.39,69.72,68.6,68.61,93000
2024-06-11,68.15,68.59,67.99,68.44,121500
2024-06-10,68.0,68.4,67.99,68.23,59800
2024-06-07,69.25,69.57,68.53,68.59,86300
2024-06-06,69.63,70.02,69.41,69.56,156700
2024-06-05,69.39,69.65,68.76,69.65,85600
2024-06-04,68.08,68.4,67.34,67.73,90000
2024-06-03,68.47,68.47,67.52,68.29,93700
2024-05-31,67.12,67.56,66.7,67.41,139400
2024-05-30,67.54,68.03,67.5,67.76,69100
2024-05-29,68.07,68.22,67.61,67.66,99100
2024-05-28,70.78,70.78,70.1,70.28,42600
2024-05-24,70.6,70.81,70.08,70.56,68400
2024-05-23,71.77,71.77,70.22,70.34,63200
2024-05-22,71.27,71.54,70.9,71.13,101200
2024-05-21,72.51,72.68,72.18,72.23,55500
2024-05-20,73.6,74.33,73.32,73.96,51900
2024-05-17,73.72,74.26,73.43,74.23,77800
2024-05-16,74.58,74.6,74.14,74.25,35800
2024-05-15,74.72,75.3,74.51,75.09,89700
2024-05-14,73.73,74.1,73.44,74.07,72100
2024-05-13,73.1,74.41,73.1,73.54,116800
2024-05-10,73.67,73.71,72.75,72.86,155800
2024-05-09,73.02,73.62,72.63,73.61,47200
2024-05-08,73.7,73.88,73.27,73.35,56000
2024-05-07,74.68,74.86,74.29,74.47,41600
2024-05-06,75.23,75.56,74.91,75.05,52000
2024-05-03,74.69,75.05,74.35,74.7,59900
2024-05-02,72.62,73.56,72.12,73.17,80100
2024-05-01,71.47,73.07,71.34,72.04,85200
2024-04-30,72.69,73.14,71.55,71.55,126400
2024-04-29,73.6,74.2,73.5,74.13,128900
2024-04-26,71.29,71.72,71.29,71.6,92100
2024-04-25,70.97,71.42,69.36,71.04,93000
2024-04-24,72.0,72.28,71.11,71.38,147200
2024-04-23,71.14,71.65,71.05,71.48,90500
2024-04-22,71.26,72.05,70.86,71.6,154500
2024-04-19,70.31,70.64,70.02,70.59,73500
2024-04-18,70.52,70.85,69.61,70.1,106000
2024-04-17,68.42,69.0,67.53,67.9,130200
2024-04-16,68.23,69.13,67.9,68.49,179700
2024-04-15,70.81,71.1,69.11,70.01,396000
2024-04-12,72.0,72.18,70.34,70.35,172100
2024-04-11,73.68,73.98,73.01,73.68,63300
2024-04-10,73.74,73.76,72.28,72.9,161300
2024-04-09,75.3,75.79,74.58,75.75,103600
2024-04-08,74.76,75.45,74.31,74.96,98900
2024-04-05,73.48,73.99,73.05,73.55,86500
2024-04-04,75.82,75.9,73.92,73.97,82600
2024-04-03,74.36,75.13,73.95,74.89,92600
2024-04-02,76.44,76.44,75.51,75.79,139400
