datetime,open,high,low,close,volume
2025-04-01,2.56,2.59,2.5,2.54,458500
2025-03-31,2.55,2.59,2.43,2.56,547900
2025-03-28,2.59,2.62,2.53,2.58,466200
2025-03-27,2.5,2.6,2.46,2.58,664900
2025-03-26,2.53,2.53,2.46,2.48,324000
2025-03-25,2.6,2.61,2.52,2.53,506200
2025-03-24,2.57,2.66,2.53,2.6,999700
2025-03-21,2.35,2.49,2.3,2.49,678000
2025-03-20,2.26,2.4,2.24,2.36,555800
2025-03-19,2.33,2.44,2.25,2.25,711500
2025-03-18,2.49,2.51,2.22,2.35,1218300
2025-03-17,2.37,2.65,2.37,2.45,1968100
2025-03-14,2.21,2.24,2.16,2.24,696200
2025-03-13,2.26,2.27,2.13,2.17,594800
2025-03-12,2.27,2.3,2.22,2.24,447700
2025-03-11,2.34,2.36,2.21,2.26,558000
2025-03-10,2.34,2.36,2.3,2.33,2345000
2025-03-07,2.35,2.37,2.32,2.34,467900
2025-03-06,2.36,2.37,2.32,2.37,620700
2025-03-05,2.33,2.37,2.32,2.37,454400
2025-03-04,2.29,2.36,2.28,2.32,591500
2025-03-03,2.35,2.41,2.3,2.31,967500
2025-02-28,2.28,2.37,2.2,2.33,650000
2025-02-27,2.39,2.39,2.27,2.33,368300
2025-02-26,2.38,2.4,2.34,2.38,532400
2025-02-25,2.34,2.41,2.32,2.38,558100
2025-02-24,2.38,2.4,2.33,2.35,585800
2025-02-21,2.45,2.47,2.36,2.39,536900
2025-02-20,2.5,2.52,2.39,2.43,501200
2025-02-19,2.52,2.56,2.45,2.5,482800
2025-02-18,2.65,2.65,2.51,2.52,978900
2025-02-14,2.67,2.69,2.64,2.69,252600
2025-02-13,2.69,2.73,2.62,2.66,291000
2025-02-12,2.5,2.7,2.49,2.67,719300
2025-02-11,2.5,2.55,2.43,2.51,632800
2025-02-10,2.65,2.68,2.54,2.55,804700
2025-02-07,2.72,2.72,2.62,2.66,565800
2025-02-06,2.7,2.76,2.62,2.69,916700
2025-02-05,2.55,2.71,2.55,2.67,1138400
2025-02-04,2.42,2.54,2.39,2.52,1093600
2025-02-03,2.36,2.47,2.33,2.42,877300
2025-01-31,2.4,2.46,2.3,2.43,362500
2025-01-30,2.37,2.4,2.34,2.38,267200
2025-01-29,2.33,2.39,2.29,2.37,301800
2025-01-28,2.23,2.36,2.23,2.31,412000
2025-01-27,2.41,2.44,2.18,2.23,1267500
2025-01-24,2.53,2.54,2.43,2.46,526200
2025-01-23,2.37,2.53,2.35,2.53,1170400
2025-01-22,2.36,2.39,2.3,2.37,471700
2025-01-21,2.2,2.35,2.2,2.33,731300
2025-01-17,2.15,2.24,2.15,2.22,280100
