datetime,open,high,low,close,volume
2025-04-01,25.58,25.58,25.335,25.42,1600
2025-03-31,25.5,25.5,25.26,25.5,1400
2025-03-28,25.49,25.49,25.49,25.49,200
2025-03-27,25.5,25.5,25.5,25.5,600
2025-03-26,25.45,25.45,25.39,25.44,2300
2025-03-25,25.46,25.46,25.45,25.45,600
2025-03-24,25.375,25.5,25.375,25.5,2800
2025-03-21,25.69,25.69,25.46,25.5,1500
2025-03-20,25.45,25.45,25.45,25.45,300
2025-03-19,25.48,25.5,25.47,25.47,1400
2025-03-18,25.49,25.49,25.48,25.48,1700
2025-03-17,25.393,25.49,25.393,25.49,300
2025-03-14,25.36,25.4,25.245,25.335,5300
2025-03-13,25.672,25.7,25.61,25.61,2600
2025-03-12,25.64,25.69,25.64,25.64,2000
2025-03-11,25.69,25.698,25.46,25.65,4000
2025-03-10,25.69,25.69,25.571,25.63,1100
2025-03-07,25.55,25.6,25.5,25.6,3100
2025-03-06,25.53,25.6,25.4,25.52,3400
2025-03-05,25.65,25.7,25.45,25.55,4600
2025-03-04,25.55,25.6,25.44,25.6,7700
2025-03-03,25.7,25.7,25.5,25.568,9000
2025-02-28,25.69,25.7,25.69,25.7,600
2025-02-27,25.575,25.601,25.575,25.6,2300
2025-02-26,25.586,25.586,25.586,25.586,600
2025-02-25,25.46,25.599,25.384,25.5,5500
2025-02-24,25.42,25.42,25.42,25.42,700
2025-02-21,25.47,25.51,25.38,25.38,4300
2025-02-20,25.7,25.7,25.5,25.56,2100
2025-02-19,25.49,25.51,25.49,25.51,1000
2025-02-18,25.46,25.5,25.4,25.5,6400
2025-02-14,25.45,25.5,25.405,25.49,2000
2025-02-13,25.45,25.45,25.4,25.44,3600
2025-02-12,25.45,25.48,25.35,25.45,4700
2025-02-11,25.39,25.45,25.39,25.45,1800
2025-02-10,25.41,25.44,25.38,25.44,1800
2025-02-07,25.45,25.45,25.35,25.35,2600
2025-02-06,25.35,25.45,25.27,25.41,8000
2025-02-05,25.4,25.45,25.3,25.35,12600
2025-02-04,25.75,25.75,25.4,25.48,16800
2025-02-03,25.64,25.75,25.64,25.75,600
2025-01-31,25.75,25.75,25.69,25.69,2000
2025-01-30,25.75,25.85,25.63,25.75,1900
2025-01-29,25.65,25.65,25.65,25.65,200
2025-01-28,25.89,25.89,25.76,25.76,1600
2025-01-27,25.56,25.6,25.56,25.6,1300
2025-01-24,25.63,25.63,25.63,25.63,1500
2025-01-23,25.65,25.877,25.65,25.877,900
2025-01-22,25.65,25.7,25.65,25.7,3500
2025-01-21,25.59,25.62,25.59,25.62,500
2025-01-17,25.501,25.501,25.5,25.5,700
2025-01-16,25.65,25.65,25.65,25.65,600
2025-01-15,25.4,25.65,25.391,25.576,1700
2025-01-14,25.38,25.41,25.38,25.41,700
2025-01-13,25.4,25.41,25.33,25.4,2000
2025-01-10,25.3,25.41,25.3,25.4,3000
2025-01-08,25.39,25.39,25.342,25.39,5400
2025-01-07,25.39,25.39,25.39,25.39,0
2025-01-06,25.35,25.39,25.32,25.39,6400
2025-01-03,25.4,25.42,25.39,25.42,2200
2025-01-02,25.35,25.36,25.33,25.34,4600
2024-12-31,25.36,25.41,25.33,25.33,4400
2024-12-30,25.36,25.43,25.36,25.36,1400
2024-12-27,25.42,25.44,25.34,25.34,2900
2024-12-26,25.38,25.39,25.38,25.39,1100
2024-12-24,25.43,25.43,25.33,25.33,2700
2024-12-23,25.43,25.43,25.33,25.4,2900
2024-12-20,25.3,25.35,25.3,25.35,900
2024-12-19,25.255,25.35,25.255,25.31,2300
2024-12-18,25.425,25.47,25.22,25.376,8200
2024-12-17,25.35,25.47,25.35,25.47,2100
2024-12-16,25.37,25.38,25.25,25.38,5100
2024-12-13,25.3,25.385,25.3,25.31,2300
2024-12-12,25.74,25.78,25.61,25.77,700
2024-12-11,25.78,25.78,25.65,25.7,1600
2024-12-10,25.75,25.8,25.75,25.79,6400
2024-12-09,25.79,25.79,25.71,25.75,600
2024-12-06,25.79,25.79,25.79,25.79,200
2024-12-05,25.79,25.8,25.79,25.8,700
2024-12-04,25.86,25.86,25.68,25.68,3200
2024-12-03,25.86,25.86,25.86,25.86,300
2024-12-02,25.85,25.85,25.75,25.75,2000
2024-11-29,25.86,25.86,25.86,25.86,0
2024-11-27,25.86,25.86,25.86,25.86,500
2024-11-26,25.67,25.85,25.61,25.61,2000
2024-11-25,25.6,25.66,25.55,25.6,1200
2024-11-22,25.54,25.6,25.54,25.54,900
2024-11-21,25.52,25.55,25.51,25.51,900
2024-11-20,25.6,25.6,25.52,25.53,700
2024-11-19,25.642,25.69,25.43,25.586,5700
2024-11-18,25.61,25.7,25.51,25.7,1900
2024-11-15,25.73,25.73,25.53,25.61,1400
2024-11-14,25.706,25.706,25.706,25.706,500
2024-11-13,25.675,25.675,25.51,25.51,1300
2024-11-12,25.56,25.72,25.53,25.53,2800
2024-11-11,25.68,25.77,25.68,25.77,500
2024-11-08,25.65,25.65,25.65,25.65,0
2024-11-07,25.55,25.65,25.55,25.65,1400
2024-11-06,25.64,25.65,25.45,25.45,3000
2024-11-05,25.68,25.68,25.5,25.68,4100
2024-11-04,25.83,25.83,25.83,25.83,600
2024-11-01,25.84,25.84,25.81,25.81,400
2024-10-31,25.7,25.7,25.7,25.7,1700
2024-10-30,25.65,25.72,25.64,25.64,400
2024-10-29,25.572,25.804,25.56,25.73,5700
2024-10-28,25.74,26.04,25.6,25.74,4200
2024-10-25,26.03,26.04,25.712,25.74,2600
2024-10-24,26.02,26.02,26.02,26.02,300
2024-10-23,25.83,25.91,25.81,25.91,1200
2024-10-22,26.04,26.04,25.9,26.04,1500
2024-10-21,26.05,26.05,25.783,26.008,1700
2024-10-18,25.95,26.08,25.92,26.08,1600
2024-10-17,26.1,26.12,26.06,26.06,1200
2024-10-16,26.06,26.06,26.04,26.06,2100
2024-10-15,26.05,26.1,26.05,26.1,1800
2024-10-14,26.1,26.14,26.05,26.05,500
2024-10-11,26.03,26.03,25.965,26.001,1000
2024-10-10,25.935,25.935,25.935,25.935,500
2024-10-09,26.01,26.06,26.01,26.06,1200
2024-10-08,26.14,26.14,25.93,26.03,3700
2024-10-07,25.97,25.97,25.97,25.97,1000
2024-10-04,25.86,25.86,25.86,25.86,500
2024-10-03,25.98,25.98,25.85,25.85,1100
2024-10-02,25.99,25.99,25.88,25.932,2900
2024-10-01,26.19,26.19,25.92,25.99,3900
2024-09-30,26.1,26.1,25.917,25.917,800
2024-09-27,26.05,26.2,26.0,26.2,2600
2024-09-26,25.963,25.98,25.93,25.98,1800
2024-09-25,25.885,25.95,25.84,25.9,3200
2024-09-24,25.92,25.92,25.82,25.82,500
2024-09-23,26.064,26.1,25.81,25.81,3000
2024-09-20,26.27,26.27,25.8,25.8,1500
2024-09-19,25.82,25.95,25.82,25.835,1100
2024-09-18,25.89,26.02,25.85,25.98,1300
2024-09-17,25.8,25.8,25.8,25.8,400
2024-09-16,25.6,25.94,25.6,25.89,5000
2024-09-13,25.875,26.29,25.48,25.58,2600
2024-09-12,26.24,26.24,26.113,26.113,1700
2024-09-11,26.15,26.19,26.15,26.19,1600
2024-09-10,25.98,26.05,25.98,26.05,400
2024-09-09,26.14,26.14,25.99,26.08,4600
2024-09-06,25.95,26.14,25.95,26.14,3800
2024-09-05,25.9,25.94,25.9,25.94,3400
2024-09-04,25.835,25.92,25.82,25.92,1500
2024-09-03,25.92,25.94,25.92,25.94,500
2024-08-30,26.14,26.14,25.86,25.86,3200
2024-08-29,25.96,26.13,25.88,26.13,800
2024-08-28,26.02,26.02,25.96,25.96,1200
2024-08-27,25.74,26.485,25.74,25.962,5800
2024-08-26,25.79,26.0,25.78,25.9,3800
2024-08-23,25.63,25.7,25.63,25.7,900
2024-08-22,25.59,25.799,25.59,25.75,1600
2024-08-21,25.8,25.8,25.8,25.8,700
2024-08-20,25.79,25.79,25.755,25.78,1000
2024-08-19,25.89,26.13,25.7,25.8,4200
2024-08-16,25.7,25.7,25.65,25.7,4600
2024-08-15,25.505,25.7,25.505,25.7,1800
2024-08-14,25.47,25.59,25.43,25.56,3100
2024-08-13,25.54,25.54,25.35,25.45,2200
2024-08-12,25.57,25.57,25.4,25.4,2900
2024-08-09,25.5,25.53,25.37,25.51,4000
2024-08-08,25.59,25.59,25.3,25.47,5500
2024-08-07,25.69,25.69,25.62,25.62,1000
2024-08-06,25.5,25.56,25.5,25.525,1700
2024-08-05,25.4,25.6,25.25,25.32,8800
